[00:00:00] 欢迎收听古矮,我是孟宫
[00:02:45] 所以在这边也
[00:02:46] 回祝大家身体健康
[00:02:49] 那这次的生日
[00:02:50] 是没有去做什么
[00:02:51] 特别的庆祝
[00:02:53] 反正就是跟往常一样
[00:02:54] 就跟可能是
[00:02:55] 最亲近的家人
[00:02:56] 然后一些朋友
[00:02:57] 简单的吃个东西
[00:02:59] 就结束
[00:03:00] 那也收到了一些
[00:03:00] 生日礼物
[00:03:01] 那我发现说
[00:03:01] 这次的生日礼物
[00:03:02] 蛮多人都已经
[00:03:04] 知道说
[00:03:04] 可能我喜欢的东西是什么
[00:03:05] 然后就会往那个方向去点
[00:03:07] 那其实就
[00:03:08] 套一句我老婆讲的
[00:03:09] 要帮我准备生日礼物
[00:03:10] 是很难的一件事情
[00:03:11] 因为第一个是
[00:03:12] 我是想要什么东西
[00:03:13] 就立刻买到的人
[00:03:13] 然后第二个是
[00:03:14] 我是有冲动消费人格的人
[00:03:16] 那所以呢
[00:03:17] 两个叠加起来
[00:03:18] 就是基本上
[00:03:18] 你很难找到东西
[00:03:19] 是我想要
[00:03:20] 可是我没有的
[00:03:21] 那所以像我们一般
[00:03:23] 去帮别人找生日礼物
[00:03:24] 很简单是说
[00:03:24] 你会知道说
[00:03:25] 有些人他有一些
[00:03:26] 梦幻的东西
[00:03:26] 他喜欢的东西
[00:03:27] 那不一定是说
[00:03:28] 什么超级贵
[00:03:29] 就是他平常是舍不得花
[00:03:30] 或是他
[00:03:30] 没有那个余裕
[00:03:32] 去买的东西
[00:03:32] 那基本上
[00:03:33] 你随便举例说
[00:03:34] 像我身边的一些
[00:03:35] 家人朋友
[00:03:36] 他们可能喜欢什么东西
[00:03:37] 那我是有办法
[00:03:37] 举得出来
[00:03:38] 可是像我自己
[00:03:38] 要帮我自己想
[00:03:39] 我都想不出来
[00:03:39] 因为所有我想到的东西
[00:03:40] 一定都是把他
[00:03:41] 立刻点满
[00:03:41] 所以就导致说
[00:03:42] 在身边的家人
[00:03:43] 要帮我去找一些礼物的时候
[00:03:44] 反正我时候
[00:03:45] 再来蛮麻烦的
[00:03:46] 那最后面
[00:03:47] 他就会去送一些
[00:03:48] 我不知道我自己需要的东西
[00:03:50] 蛮有趣的
[00:03:51] 好像之前
[00:03:51] 就会送
[00:03:51] Mandarorian的雕像
[00:03:53] 或是
[00:03:53] 什么光剑
[00:03:55] 之类的
[00:03:55] 就是蛮酷的
[00:03:57] 有趣小东西
[00:03:58] 那今年是给我一个
[00:03:59] 金色皮卡丘的雕像
[00:04:00] 然后我老婆
[00:04:01] 一直是讲说
[00:04:02] 因为皮卡丘
[00:04:02] 就会让我想到我儿子
[00:04:03] 确实
[00:04:03] 因为我儿子从小
[00:04:04] 对黄色的东西
[00:04:05] 特别敏感
[00:04:06] 不然说
[00:04:06] 最早的baby shark
[00:04:07] 所以那时候手上
[00:04:08] 就搞了一个baby shark的刺青
[00:04:09] 然后吃完之后
[00:04:11] 大概两个月左右
[00:04:12] 小爱就不喜欢baby shark
[00:04:13] 所以是还蛮尴尬的一个局面
[00:04:15] 但好在
[00:04:15] 因为还有第二台
[00:04:16] 第二台这个刺青
[00:04:17] 又可以再拿出来用一次
[00:04:18] 他每次都在点这个baby shark
[00:04:20] 然后我就会唱歌给他听
[00:04:21] 所以算是一个
[00:04:22] 蛮有趣的体验
[00:04:23] 然后后来他又喜欢
[00:04:24] 什么minion
[00:04:25] 然后最后面到皮卡丘
[00:04:26] 反正都是黄色系的东西
[00:04:27] 所以呢
[00:04:28] 我老婆意思是说
[00:04:29] 反正我后面都是
[00:04:30] 放一堆那种梅亚角
[00:04:32] 那你放一只皮卡丘在那
[00:04:33] 你就想想你的儿子
[00:04:34] 所以我觉得也是一个
[00:04:35] 蛮不错的生日礼物
[00:04:36] 那还有收到像是什么
[00:04:37] 网球拍网球
[00:04:38] 然后跟
[00:04:39] 昨天去跟一些
[00:04:40] 这个地方的投资先打朋友们
[00:04:42] 聚会的时候呢
[00:04:43] 也收到了一瓶红酒
[00:04:44] Latash
[00:04:45] 那这个是我自己
[00:04:46] 算蛮喜欢的
[00:04:47] 其中一种红酒
[00:04:48] 那只是这种东西
[00:04:50] 拿来当礼物
[00:04:51] 我是觉得有点
[00:04:51] 太贵重了
[00:04:52] 只是
[00:04:53] 要给我
[00:04:54] 那我只好把它喝掉
[00:04:55] 因为我已经喝了好几瓶了
[00:04:56] 我真的觉得这是一个
[00:04:57] 好喝的东西
[00:04:58] 所以还是
[00:04:59] 非常感谢这么多
[00:05:00] 这个地方的
[00:05:01] 大大门
[00:05:02] 然后有记得我的生日
[00:05:04] 但其实我觉得
[00:05:05] 可以把心力花在别人的身上
[00:05:07] 那对我来说
[00:05:08] 这些东西是
[00:05:09] 老天给我的一种恩惠
[00:05:11] 跟这么多数位蒙面的人
[00:05:13] 可以以这种神奇的方式
[00:05:14] 交汇在一起
[00:05:16] 那我也希望可以持续的去
[00:05:17] 为大家贡献一些价值
[00:05:19] 那这个价值
[00:05:19] 包含但不限于
[00:05:21] 就是
[00:05:21] 可能节目去聊的一些
[00:05:23] 可能跟市场股票
[00:05:24] 经济相关的东西
[00:05:25] 我觉得
[00:05:25] 我自己家比较喜欢的内容
[00:05:27] 其实是比较偏向
[00:05:28] 生活类的东西
[00:05:29] 甚至我今天早上
[00:05:30] 在跟法师聊天的时候
[00:05:32] 那我就聊到说
[00:05:32] 我自己是觉得说
[00:05:33] 如果五年后
[00:05:34] 我还在全职很专心的
[00:05:36] 搞股票
[00:05:36] 我也觉得有点失望
[00:05:37] 因为其实已经是
[00:05:38] 算达成自己阶段性的目标
[00:05:40] 应该都早就达成了
[00:05:41] 那后面就是
[00:05:42] 都算是多的
[00:05:44] 所以对我来讲
[00:05:44] 像我会非常热衷
[00:05:45] 去投资一些小生意
[00:05:47] 或者去
[00:05:47] 开创一些新的可能性
[00:05:49] 会像是在去年
[00:05:50] 我们去成立了
[00:05:51] 硝难资本
[00:05:51] 那这个对我来讲
[00:05:53] 就是新的尝试
[00:05:54] 也就是开始去往
[00:05:55] 可能创投家
[00:05:56] 或是其他有的没有的方向去走
[00:05:57] 因为股票对我们来讲
[00:05:59] 就已经是够了
[00:06:00] 就坦白说是够了
[00:06:01] 就后面都一点像是多的
[00:06:02] 那我自己也不会喜欢说
[00:06:03] 就在同一个地方
[00:06:04] 那好像说
[00:06:05] Never enough
[00:06:06] 就是我还要更多
[00:06:07] 你可能要不到
[00:06:08] 50亿 100亿
[00:06:09] 就不会觉得说
[00:06:10] 那是自己的目标了
[00:06:11] 那边可以去
[00:06:12] 持续的成长
[00:06:13] 当然是很好
[00:06:14] 只是说把所有的精力
[00:06:15] 都丢在那
[00:06:16] 那我就没有这么喜欢
[00:06:17] 所以
[00:06:17] 当然我今年的愿望
[00:06:19] 还是希望身体健康
[00:06:20] 不管是对自己
[00:06:21] 或者家人朋友都是
[00:06:22] 那像是昨天
[00:06:24] 有一些朋友
[00:06:24] 在帮我庆生的时候
[00:06:25] 那吹蜡烛的时候
[00:06:26] 也是在讲身体健康
[00:06:28] 因为其实对于
[00:06:29] 像自己或身边的人来讲
[00:06:31] 身体健康真的是
[00:06:32] 最重要的东西
[00:06:32] 已经没有什么
[00:06:33] 比这个更重要
[00:06:34] 以前可能还会
[00:06:34] 20几岁的时候
[00:06:36] 一些身边的朋友
[00:06:37] 聚在一起会讲说
[00:06:37] 希望大家快点发财
[00:06:38] 可是
[00:06:39] 我觉得这几年行情
[00:06:41] 没有发财的人
[00:06:42] 可能是少数
[00:06:42] 所以
[00:06:43] 当然我们讲这个
[00:06:44] 没有要去刺激任何人的意思
[00:06:46] 就是说
[00:06:46] 在自己的观察
[00:06:47] 生活圈
[00:06:48] 真的就是这样的一个情形
[00:06:49] 所以
[00:06:49] 就是身体健康
[00:06:50] 变成是大家最重要的东西
[00:06:51] 和家平安
[00:06:52] 这是最重要的东西
[00:06:54] 所以就希望在这条路线上
[00:06:55] 持续的去精进
[00:06:56] 那同时
[00:06:57] 希望可以去把
[00:06:58] 其他事情都做好
[00:06:59] 去做一些
[00:07:00] 更多的可能性
[00:07:01] 因为人只有活一次
[00:07:02] 那如果说这一生
[00:07:03] 都是完全的沉溺
[00:07:04] 在同一件事情里面
[00:07:05] 的话可能就不太好
[00:07:06] 所以
[00:07:07] 其实老实讲
[00:07:07] 这个节目会到什么时间点
[00:07:08] 我也不知道
[00:07:09] 就是有可能
[00:07:09] 就是在某一个瞬间
[00:07:10] 即便可能我们的广告
[00:07:11] lead time
[00:07:12] 是已经排到明年了
[00:07:13] 但如果时间到的话
[00:07:14] 我也是会突然就跟
[00:07:15] 我们的sponsor就说
[00:07:16] 就差不多到这
[00:07:17] 然后大家拜拜
[00:07:18] 那时候应该也只有一个
[00:07:19] short notice
[00:07:20] 就跟大家说再见
[00:07:21] 反正总之
[00:07:21] 我不知道哪个东西
[00:07:23] 可以走到哪里
[00:07:24] 这个完全不知道
[00:07:24] 都是一个未知的状态
[00:07:26] 那非常感谢
[00:07:27] 在路途中
[00:07:27] 有这么多人的陪伴
[00:07:29] 那其实我们的眼睛
[00:07:30] 都持续的往前跟往上看
[00:07:31] 就希望可以去
[00:07:32] 做出更多的可能性
[00:07:34] 那当然如果一个东西
[00:07:35] 还是很好玩的话
[00:07:36] 可以持续的做下去
[00:07:37] 只是希望说
[00:07:37] 它时间可以越占越少
[00:07:39] 因为有太多事情要做
[00:07:41] 因为人只有活一次
[00:07:41] 所以在这边
[00:07:42] 也是对大家共勉之
[00:07:44] 希望我们可以找到
[00:07:45] 生命中有趣的事情
[00:07:47] 然后可以去探索
[00:07:47] 更多的未知
[00:07:48] 跟各种好玩的东西
[00:07:50] 那这个前提是什么
[00:07:50] 前提是在
[00:07:51] 就是很轻松的一个状况之下
[00:07:52] 就是不要说什么
[00:07:53] 故意骂
[00:07:54] 没苦硬吃
[00:07:55] 或是要去
[00:07:55] 不是
[00:07:56] 也已经觉得自己是
[00:07:58] 一把年纪了
[00:07:59] 有点筋骨了
[00:08:00] 这个
[00:08:00] 虽然最近有用运动
[00:08:02] 去把它瞧回来
[00:08:02] 只是你不会想再去
[00:08:03] 这种从烟从难的
[00:08:05] 所以
[00:08:05] 在一个舒服的状态之下
[00:08:07] 去做各种尝试
[00:08:08] 像我家会去丢一些
[00:08:10] 各种小生意
[00:08:11] 或是去投资游戏
[00:08:12] 我觉得就是
[00:08:12] 很适合我的一个状态
[00:08:14] 那也希望大家在后面
[00:08:15] 是平安健康快乐
[00:08:16] 非常感谢大家
[00:08:17] 大概这样子
[00:08:18] 好那接下来就来进入
[00:08:19] 市场话题
[00:08:20] 那前面的感性的实践完之后
[00:08:22] 我们就进入
[00:08:23] 我们的杀战场
[00:08:24] 我觉得这个市场赛
[00:08:25] 蛮精彩的
[00:08:26] 可是
[00:08:26] 体感上是觉得还好
[00:08:28] 就是虽然可能
[00:08:29] 你看到蛮大的一个跌点
[00:08:30] 那当然可能
[00:08:31] 礼拜一中帅
[00:08:32] 礼拜二又一堆东西又涨停
[00:08:34] 那礼拜三
[00:08:34] 一堆东西新高
[00:08:36] 可是新高完之后
[00:08:36] 又全部都压回来
[00:08:38] 那我在盘中一看
[00:08:39] 好像剩下大力光
[00:08:40] 就是说大家比较有共识的
[00:08:41] 一些标的
[00:08:42] 剩下大力光
[00:08:43] 还在那边吊在那
[00:08:44] 可是其他一堆都往下灌
[00:08:46] 那像国具是直接涨停
[00:08:47] 还趁中午时间
[00:08:48] 瞬间打开
[00:08:49] 然后就往下破
[00:08:50] 可是问题是
[00:08:51] 他今天还是创新高
[00:08:52] 而且他还在无日线上
[00:08:53] 所以就
[00:08:53] 好像有发生事情
[00:08:55] 可是又没有发生事情
[00:08:57] 的那一种感受
[00:08:58] 像在上礼拜五
[00:08:59] 因为我们看到夜盘
[00:08:59] 直接大爆炸
[00:09:00] 然后在礼拜一的时候
[00:09:02] 那时候说
[00:09:02] brace for impact
[00:09:03] 然后就真的就大爆炸
[00:09:04] 那有蛮多东西
[00:09:05] 可能出现跌停
[00:09:06] 或是说杀到爆掉的一个状况
[00:09:07] 可是在礼拜二
[00:09:08] 又一堆东西又跑去涨停
[00:09:09] 就到底是杀小
[00:09:10] 然后在礼拜三
[00:09:14] 如果去拉这三天来看的话
[00:09:15] 好像没有发生什么事情
[00:09:17] 就是你拉长看
[00:09:18] 是没有什么事情的
[00:09:19] 可是你在当下
[00:09:20] 确实都惊心动魄
[00:09:21] 想说发生什么事情
[00:09:22] 像我礼拜一看到
[00:09:23] 东西跌停
[00:09:23] 然后其实蛮多
[00:09:24] 因为处置股
[00:09:25] 就是以前你可能
[00:09:26] 东西形态跑掉了或什么的
[00:09:27] 你比手术
[00:09:28] 你稍微先砍一点出去或什么的
[00:09:30] 可是问题是
[00:09:31] 像一堆都观测了手术
[00:09:32] 也没有办法动
[00:09:32] 而且成本也真的就拉太远
[00:09:34] 所以还真的是蛮不在意
[00:09:35] 就是你看到
[00:09:36] OK那我要去运动了
[00:09:38] 然后礼拜二看到涨停
[00:09:39] 你也不会想加码
[00:09:39] 因为你也没有钱可以加码
[00:09:41] 因为像你知道
[00:09:42] 那时候礼拜一的时候
[00:09:42] 我还直接跟我营业员讲
[00:09:43] 我就说
[00:09:44] 如果说这一波
[00:09:45] 有很多的什么融资
[00:09:47] 还是说质押被杀出来
[00:09:49] 你记得跟我讲
[00:09:50] 我要去把那个额度卡起来
[00:09:51] 因为还有一堆额度可以用
[00:09:53] 他有一大堆
[00:09:54] 可是就是被锁死了
[00:09:56] 为什么
[00:09:56] 因为前面太多人在借钱了
[00:09:58] 所以都被借光
[00:09:59] 我想说那正好
[00:09:59] 就等他们可能被杀爆之后
[00:10:01] 那我就可以把这个额度捡走
[00:10:02] 然后结果没有想到
[00:10:04] 也没有额度放出来
[00:10:05] 就是完全还是在一个
[00:10:06] 被控管的状态之下
[00:10:07] 所以我就说
[00:10:08] 这一波修正的感觉是很奇妙
[00:10:10] 就是确实是有蛮多东西
[00:10:11] 出现一些回档
[00:10:12] 那自己的禁止
[00:10:12] 当然也出现一些回档
[00:10:13] 但就还好
[00:10:15] 就没有什么特别的感受
[00:10:16] 然后再搭配一下
[00:10:17] 去看市场上的一些事件
[00:10:19] 然后跟状态的话
[00:10:20] 会觉得应该就是一样
[00:10:22] 路途中的某一种修正
[00:10:23] 那当然修正会走长会走短
[00:10:26] 这个一定是没有人知道的
[00:10:27] 那反正总之呢
[00:10:28] 就是我们会等到修正
[00:10:29] 稍微告一段落
[00:10:30] 本来以为说
[00:10:31] 昨天有可能就是稍微告一段落
[00:10:32] 因为反弹是还蛮凶的
[00:10:34] 但如果再下来的话
[00:10:35] 就希望说
[00:10:35] 那最好就再破一次底
[00:10:36] 最好把那个前地也都再破一次
[00:10:38] 然后就一堆人杀出来
[00:10:40] 可能就看到那种大量的肢检
[00:10:41] 那到时候能够
[00:10:42] 立刻反弹走出去的族群
[00:10:44] 那可能就是我们想要去追踪的
[00:10:45] 因为单就礼拜三
[00:10:47] 这个盘中来看的话
[00:10:48] 当然被动元件
[00:10:49] 还是非常强势嘛
[00:10:51] 那光头的话
[00:10:51] 就是全部都转弱
[00:10:52] 那TSMC
[00:10:53] 我本来觉得有机会
[00:10:54] 是下一波要领跑的
[00:10:55] 然后现在也是转弱
[00:10:57] 然后发哥也稍微的往下跳
[00:10:58] 所以还没有办法
[00:10:59] 很明确的去识别啦
[00:11:01] 那本来自己心中猜想的
[00:11:02] 就是有些像是避风港
[00:11:03] 比较便宜的像是一些藏物类型的股票
[00:11:05] 那也没有拉出去
[00:11:07] 所以现在还没有办法识别出来
[00:11:09] 可能要等到就是严见为凭
[00:11:11] 就是我们看到
[00:11:11] 有一些族群走出去之后
[00:11:13] 我们就知道说
[00:11:13] 那可能下一波的资金
[00:11:14] 会往哪个方向去靠
[00:11:15] 那我们就稍微再讲一下
[00:11:17] 这个市场中发生一些事件
[00:11:18] 那首先呢
[00:11:19] 台积电这个月营收开起来
[00:11:20] 是还蛮不错
[00:11:21] 然后CFO在
[00:11:22] 不知道是访问还是怎么样
[00:11:23] 反正我有看到一个报道
[00:11:24] 刚才收盘之后就快速秒到
[00:11:26] 就讲到说台积电有可能会涨价
[00:11:28] 只是我们不会用那种
[00:11:29] 几倍的方式去涨
[00:11:30] 那我觉得这个算是市场
[00:11:31] 大家会合力期待的
[00:11:33] 就台积电去做涨价
[00:11:34] 其实是非常合理的
[00:11:34] 你看那个记忆体涨
[00:11:35] 全部涨到毛利七八十%
[00:11:37] 这样冲上去
[00:11:38] 那当然魏哲家
[00:11:39] 在这个说法里面有提到说
[00:11:41] 他不会用那种
[00:11:43] 很暴力的涨价方式
[00:11:44] 因为这样去做生意是不持久的
[00:11:45] 希望跟生意伙伴呢
[00:11:46] 是维持长期要关系
[00:11:48] 所以可能一些合理的涨价
[00:11:50] 是有机会可以看到
[00:11:51] 那当然这就有机会
[00:11:52] 去推升后面的一些
[00:11:53] 不管是实质的
[00:11:55] 营收获利的数字
[00:11:56] 然后或者是说
[00:11:56] 在PE的估值方面
[00:11:58] 都还是有机会的
[00:11:59] 所以就是你在产业上
[00:12:01] 没有看到太多的败向
[00:12:02] 就是说开始有一些
[00:12:03] 那种坏消息
[00:12:04] 在修正的时候会丢出来
[00:12:05] 然后顺便吓一下大家
[00:12:06] 那最近比较经典的就是
[00:12:08] Semi-Analysis
[00:12:10] 就跑到了舞台的中央
[00:12:11] 因为它不只是一次
[00:12:13] CUE了这个CPU
[00:12:14] 加可能800VDC之外
[00:12:16] 然后同时呢
[00:12:18] 就是在可能过往的
[00:12:19] 针对NVIDIA
[00:12:21] VIA Rubin的发言
[00:12:22] 有提到说
[00:12:22] 那个记忆体的数量
[00:12:23] 会往下掉或什么的
[00:12:24] 所以就导致
[00:12:25] 全部被包起来
[00:12:26] 然后说变成
[00:12:27] 这家公司突然间
[00:12:28] 像是一个大空头的感觉
[00:12:29] 那我们就稍微的
[00:12:30] 简单来讲一下
[00:12:31] 他们的说法
[00:12:32] 然后跟市场上的一些反应
[00:12:34] 那我还是觉得
[00:12:34] 就是在市场里面
[00:12:35] 其实要去讲这种
[00:12:36] 偏空方的东西
[00:12:38] 要比较小心一点
[00:12:39] 然后我自己跟DLEN
[00:12:40] 是我们在那个
[00:12:41] X上面有简单的聊过
[00:12:43] 可是我严格上来说
[00:12:44] 跟他不是认识
[00:12:44] 如果我是认识的话
[00:12:45] 已经跟他说
[00:12:46] 你要把这种东西
[00:12:47] 要稍微小心一点
[00:12:48] 因为前面才刚有一个AYZ
[00:12:49] AYZ发了东西
[00:12:51] 然后踩到老铁门
[00:12:52] 因为老铁门
[00:12:53] 买一大堆中继续创
[00:12:55] 买一大堆中国的光通股
[00:12:57] 然后那时候就认为说
[00:12:58] AYZ讲的一些东西
[00:12:59] 打击到了这些光通股
[00:13:00] 其实严格上来说
[00:13:01] 根本没有什么太大的关系
[00:13:03] 然后更退一万步来讲
[00:13:05] 其实那时候
[00:13:05] 中国的光通股回档
[00:13:06] 根本就不多
[00:13:07] 可是就开始收到一些
[00:13:09] 蛮严重的威胁
[00:13:10] 所以AYZ
[00:13:11] 我觉得绝大多数的听众
[00:13:12] 我一定不知道是谁
[00:13:13] 可是有在
[00:13:13] 很认识搞投资的
[00:13:14] 或是投资业内的人员
[00:13:15] 一定知道说AYZ
[00:13:17] 这个算是蛮佛心的
[00:13:19] 某种那种订阅平台
[00:13:20] 那他也会帮大家解答很多问题
[00:13:22] 然后后来就是因为
[00:13:23] 反正就是被恐吓之类的吧
[00:13:25] 然后后来就收掉了
[00:13:26] 我想说Semi-Analysis
[00:13:27] 在这个时间点搭配大回档
[00:13:29] 再搭配他发的东西
[00:13:31] 那即便呢
[00:13:32] 他其实去讲说
[00:13:33] 像NVIDIA的什么
[00:13:34] 记忆体少用什么
[00:13:35] 那个并不是像标题下的这样子
[00:13:38] 就你深度去了解会知道
[00:13:39] 那有蛮多的原因
[00:13:40] 其实有很多是跟攻击
[00:13:42] 是有关系的
[00:13:43] 但不管
[00:13:44] 反正你只要在修正的时候
[00:13:45] 你去讲这些东西
[00:13:46] 你就是有机会会被人家针对
[00:13:48] 所以虽然我们自己也是多军
[00:13:50] 可是我们其实算是
[00:13:50] 很温柔的多军
[00:13:51] 就是我们不会去
[00:13:52] 那个谁在放空
[00:13:53] 他讲他什么东西
[00:13:54] 然后去修理他
[00:13:55] 教训他
[00:13:55] 检举他
[00:13:56] 什么的
[00:13:56] 我们比较不做这种事情
[00:13:57] 甚至有时候是看起来
[00:13:59] 像假消息的东西
[00:14:00] 把我们的股价打下去
[00:14:02] 那我们反省的以为
[00:14:03] 比较偏向是自己
[00:14:04] 就是有可能这个地方
[00:14:05] 搞不好是涨多了
[00:14:07] 所以你看
[00:14:07] 一些假消息
[00:14:08] 也可以把它打下来
[00:14:09] 就是我们不会认为说
[00:14:09] 就是因为你害的
[00:14:10] 你讲了这个东西掉下去
[00:14:12] 但其实很多人
[00:14:13] 会这样子认为
[00:14:14] 然后所以
[00:14:14] Semi-Analysis
[00:14:16] 在市场上
[00:14:17] 确实也是有这样子的一个影响力
[00:14:19] 所以他们讲的一些内容
[00:14:21] 就是有机会被放大
[00:14:22] 然后搞不好
[00:14:23] 然后后面会被针对之类
[00:14:24] 但总之呢
[00:14:25] 他们提的东西
[00:14:26] 其实还算蛮合理
[00:14:28] 就是市场中的一种意见
[00:14:29] 那只是搭配这种回档来看的话
[00:14:31] 大家就会把它放到很大
[00:14:32] 那当然立刻就有一些回应
[00:14:34] 像他讲说
[00:14:35] 可能CPU的东西会遞眼
[00:14:36] 那严格上来说
[00:14:38] CPU的东西
[00:14:39] 本来就是投资圈的人
[00:14:40] 把它数字喊得比较高
[00:14:42] 那日期拉得比较前面一点
[00:14:44] 这个在我们的节目
[00:14:45] 也有跟大家聊到过
[00:14:46] 那我觉得很正常
[00:14:46] 就是一个东西在喷射的时候
[00:14:49] 那大家就会把它讲得非常的大
[00:14:51] 即便像可能前面CPU
[00:14:52] 我们自己也算是在第一波
[00:14:54] 就跟大家说
[00:14:55] 我们观察到这个趋势
[00:14:56] 可是当后来看到
[00:14:57] 大家在讲说什么
[00:14:58] CPU跟GPU
[00:14:59] 或是Aceq或1比1的时候
[00:15:00] 那我们在节目讲说
[00:15:02] 应该不是这样子
[00:15:03] 但就是一个东西在炒作的时候
[00:15:04] 反正
[00:15:05] 大家就会把数字讲到
[00:15:07] 超级无敌夸张
[00:15:08] 那这个算是市场的某种
[00:15:10] 就是overshoot的一种现象
[00:15:12] 那他们有点像说
[00:15:14] 去call out这样子的一个说法
[00:15:16] 就是有可能没有像大家讲得这么快
[00:15:19] 但他的那个说法的用法
[00:15:21] 比较像是
[00:15:22] 他不是针对说市场的一个论述
[00:15:24] 他甚至是直接介入到说
[00:15:25] 有可能这个NV公司的决议就是这样子
[00:15:28] 那我觉得这个是比较危险一点的
[00:15:29] 所以立刻就看到
[00:15:30] 应该是有一个韩国人
[00:15:32] 然后他也是在substack上面
[00:15:33] 但这个source有没有非常值得信赖
[00:15:36] 我不确定到
[00:15:37] 但是他有回应到说
[00:15:38] 他在computex上面有去访问的
[00:15:39] NVDA一个在做
[00:15:40] 这种网通跟光通连线相关的某一个主管
[00:15:44] 这个报道大家是找得到的
[00:15:45] 那去找这个主管
[00:15:46] 那时候可能在computex的时候
[00:15:48] 问过这个问题
[00:15:49] 那主管明明就是讲说
[00:15:50] 后面就是要开始shipment的嘛
