[00:00:00] 欢迎收听古爱,我是圣木工,本期节目由NordVPN赞助
[00:02:32] 股票是不会跌的
[00:02:33] 那那个时候呢
[00:02:34] 可能就会有一些
[00:02:35] 引爆的行情出现
[00:02:36] 所以呢
[00:02:37] 正鸽待旦
[00:02:38] 希望后面都可以顺利的
[00:02:40] 渡过各种难关
[00:02:41] 那最近在自己的
[00:02:42] 生活的体验上呢
[00:02:44] 我觉得又再一次的
[00:02:45] 往上更上一层楼了
[00:02:46] 因为最近就是
[00:02:47] 去搞那个红酒柜之后呢
[00:02:49] 那很快的
[00:02:50] 那个红酒柜
[00:02:50] 理论上是可以放七十几瓶啦
[00:02:52] 那我本来想说
[00:02:53] 以我一个外行的角度
[00:02:55] 刚好去做切入
[00:02:56] 去找一些名装的东西
[00:02:57] 补一补
[00:02:58] 慢慢看
[00:02:59] 可能就是对我来讲
[00:03:00] 搞不好一两年
[00:03:01] 才把它装满吧
[00:03:02] 结果呢
[00:03:03] 两个礼拜要装满
[00:03:04] 两个礼拜
[00:03:04] 这个红酒柜就装满
[00:03:05] 所以一些前辈讲的是对的
[00:03:07] 就是小型的酒柜
[00:03:10] 当然我也想要再有一个
[00:03:11] 更大一点的酒柜
[00:03:12] 可是如果说
[00:03:12] 我们家里不够大的话
[00:03:14] 你放那么大的酒柜也很奇怪
[00:03:15] 你会占到大家的使用空间
[00:03:17] 所以呢
[00:03:17] 就是可能不知道
[00:03:18] 就之后再找一些空间
[00:03:19] 去做储藏吧
[00:03:21] 那我自己也有想到说
[00:03:22] 因为可能在今年或是明年
[00:03:24] 有机会去投一些餐厅
[00:03:25] 那或许可以把一些酒类
[00:03:27] 放到那个餐厅
[00:03:27] 因为我想说那些酒类
[00:03:28] 如果说今天是用公司的名义
[00:03:30] 去买的话
[00:03:30] 就那个餐厅
[00:03:31] 其实对他来讲
[00:03:32] 就是有一些可能
[00:03:33] 比较高单价的
[00:03:34] 你囤那个货在那
[00:03:35] 你又不一定卖出去
[00:03:36] 不一定大家喝到那样的程度吗
[00:03:37] 那可是呢
[00:03:38] 我又觉得说
[00:03:39] 如果说有一些高单价的酒
[00:03:40] 放在那边
[00:03:41] 那或是说在menu上面
[00:03:42] 是看得到
[00:03:42] 那一定是很多人
[00:03:43] 会想要去打卡拍照
[00:03:45] 或者说
[00:03:45] 我来朝圣嘛
[00:03:46] 这个东西可能平常看不到
[00:03:47] 所以想想觉得说
[00:03:48] 如果说今天可以去搞一个餐厅
[00:03:50] 然后把自己喜欢的一些东西
[00:03:51] 放在那边
[00:03:51] 那如果有卖掉
[00:03:52] 我们再看怎么样去结
[00:03:53] 如果没有卖掉
[00:03:54] 我就自己把它喝掉
[00:03:55] 那可能是一个不错的选择
[00:03:56] 或许可以解决掉说
[00:03:57] 就不要在家里
[00:03:58] 放他妈一堆有的没有的东西
[00:03:59] 这样的困扰
[00:04:00] 那平常心说
[00:04:01] 我是觉得红酒收集
[00:04:02] 是一个蛮有趣
[00:04:03] 蛮好玩的事
[00:04:04] 所以呢
[00:04:05] 就是在可能
[00:04:06] 非常夸张的一个采买之后呢
[00:04:08] 那心中还是很踏实的
[00:04:10] 还是很感谢那些长辈
[00:04:12] 就是若有事无的
[00:04:13] 引导我入坑
[00:04:15] 他们没有真的要叫我入坑
[00:04:16] 可是我就是看他们这样
[00:04:17] 我觉得他们很特别
[00:04:18] 所以想要试看看
[00:04:19] 那觉得这是一个
[00:04:20] 很赞的体验
[00:04:21] 就是可能跟自己
[00:04:22] 有一点那种收集皮
[00:04:23] 也有关系吧
[00:04:24] 我觉得像我自己的一些
[00:04:25] 股票部位
[00:04:26] 有一些账号的部位是这样
[00:04:28] 就我一个波段
[00:04:28] 我随便举例
[00:04:29] 我赚500万好了
[00:04:30] 那我可能就会
[00:04:31] 最后面要出厂的时候
[00:04:32] 我就会留50到100万的
[00:04:33] 部位在那边
[00:04:34] 我就不卖了
[00:04:34] 就这张股票
[00:04:35] 我怎么样都不会再买
[00:04:36] 因为在我的认知是
[00:04:37] 我已经曾经在你上上
[00:04:38] 赚过钱了
[00:04:39] 这个我就当成是公司
[00:04:40] 免费送我的一个股份
[00:04:42] 会用这样的一个
[00:04:43] 那种类似心理账户的心态
[00:04:45] 去面对
[00:04:45] 然后有时候就会注意到
[00:04:46] 一些非常夸张的报酬率
[00:04:47] 在这边打出来
[00:04:48] 那虽然它可能对你的
[00:04:50] 净值是没有什么
[00:04:51] 太大的影响
[00:04:51] 但就是一个爽感吧
[00:04:53] 一种那种
[00:04:53] 收集东西的味道
[00:04:55] 每次去收可能
[00:04:57] 寄来的股东心
[00:04:58] 那么它一大跌
[00:04:59] 这个也是一个游戏的体验
[00:05:00] 那再来
[00:05:01] 像自己也蛮喜欢收集
[00:05:02] 什么游戏玩卡
[00:05:03] 或者是公仔之类
[00:05:04] 可是后来发现说
[00:05:05] 这些东西
[00:05:05] 游戏玩卡的话
[00:05:07] 是后来你注意到说
[00:05:08] 这个发行商
[00:05:08] 他真的就在割韭菜了
[00:05:10] 虽然我自今是没有去
[00:05:11] 卖出我的任何一个收场
[00:05:13] 那时候一开始
[00:05:14] 还有人会觉得说
[00:05:15] 你是不是
[00:05:15] 你囤到某个时间点
[00:05:16] 你是要卖
[00:05:17] 你是要去做价差
[00:05:18] 没有人会有病到
[00:05:19] 在这边去做这种事情
[00:05:20] 或许可能你是专职
[00:05:22] 在做这行的会
[00:05:23] 可是我们在做市场的
[00:05:25] 那个速度是更快的
[00:05:26] 没有必要去玩这种无聊的事
[00:05:28] 所以其实东西都在留着
[00:05:29] 但你就发现说
[00:05:30] 有些东西
[00:05:31] 因为好像是限量的
[00:05:31] 然后你后面狂出
[00:05:32] 那真的是不爽
[00:05:33] 所以就懒得去收集了
[00:05:35] 那在公仔的话
[00:05:36] 就是你可能
[00:05:36] 家里的空间就不够
[00:05:38] 再大的地方都不够
[00:05:39] 可能给你一个博物馆
[00:05:40] 就不够
[00:05:40] 就是总是有办法
[00:05:41] 把它放满
[00:05:42] 那最终呢
[00:05:43] 你就必须得把一些东西
[00:05:44] 真的是送给朋友啦
[00:05:45] 就我也不会再拿去卖掉
[00:05:46] 什么都拿去送朋友
[00:05:47] 那像红酒的话
[00:05:49] 我觉得有趣的地方是
[00:05:49] 你如果今天放满
[00:05:51] 你就把它喝掉
[00:05:51] 超爽
[00:05:52] 你就把它喝掉
[00:05:53] 那即便呢
[00:05:54] 我觉得跟我可能
[00:05:54] 一开始的感受有点像
[00:05:56] 虽然我的红酒之旅
[00:05:56] 才启动没有多久
[00:05:57] 可是我是用非常高的一个
[00:05:59] 效率在做尝试
[00:06:00] 我不是真的每瓶都把它喝掉
[00:06:02] 我就是开了之后
[00:06:03] 我可能自己喝个
[00:06:03] 一杯两杯
[00:06:04] 然后剩的就交给朋友邻居
[00:06:06] 让我们去把它处理掉
[00:06:07] 他们也爱喝嘛
[00:06:08] 那他们可能也觉得说
[00:06:09] 你买这东西有病
[00:06:10] 你怎么会花钱买这种东西
[00:06:11] 没关系
[00:06:12] 你们平常可能
[00:06:13] 不一定会想要花这个钱
[00:06:14] 那就让我这个韭菜
[00:06:15] 来花这个钱
[00:06:16] 那我只想去吃它的味道
[00:06:17] 味道吃到之后
[00:06:18] OK
[00:06:18] 然后就让你们把它喝掉
[00:06:19] 那所以呢
[00:06:20] 就是在短短一段时间内
[00:06:21] 算是累积了
[00:06:22] 蛮多的一个
[00:06:23] 那种类似作品级
[00:06:25] 我自己都会去写笔记
[00:06:26] 笔记没有人认真写
[00:06:27] 就大概记录一下
[00:06:28] 你可能喝到的感受
[00:06:29] 怎么样
[00:06:29] 然后给他一个分数
[00:06:30] 那其实我觉得
[00:06:31] 跟我一开始的想法
[00:06:32] 是类似的
[00:06:33] 就是呢
[00:06:34] 价格并不是一个
[00:06:36] 绝对的指标
[00:06:36] 那只是当然
[00:06:37] 你可能今天去入坑的时候
[00:06:38] 你就会听到很多人
[00:06:39] 跟你吹捧说
[00:06:40] 什么是成级的东西
[00:06:41] 什么是超屌的东西
[00:06:42] 什么是此生必事
[00:06:43] 这边注意到说
[00:06:44] 其实胃口这种东西
[00:06:46] 是个人
[00:06:46] 就是你自己
[00:06:47] 就是最好的一个裁判
[00:06:48] 所以你不用去在意说
[00:06:49] 什么哪一个
[00:06:49] 非常会喝酒的
[00:06:51] 什么Robert Parker
[00:06:51] 还是谁
[00:06:52] 然后他说这个酒怎么样
[00:06:53] 当然你可以去
[00:06:54] 稍微再跟单他一下
[00:06:55] 可是最终呢
[00:06:56] 你知道因为口味
[00:06:57] 是每个人都不一样
[00:06:58] 除非说你的口味
[00:06:58] 刚好跟某一个critics
[00:07:00] 你们是一样的
[00:07:00] 那当然他说什么好喝
[00:07:02] 你就跟着他去喝
[00:07:02] 那这个是OK
[00:07:03] 但是他跟价格
[00:07:04] 不一定是正向的联动
[00:07:06] 所以好像昨天
[00:07:07] 跟朋友喝两个
[00:07:08] 一个是Stackleap
[00:07:09] 就是那种
[00:07:11] 陆月酒庄
[00:07:12] 他有一个Cask23
[00:07:13] 这我已经喝了
[00:07:14] 好像第二还是第三瓶
[00:07:15] 我觉得这个味道很好
[00:07:16] 然后还有一个Screaming Eagle
[00:07:17] 那Screaming Eagle
[00:07:18] 就算是Cold Wine
[00:07:19] 就是说他的价格
[00:07:20] 是属于比较高一点的
[00:07:22] 那两个都是Napar的酒庄
[00:07:23] 那喝下来
[00:07:24] 我觉得说
[00:07:24] 其实感受是差不多的啦
[00:07:26] 就是呢
[00:07:26] 你当然用价格讲的话
[00:07:28] 一个贵十倍嘛
[00:07:29] 贵十倍的人
[00:07:30] 就会想办法讲说说
[00:07:31] 啊他的深度比较够
[00:07:33] 尾味比较长
[00:07:34] 他确实是好喝的啦
[00:07:35] 但是我觉得没有
[00:07:36] 就是说差别到你可以去
[00:07:37] 甚至我觉得
[00:07:38] 让一些人去忙碧
[00:07:39] 他不一定喝得出来
[00:07:39] 反正都已经算是
[00:07:41] 做得非常好的酒类了
[00:07:42] 那他可能会因为说
[00:07:43] 今天你是配随便举例啦
[00:07:45] 你吃牛排
[00:07:46] 还是你是吃什么
[00:07:47] 伊比利柱
[00:07:47] 还是你是吃火腿起司
[00:07:48] 什么的
[00:07:49] 那说不定呢
[00:07:50] 本来是A营
[00:07:51] 也会变B营
[00:07:52] 或者说你甚至当天的
[00:07:53] 味蕾的变化
[00:07:54] 你的心情怎么都会去
[00:07:55] 有所影响
[00:07:56] 那他那个差异
[00:07:56] 其实已经是
[00:07:57] 小到我觉得可以
[00:07:59] 稍微的去忽略啦
[00:08:00] 那我最近也蛮喜欢
[00:08:00] 看一个channel
[00:08:01] 叫Our Poor Decision
[00:08:02] 那P-O-U-R
[00:08:04] 就倒酒的
[00:08:04] 然后他是一个Pops
[00:08:06] 就是他的爸爸
[00:08:07] 然后跟女儿叫B
[00:08:08] 就两个人一起去合作
[00:08:10] 然后找一个
[00:08:11] 我记得他最常找的
[00:08:13] 那个Summer Day
[00:08:14] 那叫什么
[00:08:15] 四九是
[00:08:16] 好像叫什么Stacy
[00:08:16] 反正就找一个
[00:08:18] 那个发型很像Karen的
[00:08:20] 会染蓝色头发之类的
[00:08:21] 但是他很会评论
[00:08:22] 然后他们三个人
[00:08:23] 去开各式各样的酒
[00:08:24] 然后我觉得他们
[00:08:25] 就是很诚实
[00:08:26] 他就会告诉你说
[00:08:26] 有一些即便他们
[00:08:28] 非常期待的那种
[00:08:29] Cold Wine
[00:08:29] 超贵的酒
[00:08:30] 可是喝起来
[00:08:31] 就是不好喝
[00:08:31] 不好喝就是不好喝
[00:08:32] 那他去做这样子的一些分享
[00:08:34] 我觉得就是跟我要的
[00:08:35] 那个目标是很类似的
[00:08:36] 其实我只是想知道说
[00:08:38] 大家到底在吹捧的东西是什么
[00:08:40] 那因为对我来讲
[00:08:41] 这个预算可能不一定是一个
[00:08:43] 最困扰的事情
[00:08:43] 所以我都可以拿来试看看
[00:08:45] 那我就可能就很够格去讲说
[00:08:47] 那到底我认为的口味是怎么样
[00:08:49] 什么是好的东西
[00:08:50] 什么是不好的东西
[00:08:50] 不然有时候你去讲
[00:08:51] 他就讲说
[00:08:51] 你酸米你就没有喝到那种最贵的
[00:08:54] 你凭什么这样讲
[00:08:54] 刚好我酒櫃里面全部都有
[00:08:56] 所以呢
[00:08:57] 我就可以去比较客观的评论说
[00:08:59] 我到底觉得他们感受是怎么样
[00:09:00] 因为对我来讲
[00:09:01] 可能价格并不是一个
[00:09:02] 最主要的考量的点
[00:09:03] 我们要去用CP值去看它的话
[00:09:05] 那你就可以很客观去选出说
[00:09:07] 那到底哪个味道是你喜欢的
[00:09:08] 那这是你选出来的东西
[00:09:09] 虽然我现在可能
[00:09:10] 我觉得那个进度条案没有跑很多
[00:09:12] 但已经可以非常有感的感受到
[00:09:14] 就那种见为之助
[00:09:15] 你会知道说
[00:09:16] 就你喜欢的东西可能是
[00:09:17] 某一个地区的特级员
[00:09:20] 那这个特级员呢
[00:09:21] 它有可能是有10个酒庄
[00:09:23] 都有在出这个特级员的东西
[00:09:25] 那它的价格呢
[00:09:26] 可能从3万多块到200多万都有
[00:09:28] 那可是你有必要
[00:09:29] 就是每次都要喝200多万
[00:09:30] 不一定
[00:09:30] 200多万它可能是一个
[00:09:31] 很棒的体验
[00:09:33] 它给你是一种体验
[00:09:34] 可是呢并不是说那个味道
[00:09:35] 因为那个味道可能
[00:09:36] 你用其他东西
[00:09:36] 是有办法可以复制到的
[00:09:38] 所以我觉得这也是这件事情
[00:09:39] 迷人的地方吧
[00:09:40] 就是一方面呢
[00:09:41] 你可能可以去收到一些东西
[00:09:42] 然后这些东西呢
[00:09:43] 它可能等到5年10年之后
[00:09:44] 那个价格是暴涨
[00:09:45] 是涨了你的指数
[00:09:46] 涨了你的房子
[00:09:47] 虽然你也不一定会卖
[00:09:48] 可是觉得说爽
[00:09:49] 就是一个那种心理上的成就
[00:09:50] 我可能买到一个东西
[00:09:51] 我眼光很好
[00:09:52] 或是怎么样
[00:09:53] 那这个价格涨很多
[00:09:54] 那再来另外一方面呢
[00:09:55] 就是你其实可以随时把它喝掉
[00:09:56] 那把它喝掉的当下
[00:09:58] 其实你去涂的
[00:09:59] 不一定是那个味道
[00:10:00] 因为可能就是说
[00:10:01] 过某个价位以后
[00:10:02] 那个味道就是
[00:10:03] 都有一定的水准之上了
[00:10:05] 但你涂的是一种感受
[00:10:06] 是在这种特别的时间点
[00:10:08] 那我拿出了一个
[00:10:09] 就可能大家看到都会觉得
[00:10:11] 这个可能是很了不起的东西
[00:10:13] 那你愿意来跟我分享
[00:10:14] 那为什么我跟你分享
[00:10:15] 因为我们可能有一些历史
[00:10:17] 我们可能有一起经历过一些事情
[00:10:19] 所以我们在这个时间点
[00:10:20] 我们来开这瓶酒之类
[00:10:21] 就类似一些老夫妻
[00:10:22] 可能在他们的某一个结婚周年
[00:10:25] 然后就要去开一个
[00:10:26] 什么Petroose之类的
[00:10:27] 那可能对他们来讲
[00:10:28] 是一个纪念的感觉
[00:10:30] 那这瓶酒又承载了
[00:10:31] 他的那个回忆
[00:10:32] 所以他的价格什么
[00:10:32] 其实是本来第二
[00:10:33] 但他的那个感受度还是有
[00:10:35] 那你为了我
[00:10:36] 你可以去开这个价格的酒
[00:10:37] 所以我觉得其实价格
[00:10:38] 那些可能在我心中
[00:10:40] 觉得说它是一个辅助
[00:10:41] 那味道也是一个辅助
[00:10:43] 那重点什么
[00:10:44] 重点是说找到好喝的东西
[00:10:45] 然后在对的时间
[00:10:46] 跟对的人喝
[00:10:47] 所以像今天早上去跟
[00:10:48] 帮我去张罗酒的酒商老板
[00:10:51] 在聊天的时候
[00:10:51] 他就有提到说
[00:10:52] 可能他心目中最好喝的啤酒
[00:10:54] 是跟几个胡群狗友
[00:10:56] 国中的时候
[00:10:57] 当然国中觉得比较喝酒
[00:10:58] 可是你知道以前
[00:10:59] 我们就是很多土包子
[00:11:00] 那可能国中还是高中
[00:11:01] 学生时代
[00:11:02] 然后就是在路边
[00:11:03] 大家在那边喝那个啤酒
[00:11:04] 那个啤酒至今都觉得
[00:11:05] 是世界上最好喝的啤酒
[00:11:07] 所以真的是讲一圈之后
[00:11:08] 会绕回来这里
[00:11:09] 那只是呢
[00:11:10] 我有时候就会觉得说
[00:11:11] 当然去评论这些东西的时候
[00:11:12] 你直接跟大家讲说
[00:11:13] 类似我们看到
[00:11:14] 马斯克会跟大家说
[00:11:15] 钱不是最重要的事情
[00:11:16] 大家讲说
[00:11:16] 你会讲干话
[00:11:17] 富豪都在讲干话
[00:11:18] 可是当你开始有钱之后
[00:11:20] 你会开始注意
[00:11:21] 你会讲跟他一样类似的话
[00:11:22] 所以当你今天
[00:11:23] 可能没有去喝过那些酒之前
[00:11:24] 你要讲说
[00:11:25] 我觉得这个便宜好喝
[00:11:26] 实惠赞
[00:11:27] 那可能人家讲说
[00:11:28] 是因为你没有喝过什么
[00:11:29] 可是当你都喝过的时候
[00:11:30] 你就很有底气
[00:11:31] 虽然你也没有证明给谁看
[00:11:32] 但就是一个感受
[00:11:33] 有时候我觉得说
[00:11:33] 就是你去评论某些东西
[00:11:35] 或是你做某些东西
[00:11:36] 你自己要去走过一轮
[00:11:37] 那走过一轮之后
[00:11:38] 你就可以很有底气的
[00:11:39] 去做评论
[00:11:40] 即便大家不一定认同你
[00:11:41] 可是你知道自己问心无愧
[00:11:43] 我觉得我可能图的是
[00:11:44] 这样的一种感受
[00:11:45] 大家跟大家分享一下
[00:11:46] 好今天早上的时候
[00:11:47] 我看到一个
[00:11:48] NVIDIA Jensen Huang的访问
[00:11:50] 他有提到一个
[00:11:52] 就是我可能在过去几集
[00:11:53] 有跟大家聊到
[00:11:54] 就我不太喜欢像是
[00:11:56] Anthropic的
[00:11:56] 但他可能是因为
[00:11:57] 他打击到我自己手上
[00:11:59] 一些软体股的portfolio
[00:12:00] 那这个MOD Dario
[00:12:02] 他就整天在那边放屁话
[00:12:04] 什么他的东西好危险
[00:12:05] 好害怕
[00:12:06] 然后政府应该要监管
[00:12:08] 我觉得这个人很猥琐
[00:12:09] 就是我其实我现在心目中
[00:12:11] 觉得他然后还有
[00:12:12] 像Sam Altman
[00:12:13] 他们其实都是蛮猥琐的人
[00:12:14] 就是两个真的都是猥胁猥胁的
[00:12:16] 所以其实我还蛮希望说
[00:12:17] 马斯克那个官司
[00:12:18] 可以搞出一点什么东西之类的
[00:12:20] 那总之呢
[00:12:21] 反正他们就是为了去行销自己的产品
[00:12:23] 他们会去用一些
[00:12:24] 比较强烈的用字
[00:12:26] 然后按照Jensen Huang
[00:12:27] 在这次访问里面所提到的
[00:12:29] 他上一个podcast
[00:12:30] 大概就讲一下说
[00:12:31] 这些人就是有God Complex
[00:12:32] 他们觉得自己是神的啦
[00:12:34] 已经有那个
[00:12:34] 自以为是神的情节了
[00:12:36] 因为自己可能是
[00:12:37] C-suite的一个高官
[00:12:38] 那手握一些权力
[00:12:40] 所以就开始去讲一些东西
[00:12:41] 来下别了
[00:12:42] 那有些可能是一个行销的术语
[00:12:43] 那有些呢不知道
[00:12:44] 就可能真的自己觉得自己很帅吧
[00:12:46] 但其实某个程度上来说呢
[00:12:48] 当年Jensen Huang他在
[00:12:50] 忘记是哪一个演讲的访问
[00:12:52] 也曾经跟大家讲说
[00:12:53] 就是以后可能不用花太多时间去学coding嘛
[00:12:55] 然后在他之后你就注意到说
[00:12:57] 就是联署核档上大家都在讲说
[00:12:58] 啊以后不用学coding啦
[00:13:00] 软体工程师就要全部失业啦或什么
[00:13:01] 但你现在回过头一看
[00:13:03] 你就注意到说
[00:13:03] 你可以去看一下
[00:13:04] 那个美国的软体工程师的数据统计
[00:13:06] 他确实是有下滑了一阵子
[00:13:08] 可是那有可能是说
[00:13:09] 在疫情之后的一个超边嘛
[00:13:11] 那现在呢就开始有一些
[00:13:12] 复苏的反弹
[00:13:13] 这个软体工程师的需求
[00:13:15] 是有在上升的
[00:13:16] 那只是这个软体工程师
[00:13:17] 可能跟当时的软体工程师
[00:13:18] 他们负责的东西
[00:13:19] 就有一定程度的差别了
[00:13:21] 可能之前的软体工程师
[00:13:22] 他确实是花非常多的时间在coding
[00:13:24] 那现在的软体工程师呢
[00:13:26] 其实大家可以从过去几个QA都有听到
[00:13:28] 我们有一些听众会讲嘛
[00:13:29] 他们是哪里的软工
[00:13:30] 然后他们现在工作呢
[00:13:31] 就是坐在那边
[00:13:32] 然后看这个Cloud怎么样去帮他coding
[00:13:35] 他只要去做检查跟调整就好
[00:13:37] 所以从可能本来是一个
[00:13:39] 自己要下去做体力活的东西
[00:13:40] 变成说还是体力活啦
[00:13:42] 只是呢有一点那种监管跟控制管理
[00:13:44] 然后跟康泽润的味道在
[00:13:45] 你可以让AI就把你做嘛
[00:13:46] 可是出问题的时候
[00:13:47] 老板要找一个人来干嘛
[00:13:48] 那就是干你这个软体工程师
[00:13:50] 因为他就付钱给你
[00:13:50] 他不是付钱给这个AI
[00:13:51] 他不可以惩罚这个AI
[00:13:52] 他不可以说什么把这个AI的电断掉
[00:13:54] 然后AI会痛
[00:13:55] 但是他如果说把你的薪水砍半
[00:13:57] 或者说把你提出去
[00:13:57] 那你就是会痛
[00:13:58] 所以呢要有一个可以规则的一个对象
[00:14:00] 那我觉得就是老黄可能之前讲类似的话啦
[00:14:03] 所以呢他是第一波嘛
[00:14:04] 那后面就很多人把他
[00:14:06] echo来echo去
[00:14:07] 然后变成越来越夸张
[00:14:08] 然后到后来甚至已经到
[00:14:10] 令人有点不适的状态
[00:14:11] 就我现在看到这种在尬吹的
[00:14:13] 其实我心中都觉得非常的不舒服啊
[00:14:15] 那所以老黄今天去做一个这个校正回归啦
[00:14:17] 让大家稍微的震惊一点
[00:14:19] 我觉得这个是好事情
[00:14:21] 但可能另外一部分的人会讲说
[00:14:23] 是因为他一直想把东西卖到中国去
[00:14:24] 卖到哪个地方去
[00:14:25] 那所以呢他必须要让大家觉得说
[00:14:27] AI并不是这么恐怖的一个东西
[00:14:29] 但我觉得反正就是尽量不要去见走偏锋
[00:14:31] 都是OK的啦
[00:14:32] 那老黄举一个例子
[00:14:33] 我觉得非常有意思
[00:14:34] 他就是提到说
[00:14:36] 你知道现在很多人去看别人的工作
[00:14:37] 去拆解别人的工作的时候
[00:14:39] 都是去用某个工作的一个环节
[00:14:41] 那他的表现
[00:14:43] 然后去看说AI可不可以做这件事情
[00:14:45] 那于是呢就可以去宣判说
[00:14:46] 谁的工作会怎么样
[00:14:47] 一堆人就在play god
[00:14:49] 都在去自以为自己是神仙
[00:14:51] 确实这个是我们在社群媒体上面
[00:14:52] 或是看到一些KOL
[00:14:54] 甚至一些C-Suite的老板们
[00:14:55] 他们都在做的事情
[00:14:56] 但实际上呢你没有办法这样做
[00:14:58] 为什么
[00:14:58] 因为他说以他自己为例啦
[00:15:00] 如果你今天是去识别化的来看
[00:15:03] Jensen这个人
[00:15:04] 就是他只是可能81人口的其中一位
[00:15:07] 我告诉你说有一个人
[00:15:08] 他的工作就是整天在按他的电话
[00:15:10] 除了按电话之外呢
[00:15:11] 然后就是talk
[00:15:12] 就是tap the phone and talk
[00:15:14] 然后这个人的薪水超级高
[00:15:15] 他有一大堆股份
[00:15:16] 你一定会觉得说
[00:15:17] 这个人是要被优先取代的对象
[00:15:19] 对吧
[00:15:19] 按照AI的逻辑就是这样
[00:15:20] 但实际上
[00:15:21] 我们知道说AI可以去把tap the phone and talk
[00:15:25] 这件事做得很好
[00:15:25] 可是呢
[00:15:26] AI没有办法变成是Jensen
[00:15:28] 当然我知道一些科技狂热者来
[00:15:29] 就讲说会
[00:15:30] 未来就是可能骰cabrpunk的世界之类的
[00:15:33] 但我们理性的人会知道说
[00:15:35] 这个是不会发生的事情啦
[00:15:36] Jensen他自己也不会让这种事情发生
[00:15:38] 或者说他自己本身去支用AI之后
[00:15:40] 他其实也是某个程度变成是一个超级人类
[00:15:43] 所以不会有一个AI去把Jensen给取代掉
[00:15:45] 那只因为你看到Jensen的工作
[00:15:47] 像他自己讲的
[00:15:48] 这他说的不是我说的
[00:15:49] 就是tap the phone and talk
[00:15:50] 所以就觉得他的工作要被取代掉
