[00:00:00] 欢迎收听古爱,我是沈梦公
[00:02:27] 那为什么突然有这个想法呢
[00:02:28] 因为我的健身教练呢
[00:02:29] 反正就是一个超级猛男
[00:02:30] 然后长得像Rain就超壮
[00:02:32] 那结果那一天我看到他限动
[00:02:33] 他发现说
[00:02:34] 这家伙71公斤
[00:02:35] 他长得超级壮
[00:02:36] 然后只有71公斤
[00:02:38] 那我就想说
[00:02:38] 奇怪我的肌肉量
[00:02:39] 跟他比输这么多
[00:02:40] 我怎么还有
[00:02:41] 他7778之类的
[00:02:42] 所以觉得说
[00:02:43] 反正一不做二不休啊
[00:02:44] 就是希望可以把它降到
[00:02:46] 不知道就7273之类的
[00:02:47] 然后再看是不是要把针停掉
[00:02:49] 那稍微跟大家分享一下
[00:02:50] 就是在过去的
[00:02:51] 一点点的心路历程
[00:02:52] 虽然很多人应该会讲说
[00:02:53] 妈的你有打瘦后针
[00:02:54] 就等于是作弊了或什么
[00:02:55] 但是其实身边有蛮多朋友
[00:02:56] 打了瘦后针之后
[00:02:58] 还是瘦不下去啊
[00:02:59] 那我觉得瘦后针
[00:03:00] 当然它是一个
[00:03:00] 对我来说很重要的心理的cue
[00:03:02] 但是其实生活的一些调整
[00:03:04] 也蛮关键的
[00:03:05] 那包含像是说
[00:03:06] 整天跑去打网球
[00:03:07] 那现在就怕他超级热
[00:03:08] 所以就是会一直爆汗
[00:03:10] 那除此之外呢
[00:03:11] 也去找了重训教练
[00:03:12] 大概一个礼拜会固定上
[00:03:13] 两到三堂课
[00:03:14] 那除此之外
[00:03:15] 自己大概会再练两堂
[00:03:16] 大重量之类的
[00:03:17] 那自己跑去训练的
[00:03:18] 那再来呢
[00:03:19] 就是只要小朋友找我
[00:03:21] 去打Mezal Star
[00:03:21] 以前有时候会叫他的姑姑
[00:03:23] 或者说我老婆去带
[00:03:24] 那现在都会觉得说
[00:03:25] 我自己要多走路
[00:03:26] 所以就是有意识的
[00:03:27] 一直往外面去走
[00:03:28] 那所以就是在一段时间之后
[00:03:30] 就发现说自己呢
[00:03:31] 基本上肌肉不只是没有掉
[00:03:33] 甚至还有逆势的增长一点点
[00:03:35] 那最主要都是减掉脂肪
[00:03:36] 所以算是一个
[00:03:38] 我认为还蛮成功的减重啊
[00:03:40] 那身体的体验我觉得是最直接的
[00:03:42] 就是你真的会明白说
[00:03:44] 原来我以前那些酸痛
[00:03:45] 真的就是人家讲的
[00:03:46] 什么身体发炎之类的
[00:03:48] 就是你都不知道嘛
[00:03:48] 就习惯了嘛
[00:03:49] 我都三十几岁了
[00:03:51] 三十几岁起来
[00:03:52] 本来就应该腰酸背痛
[00:03:53] 你真的本来是这样觉得
[00:03:54] 就是认为说
[00:03:55] 腰酸背痛叫做正常
[00:03:57] 因为你身边每个人都这样子
[00:03:58] 但是他发现说
[00:03:59] 其实你是不需要腰酸背痛的
[00:04:01] 你是不需要肩颈疼痛
[00:04:02] 或者说什么
[00:04:03] 这边扭一下
[00:04:03] 那边扭一下
[00:04:04] 有时候身体也不太舒服
[00:04:05] 那现在我自己呢
[00:04:06] 就只剩下下背痛
[00:04:10] 一段时间
[00:04:10] 像之前跟听众分享说
[00:04:12] 我可以在我的膝盖下面
[00:04:13] 去放一个枕头会好转之类的
[00:04:15] 然后再来就去做一些硬举
[00:04:16] 也会好转
[00:04:16] 但是呢
[00:04:17] 就是时不时都还是会痛
[00:04:18] 那最终就发现说
[00:04:19] 因为我还是久坐坐太久
[00:04:21] 那因为过去一直在训练的关系
[00:04:23] 所以都有站起来
[00:04:24] 那背痛就有缓解
[00:04:25] 但变成是痛另外一个地方
[00:04:27] 那最终呢
[00:04:28] 我自己研判
[00:04:29] 就是我还有去找一些
[00:04:30] 物理治疗师去做诊断
[00:04:32] 那我判断是因为我学了网球
[00:04:35] 因为学了网球
[00:04:36] 都是用右手在发力
[00:04:37] 不管正拍反拍
[00:04:38] 都是右手在打
[00:04:39] 那所以呢
[00:04:39] 就是左下背痛得比右下背明显
[00:04:42] 那物理治疗师就有教我一些动作去调
[00:04:44] 那当然最主要还是要感谢我的健身教练
[00:04:46] 就那个机能训练
[00:04:47] 真的是他妈吊到爆炸
[00:04:49] 就他立刻就知道说
[00:04:50] OK所以你的物理治疗师讲的东西是哪一块
[00:04:53] 那我锁定那一块之后呢
[00:04:54] 他就帮我去排了
[00:04:55] 今天就是第一次
[00:04:56] 就是把那个部位去做一些训练
[00:04:59] 那特别跟我强调说
[00:05:01] 因为以前我有一个想法
[00:05:02] 就来说那个重训就是
[00:05:03] 你要推到你回家
[00:05:04] 就是要有一些那种延迟性的酸痛
[00:05:05] 他还叫我练到
[00:05:06] 那我的教练是非常反对这件事情的
[00:05:08] 那他同时也跟我强调说
[00:05:09] 如果你在做这些训练的时候
[00:05:11] 你有感觉到你身体有疼痛的话
[00:05:13] 我们要立刻停下来
[00:05:15] 那这东西其实跟我之前的一些逻辑是不太一样
[00:05:18] 那当然我后来才知道说
[00:05:19] 我之前的那些逻辑是不对的
[00:05:20] 就来说练就是一定要练到怎么样
[00:05:21] 隔天会酸
[00:05:23] 隔天起来
[00:05:24] 觉得奶子特别酸
[00:05:25] 因为前一天在推胸嘛
[00:05:26] 或者说练背的时候背酸
[00:05:28] 练腿当然就是要觉得说
[00:05:29] 哇连站起来都不太舒服
[00:05:31] 这个就等于是有练到
[00:05:32] 那我的教练是认为说
[00:05:33] 这个都是不对的啦
[00:05:34] 那他就跟我讲说呢
[00:05:35] 其实我现在要去帮你把这些
[00:05:37] 就是所谓的你身体已经有病痛的东西
[00:05:39] 要把它敲回来的话
[00:05:40] 他有点类似说
[00:05:41] 就是你不能够只去做伸展啦
[00:05:44] 因为伸展的话是只有单一一个方向
[00:05:46] 就是一个
[00:05:46] 可能身体扭向某一个地方
[00:05:48] 它是有一个拉跟一个伸嘛
[00:05:50] 那如果说我只有伸
[00:05:52] 没有拉那一块的话呢
[00:05:53] 那可能身体还是会维持一个不平衡的状态
[00:05:56] 所以他的建议就是说
[00:05:57] 类似说我今天手弓起来的话
[00:05:59] 那二头就是缩嘛
[00:06:00] 那这时候我的三头可能是伸展嘛
[00:06:02] 放下去的时候可能
[00:06:03] 三头是回到一个这个
[00:06:06] 缩的状态
[00:06:07] 然后二头是放松嘛
[00:06:08] 就是你要让你的身体的肌肉
[00:06:10] 所以交互了去做配合
[00:06:11] 那他这个说法
[00:06:12] 其实跟我的物理治疗师呢
[00:06:14] 是不谋而合啦
[00:06:15] 意思就是说
[00:06:16] 你要把你的身体弄好的话
[00:06:18] 你去靠一些可能
[00:06:19] 瑜伽伸展那些还不够
[00:06:22] 就是说
[00:06:22] 那个当然会有帮助
[00:06:23] 只是要更好的话
[00:06:24] 那同时你要去唤醒一些
[00:06:26] 你的核心肌肉之类
[00:06:27] 整个身体的协调度要很好
[00:06:29] 那你的身体有时候会忘记一些
[00:06:31] 就是你身为人本来就该可以做到的事情
[00:06:34] 那我的物理治疗师有讲一个蛮有趣的
[00:06:36] 他就说
[00:06:37] 所有你觉得很舒服的姿势
[00:06:39] 那他可能都是正在害你
[00:06:41] 因为你会觉得舒服
[00:06:42] 就是因为你的身体已经忘记怎么样做证之类
[00:06:45] 所以像我自己蛮常会想要测睡
[00:06:48] 或甚至有时候背痛的时候会整个人攻起来
[00:06:50] 那为什么你会想要测睡
[00:06:51] 你没有办法去平躺
[00:06:52] 因为你平躺你就觉得就不舒服
[00:06:54] 就是你的身体会有一点点想要去抵抗
[00:06:57] 就想要去转成是侧身缩起来
[00:06:59] 这时候其实就代表说
[00:07:00] 你身体已经习惯某一个姿势
[00:07:02] 所以最严重就是像猎人的老师一样
[00:07:05] 他有在一些报道里面有被写到说
[00:07:08] 他做话只能够躺着做话
[00:07:10] 因为他已经习惯那个姿势
[00:07:11] 所以只有那个姿势是舒服的
[00:07:13] 但是这个舒服的姿势
[00:07:15] 正式会把你害死的一个姿势
[00:07:17] 所以你就必须要把一些姿势瞧正
[00:07:18] 你的身体要重新的学会如何去发力
[00:07:21] 当然物理治疗师有教一些东西
[00:07:23] 只是说健身教练技能教练
[00:07:25] 他就屌到爆炸
[00:07:27] 他就帮我去设计一些那种
[00:07:29] 他自己可能不知道发明的菜单之类的
[00:07:31] 那就完全的有去伸展
[00:07:33] 或者说有去发力到
[00:07:35] 就是可能那一块比较不舒服的
[00:07:36] 一离开立刻就见效
[00:07:38] 你就会立刻感觉到说
[00:07:39] 我现在身体真的变得有点不一样
[00:07:41] 所以我觉得超厉害
[00:07:42] 所以就是突然间的认为说
[00:07:44] 这些在身体上面的各种
[00:07:46] 投资或是投入
[00:07:48] 它是超级值得的事情
[00:07:49] 我以前有跟大家分享说
[00:07:51] 我觉得我生命中做的
[00:07:52] 最对的一件事情是戒严
[00:07:53] 然后现在又觉得说
[00:07:54] 其实减重也是一个超级好的事情
[00:07:56] 减重跟运动
[00:07:57] 当然运动从以前就会做
[00:07:59] 可是你没有一个那种
[00:08:00] 体系化的去做处理
[00:08:02] 现在是一个体系化去做处理
[00:08:04] 就是包含说除了知道
[00:08:05] 自己的绝对重量要下来之外
[00:08:07] 肌肉要这样去维持
[00:08:09] 同时如果身体有哪里不舒服
[00:08:11] 都要一个一个去把它解掉
[00:08:12] 以前都不会这样子想
[00:08:14] 以前可能就随便弄
[00:08:15] 大家都要运动
[00:08:16] 我就一个礼拜可能运动几天
[00:08:18] 这个就交代过去
[00:08:19] 就算是有运动
[00:08:20] 现在他就觉得说
[00:08:21] 一定要把整个体系都弄好
[00:08:23] 所以光是有这样子的一个思维
[00:08:25] 然后去找了
[00:08:26] 不管是自己的什么伸展士
[00:08:27] 或是说健身教练
[00:08:30] 技能教练
[00:08:30] 然后跟物理治疗师
[00:08:33] 去帮忙看身体的一些问题
[00:08:35] 其实慢慢这样巧的话
[00:08:36] 我觉得突然间对于未来
[00:08:37] 是充满那种乐观的情绪
[00:08:39] 所以他真的是不输戒烟的体验
[00:08:42] 虽然其实两件事情
[00:08:44] 严格上来说都很困难
[00:08:45] 戒烟这件事情
[00:08:46] 然后跟减重跟维持运动习惯
[00:08:49] 我觉得那要有一点那种
[00:08:50] 不知道
[00:08:51] 就是可能nature calling之类的吧
[00:08:53] 就是时间到了
[00:08:54] 突然间你就会想要去把这件事做好
[00:08:55] 如果说你可以靠自己的意志力
[00:08:57] 直接去把这件事情做好
[00:08:58] 那真的是最厉害的
[00:08:59] 像那时候我戒烟的一个奇迹点
[00:09:01] 也是因为
[00:09:02] 突然有一段时间
[00:09:03] 身体就不想抽烟
[00:09:04] 我也不知道为什么
[00:09:04] 然后就一步做二步
[00:09:05] 就干脆把它戒掉
[00:09:06] 那时候还超担心
[00:09:07] 因为上网去Google
[00:09:08] 就查到说什么
[00:09:09] 很多肺癌患者确诊前
[00:09:11] 其实他们都是戒烟的
[00:09:12] 因为身体已经告诉他
[00:09:13] 不能抽烟了
[00:09:14] 所以那时候超级紧张
[00:09:15] 那一样
[00:09:16] 就是可能自己注意到一些
[00:09:17] 那种健康的sign
[00:09:19] 在生活中出现
[00:09:20] 有时候去滑一天
[00:09:21] 突然已经看到什么到家
[00:09:23] 会跟你讲说什么
[00:09:23] 你生命中开始出现一些
[00:09:25] 你要知道你每个讯号
[00:09:26] 都是有理由的
[00:09:27] 你突然间就想要去
[00:09:28] 做某一件事情
[00:09:29] 你就是要去做那件事情
[00:09:30] 因为可能会引来
[00:09:32] 下一个发展
[00:09:32] 就是你突然间
[00:09:33] 可能看到很多
[00:09:34] 跟健康相关的东西
[00:09:35] 不一定是发生在你的身上
[00:09:36] 或是你的家人身上
[00:09:37] 但你就不知道
[00:09:38] 就看到了
[00:09:39] 那就好像说被老天召唤一样
[00:09:41] 然后你就好好地
[00:09:42] 把这件事情做
[00:09:43] 我觉得是极好的
[00:09:44] 所以在那边
[00:09:45] 把自己的心得分享给大家
[00:09:46] 因为不知道
[00:09:47] 有些人他可能就只是
[00:09:48] 缺人家推一把
[00:09:49] 就是搞不好
[00:09:50] 你也想过这件事情
[00:09:51] 你没有认真想去做
[00:09:52] 你看到
[00:09:52] 像这个在节目上面分享的
[00:09:54] 这家伙
[00:09:54] 以前也是坐在椅子上
[00:09:55] 一天八小时以上
[00:09:56] 然后现在变成是
[00:09:57] 我感觉我的本业像是运动
[00:09:59] 就运动是比
[00:10:00] 坐在椅子上
[00:10:01] 搞股票
[00:10:01] 或是弄什么
[00:10:02] 有什么没有东西
[00:10:02] 都来得长
[00:10:03] 就尽可能的都站着
[00:10:04] 或在家里
[00:10:05] 就是有时没事
[00:10:06] 在那边伸展
[00:10:06] 然后学会用宽发力之类的
[00:10:08] 这真的是对自己的
[00:10:10] 生活品质提升超级多的
[00:10:11] 所以希望大家可以找到
[00:10:12] 健康的身体
[00:10:14] 然后更加喜欢自己
[00:10:15] 喜欢自己不是那种自恋那种
[00:10:16] 就只是
[00:10:17] 突然间对自己的身体
[00:10:19] 蛮有自信
[00:10:19] 然后越讲越奇怪
[00:10:20] 但我意思不是讲说
[00:10:20] 什么就是你要
[00:10:24] 你知道说OK
[00:10:25] 我今天要蹬出去的话
[00:10:27] 我现在可以蹬草原的
[00:10:28] 就听起来超中二
[00:10:30] 没错
[00:10:30] 可是真的就像这样
[00:10:31] 就我跟我的那个
[00:10:32] 精神性训练的教练
[00:10:33] 我就很常说
[00:10:34] 我们的训练超像
[00:10:35] 以前我们在幼稚园
[00:10:36] 或是小学
[00:10:37] 你知道就一群男生聚在一起
[00:10:38] 然后可能不知道
[00:10:39] 你跑到那种体育馆里面
[00:10:40] 他不是有那个
[00:10:41] 那种体操的
[00:10:42] 有一个东西
[00:10:42] 可以那种跳过去的
[00:10:43] 然后这些垫子
[00:10:44] 然后你们就开始
[00:10:44] 有一个人会发起
[00:10:45] 他可能就从这边
[00:10:47] 跳到那边说
[00:10:47] 你可不可以
[00:10:48] 然后他就说我可以
[00:10:49] 然后谁不行
[00:10:50] 不行那个就被笑着
[00:10:50] 就会像是
[00:10:51] 我们去玩一些好玩的游戏
[00:10:53] 那同时呢
[00:10:53] 去帮自己的身体
[00:10:54] 变成更好的一个状态
[00:10:55] 这个超级赞的
[00:10:57] 那其实相关的费用投入
[00:10:58] 也没有到很大的
[00:10:59] 可能是不知道
[00:11:00] 人生中最值得的投资吧
[00:11:01] 以前都会讲说
[00:11:02] 什么健康最好的投资
[00:11:03] 去实践之后
[00:11:04] 就会明白这件事情
[00:11:05] 再来讲
[00:11:05] 那今天跟大家分享自己的心得
[00:11:07] 好那接下来我们来进入
[00:11:08] 上的话题
[00:11:08] 那市场在过去几天
[00:11:09] 都还是持续的在修正
[00:11:11] 但是我自己的体感
[00:11:13] 是没有感觉到
[00:11:14] 有在修正
[00:11:14] 只有在礼拜二的时候
[00:11:16] 有稍微感觉有回档了
[00:11:18] 那今天又新稿了
[00:11:19] 那只是
[00:11:20] 这个选股可能是
[00:11:21] 比较幸运所造成的
[00:11:22] 因为就是反正在过去
[00:11:24] 就是看了蛮多的
[00:11:25] passive components
[00:11:27] 被动元件
[00:11:27] 不管是MLCC
[00:11:28] 或者说LCAP
[00:11:29] 就是铝电容
[00:11:30] 那在过去都为我带来
[00:11:32] 非常好的一个报酬了
[00:11:34] 那一样就是
[00:11:34] 因为这个东西
[00:11:35] 现在都发生的太快
[00:11:36] 就是每次都有新的东西
[00:11:37] 上次跟大家讲说
[00:11:38] 因为Panasonic这边
[00:11:39] 我们已经有看到
[00:11:40] 它要涨价了嘛
[00:11:41] 那那时候是跟大家讲说
[00:11:42] 应该不会看到
[00:11:42] 什么涨价性
[00:11:43] 那今天就有涨价性
[00:11:44] 跑出来了
[00:11:44] 那稍微去问一下
[00:11:46] 业内的朋友
[00:11:46] 大概有得出一个结论
[00:11:47] 就是涨价性
[00:11:48] 不是对所有的客户法
[00:11:50] 它有对部分的客户法
[00:11:51] 那只是现在流出来
[00:11:52] 大家知道
[00:11:52] 所以就赶快冲进去
[00:11:53] 去买东西或什么的
[00:11:54] 那我们是判断说
[00:11:56] 这个涨价应该会
[00:11:57] 持续的延续
[00:11:58] 最近在市场上面
[00:11:59] 开始出现一些
[00:12:00] 有趣的东西
[00:12:00] 包含说
[00:12:01] 有一些厂商
[00:12:02] 开始去现货市场
[00:12:03] 去把很多的
[00:12:04] 被动元件给扫下来
[00:12:05] 那有些人听到这个
[00:12:06] 会讲说
[00:12:07] fucking炒股票
[00:12:08] 就是你为什么
[00:12:09] 要把现货都扫光
[00:12:09] 你是不是就故意
[00:12:14] 要把每个操作
[00:12:15] 都当白痴
[00:12:16] 就除非说你是那种
[00:12:17] 大空头
[00:12:18] 很多那种大空头
[00:12:18] 都喜欢把每个人
[00:12:19] 都当白痴
[00:12:20] 然后每个东西
[00:12:20] 都要往一些负面的方向
[00:12:21] 去解释
[00:12:22] 其实简单来讲
[00:12:23] 像台湾的一些大厂
[00:12:24] 他们本身就会去买一些
[00:12:26] 像是日本的电容
[00:12:27] 回来
[00:12:28] 那怎么样
[00:12:28] 就贴牌去出货
[00:12:29] 就本来就是会去
[00:12:30] 做类似的事情
[00:12:31] 它其实就有点类似说
[00:12:32] 就是我们看记忆体
[00:12:33] 会知道说那些模组厂商
[00:12:34] 他们会去买颗粒
[00:12:35] 然后买了之后
[00:12:36] 回来兜一兜
[00:12:36] 当然它的加工程序
[00:12:37] 可能比较繁复一点
[00:12:38] 所以大家比较不有意见
[00:12:39] 那被动员建议
[00:12:40] 就转手贴牌卖人
[00:12:42] 所以大家会觉得说
[00:12:43] 你是不是想要炒东西
[00:12:44] 但那个道理其实很简单
[00:12:45] 就如果你今天
[00:12:46] 站在老板的本位去思考
[00:12:47] 你都已经看到供需失衡了
[00:12:49] 你都已经看到价格在上涨
[00:12:50] 你也知道
[00:12:51] 接下来你要去涨价
[00:12:52] 那你现在看到
[00:12:53] 市面上有便宜的料
[00:12:54] 你会不会把它扫光
[00:12:55] 如果你今天
[00:12:56] 还是无法去议会的话
[00:12:57] 就像说你是一个水果商
[00:12:59] 你已经知道说
[00:13:00] 某一个水果那边屌缺了
[00:13:01] 然后现在外面
[00:13:01] 还有一堆水果摊
[00:13:02] 它都还在卖
[00:13:03] 很便宜的价格
[00:13:04] 你会不会把它扫光
[00:13:04] 你一定把它扫光
[00:13:05] 你扫光之后
[00:13:06] 然后你放到自己的店里面去卖
[00:13:07] 或是说可能不知道
[00:13:08] 就是搭配一些那种高低配
[00:13:10] 然后去把一些旧的库存给卖掉
[00:13:12] 类似说
[00:13:12] 很多时候我们看到
[00:13:13] 可能电脑零件
[00:13:14] 开始缺货的时候
[00:13:15] 像你之前
[00:13:16] 你买不到记忆体
[00:13:17] 可是如果说你买整机的话
[00:13:18] 它就告诉你这种记忆体
[00:13:19] 它就绑着东西一起
[00:13:20] 帮都sell
[00:13:21] 所以这个是本来
[00:13:22] 就会发生的事情
[00:13:23] 我个人是不会认为说
[00:13:24] 这个叫做是炒股票
[00:13:25] 但我们目前就是有看到
[00:13:26] 确实是已经有蛮多大厂
[00:13:29] 可能下面的一些采购
[00:13:30] 还是怎么样的
[00:13:31] 去市场上把料都给干光
[00:13:33] 外加在过去的
[00:13:35] 好像是就昨天吧
[00:13:36] 密忘石
[00:13:37] 也就是说通路商
[00:13:38] 有出来表示说
[00:13:39] 他们已经看到被动元件
[00:13:40] 特别一些高阶料号
[00:13:42] 其实就已经有出现
[00:13:43] 断供的情形
[00:13:44] 本来就是
[00:13:45] 要么是报价就不报了
[00:13:47] 要么就是交期
[00:13:47] 可能拉得很长
[00:13:48] 所以像这样的东西
[00:13:49] 其实会持续的去做蔓延
[00:13:52] 只是因为我觉得
[00:13:53] 因为被动元件到现在
[00:13:55] 他老实说也是涨了不少
[00:13:56] 所以我会尽可能的
[00:13:57] 就不要再去
[00:13:58] 好像有那种
[00:13:58] 喊多的一个感觉
[00:13:59] 因为我真的不希望说
[00:14:00] 我们不知道
[00:14:01] 每一波会多大
[00:14:02] 有时候可能不小心
[00:14:03] 在山顶还在跟大家讲
[00:14:05] 即便你可能从低档开始讲
[00:14:06] 但大家都只会记得说
[00:14:07] 你在山顶还有在提到
[00:14:08] 所以我们就尽可能
[00:14:09] 去锁定产业的部分
[00:14:10] 跟大家聊
[00:14:11] 估值的部分
[00:14:12] 我们就不去讨论了
[00:14:13] 那产业的部分
[00:14:14] 在这边可以算是
[00:14:16] 非常的确认
[00:14:17] 就是在后面会看到一些
[00:14:18] 上升的循环
[00:14:19] 我们讲循环
[00:14:20] 我觉得它不是一次性的
[00:14:21] 它应该会持续的发生
[00:14:22] 特别是等到
[00:14:23] 每一个采购都意识到之后
[00:14:25] 就在上集
[00:14:26] 我们有跟大家
[00:14:26] 稍微提了这件事情
[00:14:28] 就是说
[00:14:28] 做股票心情很好
[00:14:30] 可是采购心情很差
[00:14:31] 因为现在
[00:14:31] 你应该已经会
[00:14:32] 开始注意到说
[00:14:33] 各种东西都要找你涨价
[00:14:35] 那再来呢
[00:14:36] 可能你也不敢去跟他议价
[00:14:38] 因为你跟他议价的话
[00:14:38] 那东西可能就跑到别人的手上
[00:14:40] 因为他厂商很多想法也很屌
[00:14:41] 他就是
[00:14:42] 反正我可以出高阶CSP的东西
[00:14:44] 我可能也不一定
[00:14:45] 敢去涨高阶CSP的东西
[00:14:47] 但是呢
[00:14:48] 其实我以前的产能是怎么样
[00:14:50] 我有可能
[00:14:50] 就在说有20%的驾动率
[00:14:52] 是靠一些废料把它补起来
[00:14:54] 我不做的话
[00:14:55] 那工厂驾动率拉不满的话
[00:14:56] 可能对公司的营运
[00:14:57] 也不是什么好事情
[00:14:58] 所以我去补一些那种
[00:14:59] 有的没有的鸟料在那边
[00:15:00] 然后就是为了把我的驾动率拉高
[00:15:02] 但现在问题是
[00:15:03] 我如果在高阶的地方
[00:15:04] 就看到说
[00:15:05] 供需是超级强大的话
[00:15:06] 那其实对我来讲
[00:15:07] 那些去补驾动率的鸟料
[00:15:09] 我大概可以不要做
[00:15:10] 就是我就是要卖我要的价格
[00:15:12] 这其实就是发生在
[00:15:13] Panasonic身上的一件事情
[00:15:14] 我就是要卖我要的价格
[00:15:16] 你不要跟我买的话
[00:15:17] 没关系
[00:15:18] 反正老子最多
[00:15:18] 就只是把产能全部转向去
[00:15:20] 做高阶AI
[00:15:21] 那你不要也没关系
[00:15:22] 反正我价格就是要涨这样
[00:15:23] 所以这个涨价呢
[00:15:25] 其实看起来就是势在必行
[00:15:26] 那再来如果它涨价的话
[00:15:28] 那连带的
[00:15:29] 同样有这些料的厂商
[00:15:30] 不管说它可能是
[00:15:32] 一样是Tier 1的
[00:15:33] 或甚至是Tier 2的
[00:15:34] 它是一个替代料
[00:15:35] 它的品质可能不一定有这么好
[00:15:37] 但不知道
[00:15:37] 就如果老大涨30%
[00:15:39] 它可不可以涨个25%
[00:15:40] 28%这样
[00:15:40] 这个是有机会发生的
[00:15:42] 那再来因为我们上期有提到说
[00:15:43] 这个涨价性呢
[00:15:44] 它并不一定会对大家都发出去
[00:15:47] 这个其实是有点像
[00:15:48] 因为那时候在2018
[00:15:49] 被动人间大潮的时候
[00:15:50] 它有一段时间是这样子
[00:15:51] 就是你要去找它买料的话
[00:15:52] 它并不会说去发一个信给你
[00:15:54] 然后给你一个notice
[00:15:55] 告诉你说涨多少
[00:15:56] 然后什么时候会生效
[00:15:57] 它不是这样子
[00:15:58] 它甚至是可能每个礼拜
[00:15:59] 或是每个月
[00:16:00] 你就进来竞标
[00:16:00] 那最后面就价高者得嘛
[00:16:02] 反正谁出最高的价格
[00:16:03] 就可以拿走这些东西
[00:16:04] 那这一波呢
[00:16:06] 看起来就是会往那个方向去前进
[00:16:08] 那一样还是要讲个淡数
[00:16:09] 就是说每个题材其实都是可能在这个
[00:16:11] 盔甲上面会有一些小洞
[00:16:13] 我觉得像那个记忆体的题材就是
[00:16:15] 应该说所有的半导体
[00:16:17] 或者说元件相关的题材都是
[00:16:19] 如果你这个AI的投资突然间停止的话
[00:16:21] 那当然就会出非常大的事情
[00:16:23] 那只是呢
[00:16:24] 在记忆体跟背动元件
[00:16:25] 他们其实算是有同样一个弱点
[00:16:28] 那只是这个弱点
[00:16:28] 我目前没有看到
[00:16:29] 就是如果说大厂们都决定
[00:16:31] 要一起扩厂的话
[00:16:32] 那那就会出事情
[00:16:33] 那只是我们至今其实
[00:16:35] 以记忆体来讲
