[00:00:00] 欢迎收听古爱,我是盛梦公,本期节目由NordVPN赞助
[00:07:03] 他专门去喝那种
[00:07:04] 就是在我的角度
[00:07:05] 已经是变质的酒
[00:07:07] 他已经是
[00:07:07] 因为红酒跟白酒
[00:07:08] 放到某个程度
[00:07:09] 他就变绍心酒
[00:07:10] 他就变黄酒了
[00:07:11] 那可他就专门找这种东西去喝
[00:07:13] 他连这种很偏门的东西
[00:07:14] 他都可以喝出他的学问
[00:07:16] 他可以知道说
[00:07:17] 现在这个瓶子跟他的瓶栽
[00:07:18] 跟这个酒的颜色的状态是怎么样
[00:07:21] 我们要怎么样处理
[00:07:22] 才可以去发挥他最好的味道
[00:07:23] 所以他已经把品名
[00:07:25] 他妈点到满了
[00:07:25] 你知道吗
[00:07:26] 然后我看到这种人
[00:07:27] 我真的是就觉得
[00:07:28] 大开眼界的感觉
[00:07:29] 所以我觉得这个坑入的真好
[00:07:31] 就我的感受就是
[00:07:32] 我真的去探索了一个
[00:07:34] 我之前甚至有点
[00:07:35] 吃之以鼻的东西
[00:07:36] 不只是说酒
[00:07:37] 就是说各种的味道
[00:07:38] 对我来讲
[00:07:38] 反正好吃就好
[00:07:39] 好吃跟不好吃
[00:07:40] 可是我现在
[00:07:41] 或许未来的有一天
[00:07:43] 就当然
[00:07:44] 又可能是打脸过去的自己
[00:07:45] 以前我就想说
[00:07:46] 那味道有什么好不好
[00:07:47] 反正那都是个人的主观
[00:07:48] 只是问题是
[00:07:49] 你确实是有办法去
[00:07:51] 当我今天可能知道
[00:07:52] 你喜欢的味道是什么
[00:07:53] 那我有办法
[00:07:54] 把它具现化形容出来
[00:07:55] 我把这个语言给参透之后
[00:07:57] 我可以去抓到
[00:07:59] 不管是自己
[00:07:59] 或是身边
[00:08:00] 你爱的人
[00:08:00] 你喜欢的人
[00:08:01] 或甚至你新交的朋友
[00:08:03] 你喜欢的东西
[00:08:03] 可能是什么
[00:08:04] 我可以立刻的去做一些联想
[00:08:05] 就很像说
[00:08:06] 你是一个human algorithm之类的
[00:08:07] 你已经是有办法
[00:08:09] 在脑中直接去跑
[00:08:10] 你的演算法
[00:08:11] 然后去推荐
[00:08:12] 可能对方会喜欢的东西
[00:08:13] 猜你喜欢
[00:08:14] 像Amazon的购物车之类的
[00:08:16] 那我就觉得说
[00:08:17] 像这样子的一个技能
[00:08:18] 是非常值得去学习的
[00:08:20] 那所以听他们的分享
[00:08:22] 像那时候
[00:08:22] 轮到我的时候
[00:08:23] 我心中就在想说
[00:08:24] 还是我现在想说
[00:08:25] 我妈叫我回去洗澡
[00:08:26] 我老招
[00:08:27] 我妈突然叫我回去洗澡
[00:08:29] 各位对不起
[00:08:29] 我要回家
[00:08:30] 然后或者说
[00:08:31] 不知道就假装尿盾之类的
[00:08:32] 然后在里面等10分钟
[00:08:33] 反正大家一定会忘记我
[00:08:35] 然后再出来
[00:08:35] 那可是
[00:08:36] 我觉得他们也非常鼓励我
[00:08:38] 去发表我自己的一些想法
[00:08:40] 即便有想法
[00:08:40] 可能听起来超菜笔巴的
[00:08:42] 那其中有一位宇慧大哥
[00:08:43] 是我们的地方听众
[00:08:45] 那我觉得他在这场上面
[00:08:47] 真的算是帮助我很多
[00:08:48] 但甚至是
[00:08:49] 他会一直就是
[00:08:51] 希望我不要落对之类的
[00:08:53] 所以每次就会讲说
[00:08:55] 那Chika你分享一下
[00:08:56] 你的想法
[00:08:57] Chika你有怎么样的感觉
[00:08:58] 也是非常感谢
[00:09:00] 就是除了遇到一些
[00:09:01] 非常乐意分享的人之外
[00:09:03] 那还有这种引路人
[00:09:04] 会让我尽量去思考说
[00:09:06] 到底我现在碰到什么东西
[00:09:07] 因为有时候这样
[00:09:08] 就是说一段智慧
[00:09:09] 或是一个知识的行程
[00:09:12] 你在大量的阅读之后
[00:09:14] 你会以为你自己懂了
[00:09:15] 但像我觉得我自己的节目
[00:09:17] 这样的输出方式
[00:09:18] 就是蛮不错的
[00:09:19] 因为我只要有办法
[00:09:20] 在节目跟大家分享的
[00:09:21] 一些题材故事
[00:09:22] 或是自己认为
[00:09:25] 现在可能市场的趋势在哪
[00:09:26] 我只要有办法讲出来
[00:09:27] 代表说我真的懂了
[00:09:28] 那如果说你没有办法讲出来
[00:09:29] 很多时候就是你看完
[00:09:30] 你以为你懂了
[00:09:31] 但是你不一定可以理解
[00:09:32] 所以当他逼我去思考
[00:09:33] Chika你现在怎么样想这件事情
[00:09:35] 然后我就真的会在脑中去
[00:09:37] 把刚才大家讲的东西
[00:09:38] 有点像说
[00:09:39] 我还是食人牙会的味道
[00:09:41] 因为我自己没有办法形容出来
[00:09:43] 可是我可以从你们身上
[00:09:44] 所分享的一些内容
[00:09:46] 那我可以去抓出一些重点
[00:09:48] 跟我自己感受到的东西
[00:09:49] 那这个语言虽然我不熟悉
[00:09:51] 但是我可以牙牙学语
[00:09:52] 我可以学大家的形容
[00:09:54] 去稍微的拼凑出说
[00:09:55] 我觉得它该是
[00:09:56] 什么样的一个感受之类的
[00:09:58] 那所以整个体验
[00:09:59] 可以说是非常非常的
[00:10:01] 特别跟精致啊
[00:10:02] 那再来当然
[00:10:03] 最后面有一个很大的亮点啊
[00:10:05] 那也算是去感受到
[00:10:08] 这些人的大方吧
[00:10:09] 就到底不知道
[00:10:09] 发生什么事情
[00:10:10] 反正总之是这一场
[00:10:11] 理论上我们是喝一些
[00:10:13] 村庄跟一级元嘛
[00:10:14] 那酒商呢
[00:10:15] 就额外带了一些酒在现场
[00:10:17] 其中不乏一些
[00:10:18] 那种特级元的精品货
[00:10:19] 那个价格是极高的
[00:10:21] 那反正总之就想说
[00:10:22] 各位贵宾啊
[00:10:23] 如果说你有喜欢的话
[00:10:24] 今天可以用一些折扣
[00:10:25] 带回家之类的
[00:10:27] 那就没想到
[00:10:27] 其中两位大哥
[00:10:28] 就直接献开了亮瓶
[00:10:30] 那可能加起来不知道
[00:10:31] 也要往百万去了吧
[00:10:32] 就跟大家分享
[00:10:34] 你有看过这种事情吗
[00:10:35] 我是没有看过这种事情啊
[00:10:37] 我是没有看过说
[00:10:38] 不知道这一整桌
[00:10:39] 他可能也不一定是
[00:10:40] 每个人都认识
[00:10:40] 可是他就觉得说
[00:10:41] 气氛对了
[00:10:42] 那不然我们来试
[00:10:43] 看看什么东西
[00:10:44] 所以在我的角度就是
[00:10:45] 真的跟剪刀一样
[00:10:46] 这到底是发生什么事情
[00:10:48] 就是这个晚上
[00:10:48] 我已经觉得是
[00:10:50] 非常的美好
[00:10:50] 然后竟然还有这种
[00:10:51] 大方的大哥
[00:10:52] 这么乐意的
[00:10:54] 跟大家分享
[00:10:54] 这么好的东西
[00:10:55] 所以再回家就觉得
[00:10:57] 不知道
[00:10:58] 虽然隔天
[00:10:59] 有点喝太多
[00:11:00] 我觉得喝太多
[00:11:00] 有点不太舒服
[00:11:01] 所以之后再参加
[00:11:02] 这样的品酒
[00:11:03] 我觉得我会节制
[00:11:05] 因为有时候是这样
[00:11:06] 你要让自己的感受
[00:11:07] 很好的话
[00:11:07] 你必须要去做出一点牺牲
[00:11:09] 类似说
[00:11:10] 再好吃的料理
[00:11:11] 你吃到全饱的话
[00:11:12] 那你可能之后的晚上
[00:11:14] 就不好受
[00:11:14] 所以再好喝的东西
[00:11:16] 可能下次就是适量就好
[00:11:17] 有些可能可以分给隔壁
[00:11:18] 之类的
[00:11:19] 反正你就是要
[00:11:19] 很舒服的回去
[00:11:21] 但其实舒服的回去
[00:11:22] 是对的
[00:11:23] 只是在隔天
[00:11:23] 我觉得还是有点太多
[00:11:24] 所以那个
[00:11:24] 有上头
[00:11:25] 那个头就有点
[00:11:26] 不太舒适了
[00:11:28] 那希望下次
[00:11:29] 可以把这边修正好
[00:11:30] 反正整体来说
[00:11:30] 是一个非常令人难忘的夜晚
[00:11:32] 是那一种
[00:11:33] 就是我会跟自己的家人
[00:11:35] 或者朋友讲说
[00:11:36] 你知道发生什么事情吗
[00:11:37] 那其实我很少
[00:11:38] 这样子讲话的
[00:11:39] 但这个严重到
[00:11:40] 就是我一直跟大家说
[00:11:41] 你知道发生什么事情吗
[00:11:43] 对
[00:11:43] 所以可能真的是
[00:11:44] 录了一个蛮有趣的坑
[00:11:46] 我希望这样子的热情
[00:11:47] 可以持续的维持下去
[00:11:48] 大概这样子
[00:11:49] 好那接下来
[00:11:49] 我们来进入市场话题
[00:11:50] 那这个礼拜
[00:11:51] 就是台湾的年度大盛会
[00:11:53] Computex
[00:11:54] 那我自己才没有去
[00:11:56] 我是可能预计在
[00:11:57] 明后天左右
[00:11:58] 才会去现场
[00:11:59] 稍微的拜访一下
[00:12:00] 那这次没有意外的话呢
[00:12:01] 也会先在
[00:12:02] 最关键的四楼
[00:12:04] 稍微再看了一下之后
[00:12:04] 然后再去看一下
[00:12:05] NVIDIA
[00:12:06] 有没有要
[00:12:07] 展示出什么样的
[00:12:08] 新的酷东西
[00:12:09] 像上次一样
[00:12:10] 这样跟大家分享
[00:12:11] 那目前呢
[00:12:11] 就是只是看了一些
[00:12:13] 在Computex这边的演讲
[00:12:15] 各个CEO们
[00:12:16] 去发表自己的一些想法
[00:12:17] 那当然市场里面
[00:12:18] 我觉得最大的一个震撼点呢
[00:12:21] 就是
[00:12:21] 在老黄讲说
[00:12:22] Mario可能是下一个
[00:12:24] 造元企业之后呢
[00:12:25] Mario这一个
[00:12:26] 有点像是说大牛车的东西
[00:12:28] 突然间变骂的飞天神牛
[00:12:30] 直接射出去
[00:12:31] 那这个我们预计到
[00:12:32] 这个真的是没有办法预计到啦
[00:12:34] 那老实讲
[00:12:34] 目前我们去看Mario的话
[00:12:35] 你说他在DSP这边
[00:12:37] 再来蛮不错
[00:12:37] 但是在ASIC这边
[00:12:38] 我是觉得说
[00:12:39] 他还在一个发展的道路上
[00:12:41] 他没有办法像可能MediaTag
[00:12:43] 或是像Brockong
[00:12:44] 是这么样的一个明确
[00:12:45] 所以就是说老黄的
[00:12:47] 喊盘能力还是非常的强大
[00:12:49] 然后基本上
[00:12:49] 反正就是点时成金
[00:12:50] 他只要踢到谁
[00:12:51] 谁就有机会就碰上去
[00:12:52] 那这次也蛮好笑
[00:12:54] 他在他自己的背板上面
[00:12:55] 放上了几个台湾的餐厅
[00:12:57] 那不知道这几家台湾餐厅呢
[00:12:58] 会不会也点时成金
[00:12:59] 当然他本身就是名店
[00:13:01] 但搞不好
[00:13:01] 因为他这样子
[00:13:02] cure了之后呢
[00:13:03] 大家就生意兴隆
[00:13:04] 那去促进一下实体生意
[00:13:05] 也蛮不错的
[00:13:06] 那在Mario的演讲里面呢
[00:13:07] 他最主要都是在强调
[00:13:09] 不管是在REC里面的
[00:13:11] 一种伺服器的资料共同
[00:13:13] 或者是说跨REC
[00:13:15] 到整个Data Center
[00:13:17] 甚至是Data Center
[00:13:18] 跟Data Center之间的一个连线
[00:13:19] 反正他最主要的
[00:13:21] 一个核心的概念就是
[00:13:22] 光是势在必行的
[00:13:24] 一个发展方向啊
[00:13:25] 那虽然NVIDIA这边
[00:13:27] 是不停的强调说
[00:13:28] 只要是铜线都还可以去使用
[00:13:30] 他们就尽可能去使用铜线
[00:13:31] 但现在看起来呢
[00:13:33] 光的一个成长的速率
[00:13:34] 跟未来发展的可能性呢
[00:13:35] 是持续的在拉大
[00:13:37] 那从过去的Plugable
[00:13:38] 到现在CPU
[00:13:39] 已经算是
[00:13:40] 反正在市场里面
[00:13:41] 大家都是非常的熟悉了
[00:13:42] 那虽然实际的贡献呢
[00:13:44] 还没有大量的进来
[00:13:45] 但看起来就是从现在开始呢
[00:13:47] 特别是当这些演说
[00:13:49] 那在后续的一些feedback
[00:13:50] 或在产业界这边看到的东西呢
[00:13:52] 我们是发现
[00:13:52] 它已经形成一个
[00:13:53] 非常强劲的共识
[00:13:54] 那所以有可能在后面呢
[00:13:56] 这个资金约再一次的
[00:13:57] 说不定就往光的方向去跑
[00:13:59] 那只是你说
[00:14:00] MARIO这样子喷到底在喷什么
[00:14:01] 老实说这已经超出
[00:14:02] 自己的认知范围了
[00:14:03] 那MARIO算是我自己
[00:14:04] 已经挑战了好几次的标的
[00:14:05] 那在前面几次呢
[00:14:07] 都算是失败了
[00:14:08] 反正就是有掌握到
[00:14:09] 一些ASIC的案子
[00:14:10] 知道说可能会有贡献
[00:14:11] 但最后面都没有出去
[00:14:12] 那这次呢
[00:14:13] 就是有成功的拉出去
[00:14:14] 那当然它相关的一些讨论
[00:14:16] 都已经慢慢的见爆了
[00:14:18] 所以其实在我本来
[00:14:19] 心目中的假设是
[00:14:20] 它算是某个程度上的依反应
[00:14:22] 只是看可能要把
[00:14:23] 估值推到什么地方去
[00:14:25] 那意外的就是在
[00:14:26] NVIDIA Jensen的一个架持之下
[00:14:28] 就直接就拉出去
[00:14:29] 所以很难说
[00:14:30] 股票有时候会有一些
[00:14:31] 超出你想象的发展
[00:14:33] 那在NVIDIA的自己的发表会上
[00:14:35] 当然VARUBIN这边
[00:14:36] 我们已经是算非常的熟悉
[00:14:38] 我觉得也没什么好讲的
[00:14:39] 因为我们节目
[00:14:40] 其实在他们还在
[00:14:41] Road Map的时候
[00:14:41] 就已经持续的
[00:14:42] 跟大家去做分享
[00:14:43] 那当然虾可能拉出来
[00:14:45] 比较特别的东西
[00:14:45] 就是DGX Spark
[00:14:46] 那这个东西也是大概
[00:14:47] 我们可能在一年前
[00:14:48] 就有跟大家聊到
[00:14:49] 所以它其实严格上来说
[00:14:50] 它算是一个地研的产品
[00:14:52] 就是N1X
[00:14:52] 那它在产品线上
[00:14:54] 我不知道现在的状况怎么样
[00:14:55] 因为后来就没有这里check
[00:14:56] 可是那时候知道的状况
[00:14:57] 是有三条
[00:14:57] 那可能一个是高阶笔电
[00:14:59] 一个是初阶笔电
[00:15:00] 然后另外一个是车用
[00:15:01] 反正同一个晶片
[00:15:02] 它把它做了三种使用
[00:15:03] 有三种不一样的spec
[00:15:04] 那目前就是把它端出来说
[00:15:06] 这个可能是NVIDIA
[00:15:07] 它从本来是offer GPU
[00:15:09] 然后到现在可以直接offer
[00:15:10] 你整台laptop的一个solution
[00:15:12] 那这个有点算是
[00:15:14] 就是AIPC的第二次挑战吧
[00:15:16] 大家知道说
[00:15:16] 在前面一两年AIPC出来的时候
[00:15:18] 那最后面是雷声大雨点小
[00:15:20] 那这次我们就来观察说
[00:15:21] 经过了一两年的算力的堆叠
[00:15:24] 跟技术的加强
[00:15:25] 还有软体的优化之后
[00:15:26] 那有没有可能在AIPC这边
[00:15:28] 产出新的可能性
[00:15:31] 也就是说大家可以用offline的方式
[00:15:33] 去支用一些开源式的模型
[00:15:36] 那最终可以帮你省下巨量的成本
[00:15:38] 那最近我在写一篇
[00:15:39] Snowflake的文章放在我的粉专上面
[00:15:42] 那有吸引到Snowflake的员工
[00:15:45] 来跟我稍微分享一下
[00:15:45] 非常感谢这位兄弟的分享
[00:15:47] 那今天来讲
[00:15:48] 现在的一个模式是这样
[00:15:49] 反正你是想说
[00:15:51] 这些像是大模型厂商
[00:15:53] 他们已经提供了很多
[00:15:53] 算力的服务了
[00:15:54] 那我们怎么还会需要
[00:15:55] 一些软体的叠层
[00:15:56] 或是一些资料Data Lake呢
[00:15:58] 那他最主要的做法是这样子
[00:15:59] 反正一个用户来
[00:16:00] Snowflake这边去做使用的时候
[00:16:02] 当他提出一个问题
[00:16:03] 那这个问题可能就会传到
[00:16:05] 大型语言模型这边去做处理
[00:16:07] 那处理完之后
[00:16:08] 当要去梳理跟爬资料的时候呢
[00:16:10] 就会用到他们自己本身的Data Lake
[00:16:11] 跟他们里面内建的一个
[00:16:13] 模型的使用
[00:16:14] 所以这边这一段的钱是他赚的
[00:16:16] 那前面那一段
[00:16:17] 有点像是说是外包
[00:16:18] 那他可能就只有抽一点点
[00:16:20] 那去理解用户的语境或什么的
[00:16:22] 这个可能都还是
[00:16:23] 有大型的语言模型去做
[00:16:24] 但是呢不排除未来有一天
[00:16:27] 当今天
[00:16:28] 反正总是那个听众是这样跟我讲
[00:16:30] 但这可能不一定每个人都认同
[00:16:31] 他的意思是说
[00:16:32] 目前开源模型大概就是落后
[00:16:34] 这些必锁式
[00:16:35] 那这种大型科技巨头的模型呢
[00:16:38] 大概是半年左右
[00:16:40] 所以半年以后就可以追上去
[00:16:42] 那当然现在AI的一个成长
[00:16:43] 就像是指数型就非常的快速
[00:16:45] 所以其实半年是差很多
[00:16:47] 但你要想
[00:16:47] 当可能爬到某个sweet spots之后呢
[00:16:50] 说不定那样的一个功能
[00:16:51] 就已经是够绝大多数的
[00:16:53] 不管是个人或是企业去做使用
[00:16:55] 那当然更先进的
[00:16:56] 可能是那些cutting edge的一些研究
[00:16:58] 或者是最前段的马农会用到
