[00:00:00] 欢迎收听古爱,我是陈梦公
[00:03:41] 为什么只有黎族宅
[00:03:42] 为什么只有这些去科技业上班的
[00:03:43] 可以赚这么多钱
[00:03:44] 但你干了半天
[00:03:46] 就让你整天去网上干原生家庭
[00:03:47] 你干了半天
[00:03:48] 那你还是回到自己
[00:03:49] 就是他妈两颗高丸两片屁股
[00:03:51] 你就是要把事情做好
[00:03:52] 不然要怎么样
[00:03:53] 你一直干
[00:03:53] 你一直骂怨天有人有什么意义
[00:03:55] 当然我们讲这个也不是要
[00:03:56] motivate到家
[00:03:57] 你就要从
[00:03:58] 我只是告诉大家说
[00:03:59] 你骂了半天其实没有意义
[00:04:01] 就是你跟我讲了半天说
[00:04:02] 台湾的产业分布不均
[00:04:03] 不是我也知道
[00:04:04] 我的妈我就文族的
[00:04:05] 我怎么会不知道
[00:04:06] 分布超不均的
[00:04:07] 可是要怎么办
[00:04:08] 就是这样子
[00:04:09] 你要嘛就加入他们
[00:04:10] 要嘛就继续干干交
[00:04:12] 就两个选项
[00:04:12] 加入他们
[00:04:13] 其实我觉得这个
[00:04:14] 世道蛮方便的一点是
[00:04:16] 以前你要加入他们
[00:04:17] 你要怎么样
[00:04:18] 不知道就像我认识一个
[00:04:19] 非常厉害的朋友
[00:04:21] 他以前是念理科的
[00:04:22] 然后后来呢
[00:04:23] 他就跑去当法官的
[00:04:25] 就跑去念文组当法官
[00:04:27] 这种人就很厉害
[00:04:28] 虽然他感觉方向是跑错的
[00:04:29] 可是你看
[00:04:30] 他这种就是很有实践力道的人
[00:04:32] 那同时也非常会念书
[00:04:33] 可是像我们这种
[00:04:34] 妈也不太会念书的
[00:04:35] 你叫我去转理组
[00:04:36] 你干脆要我去跳算
[00:04:37] 我根本没有办法
[00:04:38] 可是好在是怎么样
[00:04:39] 好在我们可以直接
[00:04:40] 透过股票的投资
[00:04:41] 然后去参与整体的市场
[00:04:43] 你没有办法进去台积电
[00:04:44] 可是你可以买台积电当股东嘛
[00:04:45] 所以其实我觉得
[00:04:47] 现在的这个
[00:04:47] 投资的环境呢
[00:04:49] 是可以让大家去
[00:04:50] 直接参与到经济的啦
[00:04:51] 那如果这时候
[00:04:52] 你还是要抱怨说
[00:04:53] 你没有钱投股票
[00:04:54] 那我也不知道该说什么
[00:04:55] 因为其实每个人
[00:04:55] 都是从很小的数字开始啦
[00:04:57] 那是大家都喜欢去问一些
[00:04:58] 已经长到很大的人
[00:05:00] 然后就说
[00:05:00] 你是不是靠爸
[00:05:01] 或是什么差小的
[00:05:02] 可是其实每个人
[00:05:03] 都是从下面开始
[00:05:04] 就算他是靠爸
[00:05:05] 像很多人喜欢讲说
[00:05:06] 巴菲特靠爸
[00:05:06] 他爸从小给他什么资源
[00:05:08] 可是从小可以给
[00:05:09] 像巴菲特爸爸
[00:05:10] 这样给他资源的
[00:05:11] 一大堆啦
[00:05:12] 那已经是什么
[00:05:12] 不知道排到哪里去了
[00:05:13] 可是可以成为靠
[00:05:15] 搞股票搞得变首富的
[00:05:16] 就他一个嘛
[00:05:17] 所以去炒这个
[00:05:18] 也没有什么意思
[00:05:18] 你这时候可能就讲说
[00:05:20] 巴菲特性存在偏差
[00:05:21] 反正老实讲
[00:05:22] 你要酸你要干
[00:05:22] 你都有一百个理由啦
[00:05:24] 你也不用讲巴菲特
[00:05:25] 其实可能搞股票的
[00:05:26] 前一千大
[00:05:26] 前一万大
[00:05:27] 都是很有钱啦
[00:05:28] 不一定要去举
[00:05:28] 那个最极端的案例
[00:05:29] 那所以就是
[00:05:30] 尽可能的要去找一些方法
[00:05:32] 去参与
[00:05:33] 整体经济的成长
[00:05:34] 这也是我给自己的一个
[00:05:35] 非常深刻的提醒
[00:05:37] 就是可能今天
[00:05:38] 我做的某个东西
[00:05:39] 就来说
[00:05:40] 像我比较擅长的一些
[00:05:41] 可能零组件
[00:05:42] 或是科技业的东西
[00:05:43] 有一天这种东西
[00:05:44] 没有办法赚钱的时候
[00:05:45] 我可能就会去找别的东西
[00:05:46] 适合去赚钱啦
[00:05:47] 那所以就要
[00:05:49] 好好的去参与一下
[00:05:50] 就像可能
[00:05:50] 我那时候跟他
[00:05:51] 类似调侃的啦
[00:05:52] 那只是没有想象
[00:05:53] 可能有戳到一些人
[00:05:54] 我就说
[00:05:54] 你知道以前大家都会讲
[00:05:56] 甚至我自己
[00:05:56] 在大学埋怨过啊
[00:05:58] 为什么我隔壁的同学
[00:05:59] 他把他妈妈
[00:06:00] 在家上大学的时候
[00:06:00] 给他买一个套房
[00:06:01] 为什么我们家里没有
[00:06:02] 可是后来知道
[00:06:03] 你抱怨这个什么没意义嘛
[00:06:04] 你爸爸给你的东西
[00:06:05] 是一堆爸爸给不起的东西
[00:06:07] 所以其实你真的要比烂的话
[00:06:09] 那妈一大堆比你烂的人啊
[00:06:10] 那你能够做的怎么样
[00:06:11] 你就只好去把握这个机会嘛
[00:06:13] 以前你的爸爸妈妈
[00:06:15] 可能没有把握到
[00:06:16] 那个买房的黄金时期
[00:06:17] 很多人在那边干扣
[00:06:18] 整天在脆上面
[00:06:19] 还拿一鞋说
[00:06:19] 爸妈那时候不努力
[00:06:21] 或什么
[00:06:21] 你就想说
[00:06:22] 你现在要不做点事的话
[00:06:23] 以后你小孩就说你不努力
[00:06:24] 然后这时候有些人
[00:06:25] 就两手一弹说
[00:06:25] 老子不婚不生快乐一生
[00:06:27] 所以对你知道
[00:06:28] 就是直接去网上跟人家吵架
[00:06:29] 是一点意义都没有的事情
[00:06:30] 那只是有时候
[00:06:31] 我们分享一些东西呢
[00:06:32] 可能会不小心
[00:06:33] 就是会戳到一些人
[00:06:34] 可是真的没有要戳你的意思
[00:06:35] 我戳你我也不会获得
[00:06:37] 什么优越感
[00:06:37] 这对我来讲
[00:06:38] 是那妈没有意义的事情
[00:06:39] 我是跟大家分享说
[00:06:40] 奇怪
[00:06:40] 其实这是大家都可以参与的东西
[00:06:42] 你不去看一下
[00:06:42] 那个0050跟6208的受益人
[00:06:44] 其实很多呢
[00:06:45] 所以其实代表蛮多人
[00:06:46] 都有去受惠到
[00:06:47] 这个经济的成长啊
[00:06:49] 那当然
[00:06:50] 以我的角度来讲
[00:06:51] 你说最近的行情
[00:06:52] 你可以找到什么理由
[00:06:53] 真的去justify这件事情吗
[00:06:54] 我很难去形容
[00:06:57] 就是有些东西对我来讲
[00:06:57] 已经那妈太疯狂了
[00:06:59] 有些东西
[00:06:59] 它交易在2028 2029的50100倍
[00:07:02] 这什么东西
[00:07:03] 就这个在我来看
[00:07:04] 就是有一点像是泡沫的感觉
[00:07:06] 可是确实在市场上
[00:07:07] 我还是可以找到一大堆东西
[00:07:08] 甚至我们台湾最大的全资股
[00:07:10] 它还是交易在1210倍的一个估值
[00:07:12] 所以你说它真的非常的过分吗
[00:07:14] 你说它真的有泡沫吗
[00:07:15] 好像也没有
[00:07:15] 就能够说
[00:07:16] 那可能在后面的选股呢
[00:07:17] 就就比较小心一点啦
[00:07:19] 你真的觉得比较贵的东西
[00:07:20] 就稍微的绕开
[00:07:21] 比较便宜的东西
[00:07:22] 其实都还是可以持续的去录啦
[00:07:24] 那知道什么时候
[00:07:25] 就知道可能我们有注意到一些
[00:07:27] 那种反转的迹象
[00:07:27] 那反转的迹象怎么样看
[00:07:29] 其实严格上来说
[00:07:31] 只要出一些比较大的
[00:07:32] 那种大盘的绷杀
[00:07:34] 那在过去呢
[00:07:35] 就是蛮多人都会选择去降杠杆
[00:07:36] 就不然我自己也是
[00:07:37] 那但是在过去的几天
[00:07:39] 以台湾来讲
[00:07:40] 其实在盘中都有出现
[00:07:41] 这样子的一个绷杀
[00:07:42] 可是我注意到我身边的人
[00:07:44] 然后还有我自己
[00:07:45] 为什么我们都没有去降杠杆
[00:07:46] 甚至我在上期之前跟大家讲说
[00:07:47] 理论上那些地方是我会降
[00:07:49] 但老子直接不降
[00:07:49] 为什么
[00:07:50] 因为你真的拉成本太远了
[00:07:52] 就真的是距离成本太远
[00:07:54] 所以你已经到有点麻木了
[00:07:56] 你知道吗
[00:07:56] 就好就算了
[00:07:57] 反正我次回答也没差
[00:07:59] 我就先继续放
[00:08:00] 然后看会发生什么事情
[00:08:01] 所以我觉得大家的填损
[00:08:02] 或者说填地一下都拉得蛮宽的
[00:08:04] 除非是你正要加入的
[00:08:05] 那你可能就很紧张
[00:08:06] 因为波动会放大之类的
[00:08:08] 但一些早在车上的
[00:08:09] 其实老实讲
[00:08:10] 大家应该都已经傻眼
[00:08:11] 你说指数怎么可以这样喷
[00:08:12] 你知道拉台股
[00:08:13] 那天看多拉王贴一篇文
[00:08:15] 好像说10年还20年
[00:08:17] 我们是世界冠军
[00:08:18] 就是20几%的一个年化
[00:08:20] 这到底是什么东西
[00:08:21] 然后赢过
[00:08:22] 第二名我也吓到
[00:08:23] 就蛮意外
[00:08:24] 什么罗马尼亚
[00:08:24] 然后再什么哈萨克
[00:08:25] 蛮厉害的
[00:08:26] 所以就是一个世界顶尖的市场
[00:08:28] 那老实讲
[00:08:29] 你说在里面的参与者
[00:08:31] 多努力
[00:08:32] 或是说他多会去做股票
[00:08:34] 那个都只是一环
[00:08:35] 就整体的状况就是好
[00:08:37] 所以在一个好的
[00:08:38] 多头的市场里面
[00:08:39] 当然大家可能都可以
[00:08:40] 拿到一个不错的收益
[00:08:41] 那有时候我就会去想起
[00:08:44] 一个朋友跟我讲过的话
[00:08:45] 他其实提过好几次
[00:08:46] 然后他最近又再提一次
[00:08:47] 我真的觉得非常的道理
[00:08:48] 他就说
[00:08:48] 其实可以去靠投资
[00:08:51] 做生活的人
[00:08:52] 当然在一开始
[00:08:53] 他一定是花了很多的心力
[00:08:54] 这是绝对的
[00:08:55] 可是等到非常收忍之后
[00:08:57] 其实已经算是一个
[00:08:58] 相对轻松的工作
[00:08:59] 简单讲就是说
[00:09:00] 你可能在一个冷气房
[00:09:01] 吹电站
[00:09:01] 然后再想说该怎么去做投资
[00:09:03] 虽然你会面对一些
[00:09:04] 人家看不见的压力
[00:09:05] 或是盘不好的状况之类
[00:09:06] 可是你去比起那些
[00:09:08] 付出大量劳力的人
[00:09:09] 其实你是相对幸运的
[00:09:10] 所以当你已经知道
[00:09:11] 自己是相对幸运的时候
[00:09:12] 就尽可能去多帮助一些人
[00:09:15] 我只能够这样说
[00:09:16] 你知道说
[00:09:17] 这一切都是得来不易
[00:09:18] 当然我们知道
[00:09:19] 我们自己付出了很多的努力
[00:09:20] 可是其实世界上
[00:09:21] 有很多很辛苦的人
[00:09:22] 所以我们有时候
[00:09:23] 去跟大家分享一些东西
[00:09:24] 你要想的是
[00:09:25] 我不知道去可能刺激
[00:09:27] 或者说让一些人觉得说
[00:09:28] 他好像相对被剥夺了
[00:09:29] 我要讲的是
[00:09:30] 其实你看我们的很多听众
[00:09:32] 他们自己本身
[00:09:32] 对投资也都不熟
[00:09:34] 他们就是一个气氛者
[00:09:35] 只是买个指数而已
[00:09:36] 他也没有想过
[00:09:37] 他的资产可以这样一直翻倍
[00:09:38] 就是没有想过这种事情
[00:09:39] 其实以我们自己来讲
[00:09:41] 我们也都是
[00:09:42] 每天都在感受到
[00:09:43] 市场的那种奇迹的味道
[00:09:45] 就是有很多
[00:09:46] 你不敢想的事情都发生了
[00:09:47] 好像联发科
[00:09:48] 这么多根涨停
[00:09:49] 变成处置股
[00:09:49] 你想都不敢想
[00:09:50] 这到底是什么东西
[00:09:51] 我想的是
[00:09:52] 我自己双方持股
[00:09:53] 每股的CPU
[00:09:54] 喷到烂掉
[00:09:55] 到底是什么东西
[00:09:56] 当然也不是只讲好的
[00:09:57] 坏的也是有
[00:09:58] 像软体股
[00:09:58] 可能在过去的表现
[00:09:59] 就是不好
[00:10:00] 但软体股可能在
[00:10:01] 2024 2025的时候
[00:10:02] 也曾经是喷几倍
[00:10:04] 所以其实每个东西
[00:10:04] 都是轮来轮去
[00:10:05] 我相信后面的环境
[00:10:07] 也是这样子
[00:10:08] 就现在可能科技股很强
[00:10:09] 但是如果周期是
[00:10:11] 拉得很大
[00:10:12] 范围Range
[00:10:13] 跑很远的话
[00:10:14] 说不定下去的时候
[00:10:15] 也是非常的强烈
[00:10:16] 搞不定就换别的东西
[00:10:17] 就循环起来
[00:10:18] 其实最近的市场
[00:10:18] 已经开始有闻到
[00:10:19] 一点这样子的味道
[00:10:20] 有一点那种轮动
[00:10:22] 然后以前那种Legacy
[00:10:23] 大家不喜欢
[00:10:24] Mature Note的东西
[00:10:25] 开始跑起来
[00:10:25] 所以还是要去
[00:10:27] 相信未来
[00:10:28] 就是相信说
[00:10:28] 不知道就有一天
[00:10:29] 文族也有机会
[00:10:30] 出头天之类的
[00:10:31] 或者说一些船产
[00:10:33] 也有机会会站起来
[00:10:34] 但其实最
[00:10:35] 45为俊杰的做法
[00:10:36] 是打不赢就加入
[00:10:37] 这是最好的方法
[00:10:38] 那当然你就跟人家讲
[00:10:40] 打不赢就加入
[00:10:40] 可是有时候
[00:10:41] 他搞不好就加入
[00:10:42] 在一个最高点
[00:10:42] 那又不是太好
[00:10:43] 所以我们最好
[00:10:44] 就不要随便乱
[00:10:45] 给人家建议
[00:10:45] 这是最近的一些想法
[00:10:47] 那接下来我们就来
[00:10:48] 进入市场话题
[00:10:49] 那现在聊一下
[00:10:49] 市场的一些传言
[00:10:51] 那首先一个
[00:10:52] 在过去市场上
[00:10:53] 我觉得蛮多买方
[00:10:54] 或是身边的
[00:10:55] 做交易的
[00:10:56] 很多都在讨论的事情
[00:10:57] 就是NVIDIA的晶片
[00:10:58] 是不是可能在
[00:10:59] 散热方面
[00:11:00] 是出了一点问题
[00:11:01] 他要去改一下
[00:11:02] 他的team
[00:11:03] 就是他这个散热的介质
[00:11:06] 可能没有要用到
[00:11:07] 镀金的材料之类的
[00:11:09] 所以当然他就引发了
[00:11:10] 台股一些相关的股票
[00:11:11] 他们其实有一个
[00:11:12] 非常剧烈的反应
[00:11:13] 那我觉得这件事情
[00:11:14] 蛮有趣的是
[00:11:15] 其实消息出来
[00:11:16] 大概已经是
[00:11:18] 两到三天之后
[00:11:19] 然后相关的股票
[00:11:20] 才去做反应
[00:11:20] 所以甚至一开始
[00:11:21] 我们自己身边的朋友
[00:11:23] 都来在讨论说
[00:11:23] 会不会这个是一个
[00:11:25] false alarm
[00:11:25] 会不会是传错的消息
[00:11:27] 之类的
[00:11:28] 但现在其实大家
[00:11:29] 应该可以在
[00:11:29] X上面会看到
[00:11:30] 像X上面有蛮多
[00:11:31] 你也不知道是
[00:11:32] 哪里来的分析师
[00:11:32] 然后都会放一些
[00:11:33] 那种动漫的照片
[00:11:35] 然后他就是到处去
[00:11:36] 转贴人家的东西
[00:11:37] 然后他们其实
[00:11:38] 传消息算传的蛮快的
[00:11:40] 但大概是在
[00:11:40] 我们的后手一点
[00:11:41] 那他们就会把
[00:11:43] 蛮多东西直接扑出去
[00:11:44] 所以很快的这个消息
[00:11:45] 就会去绕整个市场一圈
[00:11:47] 那所以呢
[00:11:48] 其实当他们开始写的时候
[00:11:49] 我觉得就是一个
[00:11:50] 给非常放心聊的时候
[00:11:51] 反正就是说
[00:11:52] NVIDIA的晶片
[00:11:53] 他们有去做一些
[00:11:54] 材料的调整
[00:11:55] 那时候有发生
[00:11:56] CoA停线的一个状态
[00:11:58] 那只是就我们理解
[00:11:59] 它其实是已经复现
[00:12:00] 那我们去注意
[00:12:00] 这个NVIDIA的股价
[00:12:02] 它看起来是没有
[00:12:03] 受到任何的影响
[00:12:04] 那一些components呢
[00:12:05] 其实有几档
[00:12:06] 都直接出现了跌停
[00:12:07] 因为就是
[00:12:08] 在里面的一些材料呢
[00:12:10] 可能在这一代
[00:12:11] 就是不一定可以去做采用
[00:12:12] 那当然在下一代
[00:12:13] 说不定又会再次的
[00:12:14] 去做采用
[00:12:15] 所以呢
[00:12:16] 就最近会注意到说
[00:12:17] 一些NVIDIA相关的
[00:12:18] supply chain
[00:12:19] 是相对的弱一点
[00:12:20] 可是我觉得NVIDIA
[00:12:21] 本体看起来是还好
[00:12:22] 那我自己也是非常期待
[00:12:23] 在接下来的GTC大会
[00:12:25] 我会去听它的演讲
[00:12:26] 那也会去看
[00:12:27] 那时候其实每年
[00:12:28] 都有去参加这个NVIDIA的
[00:12:30] 像它的什么消费
[00:12:31] 或是Enterprise一些展
[00:12:32] 非常感谢NVIDIA的
[00:12:33] 这个小金
[00:12:34] 他都会邀请我去看一下
[00:12:36] 那到时候再跟大家分享说
[00:12:37] 他们今年有什么样的
[00:12:38] 一个酷的东西
[00:12:39] 那天跟朋友聊
[00:12:40] 这个也觉得蛮有趣的
[00:12:41] 就是如果说
[00:12:42] 那时候看到CPU的东西
[00:12:43] 应该有跟大家分享
[00:12:44] 就那时候去
[00:12:45] 其实你注意到说
[00:12:46] 他展出很多CPU的东西
[00:12:47] 只是当时
[00:12:47] 我跟我身边的朋友
[00:12:48] 我们给了一个remark
[00:12:50] 我给了一个小评论
[00:12:52] 就是我们认为说
[00:12:52] 嗯这个东西还太早
[00:12:53] 但如果那时候
[00:12:55] 就有买CPU的话
[00:12:56] 那我们现在就更放松
[00:12:58] 但后面其实
[00:12:58] 大家都有去追光
[00:13:00] 每个人都有光
[00:13:01] 只是说那时候买的话
[00:13:02] 绝对是最甜的
[00:13:03] 所以这次呢
[00:13:04] 就希望可以再
[00:13:04] 把握到一些机会
[00:13:05] 所以呢
[00:13:06] 回顾到我们刚刚上面
[00:13:07] 讲的这个话题
[00:13:08] 其实NVIDIA的这个
[00:13:09] 有些东西什么停线啊
[00:13:11] 去改料的
[00:13:12] 因为现在你已经看到
[00:13:13] 一些X的账号
[00:13:14] 都开始跑出来写了
[00:13:15] 所以呢
[00:13:15] 它已经算是
[00:13:16] 相当程度的去传播出去
[00:13:18] 那你说那些东西
[00:13:18] 可不可以进去抄底
[00:13:19] 最近也有一些
[00:13:20] 在Telegram里面的听众
[00:13:22] 会想要tag我
[00:13:22] 然后去问我一些看法
[00:13:24] 那其实这里面的
[00:13:25] 几档标的
[00:13:26] 有些是我自己
[00:13:26] 本身也是蛮喜欢的
[00:13:27] 但我在这个时间点
[00:13:29] 我觉得说
[00:13:29] 我拒绝去评论它
[00:13:30] 因为老实讲
[00:13:31] 现在台股已经喷到
[00:13:32] 很高的一个位置
[00:13:33] 我真的不知道
[00:13:34] 后面那些东西
[00:13:35] 有哪些会回档
[00:13:36] 所以我现在去针对一些
[00:13:37] 掉下来的东西去评论
[00:13:38] 那有些人接了之后
[00:13:39] 后面再继续回档
[00:13:40] 你要知道大盘
[00:13:41] 下次在4万多点
[00:13:42] 后面再继续回档
[00:13:43] 假设回档什么3万多之类
[00:13:44] 那一定会有很多人受伤
[00:13:45] 所以呢
[00:13:45] 我已经进入一个
[00:13:46] 类似兼末期的阶段
[00:13:48] 我身边的朋友
[00:13:48] 最近也是在问我股票
[00:13:50] 我直接说我不回答
[00:13:51] 我说你去问别人
[00:13:51] 我直接说我不回答了
[00:13:52] 因为这边我在回答你
[00:13:53] 到时候买了套了
[00:13:54] 你就是每天都要
[00:13:55] 跑回来问我说
[00:13:56] 这个东西为什么这样
[00:13:57] 还可以报吗
[00:13:57] 我没有空去处理这种事情
[00:13:59] 所以就是最近
[00:14:00] 有些东西会出现一些
[00:14:02] 回档或什么的
[00:14:03] 我觉得它都算是正常的
[00:14:04] 就它可能即便
[00:14:05] 看起来是
[00:14:06] 像以这个NVIDIA
[00:14:08] 它去改一些BOM DIS
[00:14:09] 的话
[00:14:09] 我会觉得它算是大事
[00:14:10] 但有些可能
[00:14:12] 你后面会注意到说
[00:14:12] 它并不是真的很大的事情
[00:14:14] 据说像最近的
[00:14:16] Calfair
[00:14:17] 它就是去做裁员
[00:14:18] 那有些人讲说
[00:14:19] 它的Gridance
[00:14:20] 开得没有太好
[00:14:21] 但我其实自己看
[00:14:21] 是觉得没有什么
[00:14:22] 太多的问题
[00:14:23] 大家就直接骂
[00:14:24] 重帅一顿
[00:14:24] 我觉得类似的事情
[00:14:26] 其实在后面
[00:14:27] 应该会越来越多
[00:14:28] 因为其实真的
[00:14:29] 蛮多东西都已经
[00:14:30] 涨到很高的地方
[00:14:30] 所以你真的随便
[00:14:31] 找一个理由
[00:14:32] 都可以把东西杀下去
[00:14:33] 所以我们这样
[00:14:34] 不用在下跌的时候
[00:14:35] 然后去做太多的假设
[00:14:37] 然后就想要
[00:14:38] 立刻去补部位
[00:14:39] 对我来说
[00:14:39] 我现在如果注意到
[00:14:40] 我手上的一些部位
[00:14:42] 开始出现一些大掏杀
[00:14:43] 那即便它跌下去的故事
[00:14:45] 不一定是我认为
[00:14:46] 是很严重的
[00:14:47] 但如果不会压太大的话
[00:14:48] 我还是会去做一些解码
[00:14:49] 因为你要去考量
[00:14:50] 是整体的位置
[00:14:53] 所以大家跟大家分享一下
[00:14:55] 市场大家在传的
[00:14:56] 就是说NVIDIA
[00:14:57] 可能有去改一些材料
[00:14:59] 在散热方面
[00:15:00] 所以导致一些相关的类骨
[00:15:01] 可能表现没有这么好
[00:15:02] 但我们也不知道说
[00:15:04] 会不会就等到这个东西
[00:15:05] 完全简报传出去之后
[00:15:06] 那搞不好就见到一个短底之类
[00:15:08] 但我自己不会想要
[00:15:08] 去拆这个短底
[00:15:09] 那在我们刚才在开头的时候
[00:15:11] 聊到说
[00:15:12] 最近有注意到一些
[00:15:13] 可能比较偏向是consumer
[00:15:14] 或者说公控
[00:15:15] 甚至车用相关的东西
[00:15:16] 都在转强
[00:15:17] 那到底是发生什么事情
[00:15:18] 那最近是有跟一些
[00:15:19] 身边的朋友在讨论
[00:15:21] 就是会不会
[00:15:21] 其实大家判了N年的
[00:15:23] 消费性复苏是要发生的
[00:15:25] 然后像它是
[00:15:26] 某个程度上的先行反应
[00:15:27] 其实老实讲
[00:15:28] 我用纯感觉来看
[00:15:29] 我觉得有一点类似
[00:15:31] 那不知道大家
[00:15:32] 记不记得
[00:15:32] 我们前面在聊
[00:15:33] 那个CPU的时候呢
[00:15:34] 其实最早在聊的时候
[00:15:35] 是整体的盘面是不好的
[00:15:37] 那只是我们就注意到说
[00:15:38] 奇怪为什么CPU的股票这么强
[00:15:39] 那其实那时候去发现
[00:15:41] 记忆体的时候
[00:15:42] 也是一样的状态
[00:15:43] 就那时候急速
[00:15:43] 也是跟大家聊说
[00:15:44] 我们看到这个涨价性
[00:15:45] 然后看到那个股价跳上去
[00:15:46] 所以我们觉得说
