[00:00:00] 欢迎收听古爱,我是顺目公,本期节目由知识卫星,企业财税必休克
[00:02:45] 你是不是因为家股票没事做
[00:02:47] 所以终于回来做你的公司正式
[00:02:49] 真的有点像是这样子
[00:02:50] 就是会开始去
[00:02:51] 往别的事情去努力
[00:02:53] 因为你真的在股票市场下
[00:02:55] 就是被关到一个爆炸
[00:02:56] 完全是无可动弹的一个情形
[00:02:59] 所以又能够怎么样
[00:03:00] 就只好放着
[00:03:01] 所以这个礼拜就花蛮多时间
[00:03:03] 又再去看我最心爱的红酒
[00:03:05] 目前是这样
[00:03:06] 因为对我来讲
[00:03:07] 这是一个很好玩的兴趣
[00:03:08] 最近有一些蛮有趣的发现
[00:03:10] 虽然这个对绝大多数人
[00:03:11] 应该是一辈子不会用到
[00:03:13] 甚至是你不用到最好的一些
[00:03:15] 小life hack
[00:03:16] 我还是跟大家分享一下
[00:03:17] 众所周知
[00:03:18] 因为我跟大家说
[00:03:19] 我最初想要入坑的原因
[00:03:21] 并不是说什么社交需求
[00:03:23] 还是什么小的
[00:03:23] 因为我都是夺在家里自己喝
[00:03:25] 所以对我来说
[00:03:26] 我只是想知道说
[00:03:27] 为什么现在有这么多人在催说
[00:03:29] 什么哪一个东西
[00:03:30] 什么此生必喝
[00:03:32] 然后什么多屌多厉害
[00:03:33] 外加当然也有去收到一些
[00:03:35] Instagram的story的分享
[00:03:37] 因为身边的朋友
[00:03:37] 或是我出去的时候
[00:03:38] 身边的大哥
[00:03:39] 他们会带一些东西
[00:03:40] 以前对我来讲
[00:03:41] 这都是未知数
[00:03:42] 我都不知道这是什么
[00:03:43] 我都只是知道说
[00:03:44] 这个东西可能
[00:03:44] 而且这香的
[00:03:45] 这紧的
[00:03:46] 这个酒味很重
[00:03:47] 这样
[00:03:47] 后来觉得这个可能不太酷
[00:03:49] 那也不是说自己想要当一个酷格
[00:03:51] 就只是一种那种好奇心的驱使
[00:03:53] 我想知道这个世界怎么运作
[00:03:54] 所以我都是直接
[00:03:55] 去供那些所谓的
[00:03:57] Cold Wines
[00:03:58] 或者说传奇的酒庄
[00:03:59] 波尔多 波根地
[00:04:00] 你什么最顶的
[00:04:02] 你都给我来一点
[00:04:02] 我都要去试一点
[00:04:03] 那在过程之中
[00:04:05] 我最近发现一个最大的
[00:04:06] 可能它也不算是秘密
[00:04:08] 但是我相信很少人知道的事情是
[00:04:10] 我们随便举一个例子
[00:04:11] 像是大家称的酒王
[00:04:12] 罗曼尼康蒂的
[00:04:13] 罗曼尼康蒂 Grand Cru
[00:04:15] 这个酒大概
[00:04:17] 不管它的年份是怎么样
[00:04:18] 你大概都可以抓一个
[00:04:19] 可能70到100万之间的价格
[00:04:21] 就是一瓶就是这样的一个价格
[00:04:23] 那听起来贵到不可思议
[00:04:24] 对吧
[00:04:24] 对但还是有它的市场
[00:04:26] 就还是会有人去喝这个东西
[00:04:27] 那只是我后来就发现说
[00:04:28] 其实不应该自己去买这个酒
[00:04:30] 因为如果你今天去德国一趟的话
[00:04:32] 像它有一个餐厅叫做Royal Grill
[00:04:34] 那这个牛排店呢
[00:04:36] 它里面就有
[00:04:37] 满完整年份的罗曼尼康蒂
[00:04:39] 虽然我去查了一下
[00:04:40] 它一些比较经典的
[00:04:42] 可能05或者说10
[00:04:43] 09
[00:04:44] 15
[00:04:44] 它没了
[00:04:45] 可是从16以后是找得到
[00:04:47] 然后它的价格竟然都是
[00:04:48] 均一价8000 euro
[00:04:49] 我想说What the fuck
[00:04:51] 也就是说你可以花30万的钱
[00:04:52] 然后去喝到一个
[00:04:53] 理论上你在各地买
[00:04:54] 都大概会落在70万到100万之间的东西
[00:04:56] 然后我才理解到
[00:04:58] 原来就是有一些
[00:04:59] 他们应该算是特约的餐厅
[00:05:01] 不管是在德国
[00:05:02] 或是在
[00:05:02] 像我在瑞典也找到几家这样子的餐厅
[00:05:05] 那他们是真的有办法拿到一些
[00:05:07] 非常便宜的货源
[00:05:08] 但是它有一个严格的要求
[00:05:10] 就是其他酒
[00:05:11] 它都不会特别这样写
[00:05:12] 但是像罗曼尼康蒂
[00:05:13] 它下面就会写说
[00:05:13] 这个酒瓶呢
[00:05:15] 是属于罗曼尼康蒂的财产
[00:05:16] 我只是卖你里面的酒而已
[00:05:18] 所以你不能够把这个酒瓶带出去
[00:05:20] 那我看到这一条
[00:05:21] 我的想法是
[00:05:21] 谁要把酒瓶带走
[00:05:23] 就是我可以喝到这个东西
[00:05:24] 我可以去体验到
[00:05:25] 那不是最重要的东西
[00:05:27] 但是后来我跟一些朋友讨论之后
[00:05:28] 他们才跟我讲说
[00:05:29] 因为对很多人来说
[00:05:30] 他只是来解一个成就的
[00:05:31] 所以他会想要
[00:05:33] 把一些战利品带回家
[00:05:34] 所以你这个品质不能带回家
[00:05:35] 就算你便宜这么多
[00:05:37] 可能他就不想要
[00:05:37] 他宁愿去买零售的
[00:05:39] 因为零售的
[00:05:39] 我东西可以留下来做纪念
[00:05:41] 证明说我喝过之类的
[00:05:42] 然后他OK
[00:05:43] 所以有些人有这样子的考量
[00:05:44] 那我真的没有想到
[00:05:45] 因为对我来讲
[00:05:46] 我只是想要每个都喝看看
[00:05:47] 我都知道你在干嘛而已
[00:05:48] 所以当我发现这件事情的时候
[00:05:51] 其实虽然会有一点点难过
[00:05:53] 如果早一点发现的话
[00:05:55] 那我就省下多少钱了
[00:05:57] 就是原来有这么多的
[00:05:58] 这些所谓的传奇的酒
[00:06:00] 你可以在一些餐厅
[00:06:01] 因为你想象
[00:06:02] 就是餐厅一定都比较贵
[00:06:03] 它会mark up
[00:06:04] 确实绝大多数的酒都这样
[00:06:06] 但是有一些传奇的酒
[00:06:07] 它确实是
[00:06:08] 你可以在Star Wine List这个网站去找到
[00:06:10] 原来它有一些餐厅
[00:06:11] 它是用超级便宜的价格在出给你
[00:06:14] 当然我们讲超级便宜
[00:06:15] 可能对一些人来讲说
[00:06:16] 你在啥小
[00:06:17] 超级便宜还是二三十万
[00:06:18] 但你要知道说
[00:06:19] 就有些圈值这样
[00:06:19] 就像你会花
[00:06:21] 包包我也觉得你有病
[00:06:22] 对我来讲
[00:06:22] 7的提代就可以了
[00:06:23] 所以你要去尊重
[00:06:24] 每个人的圈值不太一样
[00:06:25] 这个我们不知道
[00:06:26] 讲给CP厨厅的
[00:06:28] 因为CP厨的话
[00:06:29] 对他来讲
[00:06:29] 就来说水都是一样的
[00:06:31] 那为什么飞机上跟餐厅
[00:06:32] 然后跟7-11卖的价格不一样
[00:06:34] 你无法去跟总人解释
[00:06:35] 或者说一样有床
[00:06:36] 要有冷气的话
[00:06:37] 你为什么不要睡青年旅设
[00:06:38] 你要睡东方文化
[00:06:39] 那一样的道理
[00:06:40] 就他们如果去看红酒的话
[00:06:41] 他们也会讲说
[00:06:42] 你有种就盲饮给我看高下
[00:06:44] 可是你最后会知道说
[00:06:45] 以前你也曾经有这样的想法
[00:06:47] 就你是外行的时候
[00:06:47] 你就会讲说
[00:06:48] 盲饮拼高下
[00:06:49] 那这最后面你发现说
[00:06:50] 盲饮拼高下
[00:06:51] 这个说法是有错的
[00:06:52] 为什么
[00:06:52] 因为每个人的口味是不一样的
[00:06:54] 所以就算你盲饮
[00:06:55] 你觉得这是冠军
[00:06:56] So what
[00:06:56] I don't give a shit
[00:06:57] 所以有时候只是说
[00:06:58] 怎么讲
[00:06:59] 就是说这个口味是在个人的身上
[00:07:01] 它是一个非常主观的东西
[00:07:02] 那像我自己的话
[00:07:03] 我觉得我的口味就算是
[00:07:06] 比较有弹性
[00:07:07] 就有些可能是相对平衡的东西
[00:07:08] 但是我觉得很好喝
[00:07:09] 那像A君的话就蛮有趣
[00:07:11] A君每次觉得好喝的东西
[00:07:13] 像他觉得康蒂很好喝
[00:07:14] 他觉得Pertruth很好喝
[00:07:15] 但他都是在知道价格之前
[00:07:17] 他就跟我讲说
[00:07:18] 他觉得这些东西很好喝
[00:07:19] 所以他跟我的想法就是
[00:07:21] 怎么讲
[00:07:22] 就算是相反
[00:07:23] 因为他就觉得说
[00:07:24] 那高价的酒
[00:07:25] 他真的是比较好喝
[00:07:26] 因为他的心得就是
[00:07:27] 他觉得高价的味道
[00:07:28] 真的比较好
[00:07:28] 那像我就会觉得说
[00:07:29] 其实价格并不是唯一的指标
[00:07:31] 因为我喜欢喝的东西
[00:07:32] 它不一定是最高价的
[00:07:34] 所以你看其实
[00:07:34] 每个人在体验的这条路上
[00:07:37] 那因为他的感受的不一样
[00:07:39] 所以他对世界的认知
[00:07:40] 其实也不一样了
[00:07:41] 他的看法也完全不一样
[00:07:42] 那总之呢
[00:07:43] 我觉得Star Wine List这个网站
[00:07:45] 真的蛮有趣的
[00:07:46] 他可以找到一些
[00:07:47] 就是如果说你真的有一些
[00:07:48] 那种酒类是
[00:07:49] 你认为你这辈子一定要喝看看的
[00:07:51] 你或许是有机会
[00:07:53] 在一些餐厅找到
[00:07:54] 他是半价
[00:07:55] 因为我看的
[00:07:55] 有好几款都是这样子的一个状态
[00:07:57] 他是半价
[00:07:58] 或是他是很便宜的
[00:08:00] 这个价格
[00:08:01] 在那边做陈列跟销售的
[00:08:04] 所以你可以去往这边去找
[00:08:05] 那如果今天是找零售酒的话
[00:08:07] 我觉得这个就算是
[00:08:08] 资讯相对透明
[00:08:09] 反正就是上
[00:08:10] Wine Searcher这个网站
[00:08:12] 那你就可以直接找到
[00:08:13] 可能各个年份的Vintage
[00:08:14] 那他目前在全球的售价
[00:08:16] 大概是怎么样
[00:08:17] 那这个售价呢
[00:08:18] 当然他也只是一个参考值
[00:08:20] 你有机会可以再拿到更便宜
[00:08:21] 但其实最后面
[00:08:22] 也不会去追求一昧的便宜啦
[00:08:24] 因为这边有一些坑
[00:08:25] 要稍微注意一下
[00:08:26] 因为你要知道说
[00:08:27] 特别是那些热门的酒款
[00:08:29] 他很多是经过多次的炒作
[00:08:31] 那个价格是一路上去的
[00:08:32] 那也因为说他有多次的炒作
[00:08:34] 代表说有很多买他的人
[00:08:36] 他不是买来喝
[00:08:37] 或是买来收藏
[00:08:38] 未来要喝的
[00:08:39] 他是买来
[00:08:40] 然后他就放一放
[00:08:41] 他只是想炒这个价格
[00:08:42] 所以他在保存上面
[00:08:43] 未必很用心
[00:08:44] 所以有机会你买来的这个酒
[00:08:46] 已经过很多次手
[00:08:47] 然后没有保存好
[00:08:48] 最后面打开来
[00:08:48] 就像开盲盒一样
[00:08:49] 然后开到一些那种
[00:08:50] 超垃圾的品项
[00:08:51] 这是有机会发生的
[00:08:52] 所以即便有些地方
[00:08:54] 可能卖的稍微的高价一点
[00:08:55] 但他是酒庄直出
[00:08:57] 或是你知道他的货源是可信赖的
[00:08:59] 那你为这个东西
[00:09:00] 多付一点钱
[00:09:01] 其实是很合理的
[00:09:02] 那就像是我跟自己的酒商
[00:09:04] 有讨论到一件事情
[00:09:04] 就是说
[00:09:05] 当然有时候我们去看一些东西
[00:09:07] 会很怨叹说
[00:09:08] 为什么这个东西
[00:09:09] 我没有在另外一家买
[00:09:11] 为什么没有怎么样
[00:09:12] 他可能便宜一点
[00:09:13] 但这时候我们就安慰自己说
[00:09:15] 就像是股票一样
[00:09:15] 你无法去解释说
[00:09:17] 像之前有一个礼拜五
[00:09:18] 不是一堆东西在跌停吗
[00:09:19] 可是隔一个礼拜之后
[00:09:20] 又一堆东西涨停
[00:09:21] 可是那个礼拜五
[00:09:22] 对于现在来说
[00:09:23] 不就是好像说带打折吗
[00:09:25] 那为什么我现在要去买
[00:09:26] 可能这些正在涨停的东西
[00:09:28] 我是不是被诈骗了
[00:09:29] 为什么跪20%了
[00:09:30] 可是你不能这样去看它
[00:09:31] 因为在当下
[00:09:32] 其实环境就是这样
[00:09:33] 所以有时候那也是很吃你的
[00:09:35] 怎么讲运气
[00:09:36] 就是你不要想太多
[00:09:37] 你只要知道说
[00:09:38] 反正你当下花下去
[00:09:39] 你是买了一个快乐
[00:09:40] 这样就好
[00:09:41] 其他你多想的
[00:09:42] 都只是让自己更难过意
[00:09:43] 像我自己就是还蛮幸运的
[00:09:45] 就是在陆坑红酒的时候
[00:09:47] 刚好是在
[00:09:48] 它的一个小打底的位置
[00:09:49] 因为红酒的指数
[00:09:50] 在2022年是最高跌
[00:09:52] 然后接着就跌了三年
[00:09:53] 真的跌到爆
[00:09:54] 就刚好在掉下来的地方去陆坑
[00:09:57] 你就想说
[00:09:57] 这东西如果是三年前去喝的话
[00:09:59] 它的价格都比价格贵三四成
[00:10:01] 绝大多数都是这样
[00:10:02] 即便是一些
[00:10:02] 最顶的也都这样
[00:10:04] 当然有一些酒庄是没有跌
[00:10:05] 像乐花
[00:10:06] 乐花没有跌
[00:10:07] 为什么乐花没有跌呢
[00:10:08] 后来也知道为什么
[00:10:09] 因为他们整天在空货
[00:10:10] 老板娘她并不是说
[00:10:12] 这个东西
[00:10:12] 反正我生产多少
[00:10:14] 我一部分可能较长
[00:10:15] 一部分老是去卖
[00:10:16] 没有
[00:10:16] 她就全部控制
[00:10:17] 有些年份她根本就不丢出来
[00:10:18] 她觉得准备好
[00:10:19] 才要卖出来给大家
[00:10:19] 所以就解释了
[00:10:21] 为什么她价格可以稳住
[00:10:22] 因为筹码都被庄家收起来了
[00:10:23] 所以当然价格比较难跌
[00:10:25] 我可以去控制的
[00:10:26] 所以我觉得她也蛮厉害的
[00:10:28] 她会去控制这种稀缺的感觉
[00:10:30] 然后把价格
[00:10:31] hold在一个相对稳的地方
[00:10:32] 可是其他的酒
[00:10:33] 我看下来几乎都是无一幸免
[00:10:35] 反正就是在前波修正是跌蛮多的
[00:10:38] 当然你也不会去怨探说
[00:10:39] 假设你是2022路坑
[00:10:41] 我那时候买这么贵
[00:10:42] 因为外面的世界是动态的
[00:10:44] 其实有时候都是相对的
[00:10:45] 你看股票指数下来涨很多
[00:10:46] 所以相较之下
[00:10:48] 有些东西向他看是贵
[00:10:49] 那不一定是贵
[00:10:50] 有些东西向他看是便宜
[00:10:51] 也不一定是便宜
[00:10:52] 因为你后来一阵子
[00:10:53] 可能有些想法都会改变
[00:10:54] 所以最后也不会太计较
[00:10:56] 就当下的一些价格的差异
[00:10:58] 只要你不是很明显
[00:10:59] 就是说哇靠
[00:11:00] 真的是买在一个短期的三顶很不爽
[00:11:01] 那都是可以接受的
[00:11:03] 就它会有一些弹性的存在
[00:11:04] 但总之餐厅这条路线
[00:11:06] 是非常棒的一个尝试路线
[00:11:08] 就如果你真的未来也是有
[00:11:10] 不知道就某些契机
[00:11:11] 像我一样被烧到
[00:11:12] 你想要去试看看的话
[00:11:13] 不要走零售了
[00:11:14] 就零售可能是一条路线
[00:11:16] 你要收藏什么那OK
[00:11:17] 那去餐厅喝
[00:11:18] 可能是一个超出大家想象的解放
[00:11:20] 这边也稍微跟大家分享
[00:11:21] 最新的一些小发现
[00:11:23] 大概这样
[00:11:24] 好那接下来我们来进入市场话题
[00:11:25] 那我觉得这个礼拜
[00:11:26] 最值得关注的新闻
[00:11:28] Anthropic它已经是转获利
[00:11:29] 这个数字是很好
[00:11:30] 那当然有可能是为了要上市
[00:11:33] 所以把一些数字是做的特别的好看
[00:11:35] 这个在网络上也是有些人
[00:11:37] 有这样子的一个说法
[00:11:37] 但基本上这种全世界都在盯着的公司
[00:11:40] 就算它有一些美化的行为
[00:11:42] 但基本上是只包不住火
[00:11:44] 如果说真的是太严重的话
[00:11:45] 那一定会给人家爆料出来
[00:11:46] 所以总之就是
[00:11:47] 在AI的投入上面
[00:11:49] 就连大家普遍认为
[00:11:50] 会最烧钱的模型商
[00:11:52] 竟然都是有办法转正
[00:11:54] 这只代表一件事情
[00:11:55] 就代表说
[00:11:56] 首先第一个就是过往的
[00:11:58] AI毁灭论者
[00:11:58] AI泡沫论者
[00:11:59] 这个脸都是被打一个最大的
[00:12:01] 那再来第二个呢
[00:12:03] 就是过往可能认为说
[00:12:04] 硬体的投资
[00:12:05] 会到这边亚然而止的人
[00:12:07] 可能要失望了
[00:12:08] 就代表硬体的投资
[00:12:09] 可能只会更大
[00:12:09] 因为当大家注意到说
[00:12:11] 这些理论上最烧钱的公司
[00:12:13] 那他们都有办法赚钱的话
[00:12:14] 那是不是大家都更会想要去
[00:12:16] 加大投资
[00:12:17] 然后来赚取未来可能的一些报酬
[00:12:20] 所以我觉得Anthropic这个获利数字
[00:12:22] 是还蛮值得令人关注的
[00:12:24] 然后再来就是你去比对多份资料之后
[00:12:26] 我觉得里面有一个有趣的
[00:12:27] 资讯是
[00:12:28] 就是现在呢
[00:12:29] 因为我们知道说像SpaceX
[00:12:31] 就是说Tesla
[00:12:32] 或者说马斯克的Groak
[00:12:33] 可能后来的发展
[00:12:34] 是没有这么的顺利
[00:12:36] 所以呢
[00:12:36] 他选择把他的算力出租出去
[00:12:39] 所以他的Colossus One呢
[00:12:40] 算了一下
[00:12:41] 他巨额的一个投资
[00:12:43] 竟然可以在大概1年到2年之间
[00:12:46] 就回本
[00:12:47] 所以这个跟Anthropic本身
[00:12:49] 获利两件事情
[00:12:50] 都是一个强行征
[00:12:52] 就是对于这些市场
[00:12:53] 想要砸重金
[00:12:55] 去买AI设备的人来说
[00:12:56] 那我知道第一个
[00:12:58] 我买了我是有办法真的转出很多获利的
[00:13:00] 第二个我买了就算我自己转不出获利
[00:13:03] 我可以透过去卖别人租别人
[00:13:05] 然后获得一个非常好的获利
[00:13:07] 就是我回本时间是这么快的
[00:13:09] 跟印钞一样
[00:13:09] 因为现在的算力真的是供不应求
[00:13:11] 所以他算是帮市场的硬体相关的股票
[00:13:14] 我认为就是打了一个强行针
[00:13:15] 然后就是后面的一些需求
[00:13:17] 应该都会在持续的好一阵子
[00:13:20] 那直到一些特殊的情况出现吧
[00:13:22] 那再来另外一个蛮重大的消息
[00:13:25] 是Google跟Blackstone
[00:13:26] 他们合作要去搞TPU Cluster
[00:13:28] TPU Cloud
[00:13:29] 那这代表什么呢
[00:13:30] 就是他现在是直接去直面竞争
[00:13:33] 不管是NVIDIA AMD Intel
[00:13:35] 或是其他的ASIC业者
[00:13:37] 就是老子也要下来打仗仗了
[00:13:39] 那以前如果说
[00:13:40] 你今天是要在TPU的Cloud上面
[00:13:42] 去使用TPU Cluster的话
[00:13:44] 那对于一些业者来讲
[00:13:46] 他可能会有一些理由
[00:13:47] 就像说我不希望我的资料
[00:13:49] 给Google看到或怎么样
[00:13:50] 我就是拒绝去使用你的模型或什么的
[00:13:52] 但他们今天用一个第三方的方式
[00:13:55] 去做处理
[00:13:55] 就是对Google也有去参与投资
[00:13:57] 或什么的
[00:13:57] 可是这些东西
[00:13:58] 他并不是放在Google那边
[00:13:59] 那他是一个类似像Neo Cloud
[00:14:01] 这样的一个形式去展出的话
[00:14:03] 那我觉得他会让一些
[00:14:04] 模型的厂家是很有动机
[00:14:07] 就是把开发式直接放在
[00:14:08] 可能TPU去做使用
[00:14:11] 那我个人认为这个
[00:14:12] 对于Google来讲
[00:14:13] 是一个非常大的好消息
[00:14:15] 那特别是从我们自己看得到的一些
[00:14:17] 未来的forecast数字来看的话
[00:14:20] 确实我们已经有注意到说
[00:14:21] TPU在将来的
[00:14:23] 我们没有办法讲
[00:14:24] 每一年一定是怎么样
[00:14:25] 可是如果用life cycle来说的话
[00:14:27] 大概是3比1
[00:14:28] 就是说3是自用
[00:14:29] 那1是外销
[00:14:30] 所以这数字其实拉得非常快
[00:14:32] 从一开始是大概去年中
[00:14:34] 那时候跟大家讲说
[00:14:35] 我们去猜
[00:14:36] Google的TPU
[00:14:38] 其实是外销给了Anthropic
[00:14:40] 那时候市场还有一堆人讲说
[00:14:41] 不可能
[00:14:41] 怎么可能外销
[00:14:42] 乱讲
[00:14:43] 你看现在已经变成一个共识
[00:14:45] 大家都知道
[00:14:45] 只是大家是没有想到说
[00:14:47] 成长的速度可以这么快
[00:14:48] 甚至在我们的角度看是3比1
[00:14:50] 就是它在现有的一些产品的代数上
[00:14:54] 它规划已经是3比1的数字了
[00:14:56] 3自用
[00:14:57] 那1是外销
[00:14:58] 那这个是非常恐怖的一个数字
[00:15:00] 所以我认为在未来的一阵子
[00:15:02] 当然TPU的相关supply chain
[00:15:05] 就可以再一次的去注意
[00:15:06] 或许这个东西也是为什么在过去
[00:15:08] 稍微的压制了一些
[00:15:10] 像是偏向NVIDIA的Neo Cloud
[00:15:11] 或是一些可能晶片业者
[00:15:14] 就是可能你注意到它股价有一些压制
[00:15:16] 我觉得跟这个消息是有关系
[00:15:18] 因为这代表说TPU
[00:15:19] 特别是跟一些大金主合作之后
[00:15:22] 它是有可能很快速的去
[00:15:24] 开展它外销的一个路线
[00:15:26] 虽然说市场上的饼是很多
[00:15:28] 大家都可以越吃越多
[00:15:29] 没错
[00:15:30] 只是多一个强力竞争者
[00:15:32] 所以可能对一些人来讲
[00:15:33] 它会变成是
[00:15:34] 即便不一定会压到你的
[00:15:36] 营收跟获利的成长性
[00:15:37] 就还是会很漂亮
[00:15:38] 但是估值就有可能被压到
[00:15:40] 反之
[00:15:41] 如果你今天是Google的
[00:15:43] supply chain的投资者的话
[00:15:44] 可能就会觉得
[00:15:45] 这是一个大好消息
[00:15:46] 因为除了自用之外
[00:15:47] 那些外销的数字也是非常可怕
[00:15:49] 然后这些东西都会回归到
[00:15:50] 最上游
[00:15:51] 就是到底有没有办法
[00:15:53] 去生出这么多的晶片
[00:15:54] 然后去抢占更多的市场
[00:15:56] 所以接下来的一个看点就是
[00:15:57] 因为你知道Google
[00:15:58] 也要去推TPU Cluster
[00:15:59] 那当然其他既有的晶片业者
[00:16:01] 大家也都在做这件事情
[00:16:02] 所以大家比的是什么
[00:16:03] 就是谁可以拿到更多的产能
[00:16:05] 谁可以甚至去加价
[00:16:07] 抢到更多的产能
[00:16:08] 那他就是有机会
[00:16:09] 在后面可以转出钱
[00:16:11] 所以就像是
[00:16:11] Gavin Baker所讲的
[00:16:12] 他就说
[00:16:13] 如果TSM今天是产能全开的
[00:16:16] 他真的就是骂跟你拼的
[00:16:17] 然后大扩敞
[00:16:18] 那其实NVIDIA的营收数字会好更多
[00:16:21] 那只是大人这件事情
[00:16:22] 就可能会提早造成AI的
[00:16:24] 一个泡泡的破灭
[00:16:25] 这其实也是市场上
[00:16:26] 算是一个共识的说法
[00:16:27] 就是目前晶片代工厂
[00:16:29] 或者说这些
[00:16:29] 晶片业者的某个程度上
[00:16:32] 他们是一种限制器
[00:16:33] 就是他让这个AI
[00:16:35] 没有这么快进入一个泡泡
[00:16:37] 或者说泡沫的一个可能性
[00:16:39] 因为在生产这边
[00:16:40] 是被压制住的
[00:16:41] 但是我觉得现在有一点像是
[00:16:43] 我自己的猜想
[00:16:44] 就是那种只包不住火的感觉
[00:16:46] 因为有这么多的竞争者要进来抢
[00:16:49] 而且他们都已经做好各种准备
[00:16:51] 要去拉大他的数量了
[00:16:53] 所以我认为现在可能放在
[00:16:55] 晶片代工业者这边的压力会越来越大
[00:16:57] 那包含说大家可能会去敦促
[00:16:59] Intel赶快把东西做出来
[00:17:01] 就即便他可能目前
[00:17:01] 只有后段的表现
[00:17:03] 会是相对好一点
[00:17:04] 那前段呢
[00:17:05] 说不定大家就是给你钱赶快做
[00:17:06] 希望你可以把东西做出来
[00:17:07] 那或者是去找TSM
[00:17:09] 或者是找一些既有的业者
[00:17:10] 那告诉你说
[00:17:11] 我可能愿意去花钱去包产线
[00:17:14] 或者什么的谈一些地
[00:17:15] 我自己猜测会发生
[00:17:16] 因为目前的状况就是
[00:17:17] 怎么讲
[00:17:18] 就市场的竞争者变多了
[00:17:20] 以前可能是一个虚无缥缈
[00:17:22] 大家都只知道说
[00:17:22] OK Google要开始外销
[00:17:23] 可是不知道他的动作这么大
[00:17:25] 那动作这么大的状况之下
[00:17:26] 那就问
[00:17:27] 要怎么样在这之中受惠
[00:17:29] 当然就是谁拿到更多晶片
[00:17:31] 谁可以更快的把这些cluster
[00:17:32] 扑出去
[00:17:33] 谁就能复制像是马斯克的成功案例
[00:17:35] 这个东西我自己没有办法算
[00:17:37] 我卖别人我都可以赚超多钱
[00:17:38] 所以他们针对产能的强惑
[00:17:42] 我觉得会更加的严重
[00:17:43] 也不只是说在这个晶圆代工这边
[00:17:45] 其实像我们之前有跟大家分享过说
[00:17:47] 在光通这边有注意到
[00:17:48] NVIDIA它是去包下一些雷射的产能
[00:17:51] 那即便我们那时候去算
[00:17:52] 会觉得它应该是用不到这么多
[00:17:55] 就是它既有的产品出来
[00:17:56] 它用不到这么多
[00:17:57] 可是为什么它还是包了
[00:17:58] 那时候我们大胆的猜想是说
[00:18:00] 因为我把产能全部包下来
[00:18:01] 你就买不到
[00:18:02] 对手就买不到
