[00:00:00] 欢迎收听古爱,我是圣木工
[00:01:25] 关于说在自己的生活
[00:01:26] 稍微的把速度放慢下来之后的
[00:01:29] 一些显著的改变
[00:01:30] 那后来就有一些地方的听众
[00:01:32] 有私讯给我跟我讲说
[00:01:33] 其实我在做的事情呢
[00:01:34] 就是他们称为是内观
[00:01:36] 那后来我自己身边的
[00:01:38] 一位天赚法师
[00:01:40] 之前有跟大家聊到
[00:01:40] 但那个是我自己给他的一个封号
[00:01:42] 因为他是学佛的
[00:01:43] 他是达赖很大的一个doner
[00:01:46] 就整天在那边捐钱
[00:01:47] 那同时呢把股票搞得非常好
[00:01:48] 在短线上是非常利落
[00:01:50] 那同时是充满杀气的一种
[00:01:52] 很奇怪
[00:01:52] 你学佛的不是应该要温文如牙吗
[00:01:54] 不是应该我佛慈悲吗
[00:01:56] 但是呢
[00:01:57] 他的各种策略搞笑
[00:01:58] 都觉得说
[00:01:58] 这个人真的是一个非常狠的人
[00:02:00] 那但是呢
[00:02:01] 他对于佛法的研究
[00:02:02] 有一次是非常的深入
[00:02:03] 那就跟我提到说
[00:02:05] 这个就是禅修的一种
[00:02:06] 我说有听众跟我讲说内观
[00:02:07] 他说其实就是差不多的东西
[00:02:09] 那反正总之呢
[00:02:10] 就是你自己去把生活放慢走
[00:02:11] 你才可以真正的感受到
[00:02:13] 这个世界的一些美好
[00:02:14] 你才会找到你内心的一种平静
[00:02:15] 那对我来说
[00:02:16] 我当然是不知道什么叫内观
[00:02:18] 什么叫禅修
[00:02:18] 但我是意外的发现
[00:02:20] 就是在开吸管的时候
[00:02:21] 就想到说
[00:02:22] 奇怪了
[00:02:22] 为什么我对生活中这些东西
[00:02:24] 好像没有什么记忆
[00:02:25] 就像之前有跟大家分享过
[00:02:26] 有时候在洗澡的时候
[00:02:27] 才会觉得说
[00:02:28] 怎么又在洗澡了
[00:02:29] 我怎么感觉好像每天都在洗澡
[00:02:31] 那当然你听这会觉得像屁话
[00:02:33] 但是如果说
[00:02:33] 知道我在讲什么的人
[00:02:34] 应该可以感受到
[00:02:35] 我要去表达的那种感受
[00:02:36] 就是我怎么一整天又结束
[00:02:38] 我又在洗澡
[00:02:38] 好像我每天我醒来的时候
[00:02:40] 就是在洗澡的时候
[00:02:40] 怎么一整天都这样
[00:02:41] 忙忙碌碌碌
[00:02:42] 雍碌碌碌碌碌碌碌的
[00:02:42] 你也不知道到底发生什么事情
[00:02:44] 然后当然可能
[00:02:44] 生活都还是有往前走
[00:02:46] 资产都还是有增长
[00:02:48] 小朋友都有持续的长大
[00:02:49] 但你好像没有什么记忆点
[00:02:50] 那最后就是有开始去意味到说
[00:02:52] 可能是因为我在生活中
[00:02:54] 去做一些事情
[00:02:55] 我都把它太视为是反射动作
[00:02:56] 或者是我其实是很习惯多工的
[00:02:58] 我也是做很多事情
[00:02:59] 然后导致
[00:03:00] 就我对大多数的事情
[00:03:02] 都没有什么记忆点
[00:03:03] 所以现在就试着
[00:03:03] 让自己的生活
[00:03:05] 讲难听一点
[00:03:06] 就是把它称为仪式感
[00:03:07] 其实仪式感也不是什么难听的东西
[00:03:08] 但是因为我觉得很多白痴
[00:03:09] 都整天在那边仪式感仪式感
[00:03:10] 所以把这个字变得很笨
[00:03:11] 但真的是有类似
[00:03:13] 那种仪式感的感觉
[00:03:14] 就是你每天早上
[00:03:15] 你只要这个时间
[00:03:16] 就是要去买一杯咖啡
[00:03:17] 那这个咖啡
[00:03:18] 你就慢慢的去喝它
[00:03:19] 不要像之前
[00:03:20] 因为我之前的做法
[00:03:20] 就有点类似说
[00:03:21] 老子是来喝咖啡因的
[00:03:22] 我就是补充咖啡因补充完丢掉
[00:03:24] 我喝水我就来补水的
[00:03:26] 咕咕咕掉
[00:03:27] 就是说我的目的性的导向
[00:03:28] 是非常的明确
[00:03:29] 所以导致我吃东西
[00:03:31] 就是我反正我就来补充
[00:03:32] 蛋白质淀粉或什么的
[00:03:34] 那也没有想太多
[00:03:35] 也没有真的去享受每一刻
[00:03:37] 那同时自己也会认为说
[00:03:38] 好像过于的去享受每一刻
[00:03:40] 那是粉红娘泡是不是
[00:03:41] 杀小吃东西就吃东西
[00:03:42] 那边这是什么味道
[00:03:44] 像看人家喝红酒
[00:03:45] 我自己算一下也录红酒
[00:03:46] 有可能就是我每次听到那种
[00:03:48] 就那种过于装逼的
[00:03:49] 你真的会喝的我看得出来
[00:03:50] 那种不会喝的
[00:03:51] 然后硬要说这什么味道
[00:03:52] 就很想你知道
[00:03:53] 好像给他轴集
[00:03:54] 然后叫我老婆
[00:03:55] 然后他看我
[00:03:56] 他都会觉得说
[00:03:57] 我现在有时候会把那个红酒
[00:03:58] 倒出来的时候
[00:03:59] 然后这边
[00:03:59] 叫我看看说是什么味道
[00:04:01] 然后我直接那边闻
[00:04:01] 然后会试着去猜说什么味道
[00:04:03] 他说如果他是在第一次约会的时候
[00:04:05] 看到我做这种事情
[00:04:06] 他就直接走出去
[00:04:07] 就是我们就没有后续
[00:04:08] 我们就没有下的婚姻
[00:04:10] 然后跟小孩或什么
[00:04:11] 所以其实我跟他的感受是很像
[00:04:12] 就是我们不太喜欢装逼
[00:04:13] 那也不喜欢装逼的人
[00:04:15] 可是我们还是要去借用一点
[00:04:17] 这种装逼仔
[00:04:18] 他们日常会做的一些事情
[00:04:19] 就是所谓的衣试感
[00:04:21] 然后把自己整理好
[00:04:22] 然后去感受一下
[00:04:23] 就说那是一个光谱的问题
[00:04:24] 你不要走到太极端就好
[00:04:26] 你就稍微的一点点
[00:04:27] 所以你平常喝咖啡你是没有感觉的
[00:04:29] 因为对你来说是一个反射的动作
[00:04:30] 你在那边有计杯
[00:04:32] 你去拿了咖啡之后
[00:04:33] 确定是冰的
[00:04:34] 没有错
[00:04:34] 吸管吐一吐插进去
[00:04:36] 然后可能不知道
[00:04:37] 30秒内把它shut掉
[00:04:38] 结束开始去上班
[00:04:39] 现在就把它变成是
[00:04:41] 我拿到这个咖啡的时候
[00:04:42] 我还感受一下
[00:04:43] 咖啡的风膜会热热的
[00:04:44] 刚风完那是热热的
[00:04:46] 不知道为什么摸到热热的
[00:04:47] 就觉得蛮爽
[00:04:47] 就每天都要去故意摸一下
[00:04:49] 刚风完的咖啡杯热热的
[00:04:52] 然后接着把吸管插进去
[00:04:54] 尽量插准一点
[00:04:55] 把吸管认真的把它打开
[00:04:56] 或什么的
[00:04:57] 那就会注意到说
[00:04:58] 一整天的事情
[00:04:59] 我比较有印象
[00:05:00] 我比较记得说
[00:05:01] 早上我喝了一杯
[00:05:02] 蛮不错的咖啡
[00:05:03] 接着后来发生什么事情
[00:05:05] 我会记得
[00:05:06] 因为我每件事情
[00:05:07] 我都比较认真的去处理
[00:05:08] 当然讲这个
[00:05:09] 有时候我觉得
[00:05:10] 那是一个阶段性的问题
[00:05:12] 如果今天是在我人生
[00:05:13] 最冲刺的阶段
[00:05:15] 但我认为我现在都还冲刺起
[00:05:16] 只是相对没有这么冲刺
[00:05:17] 我一定会觉得说
[00:05:19] 这个就是某种那种附庸风芽
[00:05:21] 你就是已经有赚到一点钱
[00:05:22] 你就是生活已经有点清闲的
[00:05:25] 你才有空去想这件事情吗
[00:05:26] 没有错
[00:05:27] 但是我自己同时也认为说
[00:05:28] 不一定是这样子的
[00:05:29] 就是你之前可能非常的忙碌
[00:05:32] 非常的冲的时候
[00:05:33] 你不一定那样子做
[00:05:35] 是更好的一件事情
[00:05:36] 你感觉你是在做一个
[00:05:37] 很有效率的事情
[00:05:38] 你感觉每件事情
[00:05:39] 是实用主义
[00:05:40] 效率滞上
[00:05:41] 可是你做出来的效果
[00:05:43] 不一定是好的
[00:05:43] 甚至是觉得说
[00:05:44] 在交易这个范畴来讲的话
[00:05:46] 对你感觉你的交易量
[00:05:48] 打得很大很充实
[00:05:49] 交易量好像要代表说
[00:05:50] 你的工作量
[00:05:50] 但是你的报酬率是很好笑的
[00:05:52] 就是你是用很大笔的交易量
[00:05:54] 然后换来很小的报酬率
[00:05:55] 你又不是在做量化的
[00:05:57] 所以这就很奇怪
[00:05:57] 不如就把自己的节奏放慢一点
[00:06:00] 去忍受一点生活中
[00:06:01] 可能对以前的自己来讲
[00:06:03] 是不方便
[00:06:04] 或者说
[00:06:05] 有些让你很挫折的事情
[00:06:06] 就像说
[00:06:07] 排在你前面的人
[00:06:08] 我最讨厌在Seven
[00:06:09] 遇到这种
[00:06:09] 排在前面
[00:06:10] 那什么
[00:06:11] 那里面有加什么
[00:06:13] 然后接着那边翻零钱的
[00:06:15] 因为我自己本身去排队
[00:06:16] 我一定先把钱拿好
[00:06:18] 然后才过去
[00:06:18] 不管我的支付的方式
[00:06:20] 我一定会先拿好
[00:06:20] 我不会在那边
[00:06:21] 才在那边挑钱
[00:06:22] 所以我每次有看到这种
[00:06:23] 干我其实火真的会上来
[00:06:24] 就如果说什么国定杀戮日的话
[00:06:26] 我一定第一个处理这一种
[00:06:27] 但当然这个社会家是很平和
[00:06:28] 我们随便乱讲
[00:06:29] 那反正总之就是
[00:06:30] 以前你对这种人会非常的生气
[00:06:33] 你会不知道他们在干嘛
[00:06:34] 或什么的
[00:06:34] 然后现在
[00:06:35] 当你慢慢去感受
[00:06:36] 生命中的一些小事情之后
[00:06:38] 就像说
[00:06:39] 你前面再一次遇到这种
[00:06:40] 很奇怪的人
[00:06:41] 很奇怪的大麻
[00:06:42] 在那边慢慢来
[00:06:43] 或者说在那边当奥客
[00:06:44] 在那边欺负人
[00:06:45] 那可是呢
[00:06:46] 你就会试着说
[00:06:47] 你就去忽略它
[00:06:47] 那去观察一下
[00:06:48] 今天外面的太阳
[00:06:49] 今天的风是怎么样
[00:06:50] 或即便今天可能天气不好
[00:06:52] 是下雨
[00:06:52] 那雨滴到你的脚上
[00:06:54] 凉凉的
[00:06:54] 那个感受是什么
[00:06:55] 反正就是去专注在生活中的一些感受
[00:06:57] 那同时这个东西呢
[00:06:59] 我觉得它很意外的去帮助我的下背
[00:07:00] 调好
[00:07:01] 因为我
[00:07:01] 我觉得最近最大的一个恩人
[00:07:03] 就是我找到了一个
[00:07:04] 非常强大的技能性教练
[00:07:06] 技能性训练教练
[00:07:07] 那他其实帮我身体调整的蛮不错
[00:07:09] 那因为这样子
[00:07:10] 就是说他把身体的很多东西都调好
[00:07:11] 所以导致
[00:07:12] 因为以前可能身体的问题太多
[00:07:14] 我想说懒得去解决了
[00:07:15] 反正就是这样嘛
[00:07:16] 年纪到了
[00:07:17] 你就是一定会痠一定会痛
[00:07:18] 最后才发现说
[00:07:18] 没有年纪到不一定会痠
[00:07:20] 不一定会痛
[00:07:20] 那他把很多问题解决之后
[00:07:22] 就剩下下背
[00:07:22] 那下背以前曾经靠过说
[00:07:24] 什么硬局啊
[00:07:25] 或是深蹲去把它改善
[00:07:26] 那可是后来才知道说
[00:07:27] 因为下背的痛有非常多种
[00:07:28] 有些可能是肌力不足的痛
[00:07:30] 有些可能是因为你的知识
[00:07:31] 长期维持在不好的状态的痛
[00:07:33] 或什么的
[00:07:33] 那后来我自己发现说
[00:07:35] 我这一次的下背痛
[00:07:36] 其实最主要的原因是因为
[00:07:38] 我坐的太挺
[00:07:39] 这个听起来可能超奇怪
[00:07:40] 就是你坐椅子上
[00:07:41] 你不是理论上就要坐挺的时候
[00:07:42] 但是因为我会很习惯性的
[00:07:44] 如果大家是坐椅子的话
[00:07:45] 你就试着
[00:07:46] 反正你的整个腰是挺起来
[00:07:48] 胸是挺起来
[00:07:49] 感觉是很舒服的状态嘛
[00:07:50] 但是可是你的下背呢
[00:07:52] 其实是过度的用力了
[00:07:53] 所以你坐在椅子上的时候呢
[00:07:55] 你的下背其实是在一个紧绷的状态
[00:07:57] 那我是怎么样发现这件事情呢
[00:07:59] 就是自己去慢慢的观察生活中的一切
[00:08:01] 因为以前都不会观察嘛
[00:08:03] 反正就是坐下来工作
[00:08:04] 工作完去吃饭吃完
[00:08:06] 可能带小孩睡觉
[00:08:07] 就是你对生活中的细节没有去注意
[00:08:09] 然后下就会注意到说
[00:08:10] OK
[00:08:10] 所以原来是因为我坐下的时候
[00:08:12] 我的下背肌肉是紧绷的
[00:08:14] 那我可以试看看
[00:08:14] 包含说物理治疗师有教我这个
[00:08:17] 就是你就深呼吸嘛
[00:08:18] 那他说其实蛮多人都以为自己会呼吸
[00:08:19] 但你不会呼吸
[00:08:20] 你深呼吸之后
[00:08:21] 那你的气不只是要进去你的腹腔哦
[00:08:24] 你要试着去引导到你的后背
[00:08:26] 就是你的那个下背
[00:08:27] 让那个气也是鼓到你的下背去
[00:08:29] 那这样的下背就会形成一种支撑
[00:08:31] 那他可能就不会是以
[00:08:32] 非常收缩的一个角度
[00:08:34] 在支撑你的身体
[00:08:35] 它是放松的
[00:08:36] 但是你的身体是很平衡在支撑的
[00:08:38] 那光是把这一点给敲好
[00:08:40] 然后搭配物理治疗师
[00:08:41] 跟精神训练师的一个调整
[00:08:43] 最近这个下背呢
[00:08:44] 就只剩下起床的时候
[00:08:46] 还会有一点不舒服
[00:08:47] 可是一整天都好了
[00:08:48] 那所以我觉得蛮多东西
[00:08:50] 是环环相扣的啦
[00:08:51] 就是可能前面只是在讲一个
[00:08:53] 像每家讲说
[00:08:54] 是什么内观或是禅修的东西
[00:08:55] 比较偏向心灵的
[00:08:56] 可是你没有想到
[00:08:57] 你把这个心灵的东西
[00:08:58] 用在你的生活之中
[00:08:59] 它其实改善的
[00:09:00] 不只是说心灵
[00:09:02] 或是说你对外界的一个感受跟感知
[00:09:04] 同时对你物理上的
[00:09:06] 也就是你的一些肌肉的控制
[00:09:08] 或什么的
[00:09:08] 也是有一定程度的帮助啦
[00:09:10] 那这些东西呢
[00:09:11] 我还是得说
[00:09:11] 就如果是在早先的阶段
[00:09:13] 我一定也听不进去啦
[00:09:14] 我就会觉得说
[00:09:15] 他妈谁有空去屌这种事情
[00:09:16] 但没有办法
[00:09:18] 那就很类似说
[00:09:18] 很多年轻人
[00:09:19] 你看他在做一些奇怪的事情的时候
[00:09:21] 你知道你现在跟他讲是没有用的
[00:09:23] 因为他就是不会想听长辈嘛
[00:09:25] 你fucking老人赶快进棺材
[00:09:27] 他不会想听你讲话
[00:09:28] 所以你只能够在旁边微笑着
[00:09:30] 然后看着他受伤
[00:09:32] 看着他绕塞
[00:09:33] 他已经就类似说
[00:09:34] 我们家里有两个小男婴嘛
[00:09:35] 小男婴他就一定会想从高处跳下来
[00:09:38] 你要做的只是
[00:09:39] 不要让他从可能不知道20楼跳下来
[00:09:41] 他从沙发上跳下来
[00:09:42] 他不小心什么摔断手或什么的
[00:09:44] 那个可能都是
[00:09:45] 有时候就是说
[00:09:46] 他是一个必要发生的事情
[00:09:47] 他就是要痛过
[00:09:48] 他就知道说下次不可以这样子
[00:09:49] 所以一样的道理就是
[00:09:50] 如果你当然是非常有悟性的人
[00:09:52] 你在像我这样跟你讲完之后
[00:09:53] 你就立刻的放下你的生活步调
[00:09:56] 你就立刻的去感受你生命中的以前
[00:09:58] 那你是非常幸运的人
[00:10:00] 可是绝大多数人可能想说
[00:10:01] 妈的干赶快跳到市场话题
[00:10:02] 你不要讲屁话
[00:10:03] 那我只能够说
[00:10:04] 这就是一个缘分
[00:10:05] 如果你可以听懂前面这段的话
[00:10:07] 其实他是比后面那段更重要的东西
[00:10:09] 因为有时候我会注意到
[00:10:10] 好像我节目在讲那些东西
[00:10:11] 我觉得重点是在某些地方
[00:10:13] 可是我发现很多人
[00:10:15] 其实他注意到重点是不一样
[00:10:16] 但是不怪他
[00:10:17] 我也不会想去引导大家说
[00:10:18] 我上一集讲的那个才是重点
[00:10:20] 不会
[00:10:20] 我就会知道说
[00:10:21] 因为阶段不一样
[00:10:22] 所以你看到的东西不一样
[00:10:23] 但我会非常高兴
[00:10:24] 就是我讲的一些小细节
[00:10:25] 然后被一些听众抓到
[00:10:27] 他知道那个是重点
[00:10:28] 那我就会知道说
[00:10:29] OK我们是同一类的人
[00:10:30] 我们可能目前走在一个差不多的位阶
[00:10:33] 所以我们才可以了解彼此来说什么
[00:10:35] 别人会听不懂
[00:10:36] 别人只这样听到说
[00:10:37] 你赶快给我四个数字
[00:10:38] 或什么的
[00:10:38] 但他不知道的是
[00:10:40] 我如果只给你四个数字的话
[00:10:41] 就算我下它准
[00:10:42] 那你之后有一天也会受伤
[00:10:44] 然后你还是会讨厌我
[00:10:44] 所以重点不是给你四个数字
[00:10:46] 而是就是到底怎么样去解决
[00:10:48] 一些方法论上的事情
[00:10:50] 就是我怎么样让
[00:10:51] 当今天可能没有人去引导你的时候
[00:10:53] 你自己也可以把这个事情做
[00:10:54] 这是最重要
[00:10:55] 所以这就是那一句老梗
[00:10:56] 反正你教一个人
[00:10:58] 什么钓鱼啊
[00:10:59] 还能怎么讲
[00:11:00] 反正总之就是说
[00:11:01] 干你要叫他钓鱼啦
[00:11:02] 你不要只给他鱼啦
[00:11:03] 只给他鱼的话
[00:11:03] 有一天你不给他鱼
[00:11:04] 他一样饿死
[00:11:05] 就差不多这样的一个感受
[00:11:06] 那对
[00:11:07] 我跟我的天传法师
[00:11:09] 聊到这件事情的时候
[00:11:10] 他想说
[00:11:11] 你是有去翻一些点集吗
[00:11:13] 你怎么会突然注意到这个
[00:11:14] 然后我就说没有
[00:11:15] 就是不知道
[00:11:16] 就突然有一天觉得说
[00:11:17] 好像应该要去外面走一走
[00:11:18] 他说
[00:11:19] 我忘记他用了词什么
[00:11:20] 但反正就是
[00:11:20] 那是某一种那种召唤的感觉
[00:11:22] 就是有时候时间到的时候
[00:11:23] 你就开始注意到一些东西
[00:11:24] 对
[00:11:25] 确实我在跟大家分享完这个吸管消息
[00:11:27] 当然很多人整天传那个
[00:11:28] Instagram tag我说
[00:11:30] 他们吸管差得准不准
[00:11:31] 那个真的还蛮好笑
[00:11:32] 但确实有很多听众
[00:11:33] 他们有注意到这一part
[00:11:34] 然后就有提到说
[00:11:35] 恭喜梦工
[00:11:36] 你现在也开始进入
[00:11:37] 如何去找寻
[00:11:38] 让生命更加快乐
[00:11:40] 更充实的这个阶段
[00:11:41] 我觉得说
[00:11:41] 那我们可能真的是在
[00:11:43] 同一页上
[00:11:43] 这个感受是非常特别的
[00:11:45] 在那边稍微跟大家分享一下
[00:11:46] 那接下来我们来进入市场的话题
[00:11:48] 那最近的市场
[00:11:50] 还是非常的疯狂
[00:11:51] 就已经疯狂到老实讲
[00:11:52] 不知道该说什么
[00:11:53] 那像
[00:11:53] 自己手上的持股
[00:11:55] 我看了一下
[00:11:56] 昨天的新闻通知
[00:11:57] 就是又要再持续的关
[00:11:59] 所以我大概有
[00:12:00] 目前可能90%的资金
[00:12:02] 是在储置股里面
[00:12:03] 而且有很多是在
[00:12:04] 20分钟储置股里面
[00:12:05] 这代表什么意思
[00:12:06] 代表说
[00:12:07] 不知道
[00:12:07] 就今天假设真的崩盘
[00:12:08] 或是我想要去追
[00:12:09] 崩盘的时候
[00:12:10] 我完全跑不掉
[00:12:11] 肯定的
[00:12:12] 那想要追的话
[00:12:12] 你也买不到筹码
[00:12:13] 因为你去看他挂单
[00:12:14] 就剩下那种零零三三几张而已
[00:12:16] 所以已经进入一个
[00:12:17] 就真的是没事做的阶段
[00:12:19] 那最近我也跟自己的营业员
[00:12:21] 小抱怨一下
[00:12:22] 因为目前大家都知道说
[00:12:23] 券商他们去收容
[00:12:24] 不限用途借款
[00:12:25] 那像我之前的一个套路
[00:12:27] 就是反正我看对
[00:12:28] 就一直加码
[00:12:28] 那怎么样加码呢
[00:12:29] 因为钱是有限的
[00:12:30] 所以我就是买满之后
[00:12:31] 我可能就只要我的部位
[00:12:32] 然后接着我就带出
[00:12:33] 一部分的钱再买
[00:12:34] 那如果说再继续涨的话
[00:12:36] 那因为你就会去
[00:12:37] 回充你的维持率
[00:12:38] 数字就变大
[00:12:39] 你就可以再借更多的钱
[00:12:40] 再去压这样
[00:12:40] 所以就会在
[00:12:41] 假设你是一个
[00:12:42] 看对的波段之中
[00:12:43] 你的部位会会越来越大
[00:12:44] 那只是我的部位呢
[00:12:45] 已经是锁在原地
[00:12:46] 大概快要一个月左右了
[00:12:47] 因为券商不放额度给我
[00:12:49] 所以有时候也觉得
[00:12:49] 有点可惜啦
[00:12:50] 就是如果这一波
[00:12:51] 没有遇到这种额度控管的话
[00:12:53] 那可以打出一个
[00:12:54] 极度暴力的成绩
[00:12:56] 那这个也是不知道
[00:12:57] 我可能在年初
[00:12:58] 是不敢想的事情
[00:12:59] 但现在也不会去
[00:13:01] 觉得很难受啦
[00:13:02] 也不会说想要再去
[00:13:03] 找更多管道搬钱
[00:13:05] 反正就认为
[00:13:05] 这个是老天去
[00:13:07] 帮我们做一个风控
[00:13:08] 那搞不好后面
[00:13:09] 会出现一个超大的回档
[00:13:10] 如果你一路买的话
[00:13:11] 最后面那个回档
[00:13:12] 可能就一次让你吐掉蛮多的
[00:13:14] 虽然你搞不好会赚更多啦
[00:13:15] 但总之就是
[00:13:16] 是不会再去计较说
[00:13:17] 应该要再搬更多钱出来
[00:13:19] 反正发生的事情就是这样了
[00:13:21] 那我们就是
[00:13:21] 好好的把这一段给做好就好
[00:13:24] 那最近市场中
[00:13:25] 开始出现一些有趣的变化
[00:13:27] 那当然被动元件
[00:13:27] 还是非常的强势
[00:13:28] 大家去看日本的被动元件
[00:13:30] 是已经全部都做坏掉了
[00:13:32] 那最近一些公司
[00:13:33] 又有出来去开法说啦
[00:13:35] 不然说一些比较小的场次
[00:13:36] 那当然有些是股东会
[00:13:38] 那小的场次
[00:13:38] 我们就不去点出是哪些公司
[00:13:40] 但大概跟大家讲一下现状啦
[00:13:42] 反正总之就是
[00:13:43] 大家认为说
[00:13:43] 这一波就是一个
[00:13:44] 有需求driven的涨价
[00:13:46] 其实在一两个月前
[00:13:47] 你去听这些公司讲
[00:13:49] 他们还是认为
[00:13:49] 也是成本driven的一个涨价
[00:13:52] 就是他们其实是不太看好说
[00:13:53] 进入到第三季之后
[00:13:55] 还会持续的涨价
[00:13:55] 但你现在已经可以
[00:13:57] 有感的发现
[00:13:57] 这些公司都在改口
[00:13:58] 所以有时候市场派
[00:13:59] 会走在公司派的前面
[00:14:00] 就是这样
[00:14:01] 因为公司派
[00:14:01] 他们会比较保守一点
[00:14:03] 但他们在乐观的时候
[00:14:04] 又会比大家都还要来乐观
[00:14:06] 因为他们就是
[00:14:06] 看眼前的订单嘛
[00:14:07] 那可是为什么市场派
[00:14:08] 有时候会走在比较前面
[00:14:09] 因为市场派
[00:14:10] 可能认识的是甲方
[00:14:11] 也就是说下单的人
[00:14:12] 那被下单的人
[00:14:13] 自己都还不知道
[00:14:14] 他自己都还不知道
[00:14:15] 自己有过认证
[00:14:16] 那人家是甲方的
[00:14:17] 他知道
[00:14:18] 所以他会提早就告诉你说
[00:14:20] 你这边其实很好
[00:14:21] 然后可是乙方的
[00:14:22] 就会讲说
[00:14:22] 没有啊
[00:14:23] 我就还没有接到订单
[00:14:24] 或什么的
[00:14:24] 然后真的接到订单之后
[00:14:26] 就会发现说
[00:14:26] 原来这一波超级大的
[00:14:28] 然后他们会从一开始
[00:14:29] 拒绝相信
[00:14:30] 不敢相信
[00:14:31] 那甚至有些人
[00:14:31] 还会去把自己手上的持股卖掉
[00:14:33] 你也都会注意到
[00:14:34] 那种公司派在起商店
[00:14:35] 把持股卖掉
[00:14:36] 因为他们自己不相信
[00:14:37] 他们没有看过这种事情
[00:14:38] 所以赶快丢丢丢丢
[00:14:39] 所以你会注意到
[00:14:40] 台湾其实有蛮多公司派
[00:14:41] 他们那个持股很低
[00:14:43] 就真的是随时
[00:14:44] 人家要来takeover
[00:14:44] 你的公司都可以办到
[00:14:46] 那就是因为长期
[00:14:46] 我觉得就是
[00:14:47] 没有把自己的公司
[00:14:49] 想要去往一个
[00:14:49] 可能很长线的方向去经营
[00:14:51] 就觉得说
[00:14:51] OK 我就是做一波一波行情这样子
[00:14:53] 那没有想到
[00:14:54] 这一波AI带出来的行情
[00:14:55] 是超级大一段的
[00:14:57] 所以有很多人
[00:14:58] 其实在初期
[00:14:59] 就把自己的部位都抛掉
[00:15:00] 甚至公司派内部人
[00:15:02] 就觉得说
[00:15:02] 哇靠
[00:15:03] 这些人真的是有够可惜的
[00:15:04] 那反正总之就是
[00:15:05] 大家开始有注意到这件事情
[00:15:06] 那除了MLCC
[00:15:08] 还是市场中的一个
[00:15:09] 讨论核心之外
[00:15:10] 那大家也可以注意到
[00:15:11] 铝电容这边出事情
[00:15:12] 不然说像我们跟大家聊到的
[00:15:14] 不管是这种叠层式的
[00:15:15] 像是SP cap
[00:15:16] 那或者是呢
[00:15:17] 像是OS con
[00:15:18] 那或者是像是
[00:15:19] 那种牛角电容
[00:15:21] 也就是目前我们在江海这边呢
[00:15:23] 有收到一份memo
[00:15:23] 是提到说
[00:15:24] 它的全球缺口大概是高达
[00:15:26] 二十几%左右
[00:15:26] 就是说所有人的产能
[00:15:28] 加起来都是不够的
[00:15:29] 所以这边应该在后面
[00:15:30] 都会持续的发酵
[00:15:31] 持续的涨价
[00:15:32] 就简单的跟大家提一下
[00:15:33] 那当然在市场上
[00:15:35] 最近最火红
[00:15:36] 或说大家有吓到的
[00:15:38] 就是一些老AI的复辟
[00:15:39] 那其实不只是一些
[00:15:40] 老AI重新的站起来
[00:15:42] 那包含像是软体股
[00:15:43] 也出现了全面性的大爆色
[00:15:45] 那最近我们也注意到
[00:15:46] 像是Dario Samodi
[00:15:48] 也就是Enfrapia老板
[00:15:49] 然后跟Sam Altman
[00:15:50] 也就是OpenAI的老板
[00:15:52] 他们都开始不约而同的
[00:15:53] 我觉得Dario
[00:15:55] 他想要去转他的论述
[00:15:56] 但他又可能不想要
