[00:00:00] 欢迎收听古爱,我是孟公
[00:07:35] 这个已经超出他的能力范围
[00:07:37] 他没有办法去做处理
[00:07:38] 所以那时候就介绍
[00:07:39] 我们去台大而一
[00:07:40] 然后去找施警中医师
[00:07:41] 那其实我自己平常是
[00:07:42] 不会去推荐任何人
[00:07:43] 去找医师或什么的
[00:07:44] 因为我知道说医疗这种东西
[00:07:46] 严格上来说
[00:07:47] 你找到好的医师
[00:07:48] 可能就是你的骰子的
[00:07:49] 一面比较大而已
[00:07:50] 可是他就是有一定的
[00:07:51] 几率存在
[00:07:51] 那我不想去扛任何的卡马
[00:07:53] 或什么有的没有的东西
[00:07:54] 但是看到这位
[00:07:55] 心急的地方爸爸
[00:07:56] 我还是有跟他讲说
[00:07:57] 或许你可以去
[00:07:57] 台大而一试看看
[00:07:58] 你可以去找一下施警中医师
[00:08:00] 那其实当下找到施警中医师
[00:08:02] 我们是非常的感恩
[00:08:03] 首先也非常感恩我们
[00:08:04] 在诊所的这位医师
[00:08:06] 然后他帮我们推荐过去
[00:08:08] 因为他说他是他认识
[00:08:10] 可能在台湾最会处理
[00:08:11] 棘手案子的人
[00:08:12] 所以还要把我们
[00:08:13] 立刻的转整过去
[00:08:14] 施医师他在第一次
[00:08:16] 看我太太的时候
[00:08:17] 就直接讲说
[00:08:18] 这个没事情了
[00:08:20] 这个我会处理
[00:08:21] 他讲话就这样
[00:08:22] 就很chill
[00:08:23] 就chill guy
[00:08:24] 那时候跟大家分享
[00:08:24] 他就是一个chill guy
[00:08:25] 他很像那时候的一个
[00:08:26] 那叫什么
[00:08:27] 卡皮巴拉的迷营
[00:08:29] 就是一个chill guy
[00:08:30] 就长得完全的一模一样
[00:08:31] 然后声音也是非常的放松
[00:08:33] 他就告诉你说
[00:08:34] 没有事情他会做处理
[00:08:35] 那即便可能后面
[00:08:36] 还是有看到一些
[00:08:37] 有的没有的东西
[00:08:38] 但每次都有一种
[00:08:39] 那种化险为一的感觉
[00:08:40] 所以找到一个
[00:08:41] 非常好的医师
[00:08:42] 其实是我们家的一个大姓
[00:08:44] 那后来我还自己去爬文
[00:08:46] 了解一下说
[00:08:47] 诗医师喜欢什么
[00:08:47] 那等到可能看完整之后
[00:08:49] 我一定要好好地感谢他
[00:08:51] 那就看到说
[00:08:52] 他好像还蛮喜欢小酌的
[00:08:53] 所以本来要送他酒
[00:08:54] 结果他也不熟
[00:08:55] 他完全不熟
[00:08:55] 就是你要给他什么
[00:08:57] 他都不要
[00:08:57] 那他就说什么
[00:08:58] 在台大当医师
[00:08:59] 就类似是公务员或什么
[00:09:00] 反正他有自己
[00:09:01] 很严格的一个道德界限
[00:09:04] 那后来我也不知道该怎么办
[00:09:05] 我就这样
[00:09:06] 我就捐钱给台大而已
[00:09:07] 至今我都还是有
[00:09:08] 在定期扣款
[00:09:09] 捐钱给台大而已
[00:09:10] 因为就是要去表示自己心中的那一种感恩
[00:09:12] 那希望每个人的孩子
[00:09:15] 都可以比较遇到
[00:09:16] 像我们曾经遇到的事情
[00:09:17] 那或者说就算你遇到
[00:09:18] 然后最后面可以像我们一样去
[00:09:20] 化险为宜
[00:09:21] 所以这算是我很少数
[00:09:22] 就是有跟大家推说
[00:09:23] 或许你可以去找看看
[00:09:24] 哪一个医院或是哪一个医师
[00:09:26] 那因为他当时真的是让我如是重负
[00:09:28] 因为从本来是那一种
[00:09:30] 就是怎么讲
[00:09:31] 就你遇到的
[00:09:31] 本来的医师跟检验的
[00:09:32] 都告诉你说
[00:09:33] 这个没有办法
[00:09:34] 这个没看过
[00:09:34] 那个检验的甚至跟我讲说
[00:09:35] 这个我看了二十几年
[00:09:37] 三十几年
[00:09:37] 没有看过这种东西
[00:09:38] 你当下听到你真的会吓死
[00:09:40] 然后又叫你说什么
[00:09:41] 去做一些基因检测
[00:09:42] 这应该是一些罕见疾病或什么的
[00:09:44] 那我在节目跟大家分享我的心路历程
[00:09:46] 又一堆听众会私讯我说
[00:09:47] 像后来他跟我讲说
[00:09:49] 其实已经没有什么状况的时候
[00:09:50] 然后我在节目讲这个
[00:09:52] 又有听众讲说
[00:09:52] 我的孩子就是当时被说没有什么状况
[00:09:55] 然后他症状跟你很像
[00:09:56] 然后最后面他在家务病房
[00:09:57] 待了一年之后就过世了
[00:09:59] 怎么讲
[00:09:59] 就是因为你曝光在太多的资讯里面
[00:10:02] 所以某个程度上对你来说
[00:10:03] 也是一个很大的煎熬
[00:10:05] 就是可能一般人受到煎熬是不到10分吧
[00:10:07] 那我大概是50分
[00:10:08] 因为我接触到资讯太多了
[00:10:10] 可能也是因为我跟大家分享的这些东西
[00:10:12] 所以就是像回应一样
[00:10:14] 很多东西就传回来
[00:10:15] 所以我也不知道自己当时是怎么度过的
[00:10:17] 但真的是印象中
[00:10:18] 安哥在一岁以前
[00:10:19] 就是我们整天都是在医院的路上
[00:10:21] 然后每次看到台大医院就超级犹豫
[00:10:24] 然后再来就是又很常
[00:10:25] 因为一些问题要跑回去
[00:10:26] 可能住院或什么的
[00:10:28] 那甚至是在罗马的时候
[00:10:30] 也差点就搞到要住院
[00:10:31] 所以后来久而久之
[00:10:33] 真的会对于健康这种事情看得非常的重
[00:10:35] 包含说像我自己家去证实自己的
[00:10:37] 可能身体的一些状态
[00:10:39] 我想要减重去照顾胆固存
[00:10:41] 其实都是一样的道理
[00:10:42] 因为发现说健康真的太重要了
[00:10:44] 然后每一次自己的孩子又获得拯救的时候
[00:10:47] 像那时候在BambinoJesu
[00:10:49] 有跟大家说这个罗马的免费医院
[00:10:51] 他帮我孩子看是免费
[00:10:53] 然后跟我讲说没有事情
[00:10:54] 我就一样是捐几十万给他了
[00:10:56] 反正我的心态就是
[00:10:57] 这个都是我捡来的
[00:10:59] 我们受制于社会
[00:11:00] 我们也会回馈于社会
[00:11:02] 总之反正希望听众的孩子没事
[00:11:06] 因为那时候其实
[00:11:07] 我们的孩子去找台大而易的市井中的时候
[00:11:10] 也是有蛮多地方听众在那边有遇到
[00:11:14] 我也觉得蛮好笑
[00:11:15] 大家都会苦中做的
[00:11:16] 因为大家来找市井中的
[00:11:17] 可能都是知道说孩子是有一点状态
[00:11:20] 可是在那边就孩子会拍照或什么的
[00:11:23] 希望大家孩子后来都是没有事情
[00:11:25] 如果说你的孩子也是有可能有一些状态的
[00:11:27] 他真的是一个不错的意思
[00:11:28] 大家可以去试试看看
[00:11:29] 我这边稍微跟大家分享一下
[00:11:31] 那接下来我们来进入节目的话题
[00:11:32] 那相信在礼拜五
[00:11:34] 大家的感觉就是
[00:11:35] 就算了
[00:11:35] 就是这次是真的
[00:11:36] 感觉是跌得蛮大的
[00:11:38] 但我觉得跟过往几次
[00:11:40] 自己的做法不太一样的点是
[00:11:42] 就是以前一般我们看到
[00:11:44] 这样子的一个状态
[00:11:45] 就一定会去做减码
[00:11:46] 就这个地方就是你降杠杆
[00:11:48] 跟减码的地方
[00:11:49] 那我以前都会这样做
[00:11:50] 但为什么这次没有这样做呢
[00:11:52] 我觉得是因为
[00:11:53] 今年的行情真的太疯狂了
[00:11:54] 所以我甚至是在礼拜五
[00:11:55] 看到一些跌一天的东西
[00:11:56] 我还很高兴地跑进去买
[00:11:58] 因为对我来讲就是
[00:11:59] 就算你跌一天
[00:12:00] 你再跌三根
[00:12:01] 你都跌不回我的成本
[00:12:02] 那你前面都一直涨
[00:12:04] 我反而没有加码机会
[00:12:05] 或是说
[00:12:06] 因为我动能已经追了
[00:12:07] 我追满了
[00:12:08] 那我想要去买一些
[00:12:09] 可能对我来讲
[00:12:10] 是比较偏向长头的部位
[00:12:11] 那动能的部位有时候
[00:12:12] 那心态又切开来了
[00:12:13] 所以就反而是在礼拜五
[00:12:16] 就是你看到一些东西跌一天的时候
[00:12:17] 然后进去搜
[00:12:18] 即便可能到收盘的时候
[00:12:19] 它都是锁着跌一天的
[00:12:20] 心中也是觉得很踏实
[00:12:21] 因为反正已经很明确地
[00:12:23] 识别到一些族群的机会了
[00:12:25] 那对我们来讲
[00:12:26] 就是等待它发酵而已
[00:12:27] 那其实成本也拉得够远
[00:12:28] 所以我自己观察
[00:12:30] 就是我身边可能
[00:12:32] 水位或是说
[00:12:34] 目前的量体跟我差不多的人
[00:12:35] 我没有感觉到恐慌
[00:12:37] 真的都没有感觉到恐慌
[00:12:38] 那当然我去看一下我的Telegram
[00:12:40] 我就注意到说
[00:12:41] 里面已经很多人恐慌
[00:12:42] 那没有办法
[00:12:42] 因为一些那种小菜机
[00:12:44] 就注定一定会受伤
[00:12:44] 你刚来就一定要先学会一些受伤
[00:12:47] 那可是对一些
[00:12:48] 就是在里面玩久的人来说
[00:12:50] 我觉得到礼拜五
[00:12:51] 都还没有见到任何人
[00:12:53] 有恐慌的感觉
[00:12:54] 因为真的是喷太远了
[00:12:56] 甚至在礼拜五的开盘的时候
[00:12:57] 还一堆人是绩效性高的位置
[00:12:59] 所以真的就是
[00:13:00] what the fuck cares
[00:13:01] 就是反正就继续放下去
[00:13:02] 那总之呢
[00:13:04] 稍微跟大家讲一下
[00:13:05] 就是一般来讲
[00:13:06] 看到这样子的一个跌法
[00:13:08] 那一定会去做这样杠杆杆
[00:13:09] 那只是
[00:13:10] 这次有点不太一样
[00:13:11] 就是说
[00:13:12] 因为已经是
[00:13:13] 讲的因为就赚太多了
[00:13:14] 所以根本就没差
[00:13:15] 就是放着给它跌
[00:13:16] 那观察一下
[00:13:17] 看后面怎么样
[00:13:17] 所以这个有点像是说
[00:13:19] 就之前会讨论到
[00:13:20] 有些部位
[00:13:21] 假设说你分的比较散
[00:13:22] 你会注意到你比较容易吃完整个波段的原因
[00:13:24] 是因为
[00:13:25] 第一个它占比不高
[00:13:26] 所以它跌的时候
[00:13:27] 你可能也懒得去插小它
[00:13:29] 那反而呢
[00:13:30] 你可以扛过几个回档
[00:13:31] 然后最后面吃到全部的波段
[00:13:32] 那再呢
[00:13:33] 就是因为
[00:13:33] 它可能站的部位不多
[00:13:35] 可能拉出成本也太远了
[00:13:36] 所以你根本就懒得去管它
[00:13:37] 那我现在比较偏向是后者
[00:13:39] 就是
[00:13:39] 你站的部位不一定是小的
[00:13:41] 但是因为它拉力成本太远了
[00:13:43] 所以相较之下
[00:13:44] 蛮多东西也都在膨胀
[00:13:45] 那就会变成说
[00:13:46] 好像这个部位
[00:13:47] 我现在也不会急着要去动它
[00:13:49] 就算你再给我两三根叠停
[00:13:50] 好像也没差
[00:13:50] 那就变成
[00:13:51] 其实蛮有机会
[00:13:52] 会吃到一个大的波段
[00:13:54] 那以一些动能的部位来讲
[00:13:56] 也是这样
[00:13:56] 就以前说那些动能的部位
[00:13:57] 蛮多就是说
[00:13:58] 一波波段拉上去
[00:13:59] 不知道可能一两个月
[00:14:00] 然后一掉下来
[00:14:01] 大家就把它砍掉
[00:14:01] 那自己也会这样子做
[00:14:03] 但这波真的在调整方面
[00:14:04] 我注意到我身边的朋友
[00:14:05] 绝大多数都还是蛮老生在在的
[00:14:07] 那一样
[00:14:08] 我们就可能再继续的观察下去吧
[00:14:09] 那要我自己拆的话
[00:14:11] 我会觉得说
[00:14:12] 这个修正呢
[00:14:13] 应该不会拖太久了
[00:14:15] 应该不会拖太久
[00:14:15] 因为前面的斜率实在是太陡了
[00:14:17] 所以反正就叠一叠杀一杀
[00:14:19] 然后把一些不稳的筹码给吓跑
[00:14:21] 一定有些人要输点钱
[00:14:22] 因为在过去
[00:14:23] 其实你已经看到这个盘
[00:14:25] 它有一些
[00:14:25] 特别是你去观察一些
[00:14:27] 那种散户指标最明显
[00:14:28] 就是开始有些标的
[00:14:29] 就在说看那个腰瓷金母
[00:14:31] 过去大家最爱的东西
[00:14:32] 然后我就看到一些讨论区
[00:14:34] 在讲说什么
[00:14:34] 跌死了摔死
[00:14:35] 我一打开来看
[00:14:36] 一%多两%
[00:14:37] 一%多两%
[00:14:38] 对你们来说叫跌死
[00:14:39] 那你们真的遇到那种空头的时候
[00:14:41] 你们一定死的
[00:14:41] 就这个根本比较跌死
[00:14:43] 这就是一个正常能量释放而已
[00:14:44] 那当然它后面可能就觉得说
[00:14:46] 做一个头还会有下去的空间
[00:14:48] 只是你在一%两%
[00:14:49] 你就觉得这个叫大跌的人
[00:14:51] 然后也看到
[00:14:52] 就我自己的telegram
[00:14:53] 也会有些人开始去做一些
[00:14:55] 很奇怪的留言什么
[00:14:56] 有一个标的
[00:14:56] 它前面是喷爆的
[00:14:57] 像联发科前面喷爆
[00:14:58] 然后现在回答一下什么
[00:14:59] 联发科大逃杀
[00:15:01] 我想说这哪里是大逃杀
[00:15:03] 你们是不是没有看过
[00:15:04] 真的大逃杀长什么样子
[00:15:05] 总之这个行情
[00:15:07] 我觉得贯出了一群
[00:15:08] 他们可能是后来才加入市场
[00:15:11] 或甚至是我觉得历练不够的人
[00:15:13] 所以一定有些人要受伤
[00:15:15] 简单来讲
[00:15:16] 这个世界你拉长看
[00:15:17] 不可能每个人都赚钱
[00:15:18] 所以当每个人都在赚钱的时候
[00:15:20] 像我们前面讲
[00:15:21] 天罚一定会发生
[00:15:22] 天罚发生的时候
[00:15:23] 其实就是淡然的去面对它
[00:15:25] 总是会学会
[00:15:26] 我们也不知道去歧视新人
[00:15:28] 因为我们曾经也都拆过
[00:15:29] 总之要学习的一个点
[00:15:31] 就是说
[00:15:31] 这样不要太容易的
[00:15:32] 特别是你的看法方面
[00:15:34] 不要因为行情的变化
[00:15:35] 看法就转变
[00:15:37] 很多时候会把自己的脸打爆
[00:15:38] 当然脸打爆是小事
[00:15:40] 最怕的就是说
[00:15:41] 你可能最后面什么都没有买到
[00:15:42] 什么都没有爆到
[00:15:43] 什么钱都没有赚到
[00:15:44] 那就是很可惜了
[00:15:45] 整天进市场
[00:15:46] 就是在最乐观的时候
[00:15:47] 追追追追追
[00:15:47] 然后开始回档的时候
[00:15:48] 就砍砍砍砍砍
[00:15:49] 而且纪律纪律
[00:15:50] 有开口闭口都纪律
[00:15:51] 然后回头看
[00:15:52] 纪律了半天
[00:15:53] 一个懒叫都没有赚到
[00:15:55] 这个可能是要比较小心的
[00:15:57] 我们先大概看一下
[00:15:58] 目前盘面的结构
[00:15:59] 首先在泰国这边可以注意到
[00:16:01] 老AI一大堆都摔得很重
[00:16:03] 这些老AI
[00:16:04] 当然它摔很重
[00:16:06] 蛮多在市场里面
[00:16:07] 去做fundamental分析的
[00:16:08] 他们最常提出来的一个说法
[00:16:10] 就是说有蛮多家
[00:16:12] 但我们就不去点名
[00:16:13] 但老AI反正就那几个
[00:16:14] 大家都非常熟悉
[00:16:15] 他们的毛利的表现
[00:16:17] 可能是有一点不如预期
[00:16:18] 只是这个在我自己的角度来看
[00:16:20] 我觉得它是一个短期的事情
[00:16:22] 因为现在其实有蛮多
[00:16:23] 都在做下一代的迭代
[00:16:25] 它是需要一些研发
[00:16:26] 需要一些开发
[00:16:27] 需要投入一些成本的
[00:16:28] 需要有一些学习曲线的事情
[00:16:30] 要去考虑的
[00:16:30] 所以我自己会觉得说
[00:16:32] 像这种毛利率的问题
[00:16:33] 应该是不会变成是一个
[00:16:36] 长趋势
[00:16:37] 它应该只是一个短线的状态
[00:16:39] 然后后面就会去做改善
[00:16:40] 就会很类似说
[00:16:41] 在上集有稍微提一下汉堂
[00:16:43] 因为大家都觉得说
[00:16:44] 那个毛利率就一直下去
[00:16:45] 就要surprise motherfuck跳起来
[00:16:46] 但它也不会涨
[00:16:47] 所以一样的道理
[00:16:48] 我觉得是这样
[00:16:49] 就是我们并不是要讲说
[00:16:50] 这个毛利率是一个短期的影响
[00:16:52] 那so它就是一定要继续涨
[00:16:53] 我不会这样子想
[00:16:54] 那当然最主要的一个考量
[00:16:56] 其实是筹码面的问题
[00:16:57] 那什么叫筹码面问题呢
