[00:00:00] 欢迎收听古埃,我是孟公
[00:03:49] 就是我觉得
[00:03:50] 我们都是在搞自己的东西
[00:03:51] 甚至是
[00:03:52] 因为我自己家身边的听众
[00:03:54] 蛮多就是
[00:03:55] 像是我自己的营业员
[00:03:56] 或者是说市场里面的
[00:03:57] 其他的大户或什么的
[00:03:58] 所以基本上如果说
[00:04:00] 真的是有在做一些
[00:04:01] 猥琐的事情
[00:04:01] 那个是盖不住的
[00:04:02] 所以像我自己
[00:04:03] 非常讲究的一点是
[00:04:05] 我自己在买的一些
[00:04:06] 可能市值是
[00:04:07] 大概百亿左右的东西
[00:04:09] 我就不会在节目里面去讲它
[00:04:11] 因为我知道这种东西
[00:04:12] 就是你讲了
[00:04:12] 就会直接影响到市场或什么
[00:04:14] 那你妈的
[00:04:14] 你有种就说
[00:04:15] 我去影响台积电
[00:04:16] 或是鸿海
[00:04:16] 或是广达
[00:04:17] 或是那些美股的东西
[00:04:18] 我没查
[00:04:19] 甚至是一种肯定
[00:04:20] 就好像可以寒动这些东西
[00:04:22] 但中小我自己有去闪
[00:04:23] 所以我们绝对不会想要
[00:04:25] 去拱任何人上车
[00:04:26] 或者说什么
[00:04:27] 我认识孟共
[00:04:28] 认识古来
[00:04:28] 他在推什么东西
[00:04:29] 那个一定都是这个人
[00:04:30] 他妈在耍智障
[00:04:31] 所以千万不要去相信
[00:04:33] 这种来路不明的东西
[00:04:34] 或甚至像之前是更low那种诈骗的
[00:04:36] 然后说什么
[00:04:37] 我要去交你股票
[00:04:38] 我没有空去交你股票
[00:04:40] 收你他妈几百块
[00:04:41] 你甚至你给我一百万
[00:04:42] 我都不交你
[00:04:43] 像人家找我去什么演讲
[00:04:45] 你要给我三五十万
[00:04:46] 我都不出门的
[00:04:47] 所以讲这个
[00:04:47] 并不是要去说
[00:04:48] 自己膨胀什么
[00:04:49] 我只是觉得有时候很好笑
[00:04:51] 就是蛮多在传东西的人
[00:04:53] 你搞不清楚
[00:04:54] 就是别人跟你的差距
[00:04:55] 到底已经有多大了
[00:04:56] 你还在用
[00:04:57] 就是你很土炮的方式
[00:04:58] 就像是
[00:04:58] 我不知道就有些人
[00:04:59] 会看到什么川普
[00:05:01] 然后他在什么炒股票
[00:05:02] 他要赚钱
[00:05:02] 你要想他都八十几岁了
[00:05:04] 就当然你可以相信说
[00:05:06] OK他就是为了钱
[00:05:06] 就像是有些人会相信说
[00:05:07] 马斯克都还是为了钱
[00:05:09] 你会这样子讲
[00:05:10] 就代表说你就是没钱
[00:05:11] 所以很多时候
[00:05:12] 你从一个人讲的话
[00:05:13] 你就会知道说
[00:05:13] 他现在的状态是怎么样
[00:05:15] 就类似蒙哥讲的
[00:05:16] 就如果你是一个锤子
[00:05:17] 你看什么都是钉子
[00:05:18] 你就是想要钱
[00:05:19] 就觉得每个人都要钱
[00:05:20] 你说要不要钱
[00:05:21] 大家当然都要钱
[00:05:22] 可是到某个位阶
[00:05:23] 钱对他来讲
[00:05:24] 甚至不一定会比
[00:05:26] 他的名声或什么
[00:05:27] 有种种
[00:05:27] 他非常爱惜自己的羽毛
[00:05:29] 那当然
[00:05:29] 信不信有你
[00:05:31] 那是大家自己的事情
[00:05:32] 就还是有必要在这边讲一下
[00:05:33] 因为开始越来越多人
[00:05:34] 会去仿冒说
[00:05:35] 我讲什么东西
[00:05:36] 那我说我们要认识
[00:05:37] 我在推什么
[00:05:38] 我们是绝对不会去做这种事情
[00:05:40] 因为根本就没有必要
[00:05:41] 根本就没有必要
[00:05:41] 你两根大红可以散户自己
[00:05:43] 就来相见了
[00:05:44] 你还有需要去跟大家讲说
[00:05:45] 你要推什么
[00:05:46] 这超low的
[00:05:47] 所以再来稍微的跟大家讲一下
[00:05:49] 那最近我同时也是对于说
[00:05:50] 到底台湾的房地产
[00:05:52] 是不是又要再一次
[00:05:53] 开车这件事情呢
[00:05:54] 开始产生了一些想法
[00:05:56] 因为我们最近就是要去
[00:05:58] 启动一些生意嘛
[00:05:59] 那像包含之前有跟大家讲说
[00:06:00] 应该在今年会启动一个餐厅
[00:06:02] 那其实在明后年都有蛮多东西
[00:06:04] 都会想要去做啦
[00:06:06] 那其实我们身边有蛮多
[00:06:07] 像我一样这样子的人
[00:06:08] 反正我们的兴趣就是
[00:06:09] 因为我们都搬来林口了嘛
[00:06:11] 那我们其实也蛮喜欢这个地方
[00:06:12] 那所以希望去引进一些自己的东西
[00:06:14] 甚至我有一些朋友
[00:06:15] 他们在跟我讲一个蛮有趣的
[00:06:17] 这个
[00:06:17] 或许如果真的是你有兴趣的
[00:06:19] 我们可以试着联络看看
[00:06:21] 但我希望可以简单一点
[00:06:22] 越简单越好
[00:06:23] 反正呢
[00:06:23] 就是因为我们身边有蛮多朋友
[00:06:25] 那或者说他们是在林口
[00:06:26] 当地也是经营投资公司
[00:06:27] 他们都算是吃货啦
[00:06:28] 就是蛮喜欢吃东西的
[00:06:29] 那只是现在有些聚餐呢
[00:06:31] 因为林口的这个料理
[00:06:32] 还是不够充足啦
[00:06:34] 所以呢
[00:06:34] 蛮多时候就是可能会需要
[00:06:35] 自己还要跑去台北一趟
[00:06:36] 那或者是呢
[00:06:37] 可能就是叫LaLa Move
[00:06:38] 把东西送过来
[00:06:40] 然后他们就觉得说
[00:06:40] 其实就是缺一点点拼图了
[00:06:42] 那如果说我们可以在林口这边
[00:06:44] 去找到一块地
[00:06:45] 而且我们其实已经有找到了
[00:06:47] 那我们就去把一些厂商引进来
[00:06:49] 那简单来讲就是呢
[00:06:50] 你的装潢或什么东西
[00:06:51] 我们都可以帮你出钱
[00:06:52] 我只要确定你的东西是好吃的
[00:06:54] 我就帮你出钱
[00:06:55] 那就让你来这边开
[00:06:56] 那希望你可能就至少在这边
[00:06:58] 要待一阵子以上
[00:07:00] 那当然如果过了这个时间之后
[00:07:01] 那发现说这个投资是失效的
[00:07:03] 就是呢
[00:07:04] 在这边其实也是生意不好
[00:07:05] 搞不起来的话
[00:07:06] 那其实风险也是由我们在承担嘛
[00:07:08] 因为是我们出最多的钱
[00:07:09] 你可能就是浪费了一段时间而已
[00:07:10] 但我觉得这个对大多数人来说
[00:07:12] 应该是一个
[00:07:12] 这个蛮值得尝试的东西
[00:07:14] 像我去投一些生意
[00:07:16] 我基本上也都是出到全资
[00:07:18] 但是我只拿可能
[00:07:19] 20% 30%以内的股份
[00:07:21] 那我觉得这样的模式
[00:07:22] 我会持续的下去
[00:07:23] 因为稍微的年轻一点的时候
[00:07:25] 其实那时候就会觉得说
[00:07:26] 反正就白纸黑字
[00:07:27] 那出多少钱拿多少股份
[00:07:28] 但后来发现
[00:07:29] 做事情不能是这样
[00:07:30] 特别是如果你是纯资本方的话
[00:07:32] 那如果说你今天出钱拿很多股份
[00:07:34] 你赔掉是没事
[00:07:35] 但是如果赚钱一般就会开始出事
[00:07:37] 那当然你可以讲说
[00:07:38] 有些创办人是干嘛不贵啊
[00:07:40] 或什么的
[00:07:41] 就是你明明赚好钱
[00:07:42] 当初没有我也没有你
[00:07:43] 但我觉得不免啦
[00:07:44] 就人性啦
[00:07:45] 大家就会开始觉得说
[00:07:46] 妈的
[00:07:46] 我赚这么多钱
[00:07:48] 那有一个资本方可以躺在那边收钱
[00:07:50] 好像不太对
[00:07:50] 所以后来我们都会浪力啦
[00:07:52] 那我发现我们生意满多朋友
[00:07:53] 也都会去做这种浪力的事情
[00:07:54] 就是让大家开心嘛
[00:07:55] 那创办人知道说
[00:07:56] 其实公司都是他的
[00:07:57] 那人家只愿
[00:07:58] 类似说甚至像是借你钱一样
[00:08:00] 因为他明明就是丢了
[00:08:01] 可能七八成的钱
[00:08:02] 可是他只拿一两成的股份
[00:08:03] 所以基本上像是无息借款一样
[00:08:06] 那还没有这个偿还的必要
[00:08:08] 如果说真的倒掉的话
[00:08:09] 因为他是股权嘛
[00:08:09] 那所以我们是实际有去
[00:08:11] 一直去做这样子的一个推进
[00:08:13] 那我在最近在看店面的时候
[00:08:15] 我就觉得说
[00:08:15] 其实林口这边的店面
[00:08:16] 都还是蛮硬的
[00:08:17] 就大家都在讲说
[00:08:18] 房地产来修正嘛
[00:08:19] 那不然像是
[00:08:20] 自己身边的朋友在做仲介的
[00:08:22] 也讲说
[00:08:23] 最近的成交上真的掉很多
[00:08:24] 跟去年我都前人同期去比的话
[00:08:26] 那个数字都不太好看
[00:08:27] 但我后来发现一个
[00:08:29] 这个蛮铁血的事实
[00:08:32] 就是如果说今天一个区域里面
[00:08:34] 他来参与的人
[00:08:35] 他可能是比较偏向都是投机仔
[00:08:37] 或是他开了大量杠杆进来潮的
[00:08:39] 那当然他可能就会有
[00:08:41] 立即吸引的一些断头的压力
[00:08:42] 或是风险
[00:08:43] 那或者说在被收紧银根的时候
[00:08:45] 他就必须要去抛售手上的东西
[00:08:47] 但我们林口这边我不知道什么
[00:08:48] 就是我现在看到有蛮多的物件
[00:08:50] 他基本上他的态度是有点像
[00:08:52] 他说老子又摆在那
[00:08:53] 就是你要不要买
[00:08:54] 你要不要租我没差
[00:08:55] 那所以我自己也稍微问一下
[00:08:56] 身边的仲介朋友
[00:08:57] 他想说这边确实有蛮多的房东
[00:08:59] 或者屋主都是这样子的一个态度
[00:09:01] 所以就即便大家讲说
[00:09:03] 什么房地产很冷
[00:09:04] 可是当我们自己去看一些物件
[00:09:05] 然后或是说要去租一些店面
[00:09:07] 要来做使用的时候
[00:09:08] 都发现说
[00:09:09] 其实还是蛮难瞧的
[00:09:11] 然后搭配最近不是央行还在讲说
[00:09:13] 他们的控管大概就到这边
[00:09:14] 我想说会不会后面
[00:09:15] 妈又要再开车了
[00:09:16] 那当然我们这个节目叫古矮
[00:09:17] 不叫房矮
[00:09:18] 不会去搞房子
[00:09:19] 所以我就观察到这个现象
[00:09:20] 我就发现说
[00:09:20] 妈 台湾的房地产真的是铁板一块
[00:09:23] 就在我的感受
[00:09:24] 真的像是铁板一块
[00:09:25] 特别是那种新兴的市政
[00:09:26] 那也合理吗
[00:09:27] 因为最终就是回归工需
[00:09:28] 一个地方很多人要搬进来
[00:09:29] 很多人有住宿
[00:09:30] 或者说租店面的需求
[00:09:31] 那个东西就会称在那
[00:09:33] 那即便可能有时候蛮残酷的
[00:09:35] 就是你会注意到
[00:09:35] 很高的一个流动率
[00:09:36] 那像我年轻的时候
[00:09:37] 也会想去骂这些房东
[00:09:38] 就会觉得说
[00:09:39] 骂的真的是贪婪的房东
[00:09:40] 然后搞到很多生意做不起来
[00:09:42] 但随着自己的年纪增长之后
[00:09:44] 其实不会想去骂了
[00:09:45] 就会觉得说
[00:09:45] 你毕竟骂
[00:09:46] 如果你自己是房东的话
[00:09:47] 你会想要在什么精华地带
[00:09:48] 然后把你的东西
[00:09:49] 租得很便宜
[00:09:50] 租给别人吗
[00:09:50] 你可能也不会想到这样子吗
[00:09:52] 所以一样的道理就是
[00:09:53] 如果你今天是一个屋主
[00:09:54] 那你当时买来的成本
[00:09:55] 然后随便举例是一千万的话
[00:09:56] 然后现在房价是一千八百万
[00:09:58] 你也不会想说
[00:09:59] 那我就骂一千一百万就好
[00:10:00] 所以就是类似的东西
[00:10:01] 有时候也不是说
[00:10:02] 为什么人家贪婪
[00:10:03] 就只是人家卡位卡的比你少
[00:10:05] 就觉得其实好像
[00:10:07] 目前我们自己投的一些生意
[00:10:09] 当然你很明显就看出来说
[00:10:11] 就是房租就是一个最大的压力
[00:10:12] 可是反正就是不爽不要干
[00:10:14] 就如果说你真的还是觉得
[00:10:16] 这个东西可以尝试的话
[00:10:17] 那就是找一个
[00:10:18] 可能就是折中的点
[00:10:19] 你想要最好的点
[00:10:20] 那一定超贵
[00:10:21] 可是如果说便宜的点
[00:10:23] 那可能说这个location又是不太好
[00:10:25] 可能旁边又没有人之类的
[00:10:27] 总之就是找一个
[00:10:28] 自己可以负担的地方去做
[00:10:29] 只是同时就是有感而发
[00:10:31] 就觉得说哇
[00:10:32] 这个租金真的是
[00:10:33] 对于这些创办人来说
[00:10:34] 是蛮大的压力
[00:10:35] 那只是好在说
[00:10:36] 因为有我们这样的一些存在
[00:10:38] 所以等于说
[00:10:39] 创办人自己要去扛这些风险
[00:10:40] 对来讲太大了
[00:10:41] 赌太多了
[00:10:42] 那可是如果有一些资本方
[00:10:44] 要去加入的话
[00:10:44] 其实是蛮不错的
[00:10:45] 所以就跟我们其实去搞
[00:10:47] 校南的那个逻辑是一样
[00:10:49] 反正说大家可能
[00:10:50] 在自己的本业上面
[00:10:51] 有一些收获的话
[00:10:52] 那是蛮乐意再拿出来
[00:10:54] 然后可能去
[00:10:54] 做一些有趣的side project
[00:10:56] 那不会说是不求回报
[00:10:58] 当然大家都希望是赢
[00:10:59] 大家都希望是赚大的
[00:11:01] 可是呢
[00:11:01] 就真的是市场上会有一些人
[00:11:03] 他们会认为说
[00:11:04] 反正重点是
[00:11:05] 只要把这个地方浮起来就好
[00:11:07] 那你不要让我说什么
[00:11:08] 每年都要增资进去狂赔钱
[00:11:10] 就不要这样子就好
[00:11:11] 那如果说你知道说
[00:11:12] 我的填损的范围在哪
[00:11:14] 就是我的资本额可能丢进去
[00:11:15] 反正最后面你烧掉
[00:11:16] 那就挂掉
[00:11:17] 那我们就是愿赌服辅
[00:11:18] 这个其实是蛮多人愿意尝试的
[00:11:20] 所以不知道在林口去搞一个
[00:11:21] 这种小吃摊
[00:11:23] 有没有搞头
[00:11:23] 就是说复合式的找一个点
[00:11:25] 然后有好几个摊会进来
[00:11:26] 然后大家都有东西可以买
[00:11:28] 就是最近有朋友在跟我讲这个
[00:11:30] 他就说大家是有资源可以丢
[00:11:32] 可是应该没有一些影响力
[00:11:35] 可以问到有没有人要进来
[00:11:36] 所以我们就或许在这边
[00:11:37] 稍微的跟大家问看看
[00:11:38] 看有没有人
[00:11:39] 有这样子的一些想法
[00:11:41] 因为我们确实已经像
[00:11:42] 我自己丢的几个生意
[00:11:43] 他们本身都不是林口
[00:11:44] 可是因为这样子都办来林口
[00:11:46] 我觉得也是蛮好玩的
[00:11:47] 因为像是说
[00:11:47] 你朋友不够多
[00:11:49] 就自己在这边去找一些朋友进来
[00:11:51] 大家讲
[00:11:52] 那简单跟大家分享一下
[00:11:52] 最近的一些想法
[00:11:53] 因为随着最近的市场上涨效性
[00:11:56] 是越来越频繁的出现
[00:11:58] 所以我个人是认为说
[00:11:59] 像前面的一些被动元件
[00:12:01] 它本来是从一个
[00:12:02] 可能没有多少人相信
[00:12:03] 或是半信半疑的状态
[00:12:04] 然后到现在是一个全面相信
[00:12:06] 然后甚至是
[00:12:07] 有些人开始会发现说
[00:12:08] 你在一些社群的河道
[00:12:10] 或是讨论区
[00:12:10] 就要全部都在讨论这个东西
[00:12:12] 那当然
[00:12:12] 讲这个不是说什么
[00:12:13] 它在这边
[00:12:14] 就会去做一个结束
[00:12:15] 是一般就是到这种时间点
[00:12:16] 我们会去依赖
[00:12:17] 可能基础面的成分
[00:12:19] 会是稍微的大于基本面
[00:12:20] 那简单来讲就是
[00:12:21] 虽然你可能从基本面的角度
[00:12:23] 你注意到说
[00:12:24] 都还是有机会
[00:12:25] 在后面是有肉的
[00:12:26] 但是因为随着参与的人变多
[00:12:28] 那它一定就会变得比较稀一点
[00:12:30] 就是有些东西
[00:12:31] 那种筹码会乱掉
[00:12:32] 所以像前阵子就会注意到说
[00:12:33] 有一些那种可能
[00:12:34] 比较中小的
[00:12:35] 就开始出现一些
[00:12:35] 那种大到货的情形
[00:12:37] 但当然它可能到完货之后
[00:12:38] 没几天又站回去
[00:12:39] 像前面那样
[00:12:40] 那只是呢
[00:12:40] 就是开始会有一些乱流的产生
[00:12:42] 那像我自己
[00:12:43] 其实最近也在思考这件事情
[00:12:44] 因为我后来就发生说
[00:12:45] 为什么我在过去的
[00:12:46] 一两个月
[00:12:47] 就完全觉得自己迷失感
[00:12:48] 除了是自己刚好
[00:12:53] 去管其他东西
[00:12:54] 然后每天也没事做
[00:12:55] 那因为你手上的钱都卡住了嘛
[00:12:57] 所以就变成说
[00:12:58] 是大量的跑去运动或什么的
[00:12:59] 那在最近呢
[00:13:00] 因为他们开始出处置了
[00:13:02] 那当然有些感觉
[00:13:04] 就如果再继续动下去的话
[00:13:05] 像国具如果再继续动的话
[00:13:06] 它就要再一次被关起来
[00:13:07] 但反正总之就是
[00:13:08] 我自己的想法是
[00:13:09] 因为随着刚才前面所讲到的
[00:13:11] 我觉得参与的人是越来越多了
[00:13:12] 然后外加
[00:13:13] 其实它在部位的占比呢
[00:13:15] 也是因为在短期内
[00:13:16] 拉得非常大
[00:13:16] 所以就会开始觉得说
[00:13:18] 是否因为在外面
[00:13:19] 还有一些故事的存在
[00:13:21] 或许就可以去参与一些别的东西
[00:13:22] 所以像最近的自己
[00:13:24] 就开始有去往
[00:13:25] 场外的一些东西去看
[00:13:27] 然后就发现说
[00:13:28] 因为我在过去的两个月
[00:13:29] 我可能也错过蛮多东西了
[00:13:30] 但怎么说
[00:13:31] 那是一个相对值
[00:13:32] 就是因为你手上的东西是这些
[00:13:34] 所以你没有买到别的东西
[00:13:36] 但是别的东西
[00:13:36] 也不一定会涨于你手上的东西
[00:13:38] 所以你也不一定会觉得懊悔
[00:13:39] 但觉得像我自己出来
[00:13:40] 开始发现说
[00:13:41] 有些宅版原来也都这么强
[00:13:42] 然后再来就是
[00:13:44] 有一些像是什么
[00:13:45] 离散元件
[00:13:46] PIMIC POWER
[00:13:47] 其实表现也都蛮好的
[00:13:48] 所以其实市场上
[00:13:49] 真的是在一个那种百花齐放的状态
[00:13:52] 那只是可能大家各自被关在
[00:13:54] 各自的领域里面
[00:13:55] 都在各忙各的
[00:13:56] 那就要看后面会不会有一个
[00:13:57] 这个收敛或是集中的情形产生
[00:13:59] 那我自己还是会蛮认同
[00:14:01] 我自己在可能过去一两个月
[00:14:03] 有跟大家聊到
[00:14:04] 因为目前我们
[00:14:05] 投信的法规是已经打开来了
[00:14:06] 然后按照时程去推
[00:14:08] 他们其实差不多
[00:14:09] 大家已经去把这个内规都改好了
[00:14:12] 不然说可能有些是那种
[00:14:13] 公发书里面写的内容
[00:14:14] 那可能后面就去配合金管
[00:14:16] 会有所讲的
[00:14:17] 就是你可以把台积电的比重拉高
[00:14:18] 那这个在后面应该就是会发生
[00:14:20] 那只是我们不确定
[00:14:21] 那个时间点确切的位置会在哪里
[00:14:23] 但我觉得它要发生的话
[00:14:25] 就是一定会搭配一些市场的现象
[00:14:27] 不然说就是会看到垃圾盘
[00:14:28] 就台积电特别强
[00:14:29] 那其他东西开始转落下去的话
[00:14:32] 就有可能资金会往这个方向去灌
[00:14:33] 所以其实
[00:14:34] 在前阵子想要去稍微的调自己的部位的时候
[00:14:36] 因为在想说
[00:14:37] 还是要再多买一点台积电
[00:14:38] 但是因为就是想到这一点会觉得
[00:14:40] 因为现在外面还是太热闹了
[00:14:42] 那你知道台积电就像是那种
[00:14:43] 什么良家妇女之类
[00:14:44] 就是一般人可能平常不会想到
[00:14:46] 你想要去外面找刺激吃辣的
[00:14:47] 那可能就是真的在外面受到伤之后
[00:14:50] 你就会想说
[00:14:50] 我要回去找这个
[00:14:51] 平常都最爱我最疼
[00:14:53] 我无条件接受我的妈妈
[00:14:54] 这时候你就会回到台积电的身旁之类的
[00:14:57] 那可是因为现在就是外面的世界
[00:14:58] 就充满诱惑了
[00:14:59] 所以我心中想的是
[00:15:00] 就是可能要看到外面的世界
[00:15:02] 稍微有一点崩坏之后
[00:15:03] 那钱才会灌进去
[00:15:05] 类似说像其实昨天有稍微的预言一下
[00:15:07] 因为昨天的一些主流族群
[00:15:08] 开始出现一些修正的时候
[00:15:09] 你就看到台积电直接就他妈拉一个尾盘
[00:15:11] 所以应该很多人都是这个想法
[00:15:13] 那我的想法就是
[00:15:14] 我可能要观察到这样的现象出来之后
[00:15:16] 然后才转过去
[00:15:17] 因为就是
[00:15:18] 陈如刚才前面所讲到的
[00:15:19] 因为目前外面的东西还是很多
[00:15:20] 所以你也不会想要去羡慕别人的族群
[00:15:22] 或者说别的未来的题材
[00:15:24] 因为总之你现在东西走得好好的
[00:15:26] 你就不会想要去做太多的一个调动
[00:15:28] 但总之呢
[00:15:29] 就是后面是相信说
[00:15:30] 有可能资金还是会万件归宗
[00:15:32] 会跑回去台积电
[00:15:33] 只是比自己想象的来得慢一点
[00:15:35] 因为真的没有想到说
[00:15:36] 当台积电基本上呈现一个横盘的状态的时候
[00:15:39] 然后市场上有这么多的题材在动
[00:15:41] 然后再来就是你也观察到
[00:15:43] 像金融股是我们自己完全不看的东西
[00:15:45] 可是你看富邦金他妈喷了快50%
[00:15:47] 这到底是什么世界
[00:15:49] 就像他真的是什么都在喷
[00:15:51] 你知道以前大家还会讲说
[00:15:52] 什么相对剥夺感
[00:15:53] 那些没有买到什么台积电
[00:15:55] 没有买到电子股的
[00:15:57] 那基本上没有参与到台湾的经济
[00:15:59] 你看那一堆什么退休老人
[00:16:00] 还是什么学校老师
[00:16:01] 最爱买金融股的
[00:16:02] 他们也都参与到了
[00:16:03] 所以好像真的有一种那种
[00:16:05] 就是台湾前淹角木的点灵
[00:16:06] 然后这一次是淹到膝盖去
[00:16:08] 那对就是百花齐放
[00:16:11] 就每个东西都在动
[00:16:12] 那只是后面就是要去注意说
[00:16:14] 会不会有一个收敛的情形产生
[00:16:16] 但在那之前我们没有料到的点是
[00:16:19] 原来中小或说金融这些
[00:16:20] 可以这样接棒
[00:16:21] 然后一棒接一棒
[00:16:22] 然后每个东西都还在
[00:16:23] 持续的去做进攻
[00:16:25] 那像我自己最近
[00:16:26] 就是有稍微在观察一些新的族群
[00:16:29] 但这个族群可能在过去
[00:16:30] 也是同步有在发生中
[00:16:32] 那但是我觉得
