[00:00:00] 欢迎收听古爱,我是圣木工,本期节目由Sally赞助
[00:05:51] 所以我就是去找可能当年最早找我的这些人
[00:05:55] 那我就是每年都是跟他们的
[00:05:56] 所以非常感谢像是NVIDIA的小金
[00:05:59] 然后非常感谢ASUS ROG的Mickey
[00:06:01] 然后还有像MediaTag的Jennifer
[00:06:03] 那他以前是在Adventag
[00:06:05] 那时候也是透过他去看东西
[00:06:07] 然后因为他现在跑到MediaTag
[00:06:08] 他又找我去
[00:06:09] 我就跟着去看
[00:06:10] 然后在MediaTag的摊位上
[00:06:11] 我不知道有这么多的地方听众
[00:06:13] 各位大哥大姐们
[00:06:15] 非常感谢跟小弟解释这么多东西
[00:06:17] 那所以就是抓这些重点
[00:06:19] 去把它稍微看一下
[00:06:20] 跟大家分享自己的心得
[00:06:22] 那首先一大早
[00:06:23] 我们是先跑到NV Enterprise
[00:06:24] 他是办在TICC
[00:06:25] 其实NV他们家是很有想法
[00:06:27] 因为东西可能太多要展
[00:06:28] 那所以他们都会去搞自己的施展
[00:06:30] 那在TICC这个你是凭证就可以一起去看
[00:06:33] 那如果是在汉萊的消费的话
[00:06:35] 你是没有办法去凭证
[00:06:36] 你要透过可能有官方人员邀请你的话
[00:06:39] 那就可以去看
[00:06:39] 那我两个都有跑去
[00:06:41] 那先讲一下Enterprise的心得
[00:06:42] 其实Enterprise整体来说
[00:06:44] 跟过去几年是差不多的
[00:06:45] 那今年我们想看的一些重点是
[00:06:48] 就来说像Power Rack
[00:06:49] 有没有一些展出
[00:06:50] 因为已经有看到一些朋友去拍
[00:06:51] 那个超级电容超大一颗的
[00:06:53] 难怪可以一颗卖到可能以前的
[00:06:55] ASP的快100倍这样子
[00:06:56] 因为它的那个尺寸也是大
[00:06:58] 大概5倍左右
[00:06:59] 然后再来就是可能会想看
[00:07:01] LPU上面有没有什么一些新的
[00:07:03] 可能Gadget在上面
[00:07:04] 是我们过去没有注意到的
[00:07:06] 或是一些光通的东西
[00:07:07] 那我注意到今年有蛮多的东西
[00:07:09] 它是把它封起来
[00:07:10] 像LPU的话
[00:07:12] 你就只看得到
[00:07:12] 就是黑妈妈的一片
[00:07:13] 管线啊
[00:07:14] 散热板或什么的
[00:07:15] 那它里面的东西就全部都挡起来
[00:07:17] 没有办法看到
[00:07:18] 那当然我们还是有办法
[00:07:19] 透过一些管道
[00:07:20] 其实我们知道说
[00:07:20] 里面的东西是怎么样啊
[00:07:22] 那只是它可能就是还没有ready
[00:07:23] 所以就长这个样子
[00:07:25] 那LPU大家会比较期待的原因
[00:07:26] 因为它并不会说真的放到
[00:07:28] 极大的一个量
[00:07:29] 它大概我们目前估计
[00:07:30] 一年来说大概就是
[00:07:31] 1万到可能1万5千Racks左右
[00:07:33] 那可是呢
[00:07:34] 毕竟它是一个新的东西嘛
[00:07:36] 它是完成收购之后
[00:07:37] 所搞出来的一个新的路线
[00:07:40] 所以我们会很好奇
[00:07:41] 它里面有什么样的一些元件
[00:07:42] 但就是比较可惜没有看到
[00:07:44] 那再来有看到CPU Rack
[00:07:46] 那CPU Rack的话
[00:07:47] 其实大家都算是非常的熟悉
[00:07:48] 反正CPU的configuration
[00:07:50] 大家都已经懂了
[00:07:51] 那只是它现在把它变成是
[00:07:52] Hole Rack去做推出
[00:07:54] 那最主要的应用
[00:07:54] 就是用在Agentic的AI Workflow里面
[00:07:57] 那其实在这边呢
[00:07:58] 诶市场上有一个说法是这样子
[00:08:00] 之所以会用到这么多的CPU
[00:08:01] 其实是因为
[00:08:02] 现在的Agentic Workflow
[00:08:03] 并没有做得很好
[00:08:04] 所以呢
[00:08:05] 模型很多时候它是在撞墙
[00:08:07] 它疯狂的撞墙
[00:08:08] 要去找那个路线
[00:08:09] 所以导致呢
[00:08:10] 它去用掉了很多的CPU
[00:08:12] 那等到有一天
[00:08:13] 可能把模型优化之后呢
[00:08:14] 那说不定就不需要用到
[00:08:16] 这么多的CPU
[00:08:17] 就有些人会用一些
[00:08:18] 可能比较偏空的角度
[00:08:19] 来看这件事情
[00:08:20] 那这件事情
[00:08:21] 我觉得还是回到Satia讲的那个
[00:08:22] 反正总之就是
[00:08:23] 你把一个东西的成本降低
[00:08:25] 那大家可能会以为说
[00:08:27] OK那所以这些元件呢
[00:08:28] 就没有办法再炒上去了
[00:08:30] 需求就没有这么大
[00:08:31] 没有
[00:08:31] 你把它成本降低
[00:08:32] 其实用的人会更多
[00:08:33] 那像他在用AI的人
[00:08:35] 严格上来说
[00:08:36] 是很小百分比的人
[00:08:38] 一些那种什么geek在用
[00:08:39] 那实际上在大家生活之中呢
[00:08:41] 每个人都会讲AI
[00:08:42] 可是你说他们到底
[00:08:43] Exposure多少
[00:08:44] 那个很不多啦
[00:08:45] 那所以我不会认为说
[00:08:47] 就你去把软体的一些流程
[00:08:49] 给改善之后呢
[00:08:50] 那你就会少用CPU
[00:08:51] 对你会少用一点CPU
[00:08:53] as a person
[00:08:53] 但是会有更多人用
[00:08:55] 那你会有更多的应用
[00:08:56] 都要去用
[00:08:57] 所以整体来说
[00:08:57] 那个数字会再更大
[00:08:59] 那所以像CPU这种
[00:09:00] Configuration
[00:09:01] 然后就是在后面呢
[00:09:03] 还是可以持续的去做关注啦
[00:09:04] 因为在Agentic的 workflow里面
[00:09:06] 它必须要整天的去
[00:09:07] 支用各式各样的东西
[00:09:09] 它去做派遣啦
[00:09:10] 有一个像是教练的形式的存在
[00:09:12] 所以呢
[00:09:12] 在CPU的用量
[00:09:13] 就会去走到很大
[00:09:14] 那再往后看的话
[00:09:15] 关于这个像是什么
[00:09:17] VR Ruby
[00:09:18] 大家都非常熟悉的
[00:09:19] 所以我们就不用再花
[00:09:20] 太多时间去讲
[00:09:21] 但有时候我会觉得
[00:09:22] 有点不公平啦
[00:09:22] 因为可能有人
[00:09:23] 是刚加入市场的
[00:09:24] 他就会想说
[00:09:25] 这个对他来讲
[00:09:25] 是新鲜的东西
[00:09:26] 然后我们一直讲说
[00:09:26] 这个是老梗
[00:09:27] 这个可能有点类似说
[00:09:29] 搞不好我们再可能
[00:09:30] 因为我最早看台积电的时候
[00:09:31] 大概它是一两百块的东西
[00:09:33] 我在看一两百块的台积电
[00:09:34] 我觉得是很新鲜
[00:09:35] 很酷的东西的时候
[00:09:35] 那我后来找到时候
[00:09:36] 像我们楼下的一个邻居
[00:09:38] 他是几十块的时候
[00:09:39] 就在看台积电的
[00:09:40] 因为他就是年纪比较大一点嘛
[00:09:42] 所以在他的角度
[00:09:43] 说不定
[00:09:44] 那时候我去跟他讨论的时候
[00:09:44] 他又讲说
[00:09:45] 这个东西可以到那么高吗
[00:09:47] 就是我以前看他是十几块
[00:09:48] 他现在两百多块
[00:09:49] 你说可以到一千
[00:09:50] 我不太相信可以到一千
[00:09:51] 可是最后面
[00:09:52] 他可能就真的到一千两千三千去了
[00:09:53] 所以后来的人呢
[00:09:54] 当然这些东西对我们来讲
[00:09:56] 还是很新鲜的啦
[00:09:57] 只是说对于前面的人来说
[00:09:59] 有时候我们自己也要注意说
[00:10:00] 不要被锚定的
[00:10:01] 因为我们可能已经很习惯说
[00:10:02] 像以前这些OEM ODM EMS
[00:10:05] 或是金融代工业者
[00:10:06] 他是多少钱
[00:10:07] EPS多少
[00:10:07] 他还曾经推出了什么产品
[00:10:09] 这我们都听到腻了
[00:10:10] 不要再听了
[00:10:10] 可是如果你有这样子的想法的话
[00:10:12] 你可能会错过后面的一些涨幅
[00:10:13] 因为他可能好
[00:10:14] 就还会再来更好
[00:10:15] 这个是我们自己会想要小心的
[00:10:16] 但反正总之就是去看的
[00:10:18] 像是VR-Rubin
[00:10:19] 或是Grace Blackwell的相关的设计
[00:10:23] 这个对马上已经是很熟悉了
[00:10:25] 当然也聊到比较聊
[00:10:26] 我们就不用再聊
[00:10:27] 我们稍微的看了一下Kyber
[00:10:28] Kyber的东西
[00:10:29] 其实也是跟去年差不多
[00:10:31] 下有看到Switchblade是超大一片
[00:10:32] 这个可能是我记得
[00:10:34] 好像去年印象中是没有看到这个东西
[00:10:36] 然后下有展出来
[00:10:37] 但是Kyber它一个比较大的问题
[00:10:39] 我们在过去的急速有跟大家聊到
[00:10:41] 其实最主要就是
[00:10:42] 因为它的工艺是真的是比较复杂一点
[00:10:44] 所以甚至还会再有进一步的一些地研
[00:10:47] 都是有机会发生的
[00:10:49] 在过程之中可能就会去折衷
[00:10:51] 就是我们不要一次跳这么高的一个技术门槛
[00:10:55] 我们可能就是慢慢的推过去
[00:10:56] 所以导致像Kyber大家比较去关注的是
[00:10:59] 像什么正交的结构
[00:11:01] 后面的背板
[00:11:02] Midplan
[00:11:03] 然后或者说里面的Cube
[00:11:05] 当然Cube又用在LPU里面
[00:11:07] 这些东西算是在市场里面
[00:11:09] 蛮热门
[00:11:10] 过去大家会很关注的题材
[00:11:12] 随着地研
[00:11:13] 可能有些人就会不去注意它
[00:11:15] 但是我觉得有朝一日
[00:11:16] 他们都是还是会再回来的
[00:11:18] 因为看到这些产品
[00:11:19] 还是觉得非常的感动
[00:11:20] 他们真的是带领这些科技业的从业人员
[00:11:23] 一起去做一些
[00:11:24] 为了AI
[00:11:25] 非常大的技术突破
[00:11:27] 当然就要靠大家的脑力跟干
[00:11:29] 一定是要干到爆炸
[00:11:30] 才可以持续的去做这样子的推进
[00:11:32] 所以Enterprise整体来看
[00:11:34] 我觉得跟过去是差不多的
[00:11:36] 并没有太多的新鲜的东西
[00:11:38] 后来我们就是到了南港区域
[00:11:40] 有看了NVIDIA消费端相关的一些内容
[00:11:44] 这次的消费端的展示
[00:11:45] 我是非常喜欢的
[00:11:47] 就是跟过去比起来
[00:11:48] 当然过去相当时跟大家分享说
[00:11:49] 你可以跟游戏里面的NPC互动
[00:11:51] 或什么
[00:11:51] 那个就是比较平常是科幻的情节
[00:11:53] 还记得在一两年前不是很多人都讲吗
[00:11:56] 以后都是用AI做游戏或什么的
[00:11:58] 那时候我们就是有比较大胆的逆风具提出一个说法
[00:12:01] 其实你去玩一个游戏
[00:12:03] 你是要玩一个设计好的体验
[00:12:05] 你懂我意思吗
[00:12:05] 你不是要玩一个随机券出来的东西
[00:12:08] 你就是因为知道这款游戏好玩
[00:12:09] 或者说你知道这个就是小岛秀夫做的
[00:12:11] 你才要去玩
[00:12:12] 你为什么要玩一个随机券的
[00:12:13] 所以你真的要对我的游戏去产生一些随机性的话
[00:12:17] 那可能是产生在可能某部分的对话
[00:12:20] 你可以Telemade
[00:12:20] 因为今天是我的生日
[00:12:22] 或者说因为我的名字叫什么
[00:12:24] 那你会跟我去做对话
[00:12:25] 那这边可以去做一些调整
[00:12:27] 我觉得是OK的
[00:12:27] 可是你说整个剧情整个场景
[00:12:29] 要为了我去做一个客制化的设定
[00:12:31] 也是之前很多那种
[00:12:33] 屌萃AI的人在讲
[00:12:34] 那我觉得那个是很不实际的
[00:12:37] 所以我们在今年就比较没有看到
[00:12:39] 他们去强调说
[00:12:40] 在电玩里面去做一些那种
[00:12:42] 可能DIY或是Customer的东西
[00:12:44] 那反而是在工作旅游上面去做了许多的加强
[00:12:48] 那我就看到像市场中
[00:12:50] 现在大家都非常不喜欢的Adobe
[00:12:52] 因为大家认为说
[00:12:53] AI可以深图
[00:12:53] AI可以改图
[00:12:54] 所以Adobe就是要BBQ
[00:12:56] 但这次很好玩的一点是
[00:12:58] 甚至会感觉说
[00:12:59] NVIDIA跟Adobe是不是有什么
[00:13:01] 当然他们已经有公布一些合作
[00:13:03] 只有我相信台面下
[00:13:04] 应该有更多深度的合作跟开发案在进行中
[00:13:07] 为什么
[00:13:07] 因为他会去展示说
[00:13:08] 不只是他们的硬体去Custom
[00:13:11] 然后For Adobe的应用
[00:13:13] 然后在Adobe这边的软体
[00:13:15] 也会去做
[00:13:16] 可以去符合RTX Spark的一种设计
[00:13:19] 然后让它可以跑得更加的顺畅
[00:13:22] 那他们展出的内容
[00:13:23] 像有些是没有使用RTX Spark的笔电去跑的话
[00:13:27] 他去跑Premiere
[00:13:28] 或者他去跑Photoshop
[00:13:29] 他就要花很长的一段时间
[00:13:30] 那如果今天是RTX Spark的话
[00:13:32] 他可以只花三分之一
[00:13:34] 或是五分之一的时间就跑完
[00:13:36] 他还帮你把
[00:13:36] 就是每个镜头切换的时间点都抓出来
[00:13:40] 那所以剪片就变得非常快
[00:13:42] 那这边你会注意到两个极端吗
[00:13:44] 现在有一派的人就说
[00:13:45] 以后都是AI剪片或什么的
[00:13:46] 这样说
[00:13:47] 这个就像是很多人会讲说
[00:13:49] 以后就是AI发文就好
[00:13:50] 那现在很多人会用什么Claw
[00:13:52] 然后去在他的粉砖
[00:13:54] 或是可能他的X上面去做发文
[00:13:56] 我都会跟大家讲说
[00:13:57] 这个对我来讲
[00:13:58] 它其实有点像是一个自杀的行径
[00:14:00] 为什么
[00:14:00] 因为我绝对不会想要把我的
[00:14:02] 在网路上的各种形象或什么的
[00:14:05] 去完全的做自动化
[00:14:07] 因为你今天不是什么爱买
[00:14:09] 然后什么全联加热服
[00:14:11] 你再推一个折扣讯息
[00:14:12] 你如果你推的信息
[00:14:14] 都是那种千篇一律
[00:14:15] 大家最后面一看都知道是AI的
[00:14:17] 你的互动跟触及
[00:14:18] 一定会掉得超级快
[00:14:19] 所以这个时代呢
[00:14:21] 当然有很多自动化的东西
[00:14:22] 有很多AI的东西
[00:14:23] 看起来是很酷
[00:14:24] Fascinating
[00:14:25] 大家很喜欢
[00:14:26] 但换一个角度
[00:14:27] 其实我相信越来越多人会
[00:14:28] 对于这种东西很憎恨
[00:14:30] 讨厌
[00:14:31] AI Slop
[00:14:32] 超级不喜欢
[00:14:33] 然后外加真的想要去找一些
[00:14:34] 有人味的东西
[00:14:35] 所以像这样子的自动化
[00:14:37] 我是不喜欢的
[00:14:37] 我觉得来说像什么
[00:14:38] AI全自动剪片
[00:14:39] 如果强调
[00:14:40] 如果你今天是一个
[00:14:41] 就是你每天要重复好几次的
[00:14:43] 全联的某一个东西特价
[00:14:45] 你让AI去剪
[00:14:46] 我觉得没有问题
[00:14:47] 可是如果是你身为一个创作者
[00:14:49] 你是导演
[00:14:50] 你是编剧
[00:14:51] 或者说你是一个老师
[00:14:52] 你用AI去做这个
[00:14:53] 我觉得你是加速你的灭亡
[00:14:54] 所以这个其实跟世间的
[00:14:56] 买多东西
[00:14:57] 或者说我自己的价值观
[00:14:58] 一直都是契合的
[00:14:59] 就是世界上是有光谱的
[00:15:01] 你说有没有东西
[00:15:02] 是要用AI的全自动化去
[00:15:04] 有
[00:15:04] 就像我刚才前面讲的
[00:15:05] 折扣讯息
[00:15:06] 每日的折扣讯息
[00:15:07] 每日的消息推播
[00:15:09] 你用自动化去做
[00:15:10] 太适合了
[00:15:11] 但是如果你今天是
[00:15:13] 有一些人格特质的东西在里面
[00:15:16] 大家喜欢你是你的人格特质
[00:15:18] 你用AI去自动化这件事情
[00:15:19] 你是把自己推到棺材里面
[00:15:21] 所以买多东西
[00:15:22] 我觉得还是要味道在
[00:15:24] 就是你不能跟我讲说
[00:15:25] 现在有一个什么很强的AI导演
[00:15:27] 然后以后大家就会看这个AI导演
[00:15:28] 没有老子要看诺兰
[00:15:30] 我就是想看诺兰
[00:15:31] 我就是想看塔伦提诺兰
[00:15:32] 我觉得它的味道
[00:15:33] 就算它的味道可能比较顿一点
[00:15:35] so I just喜欢
[00:15:36] 所以要去记得这样的一个差距
[00:15:38] 可能像过去的AI的展会
[00:15:41] 都比较强调
[00:15:42] 就像我们刚才讲的
[00:15:42] 全自动AI可以做所有东西
[00:15:44] 人类拜拜
[00:15:45] sayonara
[00:15:46] 这样的一个尝试
[00:15:48] 那现在呢
[00:15:49] 我觉得今年
[00:15:49] 甚至是不只是NVIDIA
[00:15:51] 在很多的谈位都有感觉到
[00:15:52] 已经越来越少人去强调
[00:15:54] 我们要走向一个没有人的世界
[00:15:56] 反而现在是
[00:15:58] 我觉得把人重新的放到舞台的正中间
[00:16:00] 这也是我喜欢的
[00:16:01] 这也是我觉得是对的
[00:16:02] 这也是为什么
[00:16:03] 我会在过去多次的表达
[00:16:06] 我对Enthropic老板
[00:16:07] 虽然我知道Enthropic的产品
[00:16:08] 真的很好用
[00:16:09] 我有在用
[00:16:09] 可是它的发文实在是
[00:16:11] 令人不敢苟同
[00:16:12] 就是怎么讲
[00:16:14] 整天都是在讲说
[00:16:15] 我们东西多可怕
[00:16:16] 会有多少人失业
[00:16:17] 那像最近David Sachs的一个po文
[00:16:20] 就是以前川普的AI撒谎
[00:16:23] 我觉得他讲的这段超有趣的
[00:16:25] 最好也是给这些人一些当头棒喝
[00:16:26] 你整天在讲说
[00:16:27] 你的产品会让一堆white collar jobs不见
[00:16:30] 你会让一堆人
[00:16:32] 就是可能失去活着的目的
[00:16:34] 或什么的
[00:16:35] 那你甚至会导致global crisis
[00:16:36] 可能会有一些核武的危机
[00:16:38] 或是互相害
[00:16:40] 害对方的飞弹
[00:16:41] 然后把人家炸飞
[00:16:42] AI可以做什么
[00:16:43] 你这个意思代表说
[00:16:45] 你要被我们收归国有
[00:16:47] 就如果说你这个企业在推的这件事情
[00:16:50] 是会造成这样的一个结果
[00:16:52] 会造成人道危机
[00:16:53] 会造成经济的困难的话
[00:16:56] 那怎么可能让你继续发展
[00:16:57] 那把你收回国有
[00:16:59] 或者说给你超大的一个监管
[00:17:01] 给你放一个很大的一个拘束器
[00:17:04] 这不是超级合理的事情吗
[00:17:05] 每一任总统都会想做这件事情
[00:17:07] 每一个百姓
[00:17:08] 像前面听到一些演讲
[00:17:10] 超级不爽的那些
[00:17:11] Ivy League名校的一些学生
[00:17:13] 大家一定都支持这件事情
[00:17:14] 你要毁灭我们
[00:17:16] 我怎么可能让你继续做下去
[00:17:17] 所以我觉得越来越多人
[00:17:19] 有发现这件事情
[00:17:20] 那抑或是
[00:17:21] 不一定是有发现
[00:17:22] 这么人文的一个思考
[00:17:24] 而是他单纯的去从
[00:17:26] 他们可能过往推的那些
[00:17:27] 像过去一两年
[00:17:28] 到处都机械狗是怎样
[00:17:30] 我不是说机械狗不好
[00:17:31] 我也不是说什么humanoid不好
[00:17:32] 可是你们每个人都在出机械狗
[00:17:34] 就很明显就是在跟风
[00:17:35] 你这机械狗要用在哪里
[00:17:37] 甚至尤其是那种超废的功能
[00:17:38] 他们还是要讲的
[00:17:39] 煞有其事
[00:17:40] 因为AI因为怎么样
[00:17:41] 所以全部都是机械狗
[00:17:43] 那再来的就是一些那种
[00:17:45] AI的小gadget
[00:17:46] 其实当下看会觉得很酷
[00:17:48] 可是真的看久之后
[00:17:48] 我觉得会审美麻木
[00:17:49] 就是你真的会觉得
[00:17:50] 非常非常的烦躁
[00:17:51] 那今年真的都是
[00:17:52] 少掉很多这样子的东西
[00:17:54] 更加的去强调说
[00:17:55] 人跟机器的一个结合
[00:17:57] 那所以像是可能大家
[00:17:59] 在市场中人人喊打的Adobe
[00:18:01] 就是说你死定了啦
[00:18:02] AI取代的第一棒
[00:18:03] 结果竟然在NVIDIA的
[00:18:05] 这个消费展会里面
[00:18:06] 当然这个是没有对外占的啦
[00:18:07] 所以可能你要从一些报道里面
[00:18:09] 才会看到一些相关的图片跟讯息
[00:18:12] 那竟然有大量的曝光
