[00:00:00] 欢迎收听古爱,我是孟公
[00:04:26] 我们是
[00:04:27] 简单来讲
[00:04:27] 我们不需要去做这样子的事情
[00:04:29] 那当然有些人坚持说
[00:04:30] 我们要去做这种事情
[00:04:32] 我可能也没有办法
[00:04:33] 我是没有看到这样子的讨论
[00:04:34] 但只是要先跟大家
[00:04:35] 稍微的这个利益回避一下
[00:04:36] 那这次去台中
[00:04:37] 我觉得有一些特别的体验
[00:04:39] 就是现在会非常认真的去看
[00:04:41] 到底人家的酒柜里面
[00:04:42] 放的东西是什么
[00:04:43] 这可能是
[00:04:44] 就自从开始去点红酒
[00:04:46] 这个兴趣之后
[00:04:46] 然后就发展出来的一个新发现
[00:04:49] 那我觉得这个事情
[00:04:50] 实在还蛮好玩的
[00:04:51] 因为
[00:04:51] 就像说同样的餐厅
[00:04:52] 我们去过好几次
[00:04:53] 只是你之前都不会去在意
[00:04:55] 说人家酒柜装什么
[00:04:56] 或者酒柜是怎么样设计
[00:04:57] 你一点都不在意
[00:04:58] 所以有点类似说
[00:04:59] 你一直都有来这个地方
[00:05:01] 可是你好像漏掉一块东西
[00:05:02] 你从来都没有去探索过
[00:05:03] 那现在我就是会
[00:05:04] 加强去看这些东西
[00:05:06] 像跑去台中洲记去住的时候
[00:05:08] 也是会看出他的酒有什么东西
[00:05:09] 但老实讲
[00:05:10] 看下来我是觉得
[00:05:11] 只能够说
[00:05:12] 我不小心可能冲太快了
[00:05:14] 就是套一句
[00:05:14] 身边的一个
[00:05:15] 这个产业界的大哥跟我讲的
[00:05:18] 他说你以后对外介绍
[00:05:19] 你就说你是酒零两个礼拜
[00:05:21] 你就在喝DRC跟乐花的人
[00:05:23] 其实以前我就喝过
[00:05:24] 只有根本不知道那什么东西
[00:05:25] 那现在就是因为
[00:05:26] 开始对东西了解了
[00:05:28] 那对我来说
[00:05:29] 因为我觉得要去了解个东西
[00:05:30] 最快的方式
[00:05:31] 就是我建立大量的样本
[00:05:32] 那所以呢
[00:05:33] 我就直接用价格排序
[00:05:35] 我就上那个wine searcher
[00:05:36] 去找说
[00:05:36] 这个前100贵的酒是什么
[00:05:38] 就全部都买啊
[00:05:39] 你就全部都买
[00:05:39] 反正就这么简单嘛
[00:05:40] 你就每个都买
[00:05:41] 每个都喝就知道
[00:05:42] 那对我来讲
[00:05:43] 我还是不会去走一个
[00:05:44] 比较奢侈的路线
[00:05:45] 我还是会认为说
[00:05:45] 那个跟挖秦王墓一样
[00:05:47] 知道他们去挖
[00:05:48] 那个秦始皇坟墓的时候
[00:05:49] 然后挖出那个冰马俑
[00:05:50] 说一开始是彩色的
[00:05:52] 那很快的接触到空气之后
[00:05:53] 就风化
[00:05:54] 就变成我们家看到
[00:05:54] 是土色的冰马俑
[00:05:55] 不然它其实本来是七彩的
[00:05:57] 那所以呢
[00:05:58] 他们就决定要等到
[00:05:59] 他们的开采技术
[00:05:59] 够好之后
[00:06:00] 才要把剩下的秦王墓
[00:06:01] 给挖开
[00:06:02] 那一样的道理啊
[00:06:03] 就当然我们不会说
[00:06:04] 什么今天买到一些
[00:06:05] 可能比较相对高单价的东西
[00:06:06] 就立刻想要把它喝掉
[00:06:07] 因为我觉得
[00:06:08] 我可能还没有办法去掌握它
[00:06:09] 所以我的做法是怎么样
[00:06:10] 我后来做法
[00:06:11] 是用一个比较
[00:06:12] 土炮
[00:06:13] 那对我来说
[00:06:13] 是很简单的一个
[00:06:14] 类比的方式
[00:06:15] 我就去找说
[00:06:16] 就是各地的
[00:06:17] 这个有名的生产区
[00:06:19] 或者说可能在
[00:06:19] 勃根地的一些Grand Crew
[00:06:21] 那这些所谓的特级园
[00:06:22] 那特级园呢
[00:06:24] 里面可能会有一瓶
[00:06:25] 是要上百万的
[00:06:26] 那特级园也会有一瓶
[00:06:27] 是大概可能
[00:06:28] 一万块到三万块之间的
[00:06:30] 那或者说一样是Morachet
[00:06:31] 就一样是这个白酒的话
[00:06:33] 那旁边的什么
[00:06:34] Chevalier Monarchet
[00:06:36] 它的价格可能是
[00:06:37] 比较便宜一点的
[00:06:38] 那如果你进到Morachet的话
[00:06:39] 可能就是一瓶
[00:06:40] 都是要几十万以上
[00:06:41] 那反正你都有嘛
[00:06:42] 对你的这个切入方式呢
[00:06:44] 可能比较好的也是
[00:06:45] 你就从比较便宜的方式开始嘛
[00:06:47] 你就从那一些
[00:06:48] 可能单价比较低的
[00:06:49] 然后慢慢喝过去
[00:06:50] 那其实你喝过去
[00:06:51] 你也不一定会觉得说
[00:06:52] 价格贵的东西
[00:06:53] 一定比较好
[00:06:54] 那像昨天就是找了几个
[00:06:56] 这个快乐的
[00:06:57] 产业圈的朋友们
[00:06:58] 都是一些老大哥啦
[00:06:59] 那他们也算是
[00:07:00] 推我入坑的人
[00:07:01] 那包含说那一位
[00:07:02] 就是超级会品酒的
[00:07:03] 可以去试别年份的大哥
[00:07:05] 然后跟几位
[00:07:07] 也算是带我入坑
[00:07:08] 跟我介绍各地厉害酒的朋友
[00:07:10] 我想说把大家凑在一起
[00:07:11] 认识一下
[00:07:12] 那过了一个非常好的夜晚
[00:07:14] 那我自己带去的酒
[00:07:15] 就是属于
[00:07:16] 因为简单来讲
[00:07:17] 我就比较熟气嘛
[00:07:18] 我就还不懂嘛
[00:07:18] 所以就是价格比较高的东西
[00:07:20] 那大哥们看到我带这个东西
[00:07:22] 就是说
[00:07:22] 好那没关系
[00:07:23] 我们没有办法跟你拼价格
[00:07:24] 没有办法跟你切中路
[00:07:25] 那我都切你侧路
[00:07:26] 所以呢
[00:07:27] 我可能就带一些经典的年份
[00:07:29] 或是一些
[00:07:29] 非常有意义的酒
[00:07:31] 像有一位大哥带的
[00:07:32] 他说那个什么
[00:07:33] 淡丁的后代的酒庄
[00:07:34] 然后这个酒庄做的酒
[00:07:36] 那叫什么amaroni吧
[00:07:37] 反正就是风干酒
[00:07:38] 我觉得风干酒真的超级好喝
[00:07:40] 那再来另外一个人带的
[00:07:42] 像是马哥跟拉菲
[00:07:44] 这个我自己也有啦
[00:07:45] 我觉得其实
[00:07:45] 波罗多酒都还蛮不错
[00:07:47] 只是他那个年份是
[00:07:48] 很吊炮的年份
[00:07:49] 然后跟一个shopless
[00:07:50] 就是整个组在一起
[00:07:52] 我就觉得说
[00:07:52] 这些人真厉害
[00:07:53] 他知道每一瓶酒
[00:07:54] 可能是要醒多久
[00:07:55] 然后要怎么样搭配
[00:07:56] 顺序是什么
[00:07:57] 我觉得这是一个
[00:07:58] 就是还蛮有格调的东西
[00:08:00] 那对我来讲
[00:08:01] 因为毕竟我就是新手
[00:08:02] 我真的什么都不知道
[00:08:03] 所以我都是用客金的方式
[00:08:04] 反正就倒乱一点
[00:08:05] 那后来就希望
[00:08:06] 像是挖秦王墓一样
[00:08:08] 反正只要每次有机会
[00:08:09] 我就会去
[00:08:10] 把那些比较高价的
[00:08:11] 都打开来看
[00:08:12] 但其实最后面会发现一个
[00:08:13] 就是自己的观察
[00:08:15] 就跟清酒一样
[00:08:16] 就是其实那时候
[00:08:17] 跟大家分享清酒
[00:08:18] 我也只是一个好奇心态
[00:08:19] 然后最后面
[00:08:19] 我跟大家推的东西
[00:08:20] 竟然是一瓶
[00:08:21] 可能800块
[00:08:21] 或是3000块的东西
[00:08:22] 不是像大家想象的
[00:08:23] 就是全部都是推那种
[00:08:24] 好几万的东西
[00:08:25] 那我觉得就是
[00:08:26] 因为你自己有办法找到
[00:08:28] 你的位雷喜欢
[00:08:28] 就是你不要去迷信
[00:08:31] 说什么评分
[00:08:32] 或是价格什么样
[00:08:33] 最终你是要找到
[00:08:35] 那只是每个人切入方式不一样
[00:08:37] 那我可能就是只用price tag
[00:08:39] 那为什么我喜欢用price tag呢
[00:08:40] 我觉得跟那个股票训练有关系
[00:08:42] 就来说像今天的盘面不好
[00:08:43] 对不对
[00:08:44] 那可是今天是不是有蛮多东西
[00:08:45] 还是有在涨停
[00:08:46] 那这些涨停的东西
[00:08:47] 就会吸引我的注意
[00:08:48] 就是为什么你在这种盘面
[00:08:49] 你可以涨停
[00:08:50] 那所以一样的道理是
[00:08:51] 我有时候请酒商
[00:08:52] 去帮我列出一系列的酒
[00:08:53] 那这瓶酒呢
[00:08:54] 可能是从
[00:08:55] 据说来说1985
[00:08:56] 然后到下2019都有
[00:08:57] 你就会注意到说
[00:08:59] 它那个price tag
[00:08:59] 有些它会跳上去
[00:09:00] 有几个年份会跳上去
[00:09:02] 那跳上去的年份
[00:09:03] 可能以伯根地来讲
[00:09:04] 就是它很好的年份嘛
[00:09:05] 可能是什么05年啊
[00:09:06] 10年15年
[00:09:07] 19年之类的
[00:09:08] 那他们说逢酒必好
[00:09:10] 酒是一个好的年份
[00:09:11] 那也有可能像是
[00:09:12] 就来说以波尔多的话
[00:09:13] 它的那个年份
[00:09:14] 可能跟伯根地是不太一样
[00:09:15] 但是呢
[00:09:16] 像82年的拉菲
[00:09:17] 为什么82年的拉菲
[00:09:18] 会跳上去
[00:09:19] 一查就知道
[00:09:20] 以前港片有看过嘛
[00:09:21] 他们说他们漱口
[00:09:22] 就是要用82年的拉菲
[00:09:23] 或什么的
[00:09:24] 所以82年的拉菲
[00:09:25] 可能除了是本身表现
[00:09:26] 就很强大之外
[00:09:28] 然后还有外加
[00:09:28] 像是迷音的效果
[00:09:30] 这是一个迷音酒
[00:09:31] 那再来就是有些酿酒师
[00:09:32] 可能它年事已高
[00:09:34] 就是有机会随时
[00:09:35] 我们不要讲不好听的话
[00:09:36] 但因为它就是真的老了
[00:09:37] 所以它的酒就会被炒上去
[00:09:39] 然后或者是有些
[00:09:40] 它就已经是过世了
[00:09:41] 然后它自己发明了一套工法
[00:09:42] 然后这个工法呢
[00:09:43] 在现在看会觉得说
[00:09:45] 很习以为常
[00:09:46] 不是蛮多人都这样做吗
[00:09:47] 可是在当时是一个
[00:09:48] 非常创新的做法
[00:09:49] 那所以像这个Henry Ayer的酒呢
[00:09:51] 它也是卖一个
[00:09:52] 非常贵的价格
[00:09:53] 但对我来讲就是
[00:09:54] 这个其实是蛮有趣的事情
[00:09:55] 我就是每个都会
[00:09:56] 想把它找来试试看
[00:09:58] 那也是
[00:09:59] 蛮认真的去尝试之后
[00:10:01] 我觉得这个兴趣是还蛮不错
[00:10:02] 但真的饮酒要适量
[00:10:03] 真的大家尽量还是要
[00:10:05] 量力而为
[00:10:06] 但对我来说
[00:10:07] 其实就跟那个清酒的感觉一样
[00:10:08] 当我今天把那个清酒
[00:10:09] 可能全部走完一轮之后呢
[00:10:11] 那我现在就不会
[00:10:12] 一直想要再去把它喝完
[00:10:13] 我觉得我其实是一个
[00:10:14] 好奇心的驱动
[00:10:15] 只是这个好奇心
[00:10:16] 我后来发现
[00:10:17] 这就是生活的情调之一吧
[00:10:18] 就是你本来不太懂一个东西
[00:10:20] 那你瞎懂了
[00:10:21] 那懂了之后可以干嘛
[00:10:22] 其实老实说也不能干嘛
[00:10:23] 因为我本身又不是那种
[00:10:24] 会出去什么整天跟人家
[00:10:26] 吃饭社交的人
[00:10:27] 我都躲在家里啊
[00:10:27] 我喝最常就是跟A君
[00:10:29] 两个人在那边喝
[00:10:30] 所以就只是自己想知道
[00:10:31] 就很好奇
[00:10:32] 这个世界到底怎么样运作的
[00:10:34] 那我相信我后面
[00:10:34] 真的可以弄出一套东西
[00:10:36] 其实就是适合大家
[00:10:37] 就像我们跟大家分享
[00:10:38] 有趣的餐厅
[00:10:39] 什么好玩的东西
[00:10:40] 像我最近就觉得
[00:10:41] 那个什么amaroni
[00:10:42] 那个真的是好喝的东西
[00:10:44] 然后再来像那帕
[00:10:45] 那帕真的很难喝
[00:10:46] 简单讲就是那帕的东西
[00:10:47] 几乎都是水准以上
[00:10:49] 对于所谓的新手来讲
[00:10:50] 包含像我自己
[00:10:51] 反正就是果香味炸出来嘛
[00:10:53] 当然后来可能
[00:10:53] 你喝一些比较细致的酒之后
[00:10:57] 果香暴力的味道
[00:10:58] 可是一开始这个当入门
[00:10:59] 就很适合
[00:11:00] 因为这个就是果香
[00:11:01] 这个非常简单暴力
[00:11:02] 那闻起来又是蛮舒服的
[00:11:04] 不像大家可能想象中的
[00:11:05] 一些葡萄酒
[00:11:06] 闻起来像是老人的味道之类的
[00:11:07] 那或者是一些南美洲的产区
[00:11:09] 其实也都是蛮有趣的
[00:11:10] 所以这个研究是很赞
[00:11:12] 那像自己最近就发现一个
[00:11:13] 那个什么Sasicaya
[00:11:14] 它是一个意大利的酒
[00:11:16] 那这个就超级好喝
[00:11:17] 这个真的超级好喝
[00:11:18] 而且它价格真的相对那些
[00:11:19] 很变态的伯根地
[00:11:20] 它不贵
[00:11:21] 我那时候就直接跟我朋友分享说
[00:11:23] 这真的不贵
[00:11:24] 这他妈才一万块
[00:11:25] 也太夸张了
[00:11:25] 这可以买个几箱放假里
[00:11:27] 然后你出去请朋友
[00:11:27] 人家也不会有压力
[00:11:28] 因为这个价格没有太高
[00:11:30] 他说其实呢
[00:11:31] 以意大利酒来讲
[00:11:32] 一万块的价格
[00:11:32] 已经算是很高了
[00:11:33] 你的价值观
[00:11:34] 是因为你看了一大堆
[00:11:35] 那个伯根地之后
[00:11:36] 然后被弄坏掉
[00:11:37] 对
[00:11:37] 所以确实我们
[00:11:37] 我们的价值观点被撞坏掉
[00:11:39] 但就慢慢的去把它校正回来
[00:11:40] 然后最终就是希望
[00:11:41] 可以找到自己喜欢的
[00:11:43] 就要说几百块的
[00:11:44] 我就知道什么我喜欢
[00:11:45] 几千块的什么我喜欢
[00:11:46] 如果是那些穿奇的酒
[00:11:47] 什么是我喜欢的
[00:11:48] 而不是盲从
[00:11:49] 大家跟你讲说
[00:11:50] 谁是评分高的
[00:11:51] 或者说
[00:11:51] 谁是可能价格最高的
[00:11:54] 我觉得那不帅
[00:11:54] 我真的觉得那不帅
[00:11:55] 只是那种入门的方式
[00:11:56] 还是像我们那种股票圈的做法
[00:11:58] 反正哪一个价格
[00:11:58] 跳起来跳最高的
[00:11:59] 你一定有你的道理
[00:12:01] 我不知道是什么道理
[00:12:02] 但是我想试看看
[00:12:03] 类似说
[00:12:03] 你这个股票这么强势
[00:12:05] 老子先跟一点再说
[00:12:06] 先买再研究
[00:12:07] 所以其实
[00:12:08] 我发现我整个做人的逻辑
[00:12:09] 是还蛮对式的
[00:12:10] 那这次台中之旅就觉得
[00:12:11] 非常的踏实
[00:12:13] 那也感谢这么多台中的朋友
[00:12:14] 不然说像
[00:12:15] 在那个洲际饭店里面的一些人员
[00:12:18] 非常感谢
[00:12:19] 非常照顾我们的家庭
[00:12:20] 感恩你们
[00:12:21] 大概是这样
[00:12:21] 那今天的盘面
[00:12:22] 是在还蛮屌炮的
[00:12:23] 就是应该
[00:12:24] 蛮多人有感受到一个
[00:12:25] 多么痛的领悟的味道
[00:12:27] 但实际上
[00:12:28] 以现在的角度来说
[00:12:29] 你说这一波波段
[00:12:30] 大概从33000点
[00:12:31] 就加选指数
[00:12:32] 那一路碰到大概4万2000多
[00:12:34] 那现在才回到
[00:12:34] 4万1300多
[00:12:35] 今年其实老实说
[00:12:36] 也在跌1%多
[00:12:37] 那当然
[00:12:37] 可能蛮多人有一些中小
[00:12:39] 或是一些那种科技股的话
[00:12:40] 会觉得比较痛一点
[00:12:41] 但真的是拉出成本太远
[00:12:43] 所以我自己稍微再观察一下
[00:12:44] 身边的朋友
[00:12:45] 蛮少人有去做调整
[00:12:46] 很少
[00:12:47] 只有一些
[00:12:48] 我觉得可能已经赚到会怕的
[00:12:50] 就开始把东西卖掉
[00:12:51] 但以我自己来讲
[00:12:52] 我也没有去做过多的调整
[00:12:53] 因为真的拉太远了
[00:12:55] 所以都还可以再等一下
[00:12:56] 说不定大家都要等
[00:12:57] 然后就一路回
[00:12:58] 回到看谁先撑不住之类的
[00:13:00] 那当然我们还是会去把一些
[00:13:01] 就是它盘面上的状态
[00:13:03] 先分析清楚
[00:13:04] 然后才会知道说
[00:13:04] 后面该怎么样规划
[00:13:06] 那首先以台国盘面的话
[00:13:07] 我觉得非常容易可以理解
[00:13:09] 就是被动元件超级无敌强
[00:13:11] 被动元件跟整个做坏掉一样
[00:13:12] 那在一开始
[00:13:13] 我们甚至还吐槽过说
[00:13:15] 台湾的被动元件是怎样
[00:13:16] 是大家看不懂吗
[00:13:17] 还是说是
[00:13:17] 台湾的状态是比较不好之类
[00:13:19] 为什么日本的
[00:13:20] 为什么美国的
[00:13:21] 像昨天VPG
[00:13:22] 大屌喷
[00:13:23] 那为什么可能韩国的
[00:13:26] 然后各地的都这么好
[00:13:27] 然后就台湾的不会动
[00:13:28] 但台湾的最近
[00:13:28] 就是全部都行过来
[00:13:30] 所以你在这边就可以发现说
[00:13:31] 其实优势在每个人的身边
[00:13:33] 都找得到
[00:13:34] 你如果有注意到这些东西
[00:13:35] 就像那时候很多人在看
[00:13:36] 台湾的一些
[00:13:38] 就是像那个form factor
[00:13:39] 在台湾的同业
[00:13:40] 他想说为什么form factor
[00:13:41] 都不会动
[00:13:42] 为什么台湾动成这样
[00:13:43] 然后美国那个不会动
[00:13:44] 然后后面美国那个
[00:13:44] 就有疯狂的动起来
[00:13:45] 所以好像一些这种类似
[00:13:47] 它不是很完全的套利机会
[00:13:48] 因为套利是
[00:13:49] 你不能够赔钱
[00:13:50] 但反正就是
[00:13:51] 你可以偷看答案的机会
[00:13:53] 在市场里面是
[00:13:54] 有时候还是会出现
[00:13:55] 所以那些国际族群
[00:13:56] 走得非常强大的
[00:13:58] 像记忆体也是
[00:13:58] 外面都先走起来
[00:13:59] 然后台湾就是后面在那边补追
[00:14:01] 其实可以掌握到这样子
[00:14:03] 我觉得都还是蛮不错的
[00:14:04] 那被动元件
[00:14:05] 已经有点像是说
[00:14:06] 变成是台股的一个主角
[00:14:08] 那虽然我们已经是
[00:14:09] 连续cover
[00:14:10] 基本上拉出去
[00:14:11] 我不会想要再去讲太多
[00:14:12] 可是我们还是会去
[00:14:13] 稍微的跟一下
[00:14:14] 就是现在到底
[00:14:15] 最新的状态是怎么样
[00:14:16] 那首先我们知道说
[00:14:18] MLCC最缺的是
[00:14:19] 那个什么
[00:14:19] 47UF
[00:14:20] 我又不太会念
[00:14:21] 反正总之就是
[00:14:22] 我知道那个规格的料
[00:14:23] 好像是长那样
[00:14:24] 那这个东西是有
[00:14:25] 像是Semco
[00:14:26] 或者说Murata
[00:14:27] 再去做供应的
[00:14:28] 那像国际的话
[00:14:29] 就是只有一半
[00:14:30] 那个数字只有一半
[00:14:31] 像是22UF的一个数值
[00:14:34] 那像这个东西呢
[00:14:35] 它本身并不是市场里面
[00:14:37] 可能是最缺乏的东西
[00:14:38] 但它的一个联想逻辑
[00:14:40] 就有点类似说
[00:14:41] 像是记忆体的一个排挤效应
[00:14:43] 或说当年被动元件
[00:14:44] 其实是这样
[00:14:45] 就是春天他们要去
[00:14:45] 往更高规格的东西去做
[00:14:47] 然后把一些低的东西丢出来
[00:14:48] 那就导致说
[00:14:48] 价格有一个变化产生
[00:14:51] 所以我觉得
[00:14:52] 其实整体的逻辑
[00:14:53] 都是差不多的
[00:14:53] 简单来讲
[00:14:54] 就是高规格的东西
[00:14:55] 现在是一些世界大厂
[00:14:56] 他们要去真实的
[00:14:58] 就像那时候的HPM一样
[00:14:59] 那些低规格的东西呢
[00:15:00] 他们就没空去做
[00:15:04] 因为在铁电容
[00:15:05] 在铁电容的一些MLCC大厂
[00:15:06] 它的故事比较偏向是说
[00:15:07] 就是一个排挤效应
[00:15:09] 然后当然他们有做进去
[00:15:10] AI的一些料号
[00:15:11] 他只是说可能最缺
[00:15:12] 缺到爆炸的
[00:15:13] 那个最高级的是
[00:15:14] 在日本跟韩国人的手上
[00:15:16] 那只是这个排挤的效应
[00:15:18] 也是不容小觑
[00:15:18] 所以MLCC的状态
[00:15:19] 就是我们知道说
[00:15:20] 在接下来应该都还是会
[00:15:21] 持续的看到一些
[00:15:22] 涨价的情形发生
[00:15:23] 那最近的话
[00:15:24] 就是铝电容
[00:15:25] 在过去几节有聊到
[00:15:26] 像我们有注意到说
[00:15:27] 日本的NicheCon
[00:15:28] 或是说ChemicCon
[00:15:29] 那它的表现是非常好
[00:15:31] 就是股价直接拉出去
[00:15:32] 而且如果你去看
[00:15:32] 它的财报的话
[00:15:33] 你会注意到财报数字
[00:15:34] 并没有特别好
[00:15:35] 那最主要原因是什么
[00:15:37] 最主要原因是因为说
[00:15:38] 他们的product mix
