[00:00:00] 欢迎收听古爱,我是沈梦公
[00:05:36] 像那个三本游神
[00:05:37] 他跟一些就是外籍球员
[00:05:39] 跑去美国不太一样的点
[00:05:41] 是蛮多都是去美国
[00:05:42] 做所谓的科学化训练
[00:05:43] 那去把重量训练点上去之后
[00:05:45] 可能让你有更好的一个
[00:05:46] 爆发力跟力气
[00:05:47] 那不管是挥棒
[00:05:49] 或者是丢球
[00:05:49] 你的速度都会变快之类的
[00:05:51] 那三本游神
[00:05:52] 他好像是除了在这个重训
[00:05:53] 我也不确定他重训做的多不多
[00:05:55] 但报道上写说
[00:05:56] 他没有做太多那样子的训练
[00:05:57] 他是可能比较针对柔软度伸展度
[00:06:00] 或是一些什么
[00:06:00] 类似瑜伽这样子的东西
[00:06:02] 身体的弹性跟支配什么的
[00:06:04] 我就说你讲的这些观念
[00:06:06] 好像跟我看到报道里面写
[00:06:08] 他是有点类似
[00:06:09] 他说没错就是这样子
[00:06:10] 就是我们尽量去用身体的各个肌肉
[00:06:13] 去协助发力把动作做好
[00:06:16] 所以他说他的一个兴趣就是
[00:06:17] 他会请他的学员
[00:06:18] 不管你去做什么样的运动
[00:06:20] 你都把自己录下来
[00:06:21] 那我就可以去针对你的身体
[00:06:23] 去做调整
[00:06:24] 所以我真的觉得
[00:06:24] 他是我的大恩人
[00:06:25] 因为帮我改变了这些东西之后
[00:06:27] 我也不确定
[00:06:28] 因为太多事情发生的太快
[00:06:29] 不然说像是减重
[00:06:30] 所以到底身体的整体感受变好
[00:06:33] 是因为训练
[00:06:34] 还是因为减重
[00:06:35] 还是因为可能不知道
[00:06:36] 像一些听众跟我合照
[00:06:38] 然后拍上网
[00:06:39] 然后大家说
[00:06:39] 你真的变瘦变帅
[00:06:41] 我不确定
[00:06:41] 但就是因为这些事情发生的太快
[00:06:43] 但整体都觉得生活品质变得好
[00:06:45] 但我更不确定的是
[00:06:46] 搞不好是因为
[00:06:46] 外面行情真的太好
[00:06:48] 所以我心情就很好
[00:06:49] 说不定接下来回档回一个月的话
[00:06:51] 我就会感觉我全身又很沉重
[00:06:52] 这边痛那边痛
[00:06:53] 所以因为太多事情发生的太快
[00:06:55] 所以我没有办法明确的去识别说
[00:06:58] 到底是因为什么变成是这样
[00:06:59] 但整体来说
[00:07:00] 我觉得那时候去打瘦瘦变
[00:07:02] 这个决定是一个非常好的采发
[00:07:04] 好像说把整台老车给发动起来了
[00:07:07] 跟我教练聊的时候
[00:07:08] 我就讲说
[00:07:09] 因为他那时候会去提到说
[00:07:10] 有些什么球员的生涯的高峰
[00:07:13] 可能是在二十几岁
[00:07:13] 然后之后都是一路走下坡什么的
[00:07:15] 所以我们要尽可能去维持自己的体能
[00:07:17] 之后
[00:07:18] 我说没有
[00:07:18] 我生涯的高峰应该就是现在
[00:07:20] 因为我以前根本就是
[00:07:21] 没有什么在运动的
[00:07:22] 后来在聊天的时候
[00:07:23] 是有聊到
[00:07:24] 原来他跟我一样是在特指部
[00:07:26] 就是我们都是散兵
[00:07:27] 所以其实散兵那时候体能也是蛮不错的
[00:07:31] 因为会被操到爆炸
[00:07:32] 整天要跑步拉单杠或什么的
[00:07:33] 但感觉也没有现在
[00:07:35] 好像整体的体能状态
[00:07:36] 可能是有人生的巅峰
[00:07:37] 所以蛮多人的人生巅峰
[00:07:39] 可能是在二十几岁
[00:07:39] 那我巅峰竟然是发生在
[00:07:40] 可能是三十几岁
[00:07:41] 然后还在上升中
[00:07:42] 还蛮高兴的
[00:07:43] 就前面好像说
[00:07:44] 你有一副好的身体
[00:07:45] 没有什么状况
[00:07:47] 你都没有在用它
[00:07:48] 你整天都坐着打电动
[00:07:49] 或是看影集什么的
[00:07:50] 大家终于有去用自己的身体
[00:07:52] 而且知道哪边可以发力
[00:07:53] 然后就会注意到的时候
[00:07:54] 就是他的一些动作
[00:07:55] 他教你怎么发力
[00:07:56] 用什么髋关节去传导什么
[00:07:58] 那个动作
[00:07:58] 他做起来真的是他妈异常的帅
[00:08:00] 这也是为什么那时候
[00:08:01] 我会在健常房发现
[00:08:02] 这个教练的一个主意
[00:08:03] 就是他做一些动作
[00:08:04] 可能看起来蛮中二的
[00:08:05] 就是不知道
[00:08:06] 他那个发力的动作
[00:08:07] 很像那种天堂以前
[00:08:08] 死亡骑士变神那种样子
[00:08:09] 你知道吗
[00:08:10] 可能这样勾下去
[00:08:11] 然后挥刀之类的
[00:08:12] 就是那个动作
[00:08:13] 整个是流畅超级帅的
[00:08:14] 就是有办法去把你的肢体
[00:08:16] 可能调节神量
[00:08:17] 虽然我家做
[00:08:18] 还是有点像执掌的感觉
[00:08:19] 可是慢慢的
[00:08:20] 有一直去走向
[00:08:21] 一个更好的方向
[00:08:23] 所以我的心得就是
[00:08:24] 我认为减重是很重要的
[00:08:26] 然后再来是
[00:08:26] 以前都觉得说
[00:08:28] 可能就是有氧加重训
[00:08:29] 然后没有想到
[00:08:30] 真的是偶发性的
[00:08:32] 看到教练在做
[00:08:33] 超奇怪的事情
[00:08:34] 然后去上课之后
[00:08:35] 才发现说
[00:08:35] 机能训
[00:08:36] 或是说这种功能性的训练
[00:08:37] 他对身体的帮助
[00:08:39] 可以这么大
[00:08:39] 然后你可以去发现说
[00:08:41] 以前我去做
[00:08:42] 这个角度的动作
[00:08:43] 我身体也不太舒服
[00:08:44] 原来是因为我的宽
[00:08:45] 或是哪里卡住
[00:08:46] 骨盆卡住
[00:08:47] 现在把它打通之后
[00:08:48] 其实整个人的
[00:08:49] 柔软度弹性变得很好
[00:08:50] 它会让你很想要
[00:08:52] 就整天跳上跳下
[00:08:53] 你会很想要一直动
[00:08:54] 因为你好像说
[00:08:56] 重新认识你的身体
[00:08:57] 然后你的身体下
[00:08:58] 变成是一个有趣的东西
[00:08:59] 差不多是这样的一个感受
[00:09:00] 这边跟大家分享一下
[00:09:01] 最近自己的减重
[00:09:03] 跟健身的小小心得
[00:09:04] 因为现在开始
[00:09:05] 有一些新的听众加入
[00:09:06] 我最近有看到说
[00:09:07] 以为这个是红酒节目
[00:09:08] 以为这个是瘦身节目
[00:09:10] 其实这个节目
[00:09:11] 就什么都不是散会
[00:09:12] 我们就是随便在聊天
[00:09:14] 以前可能目标导向会很明确
[00:09:16] 我就是要教市场的朋友
[00:09:17] 要聊市场的东西
[00:09:18] 我现在都没有在插销
[00:09:19] 反正我们有固定的格式
[00:09:20] 就前面一些老听众
[00:09:22] 可能跟我有共鸣的
[00:09:23] 他们听就有感觉
[00:09:24] 新来就想说
[00:09:24] 你到底在讲什么
[00:09:25] 但有些人也是因为这样
[00:09:26] 新来的一听就说
[00:09:27] 我就是喜欢这个节目
[00:09:28] 开头会跟我聊个天
[00:09:29] 反正不管
[00:09:30] 我们不会去修改我们的格式
[00:09:32] 欢迎这些新来的听众
[00:09:33] 因为现在盘很好
[00:09:34] 所以又有更多人跑去开户
[00:09:36] 可能就认识这个节目
[00:09:37] 总之就希望在后面
[00:09:39] 都可以顺利的度过
[00:09:41] 不管是
[00:09:41] 你怎么讲
[00:09:42] 喷上去的时候
[00:09:43] 你心情可以平复一下
[00:09:44] 有些人就赚得比你多之类的
[00:09:46] 或者说掉下来的时候
[00:09:46] 大家知道说日常热
[00:09:48] 这个都是蛮重要的
[00:09:49] 大概是这样子
[00:09:50] 接下来我们来进入市场话题
[00:09:51] 我们在过去
[00:09:53] 已经跟大家一直聊到说
[00:09:54] 我们已经看到说
[00:09:55] 被动元件这边
[00:09:56] 在后面一定会有一个
[00:09:58] 缺货的情形产生
[00:09:59] 只是当然它的时间点
[00:10:00] 是不好抓
[00:10:01] 最近就是在Pierre Chen
[00:10:03] 也就是国具的陈董
[00:10:06] 陈泰明他搞了一个
[00:10:08] AI试试大会
[00:10:09] 然后在上面
[00:10:10] 大吹猛吹一顿
[00:10:12] 整个国具走起来
[00:10:13] 相关的一些被动元件
[00:10:15] 都全体的转强
[00:10:16] 今天也看到
[00:10:17] 信仓店有一个
[00:10:18] 出货交期拉长的通知性
[00:10:20] 它并不是一个涨价性
[00:10:22] 可是市场就很买单
[00:10:23] 就直接给它一个涨停
[00:10:24] 但出货的交期拉长
[00:10:26] 当然就可能代表说
[00:10:27] 后面就有机会
[00:10:28] 会看到一些涨价的可能性
[00:10:30] 所以这个也算是一个例子
[00:10:32] 为什么还是要去研究一些基本面
[00:10:34] 基本面可能有时候研究下去
[00:10:35] 像前面研究
[00:10:36] 想说这些被动元件
[00:10:37] 都不会动或什么的
[00:10:38] 海外的是有动
[00:10:39] 台湾的没有动
[00:10:40] 可能就只是实现还没到
[00:10:41] 如果说基本面是正确的话
[00:10:43] 时间到的时候
[00:10:44] 它就是会反映
[00:10:44] 只是你没有办法知道
[00:10:45] 反映的时间点是怎么样
[00:10:47] 所以当然有些人就会转向说
[00:10:49] 我就全部都做技术面
[00:10:50] 但技术面的话
[00:10:51] 你就是有可能会买到一些
[00:10:52] 是假突破的东西
[00:10:54] 或者是市场资金在乱炒的
[00:10:55] 那就变成你整天要停损
[00:10:56] 所以它会变得
[00:10:58] 有一点反直觉
[00:10:59] 大家的直觉都会是
[00:11:01] 想要去趋吉避凶
[00:11:02] 不会想要有太多的停损
[00:11:04] 当你的停损
[00:11:05] 它的占比是很大的时候
[00:11:06] 它也不是机械化的去操作
[00:11:08] 就像说你有程式去做它的话
[00:11:10] 其实我觉得你的心态会跑掉
[00:11:12] 这就是为什么
[00:11:12] 你还是要大概知道一下
[00:11:14] 你买的东西是什么
[00:11:15] 针对被动元件的评论
[00:11:16] 因为在过去的数集
[00:11:18] 已经数个月
[00:11:19] 都已经在稍微提到
[00:11:20] 我们有看到这个产业趋势
[00:11:21] 所以在这个股价表态的时候
[00:11:23] 我们就不会再去多说什么东西
[00:11:25] 但就是确定说
[00:11:25] 不管是什么
[00:11:26] 弹电容
[00:11:27] 或者说铝电容
[00:11:28] C-CAP
[00:11:29] Tank-CAP
[00:11:30] 然后跟MLCC
[00:11:31] 其实都是有注意到
[00:11:33] 供需是开始越来越紧
[00:11:34] 特别是高接货
[00:11:35] 高接货是超级紧的
[00:11:37] 高接货的话
[00:11:38] 台系可能就不一定碰得到
[00:11:39] 就是要把麦克风交给
[00:11:42] 不管是韩国的Semco
[00:11:43] 三星电机
[00:11:44] 然后或者是
[00:11:45] 在日本的春田
[00:11:46] 他们是老大
[00:11:47] 台系的话
[00:11:48] 他们受惠的故事
[00:11:49] 比较偏样子
[00:11:49] 当然它有部分
[00:11:50] 可能是切进去
[00:11:51] 这些高接的AI伺服器
[00:11:52] 还是有
[00:11:53] 占比可能没有这么高
[00:11:54] 另外一部分就是说
[00:11:56] 当大家都转向
[00:11:57] 高接AI伺服器的时候
[00:11:58] 有没有可能
[00:11:59] 就是出现一些
[00:11:59] 订单排挤的可能性
[00:12:00] 这些订单排挤
[00:12:01] 会不会让这些小弟们
[00:12:03] 就吃得很饱
[00:12:04] 这个其实跟2017 2018
[00:12:05] 那个叙事有点像
[00:12:06] 但我们不是要暗示说
[00:12:07] 这个会跟2017 2018
[00:12:09] 一样变得那种超级大标股
[00:12:10] 只是可以去密切关注
[00:12:12] 后续的一些发展
[00:12:14] 有些发展可能就是
[00:12:15] 在起头的时候
[00:12:16] 你不一定看得出来
[00:12:17] 到底是什么
[00:12:18] 具体来说
[00:12:18] 像我们前面在跟大家
[00:12:19] 在聊CPU的时候
[00:12:20] 我们最早其实也只是看到说
[00:12:23] 奇怪
[00:12:23] 美股崩成这样
[00:12:24] 为什么美国的CPU类股都很强
[00:12:26] 因为这样去做布局
[00:12:27] 其实最早真的是因为
[00:12:28] 技术面的角度进去
[00:12:30] 后来是发现说
[00:12:31] Genetic Waterflow里面
[00:12:32] 它真的会用到很多的CPU
[00:12:34] 当我们确认
[00:12:35] 这样的一个产业趋势的时候
[00:12:36] 你就是会更有底气的
[00:12:38] 去抱住手上的一些部位
[00:12:39] 到现在大家已经知道说
[00:12:41] CPU就是市场里面
[00:12:42] 当红炸子机
[00:12:43] 不管是Intel开的一个
[00:12:44] 财报或是电话会议
[00:12:45] 或是AMD
[00:12:46] 大家都在关注这个重点
[00:12:47] AMD这边在法座会
[00:12:48] 有一些重大的讯号
[00:12:50] 发现说
[00:12:50] 他们去上修了Server CPU 10
[00:12:52] 从原本的一个估算调
[00:12:54] 到2023年
[00:12:55] 他们是估120B
[00:12:56] 年增是大于35%
[00:12:58] 这个速度是很快的
[00:12:59] 同时他们也讲出说
[00:13:00] 他们有信心可以拿下
[00:13:02] Server CPU超过50%的
[00:13:03] 一个Market Share
[00:13:04] 这个我是觉得
[00:13:05] 机率在还蛮高的
[00:13:07] 再来就是说
[00:13:08] AI的营收能见度
[00:13:09] 是变得很高
[00:13:10] 2027年
[00:13:11] AI的Data Center
[00:13:12] 营收会到
[00:13:13] 10s of billions
[00:13:13] 也是一个非常高的数字
[00:13:15] 同时也呼应到
[00:13:16] Intel法座里面所说到
[00:13:18] 就是Agentic AI
[00:13:19] 跟推理的工作负载
[00:13:20] 结构性的推升
[00:13:21] CPU的一个需求
[00:13:23] 所以简单来讲
[00:13:23] CPU现在变成市场中的
[00:13:25] 一个最重要的核心
[00:13:27] 其他相关的一些公司
[00:13:29] 也都跟着动起来
[00:13:30] 最近我自己就有注意到说
[00:13:31] 台股的A-SIG也都动起来
[00:13:33] 当然前面像是GUC
[00:13:36] 3443
[00:13:37] 那个算是大家都已经知道
[00:13:38] 因为它跟Google
[00:13:39] 高度相关
[00:13:39] 所以当Google在动
[00:13:41] Google Chain在动起来
[00:13:42] 它已经提早动起来
[00:13:43] 可是像今天我们也看到了
[00:13:44] L-Chip
[00:13:44] 就3661也是直接涨停的
[00:13:46] 3661的故事
[00:13:47] 是比较绑定
[00:13:49] 应该说高度绑定
[00:13:50] Amazon的Trainium
[00:13:51] 在Trainium这边
[00:13:52] 它的表现是非常好
[00:13:53] 只是说因为前阵子
[00:13:54] 去相较GUC的话
[00:13:56] 我觉得GUC手上拿的故事
[00:13:57] 可能看起来是比较像一点
[00:13:59] 因为Google是市场
[00:13:59] 大家新去注意的一个题材
[00:14:01] Amazon的话
[00:14:03] 我觉得是因为
[00:14:04] 它有点像是说老饭新潮
[00:14:06] 毕竟Trainium出了这么多代
[00:14:08] 当然它有Gravity
[00:14:10] 只是我就是在过去
[00:14:11] 像我甚至跟大家提过说
[00:14:13] Amazon的概念股
[00:14:14] 它再买我这一条狗之类的
[00:14:15] 但我下去
[00:14:16] 我就开始学狗叫
[00:14:18] 因为我还是买
[00:14:19] 看到这个股价有表态
[00:14:20] 就还是会找东西去把它追回来
[00:14:22] Amazon相关的
[00:14:24] 这个ASIC
[00:14:25] 其实在最近的表现
[00:14:26] 也都是还蛮好的
[00:14:28] 所以整体来看
[00:14:29] 就是大幅的资金
[00:14:31] 还量的灌进去
[00:14:33] 这些server
[00:14:34] 或者说CPU
[00:14:35] 或者说ASIC
[00:14:36] 相关的股票
[00:14:36] 简单来讲
[00:14:37] 就好像除了GPU
[00:14:38] 比较没有力气之外
[00:14:39] 其他的东西都会动
[00:14:41] 当然GPU的测试界面
[00:14:42] 可能表现得还蛮不错
[00:14:44] 但老大NV是停下来在那边
[00:14:45] 然后让其他小弟们
[00:14:47] 或是各种零组件
[00:14:48] 可以去做发挥
[00:14:49] 联发科可能算是我
[00:14:51] 今年最大的一个意外
[00:14:52] 就是你真的没有想过
[00:14:54] 你可以在联发科上面
[00:14:55] 看到这么多根涨停
[00:14:57] 同时当然心中就会想说
[00:14:58] 早知道我就要把他说哈联发科
[00:15:00] 可是这种事情是
[00:15:01] 没有后悔要的
[00:15:03] 我们在市场待久也知道说
[00:15:05] 没有必要在那边望洋心探
[00:15:06] 因为总是有下一个机会
[00:15:07] 重点是要去抓下一个机会
[00:15:09] MediaTag一次反映到
[00:15:11] 3000多块去的话
[00:15:12] 不知道
[00:15:13] 在我心中就会觉得说
[00:15:14] 他算是非常充分的
[00:15:15] 已经先去预期后面的一些状态了
[00:15:18] 所以他会变成有点类似之前的
[00:15:21] 像是NVIDIA那样的一个情形
[00:15:23] 就是他在上升段那边
[00:15:24] 因为直接把预期都打满了
[00:15:26] 市场直接很阿萨利的
[00:15:28] 去反映你的估值
[00:15:29] 所以我相信是
[00:15:30] 拉到某个地方之后
[00:15:31] 可能就会要横一阵子
[00:15:32] 就是要开始去验证
[00:15:33] 可能在过去的这些
[00:15:36] 不管是分析师的报告
[00:15:37] 或这些小作文写的内容
[00:15:39] 是不是这种去实践
[00:15:40] 其实我们目前看起来
[00:15:41] 还是觉得说市场的预估
[00:15:43] 不是有一点打得太满
[00:15:44] 包含说觉得说
[00:15:46] 他可能有去做到MainDi
[00:15:48] 因为在我们这边的认知
[00:15:49] 在节目的过去数集
[00:15:50] 有跟大家分享
[00:15:51] 他最主要就是在做IO
[00:15:53] 然后跟有一个Memory Buffer
[00:15:55] 就是Memory相关的一些
[00:15:56] 管理的这些Di
[00:15:58] 所以我们是还没有看到
[00:16:00] 他在MainChip有什么东西
[00:16:02] 但是因为有一些分析师
[00:16:03] 已经把它写出来
[00:16:04] 我们就是会去尊重他
[00:16:05] 看起来市场是非常买单
[00:16:06] 所以觉得说他已经是涨到一个
[00:16:08] 就像是Intel
[00:16:09] 或是这些CPU相关的类估
[00:16:11] 就我自己不会想要再去加大部位
[00:16:13] 可能就是放着
[00:16:14] 然后去观察说
[00:16:15] 到底这个市场
[00:16:16] 可以疯狂到什么样的一个程度
[00:16:18] 最近自己在部位的交易成交量
[00:16:21] 也算是放得还蛮大的
[00:16:23] 因为在行情好的一个状况之下
[00:16:25] 特别是手上的部位
[00:16:26] 几乎都有拉出去的一个情形
[00:16:27] 我们就会持续的去放大一些杠杆
[00:16:30] 放大到什么时候
[00:16:31] 像今天其实就是一个
[00:16:32] 蛮好的降杠位置
[00:16:33] 简单来讲就是有风吹草动
[00:16:35] 你就会去把东西稍微的调一下
[00:16:37] 然后去观察说有没有一些新的东西
[00:16:39] 会跑出来
[00:16:40] 像今天盘中在那边吊杀的时候
[00:16:42] 其实就注意到说
[00:16:43] 有蛮多的标的在尾盘就直接拉起来
[00:16:45] 一般来讲
[00:16:46] 那些在尾盘拉起来的东西
[00:16:48] 有可能就是一个
[00:16:49] 小心的肋骨轮动已经发生的
