[00:00:00] 欢迎收听股癌,我是陈梦工
[00:02:19] 就是一开始狂晒太阳
[00:02:20] 已经注意到说
[00:02:21] 身体可能会撑不住的一个状态
[00:02:23] 因为我过往对自己的方式
[00:02:25] 都是属于
[00:02:26] 像我会跟A君讲说
[00:02:27] 你对自己就是要够狠
[00:02:28] 什么叫够狠呢
[00:02:29] 研究就是做到最后面
[00:02:31] 做到最踏实
[00:02:31] 晚上睡觉不用睡了
[00:02:34] 吃饭
[00:02:34] 跳过几餐不会死
[00:02:36] 我每次看到脑
[00:02:36] 我早上一定要做什么
[00:02:38] 做一定要做什么
[00:02:38] 我想说干妈的
[00:02:39] 真的是草莓竹之类
[00:02:41] 反正就心中会有
[00:02:41] 这样子的一些想法
[00:02:42] 对自己的自我要求
[00:02:43] 可能是属于比较严格一点
[00:02:45] 像我一开始去做
[00:02:47] 技能性训练的时候
[00:02:48] 教练也跟我讲说
[00:02:49] 你坐到这边
[00:02:50] 只要会有痠痛
[00:02:51] 你要跟我讲
[00:02:51] 我们要立刻停下
[00:02:52] 我直接跟他说不要
[00:02:53] 我要坐到死
[00:02:53] 他就一眼傻眼说
[00:02:55] 没有我们真的不用坐到死
[00:02:56] 因为坐到死
[00:02:57] 不会让这个效果更好
[00:02:59] 所以最近在教练的调教之下
[00:03:01] 我觉得自己有稍微熟练一点
[00:03:03] 对自己的身体
[00:03:04] 也更加的照顾
[00:03:05] 也知道晚上要念故事
[00:03:06] 所以不可以挂掉
[00:03:07] 所以那一天
[00:03:07] 当我开始发现说
[00:03:09] 我已经被晒到
[00:03:10] 有一点觉得
[00:03:10] 眼貌惊心的感觉
[00:03:12] 我跟教练说没有办法
[00:03:13] 他直接回家
[00:03:14] 然后跟教练说
[00:03:15] 以后如果不是四点半以后
[00:03:16] 我只说一大早的话
[00:03:17] 可能真的都没有办法
[00:03:18] 夏天真的到了
[00:03:19] 所以请大家要注意
[00:03:20] 自己的身体健康
[00:03:21] 因为我在想说
[00:03:21] 可能有些人也跟我一样
[00:03:22] 你现在为了要减肥
[00:03:24] 或什么的
[00:03:24] 你也是拼的
[00:03:25] 可是我觉得现在天气
[00:03:26] 真的开始改变
[00:03:27] 还是要注意自己
[00:03:28] 可能不要被太阳晒到
[00:03:29] 他妈直接挂掉
[00:03:30] 那最近有一个
[00:03:32] 非常有趣的新发现
[00:03:33] 因为我的孩子
[00:03:34] 就是每天
[00:03:34] 大儿子
[00:03:35] 他都要我们带他去打
[00:03:36] MESA STAR
[00:03:37] 那我自己是觉得说
[00:03:38] 反正有这样子的一个娱乐
[00:03:39] 也蛮不错的
[00:03:40] 很像自己小时候
[00:03:41] 会去打什么格斗天王之类
[00:03:42] 反正就是那种大型的机台
[00:03:44] 以前小时候
[00:03:45] 就是放学最高兴的时候
[00:03:47] 就是跑去我们小学附近
[00:03:48] 有一个我们把它叫做棺材店
[00:03:50] 因为它隔壁就是卖棺材
[00:03:51] 那它的门口有摆一些机台
[00:03:53] 那里面就会放一些那种
[00:03:54] 一块钱的糖果
[00:03:55] 各式各样的
[00:03:56] 然后还有一些那种
[00:03:56] 像什么放屁包
[00:03:58] 不知道小时候没玩过
[00:03:59] 反正就是一个
[00:03:59] 像是铝包装的
[00:04:01] 还是什么塑胶包装
[00:04:02] 反正就是看起来
[00:04:03] 是亮亮的一个
[00:04:04] 正方形的小包
[00:04:05] 那里面会有一个
[00:04:06] 就是你从外面摸
[00:04:07] 像是一个干燥剂的感觉
[00:04:09] 就一个小小的一颗东西在里面
[00:04:10] 那你把它捏破之后
[00:04:11] 这个小包就会开始膨胀
[00:04:13] 接着会爆炸
[00:04:14] 那以前小时候
[00:04:15] 就很喜欢玩这个东西
[00:04:16] 然后在外面打机台
[00:04:17] 我觉得那个是可能
[00:04:18] 不知道
[00:04:18] 就小学可以想到最美好的回忆
[00:04:20] 所以就会觉得说
[00:04:21] 现在可以参与孩子
[00:04:22] 陪他去打电动
[00:04:23] 是蛮好的
[00:04:23] 因为他一定会记得这一段
[00:04:24] 心中就会觉得非常踏实
[00:04:26] 那只是他有时候会非常过分
[00:04:28] 他就是可能一天都要要求
[00:04:29] 他打到什么五到十场之类
[00:04:31] 我们会去控制他
[00:04:31] 不可以打太久
[00:04:32] 但有时候他可能
[00:04:34] 今天有去上一些才艺课
[00:04:35] 他就没有达到他要的常数
[00:04:37] 所以他回来就会开始闹脾气
[00:04:38] 那有时候我们会想说
[00:04:40] 反正就妥协一下
[00:04:41] 带他去打一下
[00:04:41] 可是有些时候
[00:04:42] 就会觉得隔天要上学
[00:04:44] 所以不能够这样
[00:04:44] 像那一天
[00:04:45] 就是因为我们已经注意到
[00:04:46] 时间已经是太晚了
[00:04:48] 所以他的姑姑就跟他讲说
[00:04:49] 那不然我们在家里自己打
[00:04:50] 那在家里要怎么样自己打呢
[00:04:52] 就是你要把那个气氛做主
[00:04:53] 就是大家还是会把这个
[00:04:54] 卡牌拿出来
[00:04:55] 然后接着还是会假装说
[00:04:57] 虾要比谁可以先攻击
[00:04:59] 所以谁点的比较快
[00:05:00] 然后手在那边按桌子之类
[00:05:01] 那他的姑姑就是效果主的
[00:05:03] 就是为了要把这个效果做得
[00:05:05] 更加真实
[00:05:06] 非常的投入
[00:05:07] 那同时去找了一下
[00:05:09] 网路的配音出来
[00:05:10] 因为反正就是打那个机台的时候
[00:05:12] 你会听到一些宝可梦的声音
[00:05:14] 可是他跟以前我们小时候
[00:05:15] 去接触的一些宝可梦不太一样
[00:05:16] 就是小时候我们知道说
[00:05:17] 像皮卡就是皮卡皮卡
[00:05:18] 那没有要种子就是种子种子
[00:05:19] 闪电量就是闪电闪电
[00:05:21] 感气唱低能儿
[00:05:22] 就是反正他就是发出
[00:05:23] 他自己是什么的那个声音
[00:05:24] 当然Mezastar的机台
[00:05:26] 当然皮卡却还是皮卡皮卡
[00:05:27] 可是其他的他都是
[00:05:28] 某一种特殊的音效
[00:05:29] 那其实听起来都很类似
[00:05:31] 特别是我们平常在
[00:05:32] Mezastar机台那边打的时候
[00:05:34] 因为又很吵嘛
[00:05:35] 那隔壁小朋友那边狂尝之类的
[00:05:37] 那所以你根本就听不到
[00:05:38] 那个音效的声音
[00:05:38] 就在我看来我只知道说
[00:05:40] 反正就是宝可梦出来
[00:05:41] 他会叫一下
[00:05:41] 那我也不知道那个叫是有意义的
[00:05:43] 那就直到这个
[00:05:44] 姑姑把这个手机拿出来
[00:05:45] 然后开始去放一些音效
[00:05:47] 然后就对应的音效
[00:05:48] 那他一放就发现说
[00:05:50] 诺亚立刻就知道
[00:05:52] 这是什么宝可梦
[00:05:53] 那他就开始随便乱点一些
[00:05:54] 然后就发现说
[00:05:55] 他每次竟然都知道
[00:05:56] 就是在我们没有刻意的训练他之下
[00:05:59] 那可能他每天去打个
[00:06:00] 三场四场的Mezastar
[00:06:02] 他竟然把那些声音
[00:06:04] 全部都背起来
[00:06:05] 那这也可能是某一种音感
[00:06:06] 因为像我自己的话
[00:06:07] 是从小有去学钢琴嘛
[00:06:09] 所以我都听得出来
[00:06:10] 反正在钢琴上面按什么键
[00:06:11] 我就听得出来
[00:06:11] 那吉他也听得出来
[00:06:12] 可是也不是说那种
[00:06:13] 真的超强的绝对音感
[00:06:14] 就是可能有人讲话
[00:06:15] 类似那什么小尾巴
[00:06:16] 他不是可以把一些人
[00:06:17] 那种对话的东西
[00:06:19] 直接变成是钢琴上的
[00:06:20] 这个音调把它弹出来
[00:06:22] 那像这个我是没有办法做到
[00:06:23] 可是我去听钢琴
[00:06:24] 去听什么弦乐器或吉他
[00:06:26] 我听得出来那是什么音
[00:06:27] 那我相信我的孩子
[00:06:29] 就可能耳朵也是蛮不错的
[00:06:30] 因为我们可能放一些音乐
[00:06:32] 当然这应该很多小朋友办得到
[00:06:33] 反正就是你放音乐
[00:06:34] 你可能放一秒钟
[00:06:34] 他就立刻知道是什么歌
[00:06:35] 但这个音乐自己也会嘛
[00:06:37] 就觉得没什么了不起的
[00:06:38] 可是宝可梦这个字
[00:06:39] 我当发现说他会的时候
[00:06:41] 我自己就在想说
[00:06:42] 他到底是怎么样听出来的
[00:06:44] 那当我就上传一个影片
[00:06:46] 到脸书上面
[00:06:47] 那蛮多听众
[00:06:48] 我就觉得说很傻眼
[00:06:49] 就是他怎么可能都知道那是什么
[00:06:50] 因为他那个声音其实都很相近的
[00:06:53] 所以他可能是不知道
[00:06:54] 就找到某一种pattern
[00:06:55] 或是真的就是印记
[00:06:56] 因为你知道小朋友的记忆
[00:06:57] 其实都蛮不错
[00:06:58] 他们可能就是硬尻
[00:06:59] 然后把它背起来
[00:07:00] 但当下真的是我觉得
[00:07:02] 虽然其实已经有蛮多
[00:07:04] 这样子的一些时刻了
[00:07:05] 但只是第一次就觉得
[00:07:06] 我是一个非常骄傲的神父
[00:07:08] 就像有一个听众在下面留言讲
[00:07:10] 他说拿着手机的梦工下
[00:07:12] 一定是非常的骄傲
[00:07:13] 在那边微笑
[00:07:14] 完全答对
[00:07:15] 就真的太骄傲了
[00:07:16] 我就觉得说
[00:07:16] 我只会一个蛮了不起的事情
[00:07:19] 因为老实讲
[00:07:19] 因为我前面对孩子
[00:07:21] 真的都没有什么特别的期待
[00:07:22] 然后外加
[00:07:23] 其实像我孩子的同学
[00:07:25] 有些你真的是从小就可以注意到说
[00:07:27] 他们可能是树里的天才
[00:07:29] 或什么的
[00:07:29] 就像说我们去玩一些那种磁吸片
[00:07:31] 那我的孩子怎么样玩
[00:07:33] 就是把一堆三角形拼在一起
[00:07:35] 然后说这是一个pizza
[00:07:36] 他们玩了几年
[00:07:37] 都还是在拼他的pizza
[00:07:38] 最多就是可能pizza换个颜色
[00:07:40] 那有些孩子
[00:07:41] 他就是拿到这个磁吸片
[00:07:42] 他就可以把它盖成是一个城堡
[00:07:44] 或者他就坐一台车子
[00:07:45] 就你就知道说
[00:07:46] 反正每个小朋友有不一样的点
[00:07:48] 那之前跟大家分享这一段
[00:07:49] 是讲说我还跟诺娜讲说
[00:07:50] 以后你那个朋友他要做什么
[00:07:52] 你就记得去投资他
[00:07:53] 对了
[00:07:53] 我们不一定自己什么都要会
[00:07:55] 但是我们都要上到车
[00:07:56] 这个是我们可能做股票的一个训练
[00:07:58] 那我也不知道听不听得懂
[00:07:59] 但我就跟他讲说
[00:08:00] 你要记得
[00:08:01] 那个朋友又要做什么
[00:08:01] 你就是跟着他一起做
[00:08:02] 对了
[00:08:03] 那反正这是第一次
[00:08:04] 就是我真的觉得说
[00:08:06] 我孩子好像会一点
[00:08:07] 就是可能
[00:08:07] 他算不一定是有那种
[00:08:10] 就是以实用主义的角度来说
[00:08:12] 是有用的一个技能
[00:08:13] 但他确实就是证明了
[00:08:14] 他的耳朵可能真的还蛮厉害的
[00:08:15] 所以一瞬间就大受感动
[00:08:18] 然后就跟姑姑
[00:08:19] 然后还有像身边那些朋友
[00:08:20] 就放出一些讯息
[00:08:22] 就跟他讲说
[00:08:22] 现在赶快去找
[00:08:23] 看哪一个什么老师
[00:08:25] 还是领口在地
[00:08:26] 有什么的
[00:08:26] 反正我要非常厉害的钢琴
[00:08:28] 或是什么
[00:08:29] 吉他音乐老师之类的
[00:08:30] 那重金礼聘
[00:08:31] 不管他在哪里
[00:08:32] 反正请你来上课
[00:08:34] 那我希望可以
[00:08:35] 在他耳朵的部分
[00:08:36] 去训练他一下
[00:08:37] 当然
[00:08:37] 听得出来
[00:08:38] Mezer Star
[00:08:39] 宝可摩的声音
[00:08:40] 不代表说他就会音乐
[00:08:41] 但我总是要从某个地方开始
[00:08:43] 就是你注意到说
[00:08:44] 他的耳朵异常的灵敏
[00:08:46] 虽然之前就已经知道说
[00:08:47] 像有时候他自己发出声音
[00:08:48] 他会直接把耳朵捂起来
[00:08:49] 因为他
[00:08:49] 没有办法听到太多声音
[00:08:51] 就类似我
[00:08:52] 因为我小时候也是
[00:08:53] 有这样的一个阵头
[00:08:54] 当然可能小时候
[00:08:55] 你这样子耍白痴
[00:08:56] 你把这给你一巴掌
[00:08:57] 现在我们就是
[00:08:59] 比较开放的心态
[00:09:00] 知道他耳朵敏感
[00:09:01] 有时候就会顺着他
[00:09:02] 就会发现
[00:09:03] 这样不要去刺激到他之类
[00:09:04] 只是现在就发现说
[00:09:05] 他可能真的听得到一些
[00:09:06] 特别的东西
[00:09:08] 当然有可能我们家长
[00:09:09] 自己想太多
[00:09:10] 但我们有自己去比对一下
[00:09:11] 身边那些小朋友
[00:09:12] 就发现说
[00:09:12] OK他可能这一点
[00:09:13] 真的是有他的天赋之所在
[00:09:15] 所以就希望可以去
[00:09:16] 不知道
[00:09:17] 就把他的耳朵练好之类
[00:09:18] 就既然
[00:09:18] 我已经知道说有线索了
[00:09:20] 那我就从这个地方开始
[00:09:21] 那可能
[00:09:21] 就像说叫他去学钢琴
[00:09:23] 学吉他
[00:09:24] 他不一定会
[00:09:24] 但至少
[00:09:25] 总是会找到一个方向
[00:09:26] 那希望就是
[00:09:27] 把他往那个方向去
[00:09:28] 推看看
[00:09:29] 不是用逼的方式
[00:09:30] 就是
[00:09:30] 我已经知道说
[00:09:32] 你这边有天赋
[00:09:32] 那我可能就是
[00:09:33] 往这个方向
[00:09:33] 稍微去训练一下
[00:09:34] 因为最近其实跟
[00:09:35] 网球教练聊天也蛮有趣的
[00:09:37] 我就去问他说
[00:09:38] 以前我知道的网球的神仙们
[00:09:40] 就是什么
[00:09:40] 费德勒纳德尔
[00:09:41] 然后什么乔克维奇
[00:09:43] 我都下来这些人
[00:09:44] 他说两个已经退休了
[00:09:45] 然后剩一个还在打
[00:09:46] 那也是老将
[00:09:47] 就随时都要退休
[00:09:48] 然后现在新一代的是怎么样
[00:09:49] 他们身高很高
[00:09:50] 跟以前的老将不一样
[00:09:51] 以前185就很高
[00:09:52] 然后现在可能有些
[00:09:53] 1900 200
[00:09:54] 然后速度还超快
[00:09:55] 就是以前是这样很高
[00:09:56] 然后速度就慢
[00:09:57] 现在是可以速度又高又快
[00:09:59] 我就说我最近观察
[00:09:59] 林口国中的小朋友也是
[00:10:01] 就是为什么骂国中胜
[00:10:02] 可以长这么高
[00:10:02] 以前他们国中每个都骂150
[00:10:04] 就矮度
[00:10:05] 都超小只的
[00:10:06] 就他们家都超大只的
[00:10:07] 所以新一代的
[00:10:08] 怎么讲
[00:10:09] 就是说年轻人
[00:10:10] 他们的身体的体质
[00:10:11] 素质什么都很好
[00:10:12] 同时我们也注意到说
[00:10:14] 有很多很厉害的选手
[00:10:15] 或什么
[00:10:15] 其实你在他很年轻的时候
[00:10:16] 就可以发现他有一些天赋
[00:10:18] 如果说是有愉悉的家长
[00:10:21] 当然就可以去
[00:10:22] 试着往那个方向去推
[00:10:23] 当然你不一定会推对
[00:10:24] 像他就跟我讲说
[00:10:24] 好像说费德勒一开始踢足球
[00:10:26] 然后后来跑去打网球
[00:10:28] 但总之就是
[00:10:28] 他家人一定有观察到说
[00:10:30] 这个家我可以运动
[00:10:30] 所以我就把他往那个方向推
[00:10:32] 所以我现在也是这样子的一个心态
[00:10:33] 希望可以找到孩子的一些天赋
[00:10:36] 当然如果说真的找不到的话
[00:10:37] 至少就是学了一个好玩的才艺
[00:10:39] 但总之在过去一阵子
[00:10:41] 真的是让我非常开心
[00:10:42] 我每天看到他
[00:10:42] 我就说小天才
[00:10:43] 就很高兴
[00:10:44] 就还是
[00:10:45] 怎么讲
[00:10:46] 虽然我讲说对孩子是不期不待
[00:10:47] 觉得说
[00:10:48] 这不是消极的
[00:10:49] 就是说我就是希望他快乐健康就好
[00:10:51] 但突然间发现说
[00:10:52] 他可能有一个东西蛮厉害的
[00:10:54] 其实你还是藏不住
[00:10:55] 那种心中的喜悦
[00:10:56] 所以在那边稍微跟大家分享
[00:10:58] 因为这还蛮开心的
[00:10:59] 可能是这个礼拜最开心的事情
[00:11:00] 比到什么股票
[00:11:01] 整天处置股
[00:11:02] 然后继续锁涨停
[00:11:03] 都来得开心
[00:11:04] 我真的觉得生活的重心
[00:11:05] 开始有一些改变
[00:11:06] 这边就可以完全的看得出来
[00:11:08] 大概是这样
[00:11:08] 那接下来我们来进入节目话题
[00:11:10] 那现在市场我觉得
[00:11:11] 还是没有什么好评论
[00:11:12] 反正就是一直喷
[00:11:13] 那一些特定的族群
[00:11:15] 像被动元件
[00:11:16] 算是整组做坏掉了
[00:11:17] 其实我本来是
[00:11:18] 在心中会
[00:11:20] 不知道
[00:11:20] 你就是某个程度上觉得说
[00:11:22] 应该横一下比较健康吧
[00:11:23] 就至少要休息一下吧
[00:11:24] 结果他每次都假摔一下
[00:11:25] 然后又再继续的喷出去
[00:11:27] 那老实讲是已经设个满脸
[00:11:29] 喷到完全看不懂了
[00:11:30] 那在今天的
[00:11:31] 国具的一个
[00:11:32] 对外的说明上面
[00:11:33] 也是有提到说
[00:11:34] 他们的BB ratio数字是拉上去的
[00:11:36] 然后现在在一些特规品的品项
[00:11:37] 好像是拉到90%的一个驾动率
[00:11:39] 然后在标准品也是80几%的一个驾动率
[00:11:41] 那所以呢
[00:11:42] 就代表说他的数字是越来越好
[00:11:44] 然后再加上
[00:11:45] 其实如果下去看一下
[00:11:46] 可能世界各地的一些被动元件
[00:11:47] 看一下VShare
[00:11:48] 你看一下VPG
[00:11:49] 或者说你看一下
[00:11:50] 中国的江海
[00:11:51] 他还是在做电容的
[00:11:52] 你看他日本的
[00:11:53] 那当然就是不是说什么
[00:11:54] 每天大家都一直喷
[00:11:55] 可是整体趋势都一直在网上
[00:11:57] 所以其实像前面去看被动元件的时候
[00:11:59] 有时候你当然也会怀疑说
[00:12:00] 会不会这是一个
[00:12:01] 就是人为的小炒作
[00:12:02] 然后导致出来的一个
[00:12:03] 短时间的缺货现象
[00:12:05] 但当你看到全世界
[00:12:07] 都这样子的时候
[00:12:07] 基本上就算是确定的
[00:12:08] 而且他问题只是说
[00:12:09] 这个东西会走的多远
[00:12:11] 那所以在自己的心中
[00:12:12] 会去做一些盘算
[00:12:13] 一般来讲
[00:12:13] 我们就直接用2018
[00:12:14] 去做一个类比
[00:12:15] 2018最高的时候
[00:12:16] 国际的毛利率
[00:12:16] 是摸到60几
[00:12:17] 你可以看一下春田
[00:12:18] 看一下其他公司
[00:12:19] 他们的毛利大概最高
[00:12:20] 是摸到什么数字
[00:12:21] 营收是摸到什么数字
[00:12:22] 那如果说这一次
[00:12:23] 在后面你发现说
[00:12:24] 涨价的一个
[00:12:25] 那个类似
[00:12:26] 你看那个什么学习曲线
[00:12:27] Learning Curve
[00:12:28] 它有一个曲线
[00:12:28] 这样慢慢上去
[00:12:29] 那如果说他涨的速度
[00:12:31] 是比他快的话
[00:12:31] 那你就可以直接去累推说
[00:12:32] 他会比那时候那一波
[00:12:34] 来得更猛
[00:12:34] 那如果说他是来得更慢的话
[00:12:36] 那就是没有这么猛
[00:12:37] 但就可以抓到一个相对值
[00:12:38] 然后去测算出
[00:12:39] 可能在明年的EPS多少
[00:12:41] 然后大概去测算出
[00:12:42] 那你觉得他的
[00:12:42] Target Price大概是多少
[00:12:43] 所以这是自己下去面对
[00:12:45] 这个已经完全喷出去的
[00:12:47] 族群的一个看法
[00:12:48] 那最近呢
[00:12:49] 台国市场
[00:12:50] 也有一些有趣的事情发生
[00:12:51] 像最近
[00:12:52] 应该大家蛮多人在讨论
[00:12:54] 就是台积电的一个
[00:12:55] 分红惨案
[00:12:56] 大家觉得说分红也太小气了吧
[00:12:58] 怎么越赚越多钱
[00:12:59] 分红越配越少
[00:13:00] 那他们下有一个说法
[00:13:01] 在讲说反正总之就是
[00:13:02] 这个比例上
[00:13:03] 看起来变少了
[00:13:04] 但往长期看
[00:13:05] 是会越来越多
[00:13:06] 那所以呢
[00:13:07] 希望大家都可以
[00:13:08] 稍微的沉着
[00:13:09] 按住自己的
[00:13:10] 心中的一股气
[00:13:11] 因为在台湾的话
[00:13:12] 老实讲
[00:13:13] 好像也没有什么
[00:13:14] 别的更好的选择
[00:13:15] 现在台积电拿到的配
[00:13:16] 已经超级好了
[00:13:17] 所以可能只是一个
[00:13:18] 技术性的修正
[00:13:20] 但我们没有要帮公司
[00:13:21] 洗地的意思
[00:13:21] 因为我们身边有
[00:13:22] 很多台积电的朋友
[00:13:23] 每个都在那边狂干
[00:13:24] 我已经看到一堆人
[00:13:25] 在那边狂干
[00:13:26] 所以我们每次觉得说
[00:13:27] 有点那种通信大家
[00:13:28] 就是理论上
[00:13:29] 你看大家这么辛苦
[00:13:30] 然后赚这么多钱
[00:13:31] 应该要越分越多
[00:13:32] 但好像今年
[00:13:32] 稍微踩一下刹车
[00:13:34] 但没关系
[00:13:34] 我们相信说
[00:13:35] 后面会越来越好
[00:13:36] 类似说MediaTag
[00:13:37] 可能在前面的几年
[00:13:38] 大家觉得说
[00:13:39] 好像是软屌了
[00:13:40] 可是现在因为AI的动能
[00:13:41] 你看又直接出去了
[00:13:42] 所以如果说
[00:13:42] 你没有扛住前面几年的人
[00:13:44] 那你可能也不会
[00:13:45] 藏到后面的一些果实
[00:13:47] 所以有时候
[00:13:48] 就尽量来要
[00:13:48] 学会正向思考
[00:13:49] 一些不好的事情
[00:13:50] 发生的时候
[00:13:51] 要稍微再忍耐一下
[00:13:52] 类似说
[00:13:52] 有时候我们去压一些题材
[00:13:53] 奇怪了
[00:13:54] 你买的时候
[00:13:55] 也是没有人要屌你
[00:13:56] 或是你去跟别人讲
[00:13:57] 别人还会笑你之类
[00:13:58] 可是最后面喷
[00:13:58] 喷了你也不会想
[00:13:59] 回去教训人家
[00:14:00] 因为你有赚到钱
[00:14:01] 就觉得说心里满踏实
[00:14:02] 但当下你的纠结感
[00:14:03] 是会有的
[00:14:04] 我觉得有时候
[00:14:05] 尽量往远处看
[00:14:06] 不要想太多
[00:14:07] 反正都是一个
[00:14:08] 短期的技术性的调整
[00:14:09] 最近当然可能
[00:14:11] 比较大的话题
[00:14:12] 就是SpaceX
[00:14:12] 他们要开始去做IPO了
[00:14:15] 以我自己的看法
[00:14:16] 反正不管你
[00:14:17] 估出来的价格怎么样
[00:14:18] 我都一定会先上车一点
[00:14:20] 然后先上车一点
[00:14:20] 去插旗之后
[00:14:21] 接下来再看说
[00:14:22] 要怎么样去调整
[00:14:23] 类似说那时候
[00:14:23] Panenteer上的时候
[00:14:24] 也是直接先买再说
[00:14:25] 当然先买再说
[00:14:27] 然后后来掉下去
[00:14:27] 心中都会有一些狐疑
[00:14:29] 但总之就是
[00:14:30] 你要一个reference
[00:14:31] 你一定要先卡位
[00:14:32] 然后接着
[00:14:32] 再看你后面要补多少
[00:14:33] 所以你可能知道
[00:14:34] 假设是很保守的
[00:14:35] 一开始先卡个两层吧
[00:14:36] 然后后面再看
[00:14:37] 掉下来再加
[00:14:38] 或者说可能上到
[00:14:39] 哪个地方再加
[00:14:40] 像我自己的话
[00:14:40] 应该一开始就先卡一半
[00:14:42] 然后后面再看
[00:14:42] 怎么样去做一些
[00:14:44] 应该是不会减
[00:14:45] 应该就是去
[00:14:46] 增加它的持股
[00:14:47] 同时会去降低一点
[00:14:48] 可能像Tesla的持股
[00:14:49] 因为对我来讲
[00:14:50] 反正我就押注
[00:14:50] 马斯克的一个故事
[00:14:51] 马斯克的公司
[00:14:53] 有趣就在于说
[00:14:53] 它的变化真的很快
[00:14:55] 所以有时候
[00:14:55] 你押注的东西
[00:14:56] 未必是后面
[00:14:57] 真的发酵的一个故事之类的
[00:14:59] 我觉得在说
[00:14:59] 像以前大家在买Tesla的时候
[00:15:01] 你就是在看
[00:15:01] 它电动车的出货量
[00:15:02] 后面基本上
[00:15:04] 已经没有人
[00:15:04] 在看电动车的出货量
[00:15:05] 大家在看的可能是
[00:15:06] 你能源的表现怎么样
[00:15:08] 你的Optimus的进度是怎么样
[00:15:10] 或者说你的自驾是怎么样
[00:15:12] 那已经是偏离
[00:15:13] 本来的一个样态
[00:15:14] 类似说
[00:15:14] 其实我们最早
[00:15:15] 在买NVIDIA的时候
[00:15:15] 都是在买它的显示卡
[00:15:17] 可是它现在竟然
[00:15:18] 已经把显示卡
[00:15:18] 跟其他的东西
[00:15:19] 包一包变成是
[00:15:20] Edge的一个业务
[00:15:21] 也就是说太小了
[00:15:22] 他连看都不想看
[00:15:23] 他直接把它包成是别的东西
[00:15:25] 那你会说这个等于
[00:15:26] 是违反自己的投资初衷吗
[00:15:27] 其实也不是
[00:15:27] 就是你投资的公司会改变
