[00:00:00] 欢迎收听古爱,我是顺目公
[00:01:54] 它的适应期可能是在2035年以后之类的
[00:01:57] 所以它需要放一段时间
[00:01:58] 那搭配自己的酒柜呢
[00:01:59] 像他每天就是起床去
[00:02:01] 稍微看一下自己的酒柜
[00:02:02] 湿度的状况是怎么样
[00:02:03] 然后看一下自己补或补的状况是怎么样
[00:02:05] 那自己喝下来呢
[00:02:07] 我觉得还是跟就是数年前呢
[00:02:08] 那时候岳母的男朋友
[00:02:09] 因为他自己在意大利有一个酒庄
[00:02:11] 我也是后来听自己身边有在喝酒
[00:02:13] 我朋友才知道说
[00:02:14] 那个酒庄的酒其实还蛮特别的
[00:02:16] 那时候就跟我讲说
[00:02:17] 他自己的酒大概是卖
[00:02:19] 是30到50Euro左右
[00:02:22] 那他是觉得说
[00:02:23] 其实在欧洲呢
[00:02:24] 大概十几块到20几块Euro
[00:02:26] 你就可以喝到很好的酒
[00:02:27] 那我是觉得说
[00:02:28] 那个是可能真的是懂品名之后
[00:02:29] 才会开始有办法去识别到说
[00:02:32] 就像说像我现在去看一些YT Channel
[00:02:33] 我不一定要去看说
[00:02:35] 订阅数最高的频道嘛
[00:02:36] 我甚至有时候找到一些那种Hidden Jam
[00:02:38] 我会超级高兴的
[00:02:39] 那差不多是这样子的一个概念
[00:02:41] 但是呢
[00:02:41] 一开始先透过Price Tag的方式
[00:02:43] 就直接去
[00:02:44] 因为像说无脑的跟单
[00:02:46] 到底五大酒庄是怎么样啊
[00:02:48] 那美国的什么
[00:02:48] Cold Vineyard是怎么样的一个状态
[00:02:51] 那每个都喝一轮之后呢
[00:02:52] 我觉得像他自己对于这些
[00:02:54] 像是一些酒类的识别度是有变高
[00:02:56] 就像那时候清酒
[00:02:57] 我是全部喝了一轮之后呢
[00:02:58] 那我发现我最喜欢的是
[00:02:59] 新正的某一个大概3000多块的东西
[00:03:02] 那像红酒呢
[00:03:03] 也开始慢慢的喝的出来
[00:03:05] 一点点感觉
[00:03:06] 我觉得就是靠
[00:03:07] 怎么样
[00:03:07] 金钱战术
[00:03:08] 然后快速的去累积
[00:03:10] 自己对于红酒的一个认知
[00:03:12] 那是有效的
[00:03:13] 那当然这个喝法
[00:03:14] 绝对不是用那种超B样的喝法
[00:03:16] 或者说什么
[00:03:16] 都故意要直上最贵的
[00:03:18] 就是说因为你一开始真的没有概念嘛
[00:03:20] 所以为了要建立概念
[00:03:20] 那就是找一些特别的地块
[00:03:22] 或者说特别的年份
[00:03:23] 那你大概喝了之后
[00:03:24] 你就大概知道说
[00:03:25] 哦原来我之前喝的东西
[00:03:27] 大概是怎么样
[00:03:28] 那甚至会很意外的发现
[00:03:29] 原来以前我可能蛮喜欢喝的某一种
[00:03:31] 那时候我也不知道是什么东西
[00:03:32] 那原来它是可能属于哪一种葡萄
[00:03:35] 或是哪一个地区的
[00:03:36] 那时候我的直觉就是对的
[00:03:38] 因为我就是喜欢这个东西
[00:03:39] 那只是我不知道说
[00:03:40] 原来可以在红酒的挑选上
[00:03:42] 我可以去挑选
[00:03:42] 就是我特别喜欢的某些地块
[00:03:44] 去拿来喝之类的
[00:03:46] 那所以整个体验下来是蛮赞
[00:03:47] 那我觉得另外一个很棒的收获
[00:03:49] 是昨天跟太太去好事多
[00:03:51] 因为本来讲
[00:03:51] 我真的超级讨厌去好事多
[00:03:53] 可是就昨天想要去了解看看
[00:03:55] 因为我已经是把
[00:03:56] 就是各种那种传奇等级的红酒
[00:03:58] 都收集
[00:03:58] 然后跟也喝一轮了
[00:04:00] 还没有全部喝过
[00:04:01] 但就是都已经去张罗了
[00:04:02] 那有些已经透过一些朋友拿到
[00:04:04] 我就赶快先开喝了
[00:04:05] 那我就想去了解说
[00:04:07] 那在好事多里面
[00:04:07] 因为我一直听说
[00:04:08] 好事多里面有时候
[00:04:09] 会有一些酷的东西
[00:04:10] 所以呢
[00:04:11] 我就跟老婆去逛好事多
[00:04:13] 那一般我是超级台湾去的
[00:04:14] 但那一天就特别期待
[00:04:15] 那到了那个红酒去之后呢
[00:04:17] 我就直接看到他
[00:04:18] 反正他上面有一区是
[00:04:20] 他用玻璃罩起来
[00:04:21] 你没有办法自己拿
[00:04:21] 你必须要去写提货单的
[00:04:23] 我想说一样嘛
[00:04:24] 就是无脑直接写
[00:04:25] 反正那一瓶就大概一万多块
[00:04:26] 就相较你自己可能跟酒商
[00:04:28] 或是跟朋友拿的
[00:04:29] 那个算便宜的东西啦
[00:04:31] 反正我先试看看好事多
[00:04:32] 就是看起来价格最顶的东西怎么样
[00:04:34] 那在出发前来问一下
[00:04:35] 非常懂红酒的朋友
[00:04:37] 他就跟我讲说
[00:04:37] 几个概念啦
[00:04:38] 那他不一定是准则
[00:04:40] 但是相对可以参考的
[00:04:41] 就来说
[00:04:42] 像那个红酒的屁股
[00:04:44] 如果说你可以塞大拇指进去的话
[00:04:46] 一般来讲就是不会太差啦
[00:04:48] 但他不是绝对
[00:04:49] 可是一般来讲不会太差
[00:04:50] 然后再怎么酒精浓度
[00:04:51] 13.5%以上之类
[00:04:52] 然后就给我耳提面命
[00:04:53] 几个东西之后呢
[00:04:54] 那我就快乐去挑选
[00:04:56] 反正就是本来想说
[00:04:57] 好就是包鬼全包
[00:04:59] 上面这一排
[00:04:59] 我都回去试看看
[00:05:00] 然后接着再往下试嘛
[00:05:02] 反正都是先从
[00:05:03] 你可以offer最顶的东西开始
[00:05:05] 那接着后来就跟儿子去旁边
[00:05:07] 想说买一下宝可梦的玩具
[00:05:08] 然后不知道好事多是怎么搞的
[00:05:10] 就是他有一区是
[00:05:11] 在南坎店那边是放酒的
[00:05:12] 然后在酒的旁边是冰箱嘛
[00:05:14] 那可是呢
[00:05:15] 他有另外一区
[00:05:16] 就在玩具的隔壁
[00:05:17] 不知道为什么
[00:05:18] 就额外拉一个小booth
[00:05:19] 然后里面有放红酒
[00:05:20] 然后一看
[00:05:21] 这些东西不就是我自己
[00:05:22] 有在跟酒商叫的东西吗
[00:05:24] 就是什么
[00:05:24] 木桶宝啊
[00:05:26] 然后拉菲啊
[00:05:26] 我什么
[00:05:27] 这个地方怎么可能买得到这种东西
[00:05:29] 那一查还发现
[00:05:30] 像拉菲的话
[00:05:31] 我自己的酒商
[00:05:32] 只好会贵八千
[00:05:33] 那当然不想说我酒商坑我
[00:05:34] 我酒商在很多地方都是比
[00:05:36] 其他地方都还便宜
[00:05:37] 可是呢
[00:05:38] 就是有些东西可能好事多
[00:05:39] 他有他的采购的力量
[00:05:41] 这些的吧
[00:05:41] 所以
[00:05:41] 哇靠这也太便宜了吧
[00:05:42] 那我就直接往他说剩几瓶
[00:05:43] 然后就全部拿走
[00:05:44] 我就直接把
[00:05:45] 他有五大宝里面的三个宝
[00:05:47] 那就全部都把他带回家
[00:05:48] 非常高兴
[00:05:49] 但他可能是属于比较年轻的酒
[00:05:51] 所以可能不能够太早开这些
[00:05:53] 但反正总之就是最近去试了这些东西之后呢
[00:05:56] 我是没有去酗酒啊
[00:05:57] 就没有说什么一天一定要喝多少
[00:05:59] 然后出去一定要一直拱人家喝什么
[00:06:00] 反正我就是自己就是很好奇
[00:06:02] 到底你们在吊什么
[00:06:03] 就是每次都看到大家
[00:06:04] 什么红酒怎么样
[00:06:05] 一定要喝什么
[00:06:06] 想说你们在吊什么
[00:06:07] 跟之前可能看那个清酒量
[00:06:08] 所以其实有点那种反骨的味道进去
[00:06:11] 就是你们到底整天吹在吹什么
[00:06:12] 那去试了之后
[00:06:13] 就会慢慢的找到自己喜好的东西
[00:06:16] 所以最终会明白说
[00:06:17] 其实最好的东西绝对不是说用price stack
[00:06:20] 或者说用什么大家去把它封为是cold vineyard
[00:06:23] 就是所谓的邪教式的这种酒庄
[00:06:26] 因为供需是失衡嘛
[00:06:27] 大家都要想
[00:06:28] 就是最酷的东西不一定是等等
[00:06:29] 因为你喝了你不一定会喜欢
[00:06:30] 那总之呢
[00:06:32] 就是你只要能够找到自己喜欢的味道就好
[00:06:34] 那我觉得光是去训练这个记忆
[00:06:36] 稍微让我觉得心里比较舒服的一点
[00:06:38] 就是像以前身边有一些朋友
[00:06:41] 发生过两三次了
[00:06:42] 反正就是要么就是搬家
[00:06:43] 要么就是可能家里需要清除空间
[00:06:45] 他们就会讲说
[00:06:46] 啊梦公来啊
[00:06:47] 那我们家有红酒
[00:06:48] 你把他带回去
[00:06:49] 那因为以前我都不懂
[00:06:50] 然后觉得说红酒看起来就是
[00:06:52] 嗯怎么讲
[00:06:52] 就一般都在喝啤酒嘛
[00:06:53] 喝便宜的东西
[00:06:54] 红酒感觉就是自带一种
[00:06:56] 感觉比较高贵的味道嘛
[00:06:58] 哎你叫我去帮我拿一点红酒
[00:06:59] 我就拿
[00:06:59] 那有些东西我就一直发在我家里
[00:07:01] 我根本就没会动它
[00:07:02] 然后后来
[00:07:02] 才发现说
[00:07:03] 干嘛一堆根本就是把垃圾丢给我啊
[00:07:05] 操
[00:07:05] 就是不一定说这个东西是什么便宜货
[00:07:07] 就是有些可能也是几千块
[00:07:09] 跟那个就很难喝嘛
[00:07:10] 所以呃
[00:07:11] 好处就是以后就不会给人家
[00:07:12] 这个丢垃圾了
[00:07:14] 当然不知道说这些朋友
[00:07:15] 故意要丢垃圾给我
[00:07:16] 意思就是说
[00:07:16] 下次会知道说
[00:07:17] 哎这个我不要
[00:07:19] 你可以给别人
[00:07:19] 我可以把你介绍给看谁来拿
[00:07:21] 我就不要自己扛这种东西回家嘛
[00:07:23] 因为这到底是他妈傻小
[00:07:24] 但呃
[00:07:25] 光是这一种
[00:07:25] 就是你有一点那种
[00:07:26] 鉴别度的感觉
[00:07:28] 就觉得呃
[00:07:29] 在心里面是非常的舒服啦
[00:07:30] 我就觉得呃
[00:07:31] 我现在好像分得出来一些东西了
[00:07:33] 所以呢
[00:07:33] 会继续往这个方向再努力一下
[00:07:35] 那按照我现在的一个推进速度
[00:07:37] 我大概是估计
[00:07:38] 可能半年内就可以呃
[00:07:40] 整个都走过一轮了
[00:07:41] 那接着呢
[00:07:42] 当然呃
[00:07:43] 我觉得这需要时间去累积啊
[00:07:44] 可能就是慢慢去深化
[00:07:45] 然后挑到真的自己超喜欢的东西
[00:07:47] 然后或许就可以呃
[00:07:48] 再拿出来跟大家分享
[00:07:50] 我发现红酒的世界
[00:07:51] 又比清酒的世界
[00:07:51] 再更加的复杂一点点
[00:07:53] 所以可能要再多花一点时间
[00:07:54] 那当然可能整个玩完之后就
[00:07:56] 就不喜欢
[00:07:57] 就搞不好就换去下个东西了
[00:07:58] 这就是我
[00:07:59] 但反正就是会想挑战看看
[00:08:01] 那顺便跟大家分享一下
[00:08:02] 就是因为我家Soulsen
[00:08:03] 已经进入到了
[00:08:04] 我本来是Ozampic
[00:08:05] 然后现在换成是Montreiro
[00:08:07] 那我已经有看到一些听众有私讯
[00:08:09] 我想说
[00:08:09] 欸你要记得讲你的心得是怎么样
[00:08:11] 那我的心得是
[00:08:12] 呃
[00:08:12] 简单讲就是Ozampic
[00:08:13] 因为那时候是朋友买的
[00:08:15] 简单讲就是他们那时候
[00:08:16] 去做大量的采购
[00:08:17] 然后就会有一些东西可以分出来
[00:08:18] 那我不知道它是剂量最高的东西
[00:08:20] 我当时就直接直上剂量最高
[00:08:22] 然后本来以为自己有可能会什么
[00:08:23] 妈的
[00:08:24] 急性移仗也来杀小
[00:08:25] 但后来是完全没有什么事情嘛
[00:08:27] 那这次到Montreiro呢
[00:08:28] 其实我本来也是打算
[00:08:29] 因为医生开给我的是5毫克的
[00:08:31] 然后就会讲说
[00:08:31] 5毫克可能就转了
[00:08:32] 30个刻度就打2.5
[00:08:33] 2.5这样慢慢试
[00:08:34] 我想说这什么东西啊
[00:08:36] 我才不是这样子
[00:08:37] 他妈的微微索索的人
[00:08:38] 我要打就直接直上
[00:08:40] 但呃
[00:08:40] 因为前面有这个Ozampic的教训
[00:08:42] 所以怕说
[00:08:42] 因为人家讲说Montreiro的药效真的很强
[00:08:44] 所以呃
[00:08:45] 就老老实实的密底估啊
[00:08:46] 刚刚从2.5开始
[00:08:47] 那打下去不得了
[00:08:49] 发现说完全没有感觉
[00:08:50] 它比Ozampic又再更加的弱
[00:08:52] 可能是因为Ozampic已经直上了
[00:08:53] 所以打Montreiro只打2.5
[00:08:54] 真的是没有感觉
[00:08:55] 那甚至是会开始需要
[00:08:57] 去用意志力来控制食欲
[00:08:59] 就是你真的他妈太饿了
[00:09:00] 你会很想吃东西
[00:09:01] 那吃完之后
[00:09:02] 还会想再去开个可乐果之类的
[00:09:04] 但是有把它忍住了
[00:09:06] 所以我觉得下次
[00:09:06] 可能尽量要直接拉上去
[00:09:08] 不然就呃
[00:09:09] 会不会失去这个减肥症的效果
[00:09:11] 就在我的身体里面
[00:09:12] 我是真的没有感觉到
[00:09:13] 这个东西有影响到我
[00:09:13] 我就只有感觉到
[00:09:14] 一点点的负重就是口渴
[00:09:16] 我每天晚上要口渴
[00:09:17] 那除此之外
[00:09:18] 也就没有任何的感受
[00:09:19] 那体重还是持续的
[00:09:21] 微微的往下降
[00:09:22] 已经快要到自己的目标了
[00:09:23] 非常高兴
[00:09:24] 那也希望有在减重的朋友
[00:09:25] 都可以顺利
[00:09:26] 那接下来我们来进入节目的话题
[00:09:29] 那现在市场还是
[00:09:30] 呃爽到一个
[00:09:31] 不知道该怎么样去形容的一个地步
[00:09:33] 那当然在礼拜四的时候
[00:09:34] 我们看到台股出现一个压力测试
[00:09:36] 直接给大家一个大逃杀
[00:09:38] 那基本上身边所有人
[00:09:40] 包括像我自己呢
[00:09:40] 都有做一些部位的调节
[00:09:42] 那你当然看到礼拜五
[00:09:43] 可能蛮多东西碰回去
[00:09:44] 想说啊你为什么前面要做调节
[00:09:46] 那这样子就是我们每次
[00:09:47] 呃我们都不会想要去摸头跟拆底
[00:09:49] 反正呢看到盘面是怎么样
[00:09:51] 该做什么就去做什么
[00:09:53] 那只是我在礼拜五的时候
[00:09:54] 算是有对我的持股做超重大的改变
[00:09:57] 大概是可能从过去以来
[00:09:59] 第一次去调这么多的持股
[00:10:01] 那先稍微讲一下美股的市场
[00:10:03] 美股市场还是非常好
[00:10:04] 那CPU的类股全面是喷出去啊
[00:10:06] 因为Intel开出来的数字
[00:10:07] 是还蛮不错的
[00:10:08] 而且后面也要开始涨价
[00:10:09] 那没有CPU类股就算是
[00:10:11] 在市场里面已经是
[00:10:12] 全面的传开了
[00:10:13] 然后所以可能像我们自己
[00:10:14] 前面在讲的时候
[00:10:15] 我们只是从技术面里面
[00:10:16] 去找到一些端倪嘛
[00:10:18] 那外加从自己的产业分析
[00:10:19] 知道说你现在要去推
[00:10:21] Agentic AI就需要用到CPU
[00:10:23] 那一样这都不是什么事后收割
[00:10:25] 就是我是不太喜欢做这样的事情
[00:10:26] 但节目都是白呢
[00:10:27] 都是有时间走
[00:10:28] 大家可以自己去回听一下
[00:10:29] 所以我们是有一个推理的依据啊
[00:10:31] 然后去做测试
[00:10:33] 那当然有些东西就会
[00:10:34] 像CPU这样直接喷出去
[00:10:36] 那有些东西呢
[00:10:37] 有时候觉得不小心
[00:10:38] 可能讲得太早
[00:10:39] 那他就需要时间去酝酿
[00:10:40] 就像是Marvel
[00:10:41] 可能上去打了第三次
[00:10:42] 才成功打赢
[00:10:43] 但其实前面
[00:10:43] 你压住的东西
[00:10:45] 跟这次的那个逻辑
[00:10:46] 都是蛮类似的
[00:10:47] 但同样的一个逻辑
[00:10:48] 不一定在每次都会赚到钱
[00:10:49] 这个是要注意
[00:10:50] 那这次CPU的讨论
[00:10:51] 是已经旺盛到
[00:10:52] 我觉得开始有一些小作文出来
[00:10:54] 就大概一直想要去
[00:10:55] 把CPU引导成为说
[00:10:57] 就以后你可能在一个
[00:10:57] Server Rack里面
[00:10:58] 看到它跟GPU
[00:10:59] 或是说ASIC的一个配置
[00:11:01] 会是1比1
[00:11:01] 但其实在我们自己的观察
[00:11:04] 都不会是1比1
[00:11:05] 可能好一点的就是2比1
[00:11:06] 还是2GEC之类的
[00:11:07] 或是4GEC
[00:11:08] 可能是蛮常见的一些配置
[00:11:11] 那所以呢
[00:11:12] 就可能有些人想要炒股票
[00:11:13] 就想要把CPU的数量
[00:11:15] 喊到非常高
[00:11:15] 所以很多时候你在涨的时候
[00:11:17] 你会注意到说
[00:11:17] 市场都是全面性的好消息
[00:11:19] 会一直跟你讲说
[00:11:20] CPU用来会超级恐怖的
[00:11:21] 可是明明前面
[00:11:22] 可能只有微微涨的时候
[00:11:23] 或是还没涨的时候
[00:11:24] 大家都没有再提这件事情
[00:11:25] 那这就是市场常见的一个状态
[00:11:27] 那我们来到讲的结论就是
[00:11:29] 一样
[00:11:30] 我们在可能
[00:11:31] 不管是还没喷之前
[00:11:32] 或是炸喷
[00:11:32] 我们的说法
[00:11:33] 不会随便乱改
[00:11:34] 因为基本面
[00:11:34] 是不会乱改的东西
[00:11:36] 你不会因为说行情变好
[00:11:37] 你他妈就乱掰一个东西出来
[00:11:38] 所以它不会是到one on one
[00:11:40] 就至少现在是看不到
[00:11:42] 所以一些想要把那个数字
[00:11:44] 喊到很高的
[00:11:44] 我觉得是另有一些目的
[00:11:47] 但当然或许未来会有这样子的
[00:11:49] 一个spec出来
[00:11:50] 但目前在一些主流的配置上面
[00:11:52] 是还不会看到的时候
[00:11:54] hold your horses
[00:11:54] 就不要说什么
[00:11:55] 你现在看到这些东西
[00:11:56] 然后在什么intel喷个
[00:11:58] 他妈几十%冲进去
[00:11:59] 或是arm冲进去
[00:12:00] 因为你看到这些小文章
[00:12:01] 就有机会会在短期内受伤
[00:12:04] 短期内是有机会受伤
[00:12:05] 但长期
[00:12:06] 我们还是相信说
[00:12:07] CPU的趋势
[00:12:08] 目前看得出来说
[00:12:09] 它有机会只是一个刚启动
[00:12:10] 就是有可能后面会走蛮远的
[00:12:13] 只是不确定
[00:12:14] 所以还是要边走边看
[00:12:16] 那在TPU最近也开始有蛮多的讨论
[00:12:19] 因为有TPU的8T跟8I
[00:12:20] 已经是发表出来
[00:12:22] 那这些东西
[00:12:22] 老听众也是非常耳熟能详
[00:12:24] 我们都已经聊到Homufish去了
[00:12:26] 那个是他妈第九代的东西
[00:12:27] 那第八代的东西
[00:12:29] 就是zebra跟soundfish
[00:12:30] 那像他算是正式的
[00:12:31] 在一般的消费者
[00:12:32] 或者投资人的面前看到
[00:12:34] 就是没有去挖消息的
[00:12:35] 可能就现在才第一次知道这些东西
[00:12:37] 那8T跟8I呢
[00:12:39] 代表的东西
[00:12:40] 是zebrafish跟soundfish
[00:12:41] 也就是从联发科
[00:12:42] 然后跟从Blockon这边去做设计的
[00:12:45] 那只是像我自己
[00:12:46] 也有一点点的小miss
[00:12:47] 就是我本来一直以为说
[00:12:49] training是Avago
[00:12:50] 是Blockon去做的
[00:12:51] 那Inference才是MTK
[00:12:53] 后来发现我们身边
[00:12:53] 蛮多朋友的认知都跟我是一样的
[00:12:55] 然后后来才知道说
[00:12:55] 原来training是media tech
[00:12:58] 那当然我们需要知道的事情就是
[00:13:00] 那到底training跟
[00:13:01] Inference它的占比是多少
[00:13:03] 那目前在一些产业里面的朋友
[00:13:05] 我稍微问了几个了
[00:13:06] 大概推论出来会讲说
[00:13:08] training会比较多一点点
[00:13:10] 但其实有可能会趋近
[00:13:11] 是1比1这样的一个状态
[00:13:13] 那当然公司的后续
[00:13:14] 怎么样布局我们不知道
[00:13:16] 但反正不管它是
[00:13:17] Inference或是training
[00:13:18] 你就知道说那个量可能
[00:13:19] 以目前来抓的话
[00:13:21] 你可以抓是差不多了
[00:13:22] 那所以就可以有望看到
[00:13:24] MTK之后的一系列表现
[00:13:26] 那当然它在礼拜五
[00:13:27] 又有一个涨停了
[00:13:27] 所以在短短的一段时间内
[00:13:29] 我们看到它三根涨停了
[00:13:30] 这个应该是很多人
[00:13:31] 连想都不敢想的事情
[00:13:32] 那我也是非常感谢MTK的存在
[00:13:35] 我非常感恩
[00:13:35] 但总之我自己在
[00:13:37] 最近的一个调整是这样
[00:13:39] 就当然自己手上的持股
[00:13:40] 有去做蛮多的减码
[00:13:43] 为什么 因为我必须要去腾钱出来
[00:13:45] 去买一个很重要的东西
[00:13:46] 那这个东西呢
[00:13:47] 就是市场中的一个大象
[00:13:49] 每个人都知道的台积电
[00:13:50] 最近有办法狂尬台积电
[00:13:52] 狂买
[00:13:53] 那我比较大部位的买
[00:13:55] 是在礼拜五啦
[00:13:56] 因为其实很多时候
[00:13:57] 我们这种就是做交易的
[00:13:59] 我们还是会去看一下
[00:14:00] 就是到底市场
[00:14:01] 要不要去反映某件事情
[00:14:02] 那我相信大家看新闻
[00:14:03] 已经有注意到说
[00:14:04] 尽管会去调了一个
[00:14:06] 这个投信的持股上限
[00:14:08] 就以前可能单一类股
[00:14:09] 就只能够尻到10%
[00:14:10] 那现在你可以把它靠到25%
[00:14:12] 那这个法规呢
[00:14:13] 你可以简单的把它视为说
[00:14:15] 它是为台积电给设计的
[00:14:16] 因为符合条件的类股
[00:14:18] 就是台积电
[00:14:18] 那当然有些人会讲说
[00:14:19] 可能有些大型股也会适用
[00:14:21] 但我觉得那可能比较偏向
[00:14:22] 是一个外溢的一个效果
[00:14:23] 当然现阶段呢
[00:14:24] 这个等于是
[00:14:25] 解开了台积电的一个封印
[00:14:27] 就台积电在过往
[00:14:28] 可能就是说
[00:14:28] 这些投信业者
[00:14:29] 他们能够买
[00:14:30] 就是只能够买到10%
[00:14:31] 所以你会注意到有些ETF
[00:14:32] 他为了要把自己
[00:14:33] 在台积电的exposure放大
[00:14:35] 他会怎么样
[00:14:35] 他去买别的ETF
[00:14:37] 那他去买别的ETF
[00:14:38] 有些人讲说是跌床价屋
[00:14:40] 就在我看来
[00:14:40] 其实我本身也是比较不喜欢
[00:14:42] 就是说
[00:14:43] 以通力来讲
[00:14:44] 他如果去做这样的事情
[00:14:45] 我是觉得不对
[00:14:46] 可是以台股的案例来讲
[00:14:47] 为什么他这样做
[00:14:48] 就是因为
[00:14:48] 他想要买更多的台积电
[00:14:49] 可是因为在法规
[00:14:50] 规定上没有办法
[00:14:51] 所以他就去买一些ETF
[00:14:52] 那因为这ETF里面
[00:14:53] 有包台积电
[00:14:54] 所以他就可以把他
[00:14:55] 台积电的exposure拉高
[00:14:56] 那这件事情
[00:14:57] 我觉得在后面
[00:14:58] 对市场的影响会非常大
[00:15:00] 就是我先大胆这样子猜
[00:15:01] 因为你也知道
[00:15:02] 我们就是反正做交易的
[00:15:04] 简单来讲就是说
[00:15:04] 反正我猜错我就会赔钱
[00:15:05] 那我也没有必要在那边
[00:15:07] 跟他哈拉一大堆嘴炮
[00:15:08] 反正就讲自己
[00:15:09] 我实际上就这样做
[00:15:10] 那我就去分享我看到的东西
[00:15:11] 就像过往的节目
[00:15:12] 我现在看到CPU
[00:15:13] 我现在看到被动眼镜
[00:15:14] 我看到什么
[00:15:15] 那就是实际上
[00:15:15] 我们就是拿钱去押注
[00:15:16] 所以他某个程度上
[00:15:18] 当然都是会有一点点猜的味道
[00:15:20] 就像我把这些想法
[00:15:21] 跟一些朋友讲
[00:15:22] 那有些朋友有个人讲说
[00:15:23] 听起来是很不错
[00:15:24] 但如果说外资到货怎么办
[00:15:26] 如果说后面
[00:15:27] 可能开出来的guidance
[00:15:28] 是不是太好怎么办
[00:15:29] 当然就是每个人
[00:15:30] 都有各自的考量
[00:15:30] 这就是投资有趣的地方
[00:15:32] 如果说大家的想法
[00:15:33] 都是百分之百一样的话
[00:15:34] 那市场就会锁涨铁
[00:15:35] 因为就等于
[00:15:36] 没有人卖东西给你
[00:15:37] 就是因为有人卖东西给你
[00:15:38] 他不看好他也卖
[00:15:39] 或者说他觉得就涨到这边
[00:15:40] 他才卖给你
[00:15:41] 所以市场有一些想法不一样
[00:15:43] 是很正常的
[00:15:44] 那当然这个东西
[00:15:45] 你现在看起来是
[00:15:46] 他大幅的健爆
[00:15:47] 就理论上
[00:15:48] 这个感觉是一个人多的地方
[00:15:50] 但实际上我相信应该是
[00:15:51] 蛮多人看到台积电家
[00:15:52] 在创告的时候
[00:15:53] 会想把自己的手上的东西丢掉
[00:15:54] 他就会觉得说
[00:15:55] 最近涨太快
[00:15:56] 然后想要把它丢掉
[00:15:57] 但其实我觉得资金跟政策面带的
[00:16:00] 一个影响会是蛮大的
[00:16:01] 因为首先
[00:16:02] 你先大概去计算一下
[00:16:03] 目前的ETF
[00:16:04] 他们的AUM的数字
[00:16:06] 然后去套说
[00:16:07] 假设他要把台积电
[00:16:08] 买到25%的话
[00:16:09] 你可以初算出来
[00:16:11] 他大概就是要买个十几万张
[00:16:12] 就是十万多张出头左右
[00:16:14] 所以十万多张台积电
[00:16:16] 在市场里面
[00:16:17] 算是一个很大的成交量
[00:16:19] 严格上来说其实还好
[00:16:21] 但搭配他的形态
[00:16:22] 就刚好在创新高的地方
[00:16:24] 如果说有资金要一直去往上推
[00:16:26] 如果说外资朋友
[00:16:27] 没有在这时候
[00:16:28] 他妈耍白痴的话
