[00:00:00] 欢迎收听赵华与古惑仔第1115集
[00:02:42] 对 刚刚好功奉其胜
[00:02:44] 但是我觉得更重要的是
[00:02:45] 上个礼拜三四五的时候
[00:02:47] 盘面已经出现一些变化
[00:02:48] 那个时候就要去思考
[00:02:50] 自己手中持股杠杆
[00:02:52] 或者是压得太满等等之类的
[00:02:55] 有没有要做一些调整的必要
[00:02:57] 因为毕竟台股一口气冲到四万六千五
[00:03:00] 再回档
[00:03:00] 你就会隐约已经闻到一些些气味
[00:03:03] 是可能会震荡的
[00:03:05] 那我礼拜天看到明翰的影片
[00:03:07] 我觉得是最清楚
[00:03:09] 最直球对决的
[00:03:10] 怎么讲呢
[00:03:11] 就是一个一个拆弹
[00:03:13] 博通的财报觉得不是什么大问题
[00:03:16] 升息的预期
[00:03:17] 觉得连个影子都还没有
[00:03:18] 原油价格也还没有上去
[00:03:20] AI也没有什么泡沫化的
[00:03:22] 哇塞
[00:03:23] 我看完之后会觉得说
[00:03:25] 这个礼拜一就是要进去剪
[00:03:28] 不一定要剪到谍听版
[00:03:30] 但是就应该买第一批
[00:03:31] 当然我本来计划也是如此
[00:03:33] 应该这样讲
[00:03:35] 那个礼拜六我一醒来
[00:03:37] 我是蛮意外的
[00:03:39] 因为应该这样讲
[00:03:41] 尤其是六日我感受得到
[00:03:44] 就是大家市场的氛围
[00:03:45] 光看新闻面几乎打开
[00:03:48] 大家都在看那个
[00:03:49] 台子期跌得这么重
[00:03:51] 所以大家知道礼拜一定很惨
[00:03:53] 那市场氛围不断地扩散
[00:03:55] 可是我心里在想
[00:03:57] 我实在很纳闷
[00:03:58] 到底有什么好恐惧的
[00:04:00] 因为
[00:04:00] 不是 我还没有办法像你这样子
[00:04:02] 我们结论而言
[00:04:04] 我还是回过头来
[00:04:06] 我觉得这几年真的
[00:04:07] 投资人要做到一个改变
[00:04:08] 你的投资就会非常顺利
[00:04:10] 我一直讲
[00:04:10] 不要去看股价
[00:04:13] 因为现在有一个问题
[00:04:15] 因为从AI来
[00:04:17] 现在的股价走势是极度疯狂
[00:04:19] 所以他常讲
[00:04:22] 这真的是老人与狗的这个问题
[00:04:23] 就是说中间会有落差
[00:04:26] 是主人与狗不是老人与狗
[00:04:28] 对是老人与海
[00:04:29] 好对不起
[00:04:30] 主人与狗的问题
[00:04:32] 我们这样讲就是说
[00:04:33] 正常来讲
[00:04:35] 投资人的习惯会回到以前
[00:04:37] 他不知道说
[00:04:38] 因为你长太多
[00:04:40] 所以偶尔会出现很夸张的落差
[00:04:42] 但是很夸张的落差
[00:04:44] 纯粹就是落差而已
[00:04:45] 真的不代表
[00:04:46] 一定有什么事情出现
[00:04:48] 我常讲
[00:04:49] 我个人感受就会
[00:04:52] 经过关税
[00:04:53] 经过这个所谓的战火
[00:04:55] 就是美衣战火了
[00:04:57] 那个礼拜五
[00:04:59] 根本什么都不是
[00:05:01] 我个人会觉得
[00:05:02] 我醒来我会觉得很纳闷
[00:05:03] 然后我可以理解
[00:05:05] 我就先讲
[00:05:06] 一开始你要先了解到底问题在哪里
[00:05:11] 因为我常讲的
[00:05:12] 在叠
[00:05:13] 你在分析说要叠到哪里
[00:05:14] 或者说到底要怎么动作
[00:05:16] 常常也很大的问题是
[00:05:18] 你根本都不知道到底是谁杀你
[00:05:20] 你怎么来解决问题
[00:05:21] 就是你一定要找到凶手
[00:05:23] 你才有办法知道说
[00:05:25] 到底会叠多少
[00:05:26] 到底该怎么做
[00:05:27] 那我觉得很纳闷的是
[00:05:30] 我觉得随便看了一周
[00:05:33] 根本就没有凶手
[00:05:34] 因为讲很多理由
[00:05:36] 我觉得理由都不对
[00:05:37] 因为我常讲的
[00:05:39] 股市是不会给你时间跑的
[00:05:41] 如果利宫来
[00:05:42] 是不可能给你时间跑的
[00:05:44] 会直接灌杀
[00:05:45] 对 直接灌杀
[00:05:46] 就是说平常没事就没事
[00:05:48] 没事就没事
[00:05:49] 事情一来
[00:05:50] 它是不可能给你时间跑
[00:05:51] 你要记得一件事情
[00:05:53] 门就只有一个
[00:05:54] 说在里面要往外冲
[00:05:56] 为什么要让你先跑
[00:05:57] 凭什么为什么
[00:05:58] 你想跑我也想跑
[00:06:00] 就为什么要给你先跑
[00:06:01] 所以大家都是很公平的
[00:06:03] 就是门
[00:06:03] 时间到就是这么残忍
[00:06:05] 所以结论那个时间点
[00:06:08] 你就可以知道
[00:06:09] 其实最后
[00:06:10] 为了要让这个合理化
[00:06:12] 所以最后怪罪的凶手
[00:06:14] 一定就是飞浓
[00:06:15] 但是实际上我看了飞浓
[00:06:17] 我就很意外
[00:06:18] 因为我当然解释了很多
[00:06:21] 但是解释很多
[00:06:22] 每个人的说法都不对
[00:06:25] 我常常讲
[00:06:26] 我们之前我在达人秀
[00:06:28] 也常常提到
[00:06:29] 一个很简单的观念
[00:06:31] 就是有问题
[00:06:32] 它不会给你黑K棒
[00:06:34] 就这么简单
[00:06:35] 就是它不会给你黑K棒
[00:06:36] 一开盘就直接跌停了
[00:06:40] 就会有跳空线
[00:06:42] 一定会有一个很大的破口
[00:06:44] 对缺口
[00:06:45] 就是简单
[00:06:46] 你就是一定是直接往下跳
[00:06:48] 大家都不要跑
[00:06:49] 就是说的人
[00:06:51] 谁叫你那么乐观
[00:06:52] 你要买在高点
[00:06:53] 隔天直接就开低
[00:06:55] 那美股不是
[00:06:57] 它就是开小跌
[00:06:59] 然后一路往下一路往下
[00:07:01] 其实简单道理
[00:07:03] 我常常
[00:07:04] 这个也是一个很基本的观念
[00:07:06] 就是未来你只要看到长黑K
[00:07:08] 就是告诉你
[00:07:10] 大家是在盘中
[00:07:11] 才陆续踩踏所导致的
[00:07:15] 当然以前的观念
[00:07:17] 就是高档长黑K
[00:07:19] 是一个很严重的讯息
[00:07:21] 是因为
[00:07:22] 以前所谓长黑K
[00:07:24] 是从筹码面解读
[00:07:25] 就是说
[00:07:26] 涨很多了
[00:07:28] 人家有钱的很早就买了
[00:07:30] 然后涨到上面
[00:07:32] 利多出来了
[00:07:33] 那个最大户跑了
[00:07:35] 出现一个长黑K
[00:07:36] 后续就没有人再买
[00:07:38] 就持续下跌
[00:07:39] 问题那是以前没有数字的时候
[00:07:41] 现在AI
[00:07:42] 人家能够获利在创高
[00:07:44] 所以我根本不管你
[00:07:45] 什么上面出现什么黑K棒
[00:07:48] 过两三天
[00:07:49] 又把你黑K棒吞掉
[00:07:51] 再往上走
[00:07:52] 所以你可以看到
[00:07:54] 之前的美一战火
[00:07:56] 或者是关税
[00:07:57] 当板子一拿出来的时候
[00:07:59] 它不会给你黑K棒的
[00:08:01] 它就直接就跳了
[00:08:02] 就往下就冲了
[00:08:03] 或者是你说开战
[00:08:05] 就直接往下跳
[00:08:06] 礼拜五那个很明显
[00:08:08] 就是互相踩踏而已
[00:08:11] 那我从黑K棒要跟大家讲
[00:08:13] 大家又不能理解
[00:08:14] 因为大家观念还在那个以前
[00:08:17] 我只好一个一个
[00:08:18] 拿数据给大家看
[00:08:20] 说这个数字
[00:08:21] 因为我觉得最后所有的问题
[00:08:25] 我会发现大家都讲同个故事
[00:08:27] 就是17.2万人
[00:08:29] 跟大家原本的差距在哪里
[00:08:32] 什么什么
[00:08:32] 那我会觉得
[00:08:33] 最后的关键点
[00:08:35] 你没有看到那个图形
[00:08:37] 当你看到那个图形
[00:08:38] 以前长什么样
[00:08:40] 现在在哪里
[00:08:41] 很多东西自然就可以采解出来
[00:08:43] 因为如果你没看到整个图形
[00:08:45] 你不知道人
[00:08:46] 之前的新增人数怎样
[00:08:48] 这是一件事情
[00:08:49] 或者再讲说
[00:08:50] 美债殖利率有走高
[00:08:52] 是不是要升息了
[00:08:53] 美债殖利率走高也不多
[00:08:55] 要升息也没用
[00:08:56] 所有讲的故事都是
[00:08:58] 如果就故事是合理的
[00:09:01] 但是所有的数字都告诉你
[00:09:03] 其实根本都没发生
[00:09:04] 当然不代表说未来没发生
[00:09:07] 但无论如何现在就不应该
[00:09:09] 股市跟基本面搭配
[00:09:11] 就是不对
[00:09:12] 所以代表着
[00:09:13] 我当然也不敢讲说
[00:09:15] 结论对我而言
[00:09:17] 我可以肯定的就是
[00:09:18] 低点距离现在一定不远
[00:09:21] 但是我也不敢讲说
[00:09:23] 是不是礼拜一
[00:09:24] 就一定是最低点
[00:09:25] 但我会觉得
[00:09:26] 礼拜一如果还不买
[00:09:28] 你未来不见得买得到
[00:09:29] 这过往的经验
[00:09:30] 尤其是
[00:09:31] 当还没开
[00:09:33] 还没
[00:09:34] 等于还没开盘就知道
[00:09:35] 礼拜一的跌点一定是
[00:09:37] 历史前几大
[00:09:38] 我又摊开给你看
[00:09:39] 历史前几大
[00:09:40] 当你最恐怖的时候
[00:09:41] 其实就是低点
[00:09:43] 这几乎是
[00:09:44] 每一次不会错的一个论点
[00:09:46] 所以只能跟大家讲
[00:09:47] 就看你信不信了
[00:09:49] 我说不管你信不信
[00:09:50] 反正礼拜一我是一定买的
[00:09:53] 然后大家
[00:09:53] 我跟你讲
[00:09:54] 我也不知道低点会在哪
[00:09:56] 但是我分四五笔
[00:09:57] 我很有信心
[00:09:58] 我没买完钱
[00:10:00] 一定会往上翻
[00:10:02] 因为我可以确认
[00:10:03] 它这个架构来讲
[00:10:05] 绝对不可能
[00:10:06] 我们不要讲对等关税
[00:10:08] 我只能说
[00:10:09] 它连三月的战火
[00:10:11] 都不可能去对比
[00:10:12] 因为这个都是小事情
[00:10:13] 应该说
[00:10:14] 回过头来
[00:10:16] 升不升息重不重要
[00:10:18] 我一直强调升息是很重要
[00:10:19] 升息对股市的压力是大的
[00:10:21] 但是现在的问题
[00:10:22] 不是说我轻忽升息
[00:10:24] 现在是
[00:10:24] 问题是
[00:10:25] 那个升息根本就
[00:10:27] 还没有任何一点点迹象
[00:10:29] 大家有点过度反应
[00:10:30] 这是我个人的观点
[00:10:32] 所以我常常讲
[00:10:33] 从现在这么高的位阶
[00:10:36] 很大幅的震盪
[00:10:38] 而且出现
[00:10:39] 没有原因就出现大幅下跌
[00:10:41] 我觉得是很合理的
[00:10:43] 但是当那个时间点
[00:10:45] 其实是一个机会所在
[00:10:46] 所以最后应该说
[00:10:48] 到最后自己要拿捏
[00:10:50] 自己的操作原则
[00:10:52] 应该说我觉得
[00:10:53] 当然最好还是
[00:10:55] 就是不杠杆
[00:10:56] 那有资金尽量压大
[00:10:59] 我常常讲的就是维持高持股
[00:11:01] 这个是我觉得
[00:11:02] 很好的一个策略
[00:11:03] 当然如果你要杠杆
[00:11:05] 就变成可能要分批
[00:11:06] 最起码让你的
[00:11:07] 这个成本有一点安全范围
[00:11:10] 再拉大
[00:11:11] 否则你一次资金
[00:11:12] 大量买在高点
[00:11:14] 你受不了这种震荡
[00:11:16] 我觉得才是
[00:11:17] 比较重要的关键
[00:11:18] 好 因为我们把前面几次
[00:11:21] 跟大家再复盘一下
[00:11:22] 因为不见得昨天
[00:11:23] 大家都有听到
[00:11:24] 我跟汉伟在聊
[00:11:25] 那今天明汉来
[00:11:26] 我们把这个严重性
[00:11:28] 跟大家来分享一下
[00:11:29] 其实对等关税之前
[00:11:31] 还有一次沙盘
[00:11:32] 不晓得大家记不记得
[00:11:33] 在2024年
[00:11:34] 我记得是一天
[00:11:35] 好像跌1800点
[00:11:36] 也是史上没有看过
[00:11:37] 这么大的跌点
[00:11:38] 因为那时候股票位阶
[00:11:39] 还不是那么高
[00:11:40] 那跌什么
[00:11:41] 好像是跌
[00:11:42] 辉达的财报
[00:11:44] 辉达的财报出来
[00:11:45] 华尔街就觉得
[00:11:46] 我给你的预期是非常高的
[00:11:48] 你这样的财报
[00:11:49] 我还没有办法接受
[00:11:50] 然后这样AI就要泡沫了
[00:11:52] 代表你的资本支出
[00:11:54] 可能得不到回收
[00:11:55] 所以你财报没有
[00:11:56] 非常的亮眼
[00:11:57] 然后别人有一些
[00:11:58] ESIC可能会分食
[00:11:59] 你的GPU市场
[00:12:00] 等等等等的疑虑
[00:12:01] 传出来
[00:12:02] 忽然之间
[00:12:03] 美国的科技股就大崩跌
[00:12:05] 然后台股也跟着
[00:12:07] 大杀两天
[00:12:08] 大杀两天
[00:12:09] 那一次其实
[00:12:10] 我也是有点小紧张
[00:12:11] 因为大家知道
[00:12:12] 没有经验嘛
[00:12:12] AI这次上来
[00:12:14] 那次的沙凡
[00:12:15] 就想说对啊
[00:12:16] 从2023涨上来
[00:12:17] 也涨了一两年了
[00:12:18] 多头走了一两年
[00:12:19] 好搞不好真的泡沫了
[00:12:20] 会不会像这个
[00:12:21] 网路泡沫什么的
[00:12:22] 但那时候也有做分享
[00:12:23] 跟网路泡沫还是不一样
[00:12:25] 因为涨的是美股七巨头
[00:12:27] 美股七巨头谁没钱啊
[00:12:29] 大家都非常有钱
[00:12:30] EPS都非常的高
[00:12:31] 所以当时的沙盘
[00:12:33] 就觉得有可能是虚惊一场
[00:12:35] 那当然你看
[00:12:35] 2024年到现在
[00:12:37] 又过了快要两年了
[00:12:38] 是不是AI的蓬勃发展
[00:12:40] 跟资本支出
[00:12:40] 就变得更庞大了
[00:12:42] 那一次之后
[00:12:43] 当然就出现的是
[00:12:44] 对等关税
[00:12:45] 那真的叫做
[00:12:46] 我们都很认可的
[00:12:47] 黑天鹅
[00:12:48] 谁也没想到会突然
[00:12:50] 前一天
[00:12:50] 我们还在放
[00:12:51] 清明节连家
[00:12:52] 就突然拿出了
[00:12:54] 一张莫名其妙的纸
[00:12:56] 然后上面的
[00:12:56] 对等关税
[00:12:57] 是大家没有想过的
[00:12:58] 高数字
[00:12:59] 这是真正的黑天鹅
[00:13:00] 所以连续三天跌停
[00:13:02] 但三天跌停的之后
[00:13:04] 我觉得川普就展现了
[00:13:06] 他真的很能操控
[00:13:07] 市场的能力
[00:13:08] 再加上AI的发展
[00:13:10] 没有停滞
[00:13:11] 对
[00:13:11] 所以对等关税
[00:13:13] 应该是近两三年来
[00:13:14] 最严重的一件事情了
[00:13:16] 对
[00:13:16] 那再上一次就是疫情了
[00:13:18] 对
[00:13:18] 疫情产生了不同的情况
[00:13:19] 我被AI打人认可了
[00:13:21] 对
[00:13:22] 猜解得很清楚
[00:13:23] 好
[00:13:24] 三月的战争
[00:13:26] 我们都觉得
[00:13:27] 是有一点压力的
[00:13:28] 因为它造成了
[00:13:29] 油价涨到120块以上
[00:13:32] 这个蛮惊人的
[00:13:34] 因为通膨
[00:13:35] 如果是因为经济繁荣的
[00:13:37] 通膨就算了
[00:13:38] 可是如果是因为战争
[00:13:39] 地缘政治影响
[00:13:40] 油价上来的
[00:13:42] 它就有可能导致
[00:13:43] 你的景气
[00:13:44] 不一定跟得上这个通膨
[00:13:45] 它就可能变成
[00:13:46] 所谓的恶性通膨也好
[00:13:47] 或是不理想的通膨
[00:13:48] 你要为了解决这个事情
[00:13:50] 导致要升息
[00:13:51] 就是一个不好的现象
[00:13:53] 因为不是因为景气
[00:13:54] 非常热弱
[00:13:55] 所以我们那时候
[00:13:55] 我们也在观察
[00:13:56] 美意战争的状况
[00:13:57] 这确实是一个
[00:13:58] 比较大的事件
[00:13:59] 但是我觉得那个时候
[00:14:00] 我还是觉得
[00:14:01] 我们台湾解出来的第一季
[00:14:03] 那时候可能是
[00:14:04] 一二月的成绩
[00:14:05] 都好到烂
[00:14:06] 过一个年假
[00:14:08] 都好到爆炸的
[00:14:09] 一个成绩是底气
[00:14:11] 所以下来还是站在买方
[00:14:13] 可是密切观察油价
[00:14:15] 但后来又是川普
[00:14:16] 又讲说
[00:14:17] 我们跟伊朗和谈关
[00:14:18] 伊朗有没有承认这件事情
[00:14:20] 油价慢慢地控制下来
[00:14:22] 所以对比起这两次
[00:14:23] 到了现在
[00:14:24] 唯一唯一
[00:14:25] 我觉得小疑虑的
[00:14:26] 刚刚有跟明翰在讨论
[00:14:28] 就是指数
[00:14:29] 已经来到了46500一点
[00:14:30] 但是是不是要那么care
[00:14:32] 指数在哪里呢
[00:14:34] 好 乖离率也许是
[00:14:35] 你会比较在意的
[00:14:36] 对
[00:14:37] 就是跟月线或季线的
[00:14:38] 乖离率拉得相当高
[00:14:39] 那现在修正了
[00:14:41] 你觉得现在修正下来了
[00:14:42] 乖离率的疑虑有拿掉了吗
[00:14:44] 有
[00:14:45] 每一次的拉回
[00:14:46] 确实对这个乖离率
[00:14:48] 是一个非常有帮助
[00:14:50] 当然说这一次
[00:14:51] 连月线都没碰到
[00:14:53] 但是比较好的现象
[00:14:54] 就是说这个废半的部分
[00:14:56] 是有回去摸到月线
[00:14:58] 但是老实讲
[00:14:59] 真的时间很短
[00:15:01] 但是这个也是
[00:15:02] 我必须要持续跟进的地方
[00:15:04] 因为以前我的观念
[00:15:05] 就觉得摸到真的那么高
[00:15:08] 拉回它就得摸到月线之外
[00:15:10] 通常在月线
[00:15:11] 它会整理一段时间
[00:15:13] 但是今年以来
[00:15:15] 它摸到它连整理时间都不给你
[00:15:17] 就是不超过两天
[00:15:19] 就又转墙往上冲
[00:15:21] 所以我也觉得
[00:15:22] 这个真的要与时俱进
[00:15:24] 就是说这个不断的变化
[00:15:27] 现在的架构就是
[00:15:28] 真的太高还是得修正
[00:15:30] 而且修正的过程当中
[00:15:32] 所以我常常讲
[00:15:33] 我会觉得
[00:15:34] 就简单而言
[00:15:35] 就是必须真的要了解
[00:15:38] 然后最后才会有信心
[00:15:40] 才有办法去有效的操作
[00:15:42] 那刚刚也提到
[00:15:43] 这个其实
[00:15:44] 这个我觉得对投资的角度是好的
[00:15:48] 就是我们在讲这些不利因素
[00:15:50] 是不断的缩减
[00:15:52] 就这一段时间
[00:15:53] 真的最严重真的是关税
[00:15:54] 关利
[00:15:54] 当时关税
[00:15:56] 然后再来真的就是这个战火
[00:15:58] 然后到这一次
[00:15:59] 这次又更低
[00:16:00] 我简单而言的概念
[00:16:02] 为什么会有不同
[00:16:03] 就是说
[00:16:03] 你要知道他的川普背后的
[00:16:06] 最重要的关键
[00:16:07] 因为这一次的战火
[00:16:09] 绝对不如去年
[00:16:11] 是因为战火的部分
[00:16:12] 他要的从头到尾都是政治
[00:16:15] 他要的只是希望
[00:16:16] 不要有这个核弹
[00:16:18] 所以你要记得
[00:16:19] 他所有的赌注
[00:16:20] 就是美国经济
[00:16:21] 美国经济一定
[00:16:22] 他不会让他搞烂
[00:16:24] 这是一开始出发
[00:16:25] 还有美债
[00:16:26] 对
[00:16:26] 那可是有一个问题
[00:16:27] 当时关税
[00:16:28] 他要的是钱
[00:16:31] 所以他两个会去拉扯
[00:16:33] 那他有
[00:16:34] 他到底
[00:16:35] 从关税
[00:16:36] 你可以拿到多少好处
[00:16:37] 没办法计算
[00:16:38] 而且他在想
[00:16:38] 想什么不知道
[00:16:40] 他为了钱
[00:16:41] 他会付出更大的代价
[00:16:43] 来跟你赌
[00:16:43] 我相信
[00:16:44] 所以当时的压力是最巨大
[00:16:46] 这一次他最后我只换的
[00:16:48] 希望这个
[00:16:49] 给伊朗的部分不要核弹
[00:16:52] 但是无论如何
[00:16:52] 他不会用他的经济去换
[00:16:54] 这也是很合理
[00:16:55] 所以风险就比关税小很多
[00:16:57] 这一次就是纯粹是市场脑骨了
[00:17:00] 什么都没有
[00:17:01] 因为大家最后都是
[00:17:02] 就是涨多回跌
[00:17:03] 技术性修正
[00:17:05] 对
[00:17:05] 技术性
[00:17:05] 真纯粹就是技术性
[00:17:07] 但是我常常讲的问题就在这里
[00:17:09] 就是当在回党的时候
[00:17:11] 市场都会讲一个故事塞给他
[00:17:15] 尤其是最后就是当天
[00:17:17] 发生什么事情就只能是他了
[00:17:20] 我就讲
[00:17:21] 这个博通就更夸张
[00:17:23] 因为明明
[00:17:23] 老实讲
[00:17:24] 这一样的问题
[00:17:25] 就财报跟涨跌
[00:17:27] 这几年也大家看到了
[00:17:29] 我最简单来讲
[00:17:31] 就是回答台积电
[00:17:33] 这次的法说也都很好
[00:17:36] 隔天也没涨
[00:17:37] 还在跌
[00:17:37] 那代表就不好吗
[00:17:39] 等你一个礼拜之后
[00:17:40] 你就发现人家就创高了
[00:17:42] 所以你不能用股价来去解读
[00:17:45] 它的现实状况
[00:17:47] 我一直讲博通是好的
[00:17:49] 它跌
[00:17:51] 博通真的状况是好的
[00:17:53] 而且所有的人都在同一艘船上
[00:17:56] 它又是知优生
[00:17:57] 然后它会跌是因为涨
[00:17:59] 不是因为它不好
[00:18:01] 所以再加上时间点也不对
[00:18:03] 人家是礼拜四的事
[00:18:05] 美股跌的是礼拜五
[00:18:06] 你怎么会拿它来当借口
[00:18:08] 所以简单而言
[00:18:10] 你会信就代表你认为
[00:18:12] 股市是没有效率
[00:18:13] 错
[00:18:14] 股市是非常有效率
[00:18:15] 我这个可以另外再开一集话题
[00:18:18] 就是股市到底有没有效率
[00:18:19] 我们是效率市场吗
[00:18:21] 对
[00:18:21] 可是我觉得我们只是办效率市场
[00:18:24] 但美股可能效率会比较好
[00:18:26] 因为它没有涨跌幅限制
[00:18:27] 应该这样讲
[00:18:28] 你说没有效率是看
[00:18:30] 最主要架构
[00:18:31] 没有效率是什么
[00:18:32] 比如说
[00:18:33] 这两天就知道没有效率
[00:18:35] 因为明明
[00:18:36] 经济在往上
[00:18:38] 为什么会有这个东西
[00:18:39] 中间有一点点价差
[00:18:41] 很短的时间
[00:18:41] 我是相信的
[00:18:43] 但长期而言
[00:18:44] 其实它一定是跟着你的
[00:18:46] 这个基本面走同方向
[00:18:48] 但偶尔嘛 长多了
[00:18:50] 总是在里面
[00:18:52] 而且尤其是
[00:18:53] 我觉得
[00:18:54] 或者是反过头来
[00:18:56] 绝大部分的人
[00:18:57] 是无法这么的理解
[00:18:59] 这个我也认同
[00:19:00] 所以当大家互相踩踏的时候
[00:19:04] 就会出现一些
[00:19:05] 比较不合理的现象
[00:19:06] 但是最后是这样子
[00:19:08] 如果你能够理解
[00:19:10] 你就变成相对而已
[00:19:11] 你就具有一点优势
[00:19:12] 我觉得是这个架构
[00:19:15] 所以我常讲
[00:19:16] 回过头来
[00:19:18] 尤其是我觉得
[00:19:19] 这个礼拜
[00:19:20] 最最
[00:19:21] 是一个非常经典的例子
[00:19:22] 就是股市在下跌
[00:19:25] 当你把这个东西放大
[00:19:27] 可是有一个很大的问题
[00:19:28] 就是说
[00:19:28] 如果我们举个例子
[00:19:30] 就是这件事情发生
[00:19:32] 如果我们把前段
[00:19:34] 刚好Computex
[00:19:35] 跟台积电股东会拿走
[00:19:37] 那上一次放讯息
[00:19:39] 可能已经隔了
[00:19:40] 比如说一两个月了
[00:19:41] 那你这个时候说
[00:19:43] 是不是有什么变化
[00:19:44] 也许我觉得还有点
[00:19:46] 我们还有讨论空间
[00:19:48] 上礼拜的Computex
[00:19:49] 黄仁勋
[00:19:50] 这个魏哲家才出来
[00:19:52] 刚什么该讲都刚讲完而已
[00:19:55] 他们说因为人走
[00:19:56] 然后黄仁勋的人
[00:19:57] 查量
[00:19:58] 问题是人家讲完
[00:20:00] 也不过才两天而已
[00:20:02] 你就认为是反转了
[00:20:04] 所以我就说
[00:20:05] 为什么相对而言
[00:20:07] 比较容易有
[00:20:08] 我真的相对看起来
[00:20:09] 比较容易有自信
[00:20:10] 就是你拆解就可以知道
[00:20:12] 这个前后逻辑是矛盾
[00:20:14] 好 敏翰刚才讲了一句话
[00:20:16] 我觉得非常重要
[00:20:17] 刚讲完才两天
[00:20:18] 你就觉得事情不一样了
[00:20:20] 对啊
[00:20:20] 我觉得这个事情
[00:20:21] 也是我的一个基本核心
[00:20:22] 就是我有时候讲一些观念
[00:20:24] 例如说六日到底
[00:20:25] 我们是不是应该要
[00:20:26] 跟大家say something
[00:20:27] say something是照顾大家的情绪
[00:20:29] 可是不是改变我们的看法
[00:20:31] 如果有人在之前的看法
[00:20:32] 跟六日的看法
[00:20:33] 就因为跌了
[00:20:34] 完全相反
[00:20:36] 那这个人的看法
[00:20:36] 就不值得采信
[00:20:38] 我的朋友都没有
[00:20:39] 我的达然朋友都没有
[00:20:41] 包括我自己没有
[00:20:42] 因为我们六日出来讲
[00:20:45] 刚好你是要录影片
[00:20:46] 我是真的是因为
[00:20:47] 知道大家会担心
[00:20:48] 就稍微写一下
[00:20:49] 可是所有的对策逻辑
[00:20:51] 没有因为礼拜五的夜盘大跌
[00:20:54] 有任何的改变
[00:20:55] 除非我有写到
[00:20:57] 今天联署会真的告诉你
[00:20:58] 华许六月十七号开完会
[00:21:00] 告诉你很偏鹰
[00:21:02] 真的可能要考虑升息
[00:21:03] 我觉得市场会吓到
[00:21:04] 如果他真的这么说
[00:21:06] 然后再来当然
[00:21:07] 博通我的想法
[00:21:08] 就没有像明汉
[00:21:09] 这么样的直观
