[00:00:00] 欢迎收听赵华语股获在第1122集
[00:03:57] 来刺激经济
[00:03:59] 然后所以你看他很快的在
[00:04:01] 这个FED还没有开会之前
[00:04:03] 他就说我要赶快跟这个伊朗
[00:04:05] 签下这个和平协议书
[00:04:06] 就告诉你说
[00:04:07] 他其实非常在意
[00:04:09] 他今年的其中选举
[00:04:10] 因为一旦FED做了一些
[00:04:12] 什么样的动作
[00:04:13] 基本上他就会卡住很多的东西
[00:04:16] 所以这东西基本上是非常重要的
[00:04:19] 所以我讲
[00:04:19] 我知道我今天早上的程序上也写
[00:04:21] 我说只要FED他不要乱动
[00:04:24] 基本上台股要过高
[00:04:26] 应该是没有什么太大的问题
[00:04:28] 所以你看今天基本上台股的股市
[00:04:30] 基本上他就跟着日韩股往上走
[00:04:33] 盘中大盘还有稍微有压一下
[00:04:35] 可是你也开始看得出来
[00:04:36] 今天其实贵买非常的强
[00:04:37] 其实今天贵买一直在均价上
[00:04:40] 但是其实贵买还差一点点就过高
[00:04:42] 所以今天是大盘领先先过高
[00:04:44] 贵买还没有
[00:04:45] 所以可以预期的是
[00:04:46] 整个端午节回来之后
[00:04:48] 贵买一定要创新高了
[00:04:49] 因为他已经被压很久了
[00:04:51] 在前段时间因为整个市场的氛围
[00:04:54] 在这样其实大家对
[00:04:55] 整个联准会议的一个无法预测
[00:04:57] 跟整个美意战争的一个尴尬的情况之下
[00:05:01] 其实指数一度是要下修的
[00:05:02] 我记得那时候我还特别提了00632R
[00:05:05] 我说00632R周大量高突破了
[00:05:07] 那是一个很不好的警讯
[00:05:09] 可是在这段时间其实你看到
[00:05:11] 00632R它再度破大量低
[00:05:13] 破大量低高是什么
[00:05:14] 告诉你目前这个闸道的闸门是拉起来的
[00:05:17] 就是目前是多头无碍
[00:05:20] 就是开绿灯的
[00:05:22] 开绿灯的
[00:05:22] 所以今天大家其实应该很high
[00:05:24] 因为今天大家很多股票都是大涨的
[00:05:27] 那相对来讲
[00:05:28] 如果你现在是现金部位比较高的人
[00:05:30] 现在就很尴尬
[00:05:31] 因为你怎么进场
[00:05:32] 其实每一个都很高
[00:05:33] 包括像机体也很高
[00:05:35] 国具基本上你根本买都买不到
[00:05:37] 国具今天又亮灯涨
[00:05:39] 我还卖飞了
[00:05:39] 所以这个行情基本上就是让很多人会觉得
[00:05:43] 怎么才一个礼拜的时间就变化这么大
[00:05:46] 所以我记得上次我们来国会仔的时候
[00:05:48] 还有在达安秀我就讲说
[00:05:49] 你还是要维持五成的部位
[00:05:51] 你不能看太空
[00:05:53] 因为这个行情并没有到太空的地步
[00:05:56] 我说冲击量它就是一个修正而已
[00:05:58] 那果然它打到月线下弯之后
[00:06:01] 月线又再度拉起来
[00:06:02] 所以现在贵买跟大盘月线都是往上走的
[00:06:05] 那月线往上走就是什么
[00:06:06] 就是个多头的架构
[00:06:08] 我们每次来都跟同学大家讲说
[00:06:09] 不要忘记你要看形态
[00:06:12] 形态是月线上弯的情况之下
[00:06:14] 就算修正不会修正太久
[00:06:15] 如果月线下弯就要很小心
[00:06:17] 那什么之前要很小心
[00:06:18] 那就是月线下弯了
[00:06:20] 现在看起来又回到正常
[00:06:21] 好
[00:06:22] 这个确实行情来得
[00:06:24] 有点出乎预料之外
[00:06:25] 可是确实凯哥
[00:06:26] 是一定坚持手上要有基本部位的
[00:06:29] 五成
[00:06:30] 五成当然每一个人的想法不一样
[00:06:32] 有人杠杆已经开好开满了
[00:06:34] 有人比较保守
[00:06:35] 也许最近是降部位但都没有关系
[00:06:37] 确实到了今天台股创新高
[00:06:38] 而且很多的中小型股
[00:06:40] 在今天有族群性
[00:06:41] 所以今天的体感温度
[00:06:43] 应该相对是好的
[00:06:44] 好
[00:06:45] 我有看了一下盘面的族群
[00:06:47] 其实被动元件真的非常之厉害
[00:06:49] 我还记得前几天有跟大家哀好
[00:06:51] 把这个信商店跟国具卖飞了
[00:06:53] 但没有关系
[00:06:54] 因为手上有其他的被动元件
[00:06:56] 就是这个族群
[00:06:57] 如果您是喜欢
[00:06:58] 你手上一定要有强势股的
[00:07:00] 说实话不能没有
[00:07:01] 对
[00:07:02] 说实话不能没有
[00:07:02] 昨天我们是价值投资的股鱼来
[00:07:04] 他也特别提到
[00:07:05] 整体台股的架构
[00:07:07] 跟评价必须往上调
[00:07:09] 因为它是价值派
[00:07:11] 那价值派怎么看现在台股
[00:07:12] 就是整体评价
[00:07:13] 你就是必须往上调
[00:07:14] 因为现在的状况就是不一样
[00:07:16] 成长性就是非常的高
[00:07:18] 被动元件您就一定要有
[00:07:19] 好等一下来聊一下
[00:07:20] 可能被动元件
[00:07:21] 如果还没有办法上车的朋友怎么办
[00:07:24] 今天有另外一个功率元件
[00:07:26] 功率元件其实我们演讲很多很多次
[00:07:28] 可是今天是真的叫非常整齐的发动
[00:07:31] 有很多是一开盘就直接一字锁掌停
[00:07:33] 元件类的最近很好
[00:07:35] 另外一个IC设计类的瑞玉
[00:07:38] 我们都叫瑞玉是螃蟹
[00:07:40] 因为瑞玉的它的logo像螃蟹
[00:07:42] 瑞玉今天已经是拉第二根涨停了
[00:07:44] 那也带动了很多IC设计有做表态
[00:07:47] IC设计这个族群
[00:07:48] 也有很多是中低价位的
[00:07:50] 大家不要容易介入的
[00:07:52] 那另外呢今天有这个台积电跟这个艾克尔签订了一个十年的封装的长约哦
[00:07:59] 这事情很耐人寻味
[00:08:00] 他为什么要跟艾克尔签这么长的约
[00:08:03] 业界说从来没看过台积电愿意签十年长约
[00:08:06] 这带动今天的封测股大涨
[00:08:09] 我要讲的是说
[00:08:10] 强势的被动或公路元件您可能要有
[00:08:12] 可是像我很喜欢封测
[00:08:14] 我想大家听古惑仔一定都知道
[00:08:16] 我也等到封测回后怎么样
[00:08:18] 重新再起工
[00:08:19] 对所以盘面上是你要强势的
[00:08:22] 你要蹲点等的都有机会
[00:08:24] 这样我们来看一下
[00:08:25] 这个台积电跟AMCOR为什么要签这个合约
[00:08:28] 其实一个逻辑其实很简单的懂
[00:08:30] 就是其实川普不是讲吗
[00:08:32] 未来的半导体的制造要五成在美国
[00:08:35] 就告诉你说未来台积电在美国产出会大量的增加
[00:08:39] 可是你现在日月光到美国去投产
[00:08:41] 一定赶不上目前的一个台积电的生产的速度
[00:08:45] 因为台积电是加持着美国的资源
[00:08:47] 在做一个投资的
[00:08:49] 所以他势必在当地要有一个封装的产能来搭配
[00:08:52] 再就是你可以看到
[00:08:53] 不管是Intel或者是其他的大厂
[00:08:57] 其实他们也都有拿到美国的补助
[00:08:59] 所以他们基本上也在美国大张旗鼓的正在扩张当中
[00:09:04] 所以台电势必要怎么样
[00:09:05] 要做一个很小心
[00:09:06] 就是他要先把他的产能先parking住
[00:09:09] 所以他跟AMCOR做一个合作
[00:09:11] 基本上我觉得是
[00:09:12] 我觉得并不意外
[00:09:14] 并不意外
[00:09:15] 但是其实封装的结构
[00:09:17] 其实我们之前有提过
[00:09:17] 其实这一两年就是很好
[00:09:19] 那只是有些股票
[00:09:20] 基本上他之前就是很弱
[00:09:22] 今天年最弱的金元店都拉涨
[00:09:24] 对
[00:09:25] 但是其实我是觉得金元店不应该这么的弱
[00:09:27] 但是之前就是因为他刚好面临到
[00:09:30] 整个ETF的调整
[00:09:31] 所以就让他的形态变坏了
[00:09:33] 变坏之后其实大家就一段时间无人问津
[00:09:35] 可他今天就拉起来
[00:09:37] 我看历程好像今天也是拉起来
[00:09:38] 所以感觉是今天封车族群都拉起来
[00:09:41] 我还讲一下
[00:09:42] 大家其实被动元件有一个很大的迷思
[00:09:45] 就是我之前有讲过
[00:09:46] 就是被动元件有两家公司很重要
[00:09:48] 因为就是和珊堂的信仓店
[00:09:50] 这两家是有吃到NVIDIA的订单
[00:09:53] 那其实你再看一件事情
[00:09:55] 就是被动元件跟过去的被动元件是一样的吗
[00:09:59] 其实不太一样
[00:10:00] 不太一样
[00:10:01] 就算这一次的景气的变化
[00:10:03] 其实也是不太一样
[00:10:05] 他常常用网通来比喻说
[00:10:07] 这次很像当年的网通
[00:10:08] 会不会是一个泡沫
[00:10:09] 你有没有注意到
[00:10:10] 其实我们整个AI在大涨
[00:10:12] 只有美国 台湾 韩国跟日本在大涨
[00:10:16] 他不是全世界都在大涨
[00:10:17] 很多地方还是跌的
[00:10:19] 很多地方还是跌的
[00:10:20] 有些地方近年可能还跌了四五成
[00:10:22] 所以告诉你
[00:10:23] 他跟当年的网路泡沫不太一样
[00:10:25] 当然网路是全世界疯狂
[00:10:27] 可是这一次是有AI的国家才能够疯狂
[00:10:31] 对 所以你是强的有道理
[00:10:33] 强的有真理的
[00:10:34] 这是结构不太一样
[00:10:36] 再来就是被动元件
[00:10:37] 基本上这个时间点
[00:10:38] 你会觉得说好像它涨很多
[00:10:39] 对不对
[00:10:39] 可以讲一件事情
[00:10:40] 未来如果假设今天
[00:10:43] 西西卫讲的是真的
[00:10:44] 黄勋讲的是真的
[00:10:45] 明年开始机器人就要大成长
[00:10:48] 机器人大成长也会把什么
[00:10:49] 也会把被动元件的需求整个都带上来
[00:10:51] 所以被动元件的需求变成是
[00:10:53] 从现在一直到未来几年其实都会是大成长
[00:10:57] 重点是在于说
[00:10:58] 你的被动元件是for什么样的产品线
[00:11:01] 你能不能卡到目前的需求
[00:11:03] 就是你能不能卡到AI的需求
[00:11:04] 还是能不能卡到机器人的需求
[00:11:06] 还是你就一直都没有长进
[00:11:08] 一直还留在PC NB的时代
[00:11:10] 那就会比较麻烦
[00:11:11] 一直卡在PC跟NB的时代
[00:11:13] 从第三季开始就有个警讯
[00:11:15] 就是你没有办法跟客户
[00:11:18] 百分之百的调涨报价
[00:11:19] 因为客户的状况很差
[00:11:21] 他不能让你调涨报价
[00:11:22] 那时候就是强弱就会分开来了
[00:11:25] 就是你如果是很高阶的
[00:11:27] 你可能真的是吃补
[00:11:30] 但是如果你真的是
[00:11:31] 做到这些事况比较差的产业
[00:11:33] 你可能就会原形毕露
[00:11:35] 所以这时间点基本上不能讲说
[00:11:38] 你只要有被动元件就好
[00:11:40] 不行
[00:11:40] 你还是要看你的被动元件到底是谁
[00:11:43] 我们看到最近其实在大涨的过程里面
[00:11:45] 除了刚刚的和声堂跟信商店以外
[00:11:47] 其实整个MLCC族群很整齐往上拉
[00:11:50] 但MLCC里面其实还是有产业
[00:11:52] 还是有公司是没有被注意到的
[00:11:54] 例如说像达方
[00:11:55] 达方吗
[00:11:56] 达方是国内的MLCC的第三大厂
[00:11:59] 它的产品做一支性的
[00:12:01] 所以它的东西跟和声堂很像
[00:12:03] 可是市场上其实不太注意到它
[00:12:05] 我稍微查一下
[00:12:06] 目前达方它在100伏以上的高压MLCC
[00:12:09] 已经是它的大量出货
[00:12:11] 它的大量的产品
[00:12:12] 所以我觉得达方也被低估
[00:12:14] 而且你仔细去看达方
[00:12:15] 外资一直买
[00:12:17] 可是市场可能没有注意到
[00:12:18] 再来就是达方业里面其实还有一片就是
[00:12:21] 大家相对觉得比达low end的
[00:12:22] 就是chip R 晶片电阻
[00:12:24] 今天有前一阵子
[00:12:26] 国具在涨的时候
[00:12:26] 大家都看国具有MLCC涨
[00:12:28] 可是都没有注意到说
[00:12:29] 其实晶片电阻也跟着在涨价
[00:12:32] 也跟着纳入了AI
[00:12:33] 所以你看像最近慢慢在发动
[00:12:37] 就像大翼跟天鹅也开始在发动
[00:12:39] 也跟上这个族群的脚步
[00:12:41] 那大翼最近也被纳入NVIDIA的认证了
[00:12:44] 就表示说其实它是一整串的一直在跟上去
[00:12:49] 但是还是有一些比较虚的
[00:12:51] 我就不要一直讲他是谁
[00:12:53] 就是他是做塑胶电容
[00:12:54] 他还在涨停
[00:12:56] 对但是你就知道说其实产业别还是有区分的
[00:12:59] 你就是要很精确的去看你的公司到底是什么样的类型
[00:13:04] 或者是多看一下达人秀
[00:13:06] 你就知道说我们的专家到底都在讲些什么
[00:13:08] 而不是说今天市场上喊你就跟着去买
[00:13:12] 这样就比较危险
[00:13:13] 好 凯哥是因为长期跑产业
[00:13:15] 所以他非常的清楚
[00:13:16] 像赵华现在不一定跟产业界有这么多密切的来往
[00:13:20] 但是昨天应该说前天也有跟大家交
[00:13:22] 如果大家不太清楚整个被动原件有哪些公司
[00:13:25] 或是像有一个朋友就有留言说
[00:13:27] 到底CPU是哪些公司啊
[00:13:29] 我看每一台每一台讲的都不一样
[00:13:31] 这个是因为有时候它族群分散非常的广
[00:13:34] 不过被动原件还好
[00:13:35] 因为CPU是比较新的东西
[00:13:37] 所以导致什么呢
[00:13:39] 导致我有做CPU的封装
[00:13:40] 我也说我是CPU
[00:13:41] 我做检测
[00:13:42] 我做测试
[00:13:43] 我也说我有做
[00:13:44] 我做测试
[00:13:44] 我有做拼
[00:13:44] 对
[00:13:45] 然后所以你才会觉得很混乱
[00:13:46] 说到底怎么CPU每一家讲的不一样
[00:13:49] 哪怕我有点投入我都说我有
[00:13:50] 对
[00:13:50] 哪怕我是LED厂商想要切CPU
[00:13:52] 我都说我是CPU嘛
[00:13:54] 老厂其实就那些啦
[00:13:55] 对不对
[00:13:56] 我们常常讲的光盛啊
[00:13:57] 联雅啊
[00:13:57] 波洛威啊
[00:13:58] 滑星光
[00:13:59] 其实原本的就那些
[00:14:00] 后来因为扩散太多
[00:14:01] 好 拉回来
[00:14:02] 但被动原件
[00:14:03] 因为它是一个比较成熟的产业
[00:14:06] 所以如果您用AI去告诉它
[00:14:08] 请帮我叫出被动产业的
[00:14:11] 被动原件产业的产业令
[00:14:13] 里面有哪些公司会出来之外
[00:14:15] 你还可以问他
[00:14:16] 像刚刚讲到国具集团
[00:14:17] 大义算国际集团哦
[00:14:19] 对不对
[00:14:19] 日电帽有代理蛮多国具的东西哦
[00:14:21] 还有像凯美是国具集团
[00:14:23] 最近都非常的强
[00:14:25] 所以现在集团背景的
[00:14:28] 你至少可以拿来当做第一个
[00:14:29] 那华星科二哥嘛
[00:14:31] 然后也是有所谓的
[00:14:32] 华星集团的背景
[00:14:33] 我觉得至少你从这边选
[00:14:35] 然后凯克刚刚讲了
[00:14:36] 他特别会常常提到的是
[00:14:38] 信长点和合身堂
[00:14:39] 因为有拿到NVIDIA认证
[00:14:41] 那我会提到的是
[00:14:42] 信长店跟台庆科
[00:14:44] 因为跟台达店有签
[00:14:45] 比较长的合约
[00:14:46] 所以大家各自去选择
[00:14:49] 自己喜欢的被动原件里面
[00:14:50] 还蛮多值得留意
[00:14:52] 那如果刚刚凯克说
[00:14:53] 他不好意思讲谁
[00:14:54] 说做塑胶的
[00:14:55] 被动原件他觉得还好
[00:14:57] 那就上网查一下是谁
[00:14:58] 就知道了
[00:14:59] 就查一下塑胶电容
[00:15:00] 就知道在哪里讲
[00:15:01] 好 这个是被动原件的部分
[00:15:03] 另外一个我觉得
[00:15:04] 跟被动原件有点像的
[00:15:05] 就是功率原件
[00:15:06] 其实他们两个都是
[00:15:07] 散在全领域啦
[00:15:09] 那AI要用
[00:15:10] AI要升级
[00:15:11] AI要提升
[00:15:12] 他们也都跟电
[00:15:13] 大部分都有关
[00:15:13] 所以功率原件在今天
[00:15:15] 也像是复制被动原件的想法
[00:15:18] 来了一波大涨
[00:15:19] 那要怎么分辨
[00:15:20] 这些所谓的分离原件
[00:15:21] 或功率原件的差异
[00:15:22] 其实刚刚赵胶有提到
[00:15:23] 就是说连锐域间都涨了
[00:15:25] 其实你就知道说
[00:15:26] 连锐域都涨
[00:15:27] 为什么锐域都涨
[00:15:28] 他800多了
[00:15:28] 好厉害
[00:15:28] 为什么锐域都涨
[00:15:29] 就是告诉你
[00:15:30] 整个成熟制程的
[00:15:31] 目前的状况
[00:15:32] 都是在一个upgrade的状况
[00:15:34] 这边都包在成熟制程
[00:15:35] 报价都在往上调涨的情况之下
[00:15:37] 所以锐域当然
[00:15:38] 他的客户主要是网通市场
[00:15:40] 那网通市场
[00:15:41] 客户看起来都还有赚一些钱
[00:15:42] 比如说像自益
[00:15:44] 这些都还有赚一些钱
[00:15:45] 他就可以跟客户讲说
[00:15:46] 我的金元的价格已经上来了
[00:15:48] 我要调涨报价
[00:15:50] 所以这是一个基本的想法
[00:15:52] 那因为金元的价格往上涨了
[00:15:55] 所以像功率原件
[00:15:56] 或者像我们刚刚讲的
[00:15:58] 像这个瑞域
[00:15:59] 他是做所谓的网通IC的
[00:16:02] 网通IC的龙头
[00:16:02] 他们的制程
[00:16:03] 大部分都落在8到12寸
[00:16:05] 8到12寸
[00:16:07] 其实12寸用来比较少
[00:16:08] 8寸都可能比较多
[00:16:09] 像这个类比IC
[00:16:11] 大部分都在8寸
[00:16:12] 所以其实目前
[00:16:14] 以金元厂的状态来讲
[00:16:15] 其实8寸是非常短缺的
[00:16:17] 他想说怎么会这样子
[00:16:19] 不是这个很low end的东西
[00:16:21] 理论上应该是不短缺
[00:16:22] 不是应该缺3奈米吗
[00:16:23] 因为其实大家
[00:16:24] 现在都往12寸再投
[00:16:25] 反而是比较low end的东西
[00:16:27] 其实大厂是不太愿意投
[00:16:29] 所以像6寸8寸
[00:16:30] 基本上新进来的制程
[00:16:32] 投入都很少
[00:16:33] 对比较少
[00:16:34] 都很少
[00:16:34] 所以就变成是
[00:16:36] 你之前是因为需求不好
[00:16:37] 可是现在是需求排挤
[00:16:40] 就是大家一下子要产能都没有
[00:16:42] 就是你要6 8寸都没有
[00:16:44] 你现在就变成是很尴尬
[00:16:46] 那再来就是功率元件
[00:16:47] 它有一个原因就是因为
[00:16:49] 它有一个排红条款
[00:16:50] 就是因为美国掐住中国的脖子说
[00:16:52] 你们做的一些
[00:16:54] for车规的8寸的东西
[00:16:56] 不能卖到市场去
[00:16:57] 那它就给台湾的厂商很多的机会
[00:17:00] 所以你看
[00:17:01] 其实以功率元件来讲
[00:17:02] 它大概是4 6寸
[00:17:03] 它其实不是很高阶的东西
[00:17:06] 它不是4 6寸
[00:17:07] 你像二极体就更low end
[00:17:08] 二极体大概是2寸到4寸
[00:17:10] 2寸到4寸
[00:17:11] 所以你基本上
[00:17:12] 你在听IC设计的时候
[00:17:14] 你从来都没有听到人家讲说
[00:17:15] 二极体是IC设计元件
[00:17:16] 没有
[00:17:17] 最多就听到功率元件
[00:17:18] 可是功率元件
[00:17:19] 其实它已经是用功率元件
[00:17:21] 它不是IC设计的概念
[00:17:24] 所以告诉你说
[00:17:25] 基本上它是一个很low end的东西
[00:17:27] 但是很low end的东西
[00:17:28] 因为刚刚有一个排红条款
[00:17:29] 所以就给厂商很多
[00:17:30] 成长的大的空间
[00:17:32] 从去年安斯班老师到目前为止
[00:17:34] 基本上安斯班老师在中国制造的产品
[00:17:37] 是不能外销到国外去的
[00:17:39] 所以你看像今天的盘中
[00:17:41] 大中附顶就纷纷亮灯涨停
[00:17:44] 但其实这里面还有一个
[00:17:45] 我觉得很特殊的
[00:17:47] 但也会有人讲什么
[00:17:48] 宏观电
[00:17:48] 什么天狱这种
[00:17:52] 但是我觉得
[00:17:53] 他们可能都是我刚刚讲的那个
[00:17:55] 就是因为有去宏的问题
[00:17:57] 他们是地上剪刀枪
[00:17:59] 可是其实在功率元件里面
[00:18:01] 还是有一个很重要的产品
[00:18:02] 就是未来的这个HVDC
[00:18:05] 是降压的IC
[00:18:06] 这个也放在功率元件里面
[00:18:08] 其实市场上其实不太知道
[00:18:10] 真的到底有谁做进去
[00:18:12] 这个我们
[00:18:13] 也不要留到达人秀
[00:18:14] 我们现在就讲好了
[00:18:15] 就是广红科
[00:18:17] 有一家公司6693的广红科
[00:18:19] 有一家公司的特殊
[00:18:20] 因为它是当初的
[00:18:23] 茂迪的转投资
[00:18:24] 茂迪当初是在太阳能界
[00:18:26] 是一个天王
[00:18:27] 台积舰一度投他
[00:18:28] 可是的话因为太阳能这个产品
[00:18:30] 其实走得很快
[00:18:32] 而且大陆厂商一家就涨很大
[00:18:34] 所以这个产业后来就没落了
[00:18:36] 可是当他在集盛期的时候
[00:18:37] 他就投了广红科
[00:18:39] 这广红科他就是在做
[00:18:40] 高压跟低压的
[00:18:42] 变压的一个IC
[00:18:44] 那就我所知道
[00:18:45] 目前他在HVDC的高中低接
[00:18:48] 基本上都打进去
[00:18:49] 所以我觉得他会是
[00:18:50] 相对来讲
[00:18:51] 是整个功率元件里面
[00:18:53] 又比较特殊的公司
[00:18:54] 比较特殊的公司
[00:18:55] 所以可能这些一波涨完之后
[00:18:58] 可能这个广红科还在涨
[00:19:00] 因为如果你仔细去看
[00:19:01] 大中跟这个
[00:19:04] 他们这些公司的股价
[00:19:06] 都是在昨天才创新高的
[00:19:08] 可是广红科的股价
[00:19:09] 是早在一个月前就创新高了
[00:19:11] 他等于是先领涨
[00:19:13] 然后在这边盘整完之后
[00:19:15] 最后再又突破
[00:19:16] 这个跟前面那两几家公司
[00:19:18] 不太一样
[00:19:18] 前面几家都是到了今天才开始
[00:19:21] 大家都说六八寸很缺
[00:19:24] 我就开始涨给你看
[00:19:25] 可是他是
[00:19:26] 我早就已经东西是ready
[00:19:28] 我已经先涨了
[00:19:29] 好 因为我自己也在看
[00:19:31] 为什么我之前会喜欢看被动元件
[00:19:34] 因为被动元件是今年大概二月以后
[00:19:36] 才开始陆续发动的
[00:19:37] 就是在大多头市场里面
[00:19:40] 大家会先发动的一定跟AI高度相关
[00:19:42] 所以两三年前
[00:19:43] 这些组装代工厂就先涨第一波了
[00:19:46] 什么散热啦
[00:19:47] 一些CCL啊
[00:19:48] 载版那种跟AI高度连结的
[00:19:50] 他们就已经先开始发动了
[00:19:52] 那今年发动的有什么
[00:19:53] 被动元件是一个
[00:19:54] 时音元件
[00:19:55] 功率元件
[00:19:56] 很奇怪
[00:19:57] 都是元件类的
[00:19:58] 因为他们不是第一波被想到的
[00:20:00] 可是现在他们有需求了
[00:20:02] 然后刚刚凯哥讲到一个事情
[00:20:04] 我觉得很有在2021年的一个既视感
[00:20:07] 就是我们之前会觉得
[00:20:08] 大家缺的都是先进制程的
[00:20:10] 晶圆要做到12寸
[00:20:11] 大家都想要这个
[00:20:12] 谁要去投什么8寸厂
[00:20:14] 还6寸厂
[00:20:15] 还4寸厂
[00:20:16] 可是在2021年在抢晶圆的时候
[00:20:19] 其实就有同样的问题
[00:20:20] 大家就希望说
[00:20:21] 到底谁有6寸厂
[00:20:22] 谁有8寸厂
[00:20:23] 谁有越低接的越好
[00:20:24] 我不想想大家记不记得
[00:20:25] 新唐为什么在2021年长那么多
[00:20:27] 现在又开始长了
[00:20:28] 新唐有一座6寸厂
[00:20:29] 新唐制作6寸厂
[00:20:31] 在产能不缺的时候
[00:20:32] 大家觉得是累赘
[00:20:33] 就是你一家IC设计公司
[00:20:35] 养什么6寸厂
[00:20:36] 后来现在缺了
[00:20:37] 变成又变加分
[00:20:39] 变薄了
[00:20:39] 对变薄了
[00:20:40] 他自己有一个6寸厂
[00:20:41] 所以新唐为什么这一波格外强势
[00:20:44] 除了他是跟古王信华
[00:20:45] 做类似的商品之外
[00:20:46] 他有6寸厂又变成一个很大的优势
[00:20:48] 我还记得那时候是不是旺宏
[00:20:50] 要卖掉他的6寸还8寸厂
[00:20:52] 然后大家来买的时候
[00:20:54] 我也是当年
[00:20:55] 也是不懂事
[00:20:56] 就觉得说
[00:20:57] 谁要买这个6寸厂还是8寸厂
[00:20:59] 他连旺宏自己都不要了
[00:21:01] 结果后来就被人家强制
