[00:00:00] 欢迎收听赵华语股获在第1124集
[00:06:50] 因为无论它再怎么翻桌怎样
[00:06:53] 最严重就是在三月
[00:06:55] 就是已经过了
[00:06:56] 那后面我常常讲
[00:06:57] 利空比的不是
[00:06:59] 真的不是次数
[00:07:00] 不是说我今天又讲了几次坏消息
[00:07:03] 这是几次不重要
[00:07:04] 你只要没有比第一次大
[00:07:06] 后面的利空其实都没有意义
[00:07:08] 所以结论来讲
[00:07:09] 现在看起来没有太大的利空
[00:07:11] 那回归基本面
[00:07:13] 今年能够涨降其实都是基本面
[00:07:15] 那这个每一季的
[00:07:18] 无论是美股的财报或台股的法说会
[00:07:21] 其实都是正向的
[00:07:23] 那所以就目前的角度看起来
[00:07:25] 在这一季应该都还有机会延续
[00:07:28] 所以我个人觉得趋势来讲还是在往上
[00:07:31] 不要被这个所谓的
[00:07:33] 今天这样稍微压回就有点恐慌
[00:07:37] 或者是我结论来讲
[00:07:39] 我们反过头来
[00:07:40] 今天再跌什么
[00:07:42] 其实很简单两个道理而已
[00:07:45] 第一就是这个昨天涨太多
[00:07:48] 这个我觉得这还其次
[00:07:49] 第二很重要就是觉得
[00:07:51] 我个人觉得市场已经预期
[00:07:54] 美股斜率太陡
[00:07:56] 代表今天晚上美股必须得修正
[00:08:00] 还是回到乖离率跟斜率
[00:08:03] 对应该这样讲
[00:08:04] 台股今天堵的就是美股今天晚上会修正
[00:08:07] 所以会导致一个现象
[00:08:09] 明天会长什么样的台股
[00:08:10] 其实就很容易推论
[00:08:12] 如果今天晚上美股
[00:08:14] 跟假设像今天晚上的
[00:08:16] 像今天的台股一样小跌
[00:08:18] 那就会导致明天台股不跌
[00:08:20] 甚至还有可能慢慢的往上
[00:08:22] 那如果今天晚上猜错了
[00:08:25] 结果还在继续往上
[00:08:27] 我讲的是非半
[00:08:28] 假设非半继续往上
[00:08:29] 台阶AD还在往上
[00:08:31] 那不好意思
[00:08:31] 那明天就得补涨
[00:08:33] 那等于所以结论而言
[00:08:35] 就今天的角度
[00:08:36] 趋势反转了吗
[00:08:38] 技术面怎样
[00:08:39] 老张我觉得根本就不是很重要
[00:08:41] 因为趋势利空
[00:08:42] 其实都逐渐消失
[00:08:44] 那利空消失利多
[00:08:46] 应该说即将都是看到正向的
[00:08:49] 所以现在拉回
[00:08:50] 不要用一天的这个走势下去做解读
[00:08:53] 我觉得很有趣
[00:08:55] 因为我知道大家都很期待明翰来
[00:08:57] 但是今天的盘
[00:08:58] 虽然感觉上是体感很差对不对
[00:09:01] 可是我必须说
[00:09:01] 对我和明翰来说
[00:09:03] 他有点偏无聊
[00:09:04] 就是他有点
[00:09:06] 只能跟大家先讲一下发生什么事
[00:09:09] 像第一点就是
[00:09:10] 我觉得没有发生什么样真正的利空
[00:09:12] 而就是昨天有点超涨
[00:09:13] 所以今天有点吐回来
[00:09:15] 跟明翰讲的一样
[00:09:17] 假设今天晚上美股突然变得很强劲
[00:09:19] 那不好意思
[00:09:20] 明天就要补回来
[00:09:21] 今天有点在补昨天的
[00:09:23] 还有就是最近
[00:09:24] 期货的正价差真的很猛
[00:09:26] 因为到了快七月了
[00:09:28] 历年几乎都是有一个比较明显
[00:09:31] 可能五六百点的逆价差
[00:09:32] 昨天晚上夜盘的正价差已经拉到一千多点
[00:09:36] 这是怎样
[00:09:37] 我昨天看了夜盘我就想说
[00:09:39] 四万九千多
[00:09:40] 四万九千多的夜盘
[00:09:42] 你再涨一下下
[00:09:44] 感觉明后天就要五万点了
[00:09:46] 我是以台指期来说
[00:09:47] 但我昨天还很想跟人家打赌
[00:09:49] 说你觉得这个月底前会不会五万点
[00:09:52] 后来都没人要跟我赌
[00:09:53] 现在声名狼藉
[00:09:55] 因为之前赢人家太多次
[00:09:56] 但重点就是在今天一开盘的时候
[00:09:59] 你就可以感受到这个夜盘的乐观在一夕之间
[00:10:02] 你今天是要稍微做一点回吐的
[00:10:04] 那今天还有一个蛮有趣的现象
[00:10:06] 今天的期货空单
[00:10:07] 一口气增加了六千多口
[00:10:09] 所以现在大概是七万五七万六千多口的空单
[00:10:13] 这也是我们没看过的
[00:10:14] 但因为我们有明显的正价差
[00:10:16] 所以套利的成分是在的
[00:10:19] 我把今天的过程跟大家交代一下
[00:10:22] 但今天说实话没事
[00:10:24] 我们呼应一下明显讲的
[00:10:26] 华许的这个关过了之后
[00:10:28] 然后美伊
[00:10:28] 其实你打油价也没起来之后
[00:10:31] 这两件事情显然就不是市场上关心的
[00:10:34] 所以接下来我们就会回到继续看基本面
[00:10:37] 那当然现在可能有点空窗景
[00:10:39] 因为台电还没开法说
[00:10:40] 也还没有新的营收
[00:10:42] 那这个礼拜还会公布景气堆车讯号
[00:10:44] 应该也是个红灯
[00:10:45] 所以就是一个乐腾腾的状况
[00:10:49] 而且我有跟明显讨论
[00:10:50] 其实现在讲六月底只剩一个礼拜了
[00:10:52] 讲到七月还蛮多好消息值得期待的
[00:10:56] 对应该我们刚刚提到
[00:10:57] 基本面的角度出发
[00:10:59] 其实因为毕竟是一季季节
[00:11:02] 所以代表到六月底才算是完整的季度
[00:11:06] 所以七月开始到七月中
[00:11:08] 就会有台积电的法说
[00:11:09] 那应该是最前面的领先指标
[00:11:12] 那连续应该说从有AI以来
[00:11:15] 一直都是很乐观
[00:11:16] 那我常常讲
[00:11:17] 它的特色就是股价
[00:11:19] 其实都长在前面跟后面
[00:11:22] 真正法说会其实是不会长的
[00:11:24] 不管讲再好都没有用
[00:11:26] 这个就是每一次的特性
[00:11:28] 那这个就是逆着人心
[00:11:30] 因为现在是市场是不会讲的
[00:11:32] 但是它就是常常在
[00:11:34] 大家不会去提到的时候
[00:11:35] 它就一直偷偷的
[00:11:37] 这个不断的走高
[00:11:38] 然后呢
[00:11:39] 走到这个可能法说会前一两周
[00:11:42] 大家开始把这个目光移到这个台积电
[00:11:46] 每天来讲说
[00:11:46] 外资已经出去报告
[00:11:48] 认为下礼拜的法说会
[00:11:49] 市场最热的时候
[00:11:52] 其实它就已经不长
[00:11:53] 这每一次的特性
[00:11:55] 所以我也认同
[00:11:57] 因为投资本来就是有点心理学
[00:11:59] 就是心理战
[00:12:00] 大家你本来就应该在
[00:12:02] 这个市场不热的时候先进去
[00:12:04] 然后等到我们热的时候
[00:12:06] 大家就会开始前面卡的人
[00:12:08] 就会开始退场
[00:12:09] 那所以就基本面而言
[00:12:11] 确实还是维持一个
[00:12:13] 比较乐观的一个态势
[00:12:15] 所以有机会持续的这个推升
[00:12:18] 这个所谓的股价不断走高
[00:12:20] 尤其刚刚提到
[00:12:21] 我一直认为出口数字
[00:12:23] 是一个非常重要的关键
[00:12:25] 因为之前有时候
[00:12:27] 常常人家问我说
[00:12:29] 这个到底台股现在涨成这样
[00:12:32] 来到四万点
[00:12:33] 到底会不会泡沫
[00:12:35] 我常常讲的
[00:12:36] 你会认为泡沫原因的最大的问题
[00:12:40] 就是看新闻
[00:12:43] 因为新闻有一个比较麻烦的问题
[00:12:45] 就是新闻它都是
[00:12:46] 所谓的字面的讯息
[00:12:48] 所以你完全看不到图形长相
[00:12:51] 到底长什么样子
[00:12:53] 那我常常讲
[00:12:54] 你会担心台股是不是泡沫
[00:12:58] 原因就是因为你不知道
[00:12:59] 台湾现在到底有多厉害
[00:13:01] 因为为什么
[00:13:03] 原因很简单
[00:13:04] 因为这个也是台湾M型化很大的原因
[00:13:07] 因为你要知道台湾现在
[00:13:09] 你要出口是在创历史新高
[00:13:12] 这是你要知道几十年来
[00:13:15] 台湾现在是在最强悍的时候
[00:13:18] 而且有一个
[00:13:18] 我觉得为什么台湾投资人会相对而言
[00:13:22] 这要怎么说
[00:13:23] 就是会一直很担忧
[00:13:25] 我觉得是可以理解的
[00:13:26] 因为我刚刚讲最重要的问题就是M型化
[00:13:29] 就是说从基本面的角度出发
[00:13:32] 从台湾应该说所有的上班族而言
[00:13:35] 你真正感受到说
[00:13:37] 你从上班
[00:13:39] 从公司的角度发现说
[00:13:41] 现在好到不得了的人
[00:13:43] 其实是少数的
[00:13:44] 就只有AI那几家公司而已
[00:13:47] 没错吧
[00:13:48] 那你其他人你每天去上班
[00:13:50] 你会觉得
[00:13:51] 你自己在生活上的体感
[00:13:54] 跟股市上的体感截然不同
[00:13:57] 你会觉得股市怎么那么热
[00:13:59] 可是每天我的生活间就感受不到
[00:14:02] 经济有这么好
[00:14:04] 可是那个是因为现在M型化很严重
[00:14:08] 真的我常常讲
[00:14:09] 台湾的出口数字是创高的
[00:14:12] 可是主技术所有的统计产业
[00:14:15] 真的全部都是平的
[00:14:16] 只有两个
[00:14:17] 就一个是电子领主件
[00:14:19] 一个是自通讯产品
[00:14:21] 不断地用喷出的
[00:14:22] 所以这些公司毕竟是少数的
[00:14:26] 所以只有这些人有体感
[00:14:28] 而且他应该说他们有他们的优势
[00:14:32] 第一
[00:14:32] 他自己知道现在状况很好
[00:14:35] 也许他就会
[00:14:35] 无论是他自家公司
[00:14:37] 或者是上下游公司他会去做投资
[00:14:40] 加上还有一个问题
[00:14:41] 因为公司获利很好
[00:14:43] 所以他不只可能一般的薪水很好
[00:14:47] 重点是奖金给的真的是很多
[00:14:50] 随便他们给个奖金
[00:14:52] 都是一般上班族好几年的年薪
[00:14:54] 那所以双重效应
[00:14:57] 人家可以赚大钱
[00:14:59] 但一般投资人就会一直很紧张
[00:15:01] 因为自己在生活间总觉得还好而已
[00:15:04] 但是股市不断地冲出去
[00:15:06] 我常常讲你会担心泡沫原因
[00:15:08] 就是因为你不知道现在台湾到底有多厉害
[00:15:11] 全球都在看台湾的脸色
[00:15:14] 这也是不真的事实
[00:15:15] 那我常常讲就是说
[00:15:17] 长期而言从最早的AI是软体公司的
[00:15:21] 那个时候他们说话比较大声
[00:15:23] 这一段时间在高速成长就变成是硬体
[00:15:26] 当然最终一定是回到软体说话为主
[00:15:30] 但是现在刚好在第二阶段就是所谓的硬体的时间点
[00:15:35] 所以台厂刚好就吃到这几年的红利
[00:15:38] 那目前的角度呢
[00:15:39] 无论是季节性因素
[00:15:41] 应该说如果从今年的角度来讲
[00:15:45] 下半年才是旺季的时间点
[00:15:47] 那如果对比26 27
[00:15:49] 27也还在持续走高
[00:15:51] 所以如果从季度或年度的角度
[00:15:54] 都可以确认现在不是高点
[00:15:56] 当然很多人会讲到
[00:15:57] 这个股价涨这么多了
[00:16:00] 是不是这些利多都已经反映在里面了
[00:16:03] 所以他会担心是不是泡沫
[00:16:05] 我常讲就是说
[00:16:06] 这个股市就是反映半年
[00:16:10] 就是两季
[00:16:11] 那你如果现在是已经是年中了
[00:16:15] 所以如果你的这个公司成长只有今年
[00:16:19] 那你现在真的应该要下车
[00:16:21] 因为明年不确定的公司
[00:16:23] 那今年涨很多的
[00:16:25] 你可能就要小心
[00:16:26] 但是如果像AI族群
[00:16:28] 大家对明年的看法都还那么乐观
[00:16:30] 他只要真的很纯的AI股
[00:16:33] 其实现在就算本益比偏高
[00:16:35] 那是因为涨太多用今年的获利
[00:16:38] 那等到下半年用明年的获利
[00:16:41] 又觉得相对来又不高
[00:16:42] 所以代表着中间休息
[00:16:45] 都是一个很好的机会
[00:16:47] 所以我要重申
[00:16:48] 就是说从基本面的角度
[00:16:51] 其实M型化也是蛮重的
[00:16:52] 那涨多自然这个拉回的过程当中
[00:16:57] 相对而言大家都会拉回
[00:16:59] 但我还是觉得
[00:17:00] 投资人尽量选择比较有数字的族群
[00:17:04] 那相对而言后续来讲
[00:17:06] 等待指数只要一稳住
[00:17:08] 他们的股价都还是会相对比较强势
[00:17:10] 其实我们讨论了很多
[00:17:12] 就是关于我们现在台湾产业
[00:17:14] 不管是说M型化也好
[00:17:15] 或是所谓的K型化也好
[00:17:17] 对不对
[00:17:17] 就是有一部分是一直往下的
[00:17:19] 然后跟AI相关的就一直往上
[00:17:21] 这个裂口会越来越大
[00:17:23] 越来越大
[00:17:24] 就像有人问我说
[00:17:25] 他说你们电视台
[00:17:27] 应该这两年的业绩也很好
[00:17:29] 我说No
[00:17:29] 因为电视台是社会的缩影
[00:17:31] 就电视台其实它收到的
[00:17:33] 例如说那种你们看到的
[00:17:35] 那种秒数广告
[00:17:37] 就是播了很多那种广告影片的那种中间
[00:17:40] 它是来自消费性的商品
[00:17:41] 其实消费性的商品没有特别好
[00:17:44] 对那你说那些AI公司
[00:17:46] 它很多是B2B
[00:17:47] 就是商业型的
[00:17:48] 它很少B2C的
[00:17:49] 它可能也没有投广告到我们这种所谓的电视台
[00:17:52] 所以我们也算是有点小艰困
[00:17:54] 可是如果你有去投资AI相关领域
[00:17:57] 你有做理财的人
[00:17:58] 你可能感受又不一样
[00:18:00] 就算你所处的产业
[00:18:01] 它并不是在这两年成长
[00:18:03] 甚至还受到了一点挑战跟压力
[00:18:06] 可是你的资产却是可以持续往上的
[00:18:09] 我觉得这个是这几年大家在资产的翻转上面很重要的一个观念
[00:18:14] 那也会有人
[00:18:14] 该会现在就来这个致命题好了
[00:18:16] 都已经涨到47000
[00:18:18] 接近48000了
[00:18:19] 如果我现在才要进来投资的话
[00:18:21] 那我要怎么样确认我不是买在最高点
[00:18:24] 确认是不是买在最高点
[00:18:27] 我是帮一般人
[00:18:28] 还没有进来的人问
[00:18:29] 对应该这样讲
[00:18:30] 我刚刚讲一个很重要的观念
[00:18:33] 你现在要进场
[00:18:35] 你不要再去管现在发生什么事情
[00:18:37] 好 不要再管了
[00:18:37] 你第一件事情只有一个中心思想
[00:18:40] 你到底认不认同27年比现在更好
[00:18:42] 对不对
[00:18:43] 我觉得那才是最重要的关键
[00:18:44] 你现在短时间发生什么事情
[00:18:47] 什么战争
[00:18:47] 什么那些滑雪都已经不重要
[00:18:49] 因为其实你因为你
[00:18:51] 我刚刚讲
[00:18:51] 股市会反映半年之后的事情
[00:18:53] 所以就我刚刚讲
[00:18:55] 就算今年下半年升息一马又怎么样
[00:18:57] 因为你要的是27年的趋势
[00:19:00] 他们点正途2728是持续往下的
[00:19:03] 所以就算今年下半年升息一马
[00:19:05] 不重要
[00:19:06] 因为你要的
[00:19:07] 现在结论都是在反映27年的架构
[00:19:11] 那我就讲了
[00:19:12] 你中心最中心的思想
[00:19:14] 你要回过头来
[00:19:15] 你到底认不认同27年的AI
[00:19:17] 还是一股很强的一个热潮
[00:19:21] 那就目前的角度
[00:19:23] 我会觉得
[00:19:25] 你不管从专业各公司
[00:19:28] 到底有谁对27年的AI看法是保守的
[00:19:32] 目前真的找不到任何的
[00:19:35] 这个人说法是保守的
[00:19:37] 当然有时候人家会讲
[00:19:38] 那些人就是他们家在卖东西的
[00:19:41] 当然是乐观
[00:19:43] 包含黄仁勋
[00:19:44] 他家在卖晶片
[00:19:45] 他怎么可能告诉你不好
[00:19:46] 但事实好不好
[00:19:47] 我常常讲的这些公司
[00:19:50] 尤其我们最后我常常讲
[00:19:51] 台积电说的话总能信了吧
[00:19:54] 他就告诉你
[00:19:55] 到底行不行
[00:19:56] 他的法术会都直接告诉你
[00:19:58] 到2029年
[00:20:00] 他们看营收能够维持增长25%
[00:20:04] 那我会觉得
[00:20:05] 他们
[00:20:06] 他们当然我觉得
[00:20:07] 他敢放这个话
[00:20:09] 就真的才能有勇气
[00:20:10] 因为
[00:20:11] 他可以一次看到未来的
[00:20:13] 这个三年的远景
[00:20:14] 我会觉得说
[00:20:16] 没关系你就算三年
[00:20:18] 你觉得讲得有点太远
[00:20:20] 那也无所谓
[00:20:21] 最基本来讲
[00:20:22] 到明年
[00:20:23] 其实应该都不会有
[00:20:25] 太大的这个趋势改变
[00:20:27] 那或者是
[00:20:28] 应该这样有很大的问题呢
[00:20:30] 就现在的角度
[00:20:32] AI使用率
[00:20:33] 其实我还是觉得
[00:20:34] 就今年的角度
[00:20:36] 应该说
[00:20:36] 现在已经年中了
[00:20:38] 对不对
[00:20:38] 我们再回到去年底
[00:20:40] 经过半年
[00:20:41] 我个人觉得
[00:20:43] AI的使用率的攀升
[00:20:45] 我还是
[00:20:45] 我自己的感受
[00:20:47] 我觉得是
[00:20:47] 有点不如预期的
[00:20:49] 就是我还是觉得
[00:20:50] 会用的就是永远都在用
[00:20:52] 不会用的
[00:20:53] 你怎么跟他讲
[00:20:54] 他也不会用
[00:20:55] 是
[00:20:55] 有啦
[00:20:56] 有渗透率加高吧
[00:20:57] 我觉得有加高
[00:20:58] 但是那个幅度远不及想象
[00:21:00] 因为
[00:21:01] 我个人觉得
[00:21:02] 现在AI
[00:21:03] 尤其这半年来
[00:21:04] AI的成长跟好用的
[00:21:07] 那个攀升度
[00:21:08] 是非常高的
[00:21:09] 就是
[00:21:10] 我们现在用的AI
[00:21:11] 跟半年前的AI
[00:21:12] 是落差非常非常大
[00:21:14] 但是市场使用的
[00:21:16] 渗透率的攀升
[00:21:17] 比想象的慢很多
[00:21:19] 所以代表
[00:21:20] 当然这个算是利空吗
[00:21:22] 但我个人觉得
[00:21:23] 不是代表着
[00:21:24] 现在就是
[00:21:25] 还需要时间
[00:21:26] 这不真的事实
[00:21:27] 而且
[00:21:28] 后面的进程还很多
[00:21:29] 因为我们现在
[00:21:30] 现在在讲AI
[00:21:31] 都还是很皮毛
[00:21:33] 就是像
[00:21:34] ChairGD
[00:21:34] 你跟他对话
[00:21:35] 或问他个问题而已
[00:21:37] 未来要的是
[00:21:38] 可以帮你解决问题
[00:21:40] 解决
[00:21:41] 就是完成任务
[00:21:42] 就是所谓代理人AI
[00:21:44] 甚至
[00:21:44] 未来要做成机器人
[00:21:46] 自驾车
[00:21:47] 那个老实讲还很远
[00:21:48] 当然
[00:21:49] 最主要关键点是
[00:21:50] 到底硬体会成长到哪里
[00:21:53] 可是最基本的角度
[00:21:55] 我个人觉得
[00:21:56] 确实
[00:21:56] 我自己的看法
[00:21:57] 也认同台积电讲
[00:21:59] 以现在的角度而言
[00:22:01] 两三年之内是
[00:22:02] 我觉得要大幅反转的几率
[00:22:05] 真的很低
[00:22:06] 但是我常讲
[00:22:07] 你就算不要讲那么远
[00:22:09] 因为市场不断会有变化
[00:22:11] 最基本来讲看到27年是没有问题
[00:22:14] 代表现在的架构是
[00:22:15] 就算是年中
[00:22:17] 出发都是很安全的
[00:22:19] 我常常回过头来
[00:22:21] 我永远讲的就是
[00:22:22] 这两年的这个
[00:22:25] 必胜招只有一套
[00:22:26] 就是你就是赤金靠拢AI
[00:22:29] 跟拉高持股比重
[00:22:31] 就是你只要一直维持这两个
[00:22:33] 坚信不移
[00:22:34] 其实你就跟着这个指数不断走高
[00:22:37] 或者是我常常讲
[00:22:38] 甚至我常常讲
[00:22:39] 甚至盘面不要花那么多时间
[00:22:42] 你如果说你上
[00:22:43] 你认真上班
[00:22:45] 在公司那边
[00:22:46] 等于本业多赚点钱
[00:22:48] 那你投资这边
[00:22:50] 不要花太多心力
[00:22:51] 这我自己的感受
[00:22:53] 因为我觉得这几年
[00:22:54] 因为涨的速度很快
[00:22:56] 我觉得投资人常常会有个问题
[00:22:58] 就是对本业越来越不重视
[00:23:01] 会觉得
[00:23:02] 我今天随随便便就可以赚个两三千块了
[00:23:05] 我做了一整天
[00:23:07] 昨天八小时卖给老板都还没那么多
[00:23:10] 然后问题是
[00:23:11] 这个不代表是一个永远的常态
[00:23:14] 那你必须要本业跟着你的投资
[00:23:18] 同时成长
[00:23:19] 而且要记得一些
[00:23:20] 投资是你终身的事情
[00:23:22] 工职场也是非常长期的事情
[00:23:25] 绝对不可能说
[00:23:27] 未来完全就专业投资人
[00:23:30] 我个人觉得这是难度非常非常高
