[00:00:00] 欢迎收听赵华与古惑在第1127集
[00:07:27] 因为他们已经涨很多了
[00:07:28] 所以股价涨很多的时候
[00:07:29] 你在讲说要涨价
[00:07:30] 基本上他可能就变成是利用利多在出货
[00:07:34] 利多在出货
[00:07:35] 那回过来看就说我们除了刚刚讲的那些以外
[00:07:37] 其实今天还有一个很特殊的族群
[00:07:39] 就是实因元件
[00:07:40] 实因元件今天特别强
[00:07:42] 没错
[00:07:42] 因为我今天还在跟赵凰讲说要注意
[00:07:45] 因为市场上有大户已经开始在撤退了
[00:07:48] 那大户在撤退什么
[00:07:49] 他在撤退记忆体
[00:07:50] 他在撤退这些相关涨比较多的
[00:07:55] 那我觉得他们一定也感觉到说
[00:07:56] 盘氏可能相对来讲也涨了比较多了
[00:07:59] 所以他们做部分的撤退
[00:08:01] 但是基本上因为主力不是涵盖所有的股票
[00:08:05] 你要知道主力一定是他特别cover哪些族群
[00:08:08] 他可能对哪些族群比较深入的研究
[00:08:11] 所以他可能有些族群是没有走
[00:08:13] 或者是有些族群他们可能没有涉略
[00:08:16] 例如说像矽光子这一块
[00:08:18] 基本上离开了这批人
[00:08:21] 基本上他们就比较没有涉略
[00:08:22] 所以你看今天像这个讯星KY
[00:08:27] 盘充一度从跌停拉到平盘
[00:08:29] 我就告诉你说其实他们是没有退场的
[00:08:32] 所以接下来这个还是可以看一下
[00:08:33] 那他有退场的包括记忆体跟被动元件
[00:08:37] 使用元件
[00:08:38] 基本上你也发觉到说好像也别有这么的弱
[00:08:41] 今天里面其实最弱其实是被动元件
[00:08:43] 其实记忆体随着美光强还跟着强上来了
[00:08:46] 但是这个地方基本上记忆体反而是要特别注意
[00:08:49] 因为确实韩国如果这个新闻如果是属实
[00:08:53] 就是HINES要回来做DDR
[00:08:55] 觉得台湾场上就是很不利
[00:08:57] 是很不利
[00:08:58] 而且基本上我们基本上是挨着打的
[00:09:01] 因为他们的技术本来就毫无疑虑
[00:09:04] 只是他不要把产能掉播过来而已
[00:09:06] 所以这就实时的冲击
[00:09:07] 但是背影院我觉得他是涨多
[00:09:09] 但是你看我说他在调整
[00:09:11] 基本上背影院最后还是有拉涨停的
[00:09:13] 所以我觉得也没有完全的就是利空
[00:09:15] 就实质的反应出来
[00:09:17] 没有
[00:09:17] 那实际元件更不用讲
[00:09:19] 今天还有能量灯涨停
[00:09:20] 好记忆喔
[00:09:21] 对那能量灯涨停主要是因为
[00:09:23] 在这个西华的股东会上
[00:09:25] 他们有讲说目前看起来实际元件很缺货
[00:09:28] 而且国际大厂的交期拉很长了
[00:09:30] 所以他们感觉上他们有机会可以补
[00:09:34] 感觉好像都是补
[00:09:35] 就是我们机体也是补
[00:09:36] 我们实际元件也是补
[00:09:37] 我们背影院也是补
[00:09:38] 就是补大厂的不足
[00:09:40] 补大厂的缺短缺的部分
[00:09:42] 所以看起来还是有一些族群在酝酿
[00:09:46] 没有完全的熄火
[00:09:47] 所以我认为这个大盘
[00:09:48] 目前看起来还是比较偏于修正
[00:09:50] 好
[00:09:51] 要不先把大前提跟大家聊
[00:09:53] 对不对
[00:09:54] 刚刚我们有提到收缩资金的事情
[00:09:56] 这个已经有点蔓延开来了
[00:09:58] 而且也不是讲一天两天
[00:09:59] 其实政府从讲四代同堂变成六代同堂
[00:10:02] 就是已经觉得福而过多
[00:10:05] 还有要看一个事情
[00:10:06] 我们在五月底的时候也历经过一次修正
[00:10:09] 那一次现货市场达到四万二
[00:10:11] 可是融资超级无敌勇敢
[00:10:13] 我们当然也有讲这一波融资
[00:10:15] 涨得跟以前不一样
[00:10:16] 也有很多所谓的热钱聪明融资
[00:10:18] 大户融资在里面
[00:10:20] 但是你也可以看到
[00:10:21] 时至今日
[00:10:22] 那个融资在上次这样洗刷过后
[00:10:24] 在最近又在洗刷的时候
[00:10:26] 我们的融资率还是勇敢的占上了六千亿以上
[00:10:30] 就是这个增加的幅度
[00:10:32] 根本就没有在洗
[00:10:33] 然后围台也是
[00:10:35] 围台其实连续两个月
[00:10:36] 都是一个非常勇敢做多
[00:10:38] 我们也说围台以前
[00:10:39] 我们以为是大盘的繁指标
[00:10:41] 现在看起来也叫勇敢围台
[00:10:42] 聪明围台
[00:10:43] 可是这些事情累积到后面
[00:10:45] 它会不会再产生一个再平衡
[00:10:47] 我觉得会
[00:10:47] 所以这一波融资
[00:10:49] 你都打死不退
[00:10:50] 今天可能就真的会痛
[00:10:52] 今天真的会痛
[00:10:54] 所以我觉得
[00:10:55] 既然五月底那一波
[00:10:56] 烧到四万二没有洗
[00:10:58] 这一波现在到四万四
[00:10:59] 凯哥说可能只剩在四万三千六的部分
[00:11:02] 这一波如果能够再洗干净一下
[00:11:05] 是有利于接下来的行情
[00:11:07] 因为我们进入到台一店法说前的得点圈了
[00:11:10] 可是现在却没有办法表现
[00:11:11] 因为最近在我们福尔的问题
[00:11:14] 在美国 日本 韩国 台湾
[00:11:15] 日本可能好一点
[00:11:17] 连日本是想生息
[00:11:18] 生息也算是一种温和收缩
[00:11:19] 那都已经在呈现这样的现象的时候
[00:11:23] 我们就留意
[00:11:24] 我们常常讲基本面
[00:11:25] 上面有一层泡泡
[00:11:26] 泡泡多是好喝
[00:11:28] 可是泡泡消风的时候
[00:11:29] 我们自己要保护自己
[00:11:30] 那今天赵华干嘛呢
[00:11:32] 还是一样
[00:11:32] 我有跟凯哥报告
[00:11:33] 我说一样嘛
[00:11:34] 破月线对不对
[00:11:36] 搭黑K
[00:11:37] 那甚至早了点
[00:11:38] 我跌到一千多点的时候
[00:11:39] 就进去捡了一些ETF
[00:11:40] 就从跌一千点变一千八百点
[00:11:43] 再捡一些ETF
[00:11:45] 个股我就有一点小观望
[00:11:47] 不过确实我发现
[00:11:48] 载版跟实营元件
[00:11:49] 应该是今天盘面上最亮眼的
[00:11:51] 只是长点有些后来都收敛掉
[00:11:54] 好
[00:11:54] 所以我按照我的纪律就是
[00:11:56] 我觉得不是因为景气出问题的反转
[00:11:59] 我就破月线的大黑K
[00:12:01] 然后一千点以上
[00:12:02] 我就加码一些
[00:12:03] 那有没有可能去记线
[00:12:05] 其实贵买上一次是有要去测记线的
[00:12:08] 大盘还没有
[00:12:09] 如果再去测记线
[00:12:10] 只要是经济环境的前提不变的情况下
[00:12:13] 我还是会在记线附近继续加
[00:12:15] 这就是我现在的一个策略
[00:12:17] 因为你会发现有个好处
[00:12:19] 你不要再V上去
[00:12:20] 就是已经停了上去了
[00:12:22] 然后才急急忙忙的追
[00:12:24] 压力就会非常大
[00:12:25] 例如我也承认
[00:12:26] 我上礼拜或说这礼拜一
[00:12:28] 我也会觉得很FOMO
[00:12:29] 买一点个股好了
[00:12:31] 涨了好高兴
[00:12:32] 个股都涨停
[00:12:33] 今天怎么样
[00:12:34] 吐回去
[00:12:35] 个股就是这样
[00:12:37] 所以我们自己在进出场的逻辑跟想法上
[00:12:40] 一定要先确立起来
[00:12:41] 说实话
[00:12:43] 今天要不要心情差不需要
[00:12:44] 因为今天又是一个
[00:12:45] 可能你做中场性破断
[00:12:47] ETF相对好的买点
[00:12:49] 对 因为这盘基本上
[00:12:51] 确实贵买就比较弱
[00:12:53] 对啊
[00:12:53] 你仔细看
[00:12:54] 其实贵买
[00:12:55] 它是破了近期的连续三根大量的低了
[00:12:58] 而且它月线是下弯的
[00:13:00] 所以势必告诉你
[00:13:01] 贵买会进行一段的整理
[00:13:03] 那你很多个股涨多了
[00:13:05] 它就跟着整理了
[00:13:06] 你像被动人间这些
[00:13:08] 关5分钟
[00:13:09] 关20分钟的一大堆
[00:13:10] 今天就纷纷就打回来了
[00:13:13] 就是因为这个气氛太冷了
[00:13:15] 对
[00:13:15] 你禁不住这样的气氛
[00:13:17] 你不敢再去追了
[00:13:18] 就下来了
[00:13:19] 但是我刚刚讲说
[00:13:21] 像新元件他们还在往上走
[00:13:23] 就告诉你
[00:13:23] 基本上这个缺货的概念没有结束
[00:13:26] 老实讲
[00:13:27] 你就算被动人间这样打下来
[00:13:29] 它缺货这个影响数改变了吗
[00:13:32] 没有
[00:13:32] 它还是存在的
[00:13:33] 只是你的股价是要做一个修正之后
[00:13:36] 回来重新再出发
[00:13:38] 所以我觉得原先讲的那些族群
[00:13:41] 还是可以留意
[00:13:42] 我记得你看嘛
[00:13:44] 我们昨天在讲说
[00:13:44] 利隆店要调涨报价
[00:13:47] 然后这个铝电龙的交期拉长
[00:13:50] 然后之前是我还有提过
[00:13:52] 像大益也纳入了这个
[00:13:54] NVIDIA的供应链
[00:13:55] 其实这些都还是
[00:13:56] 回过头还是可以看
[00:13:58] 就是说你去看
[00:13:59] 它涨完之后
[00:14:00] 我如果没记住它大益千
[00:14:01] 还在拉涨停
[00:14:02] 所以告诉你其实
[00:14:03] 不要因为今天的大跌
[00:14:05] 就让你失去信心了
[00:14:07] 我们刚才讲说
[00:14:08] 今天的大跌
[00:14:09] 其实某种程度是个好处
[00:14:10] 就是把一些福尔洗掉
[00:14:12] 然后稍微把杠杆做一点收敛
[00:14:14] 因为今天其实
[00:14:16] 你看到前几天
[00:14:18] 都已经就要看到五万了
[00:14:19] 对啊
[00:14:20] 这有点太夸张
[00:14:22] 我必须这样讲
[00:14:23] 就是今天行情走得有点
[00:14:24] 让大家觉得有点可怕
[00:14:26] 可怕是说钱赚进来太可怕
[00:14:28] 所以你看很多人就是
[00:14:30] 只要一个月的月薪有
[00:14:31] 他就想要离职
[00:14:32] 那这样很多企业组
[00:14:34] 就会受到影响了
[00:14:35] 因为很多企业体
[00:14:36] 可能都员工要离开
[00:14:37] 那所以这不是一件好事情
[00:14:39] 还是让专职的专业经营人
[00:14:41] 来做投资
[00:14:42] 你把钱去买ETF
[00:14:43] 让他们来帮你做判断
[00:14:45] 去做投资
[00:14:46] 你自己就是
[00:14:47] 我觉得就是斜杠
[00:14:48] 而不是把它当做主业
[00:14:50] 现在很多人是
[00:14:51] 把股票当主业了
[00:14:52] 所以股票一涨一跌
[00:14:53] 你今天就上不了班了
[00:14:55] 你的心情就很差
[00:14:56] 可是你好不好
[00:14:57] 下午你就说
[00:14:57] 老板今天不想继续上班
[00:15:00] 我也先回家休息
[00:15:01] 其实这个都
[00:15:02] 再再都影响到不正常
[00:15:04] 其实都不正常
[00:15:05] 其实你要像五货照一样
[00:15:07] 心如止水
[00:15:08] 就今天大跌大涨
[00:15:09] 其实我们都不会有
[00:15:10] 太大的担忧
[00:15:11] 就是我们只要看得懂
[00:15:13] 趋势在哪里
[00:15:14] 就没有害怕
[00:15:15] 目前趋势还在
[00:15:16] 所以不用太害怕
[00:15:17] 比较担心的就是
[00:15:19] 像今天
[00:15:19] Apple讲说
[00:15:21] 他要调涨
[00:15:22] 他的产品售价了
[00:15:23] 因为他的产品
[00:15:25] 基本上很多的componer
[00:15:27] 拿不到
[00:15:28] 还记不记得我们之前在讲说
[00:15:29] 南电被这个Apple包产了
[00:15:32] 其实那时候Apple就看到
[00:15:33] 整个一个AI大幅的侵蚀
[00:15:35] 它的原件的供应
[00:15:37] 所以它现在开始要调涨报价
[00:15:38] 可是你要知道
[00:15:39] 其实Apple在AI这一挂
[00:15:41] 其实是不领先的
[00:15:43] 所以很落后的
[00:15:44] 所以它没有跟上AI这一步
[00:15:46] 但是它的产品
[00:15:48] 基本上缺乏AI情况下
[00:15:49] 基本上卖不太动
[00:15:50] 你又要调涨报价
[00:15:51] 所以大家担心的其实是
[00:15:53] 整个市场的消费力
[00:15:55] 是不是在衰退中
[00:15:56] 因为AI很强
[00:15:57] 大家都把钱花到AI上
[00:15:59] 但我觉得还好啦
[00:16:00] 因为其实我就问嘛
[00:16:02] 有多少人真的是
[00:16:03] 像我们一样
[00:16:04] 是重度的AI使用者
[00:16:05] 其实还是不多的啦
[00:16:07] 所以我觉得
[00:16:07] 现在还是在长一个预期心理
[00:16:09] 所以我觉得
[00:16:09] 还是不用太害怕
[00:16:10] 好
[00:16:11] 因为你讲到Apple手机
[00:16:12] 我刚才也是想说
[00:16:13] 要跟你来讨论
[00:16:14] 好像照不出来
[00:16:15] 因为上次有人特地为了
[00:16:17] 想要看我的Apple手机
[00:16:18] 摔成什么一个鬼德性
[00:16:19] 我现在再试试看
[00:16:21] 可能看不到
[00:16:21] 我昨天就觉得好后悔喔
[00:16:23] 因为我i17没有换嘛
[00:16:25] 我想说没关系啦
[00:16:26] iPhone18啦
[00:16:27] 而且我内心还有点小思心
[00:16:29] 想说
[00:16:29] 有啊
[00:16:30] 苹果那时候去跟三星谈啊
[00:16:31] 要包他记忆体的产能
[00:16:33] 可能不会长太多
[00:16:34] 就算长也长一咪咪吧
[00:16:35] 然后呢
[00:16:36] 我就裸机在那边用
[00:16:37] 我的iPhone15
[00:16:38] 哇
[00:16:39] 摔的是一个乱七八糟
[00:16:41] 昨天就跟他说
[00:16:42] 对不起
[00:16:42] 我不应该摔你的
[00:16:43] 因为iPhone18要涨价了
[00:16:45] 他们说
[00:16:46] 3000到8000不等
[00:16:48] 然后有一些平板
[00:16:49] 可能一万
[00:16:50] 对
[00:16:50] 哇
[00:16:51] 幸好我没有那么的迷恋平板
[00:16:53] 可是我本来要换iPhone18
[00:16:55] 会啦
[00:16:55] 我还是会换
[00:16:56] 可是那种感觉就是
[00:16:57] 早知道我就不要这样
[00:16:58] 对他那么坏了
[00:16:59] 还可以继续用
[00:17:00] 或者是对他更坏
[00:17:02] 我就先换iPhone17
[00:17:03] 好没有没有
[00:17:03] 对不起
[00:17:04] 不要这样说
[00:17:04] 等一下忽然给我故障掉
[00:17:06] 好
[00:17:06] 苹果这件事情
[00:17:07] 昨天在美股
[00:17:08] 是一个很大的压力
[00:17:09] 因为苹果自己跌6%多之外
[00:17:11] 就如凯哥说的
[00:17:13] 都是在发展AI
[00:17:14] 当然如果你有做到AI
[00:17:16] 可能你的公司的成效
[00:17:17] 或是股价就很好
[00:17:19] 可是如果今天
[00:17:20] 让消费品开始变贵
[00:17:21] 会不会大家就比较
[00:17:22] 不想要买手机
[00:17:23] 也不想要换机了呢
[00:17:25] 因为苹果如果
[00:17:26] iPhone18卖不好
[00:17:27] 可能整体对手机市场的期待
[00:17:29] 又会下降咯
[00:17:30] 那还有谁今天是受害呢
[00:17:32] 例如说像联发科
[00:17:33] 虽然今年涨上来
[00:17:34] 都是因为讲Essica的部分
[00:17:36] 可是毕竟他还是大快
[00:17:38] 在手机市场
[00:17:39] 如果今年的手机市场
[00:17:40] 或是到明年的状况
[00:17:41] 是不好的
[00:17:42] 你看发科今天
[00:17:43] 就给你一个跌停表态
[00:17:44] 对
[00:17:45] 所以整体的消费
[00:17:47] 会不会因为
[00:17:48] 各个消费品受到
[00:17:49] 短缺记忆体
[00:17:50] 短缺零件而上涨
[00:17:51] 然后导致消费市场低迷
[00:17:53] 然后整体的经济
[00:17:55] 可能会被拉下来
[00:17:56] 我觉得这也是在
[00:17:57] 昨天跟今天
[00:17:58] 大跌的一个原因之一
[00:18:00] 对
[00:18:01] 大家觉得消费力
[00:18:02] 倒有点在甩腿
[00:18:03] 对
[00:18:04] 因为想嘛
[00:18:05] 其实手机一直涨一涨
[00:18:07] 然后你又觉得
[00:18:08] 你好像换下去
[00:18:10] 好像没什么意义
[00:18:11] 因为整个手机市场
[00:18:11] 基本上就饱和啦
[00:18:12] 其实很多人都还在用
[00:18:14] iPhone 15
[00:18:15] iPhone 16
[00:18:16] 我
[00:18:16] 对不对
[00:18:17] 很多人都在用
[00:18:17] 甚至还有人用到
[00:18:19] iPhone 13的
[00:18:19] 所以大家其实感觉
[00:18:21] 没有迫切的需要换手机
[00:18:23] 那你没有换手机
[00:18:25] 基本上之前
[00:18:26] 带动全球电子市场
[00:18:28] 往上成长的
[00:18:28] 就是iPhone
[00:18:29] 那你现在iPhone
[00:18:30] 告诉你
[00:18:31] 它已经要停滞了
[00:18:32] 但市场会有点担心
[00:18:34] 会很担心
[00:18:35] 因为毕竟整个一个AI
[00:18:37] 目前是它没有实质获利跳出来的
[00:18:40] 它还是在一个
[00:18:41] 持续的在投资的阶段里面
[00:18:44] 还没有到开始要一直收钱进来
[00:18:46] 可是你原本觉得说
[00:18:48] 我口袋
[00:18:49] 有不断的现金流入的这些厂商
[00:18:52] 开始它没有明显的获利进来的时候
[00:18:54] 它会不会没办法支撑
[00:18:55] AI持续投入
[00:18:56] 所以微软好像昨天也跌
[00:18:58] 对
[00:18:59] 就告诉你说
[00:18:59] 其实大家担心的是这个
[00:19:01] 但是我觉得还要担心的
[00:19:03] 就是
[00:19:03] 我不知道大家有没有注意到
[00:19:05] 其实最近的美股里面
[00:19:06] 其实一些重量的科技股
[00:19:08] 有点死不上力
[00:19:09] 虽然我们看到
[00:19:11] 二哥AMD一直在往上走
[00:19:13] 越线也在往上走
[00:19:14] 也在新高的附近
[00:19:15] 可是我们的老大
[00:19:16] 我们的教祖
[00:19:17] 上次来台湾之后
[00:19:18] 它的股价其实没有上来
[00:19:20] NVIDIA股价是越线下弯的
[00:19:23] 而且它形实形态是比较偏弱的
[00:19:25] 我们只能解读说
[00:19:26] 因为看起来它在这个世代
[00:19:29] 我们在Computex看的
[00:19:30] 这个世代的产品
[00:19:31] 不是主流产品
[00:19:32] 它是一个过渡型的产品
[00:19:33] 所以会不会在Ultra的时候
[00:19:35] 它才会领先上工
[00:19:37] 这个是要持续做观察
[00:19:39] 但是我基本上我认为
[00:19:40] 就是它的这个Rubin
[00:19:42] 应该还是一个过渡型的产品
[00:19:44] 再来解释说为什么
[00:19:46] 很多人会觉得说NVIDIA很弱
[00:19:48] 所以AI的公司
[00:19:49] 台湾应该要弱
[00:19:50] 我不这么认为
[00:19:52] 因为你看老二AMD
[00:19:54] 它的股价其实是在
[00:19:55] 新高的边缘上面
[00:19:56] 而且它还在往上走
[00:19:57] 所以告诉你持其比落
[00:19:59] 就是有人是落下来的
[00:20:00] 可是它在往上走
[00:20:02] 对
[00:20:02] 所以不要因为
[00:20:03] 龙头教主的股价比较弱
[00:20:06] 你就觉得好像全盘揭没
[00:20:08] 不是这样的看法
[00:20:10] 好
